"Article","Web Description","Brand","Type","Pack Qty","Size","Colour","Assembly","Material","Power","DQ Score"
"454496","Glitterati Buddha 3D Wall Art Gold 60 x 60cm","Arthouse","3D Wall Art","1","60x60cm",NA,NA,NA,NA,0.88
"454498","Glitterati Blossom and Birds 3D Wall Art 60 x 60cm","Arthouse","3D Wall Art","1","60x60cm",NA,NA,NA,NA,0.88
"454499","Glitterati Butterflies 3D Wall Art 60 x 60cm","Arthouse","3D Wall Art","1","60x60cm",NA,NA,NA,NA,0.88
"454501","Glitterati Dahlia 3D Wall Art CopperColoured 60x60cm","Arthouse","3D Wall Art","1","60x60cm",NA,NA,NA,NA,0.88
"437268","Wax Lyrical Wax Filled Glass Med Orange35 Hours Burn Time","Wax Lyrical","Fragranced Candles","1",NA,NA,NA,NA,NA,0.86
"437269","Wax Lyrical Wax Filled Tin Med Orange16 Hours Burn Time","Wax Lyrical","Fragranced Candles","1",NA,NA,NA,NA,NA,0.86
"437272","Wax Lyrical Wax Filled Glass Red Cherries35 Hours Burn Time","Wax Lyrical","Fragranced Candles","1",NA,NA,NA,NA,NA,0.86
"437273","Wax Lyrical Wax Filled Tin Red Cherries16 Hours Burn Time","Wax Lyrical","Fragranced Candles","1",NA,NA,NA,NA,NA,0.86
"437276","Wax Lyrical Wax Filled Glass Fresh Linen35 Hours Burn Time","Wax Lyrical","Fragranced Candles","1",NA,NA,NA,NA,NA,0.86
"437277","Wax Lyrical Wax Filled Tin Fresh Linen16 Hours Burn Time","Wax Lyrical","Fragranced Candles","1",NA,NA,NA,NA,NA,0.86
"455625","Wax Lyrical Vanilla Candle Tin","Wax Lyrical","Fragranced Candles","1","6.4CM X 6.4CM X 4.8CM",NA,NA,NA,NA,0.93
"455626","Wax Lyrical Vanilla Glass Candle","Wax Lyrical","Fragranced Candles","1","7CM X 7CM X 8.2CM",NA,NA,NA,NA,0.93
"100898","Wilko Wet Foam Bricks Green","Wilko","Wet Foam",NA,"Single","Green",NA,NA,NA,0.93
"168978","Wilko Flower Single Posy Yellow","Wilko","Artificial Bunch",NA,"Single",NA,NA,NA,NA,0.86
"169019","Wilko Flower Posy Multi","Wilko","Artificial Bunch","1","Single",NA,NA,NA,NA,0.93
"191338","Wilko Church Candle Ivory 7x7.5cm","Wilko","Pillar Candle",NA,"7x7.5cm",NA,"No",NA,NA,0.883333333333333
"219351","Wilko Pot Pourri Sweet Strawberry and Red Fruits","Wilko","Pot Pourri",NA,"Large",NA,"No",NA,NA,0.883333333333333
"247007","Wilko Flower Bunch Cream and Yellow","Wilko","Artificial Bunch",NA,"Single","Cream",NA,NA,NA,0.93
"257880","Wilko Church Candle Ivory 7 x 12.5cm","Wilko","Pillar Candle",NA,"7x12.5cm","Cream","No",NA,NA,0.941666666666667
"258510","Wilko Gerbera Single Stem Flower Red","Wilko","Artificial Single Stem",NA,"Single","Red",NA,NA,NA,0.93
"258532","Wilko Flower Bunch Cream","Wilko","Artificial Bunch",NA,"Single","Cream",NA,NA,NA,0.93
"258535","Wilko Flower Bunch Cream","Wilko","Artificial Bunch",NA,"Single","Cream",NA,NA,NA,0.93
"274735","Wilko Pom Pom Magenta Single Stem","Wilko","Artificial Single Stem",NA,"Single","Purple",NA,NA,NA,0.93
"275629","Wilko Pot Pourri Vanilla Pod","Wilko","Pot Pourri",NA,"Pack",NA,"No",NA,NA,0.883333333333333
"284919","Wilko Pom Pom Single Stem Flower Red","Wilko","Artificial Single Stem",NA,"Single","Red",NA,NA,NA,0.93
"290164","Wilko Unscented Tealights White 100pk","Wilko","Tealights",NA,"Bag of 100","White","No",NA,NA,0.941666666666667
"290165","Wilko Maxi Unscented Tealights 15pk","Wilko","Tealights",NA,"Maxi","White","No",NA,NA,0.941666666666667
"290166","Wilko Vanilla Tealights Scented 30pk","Wilko","Tealights",NA,"30 Pack",NA,"No",NA,NA,0.883333333333333
"290167","Wilko Scented Tealights Red Berries 30pk","Wilko","Tealights",NA,"30 Pack","Red","No",NA,NA,0.941666666666667
"290168","Wilko Scented Tealights Melon & Rhubarb 30pk","Wilko","Tealights",NA,"30 Pack","Green","No",NA,NA,0.941666666666667
"290171","Wilko Scented Pillar Candle Vanilla 7 x 14.5cm","Wilko","Pillar Candle",NA,"7x14.5cm","Cream","No",NA,NA,0.941666666666667
"290172","Wilko Scented Pillar Candle Red Fruit 7 x 14.5cm","Wilko","Pillar Candle",NA,"7x14.5cm","Red","No",NA,NA,0.941666666666667
"290173","Wilko Scented Candle Melon and Rhubarb 7x14.5cm","Wilko","Pillar Candle",NA,"7x14.5cm","Green","No",NA,NA,0.941666666666667
"290184","Wilko Church Candle Ivory 7 x 20cm","Wilko","Pillar Candle",NA,"80x20cm","Cream","No",NA,NA,0.941666666666667
"292896","Wilko Round Mirror Candle Plate","Wilko","Candles Holders",NA,"Single",NA,NA,NA,NA,0.86
"292908","Wilko Scented Pillar Candle Red Fruit 6 x 9.5cm","Wilko","Pillar Candle",NA,"6x9.5cm","Red","No",NA,NA,0.941666666666667
