"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","DQ Score"
"335337","Rosewood Dog Bed Cushion Reversable and AssortedColours 76 x 50cm","Rosewood","Bed Cushions","Multi",NA,NA,"76cmx50cmx6cm",NA,0.93
"434473","Rosewood Dog Bed Quilted Mattress Assorted Colours","Rosewood","Mattresses","Multi","1",NA,NA,NA,0.93
"439456","Rosewood Dog Bed Reversible  Cushion Extra Large58 x 86cm","Rosewood","Bed Cushions",NA,"1",NA,"16 x 58 x 45cm",NA,0.93
"439460","Rosewood Dog Bed Paw Print Design Small 23 x 48cm","Rosewood","Soft Beds",NA,"1",NA,"12 x 48 x 23cm",NA,0.93
"439461","Rosewood Dog Bed Paw Print Design Medium 27 x 58cm","Rosewood","Soft Beds",NA,"1",NA,"15 x 58 x 27cm",NA,0.93
"439462","Rosewood Dog Bed Paw Print Design Large 53 x 68cm","Rosewood","Soft Beds",NA,"1",NA,"18 x 70 x 38cm",NA,0.93
"439463","Rosewood Dog Bed Plush Deep Round 38cm","Rosewood","Soft Beds",NA,"1",NA,"23 x 58 x 35cm",NA,0.93
"439464","Rosewood Dog Bed Plush Oval 63.5cm","Rosewood","Soft Beds",NA,"1",NA,"25 x 72 x 36cm",NA,0.93
"324889","Wilko Fitted Sheet Double White","Wilko","Double Fitted Sheet","White",NA,"Washable","Double","52% Polyester, 48% Cotton",0.95
"324890","Wilko Fitted Sheet King Size White 150 x 200cm","Wilko","Kingsize Fitted Sheet","White",NA,"Washable","Kingsize","52% Polyester, 48% Cotton",0.95
"324892","Wilko Valance Double White 140 x 190cm","Wilko","Double Valance","White",NA,"Washable","Double","52% Polyester, 48% Cotton",0.95
"324899","Wilko Valance Cream Double 140x190cm","Wilko","Double Valance","Cream",NA,"Washable","Double","52% Polyester, 48% Cotton",0.95
"324905","Wilko Valance White Single","Wilko","Single Valance","White",NA,"Washable","Single","100% Cotton",0.95
"324906","Wilko Valance Double White","Wilko","Double Valance","White",NA,"Washable","Double","100% Cotton",0.95
"324918","Wilko Fitted Sheet Single Parchment","Wilko","Single Fitted Sheet","Brown",NA,"Washable","Single","100% Cotton",0.95
"324920","Wilko Fitted Sheet King Size Parchment","Wilko","Kingsize Fitted Sheet","Brown",NA,"Washable","Kingsize","100% Cotton",0.95
"324921","Wilko Valance Single Parchment","Wilko","Single Valance","Brown",NA,"Washable","Single","100% Cotton",0.95
"325400","Wilko Fitted Sheet Double Taupe","Wilko","Double Fitted Sheet","Orange",NA,"Washable","Double","100% Cotton",0.95
"423223","Wilko Fitted Sheet Single Black","Wilko","Single Fitted Sheet",NA,"1","Wash at 40","90cm x 190cm x 25cm","Fabric",0.95
"423224","Wilko Fitted Sheet Double Black","Wilko","Double Fitted Sheet",NA,"1",NA,"Fitted sheet Double 140x190x25cm","Fabric",0.9
"423225","Wilko Fitted Sheet King Size Black","Wilko","Kingsize Fitted Sheet",NA,"1",NA,"Fitted sheet King 150X200X25","Fabric",0.9
"423226","Wilko Housewife Pillowcases Black 2pk","Wilko","Housewife Pillowcase",NA,"2",NA,"50 x 75 x 13cm","Fabric",0.9
"423227","Wilko Fitted Sheet Single Plum","Wilko","Single Fitted Sheet",NA,"1",NA,"Fitted sheet Single 90x190x25cm","Fabric",0.9
"423228","Wilko Fitted Sheet Double Plum","Wilko","Double Fitted Sheet",NA,"1",NA,"Fitted sheet Double 140x190x25cm","Fabric",0.9
"423229","Wilko Fitted Sheet King Size Plum","Wilko","Kingsize Fitted Sheet",NA,"1",NA,"Fitted sheet King 150X200X25cm","Fabric",0.9
"423231","Wilko Housewife Pillowcase Plum","Wilko","Housewife Pillowcase",NA,"2",NA,"Housewife Pillow Pair 50X75X13CM","Fabric",0.9
"424523","Wilko Fitted Sheet Single Caramel","Wilko","Single Fitted Sheet",NA,NA,NA,NA,NA,0.75
"424524","Wilko Fitted Sheet Double Caramel","Wilko","Double Fitted Sheet",NA,NA,NA,NA,NA,0.75
