"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","Assembly","DQ Score"
"217482","Wilko Polystyrene Bean Bag Top Up 43cm","Wilko","Bean Bag Top Up","White",NA,NA,"43cm","100% Polystyrene",NA,0.9
"311487","Wilko Jumbo Cushion Cream 55 x 55cm","Wilko","Cushions","Cream",NA,"Washable","55x55cm","90% Polyester, 10% Polyamide",NA,0.95
"341168","Wilko Cushion Chenille Teal 43 x 43cm","Wilko","Plain Cushion","Green",NA,NA,"43x43cm",NA,"No",0.941666666666667
"341169","Wilko Cushion Chenille Red 43 x 43cm","Wilko","Plain Cushion","Red",NA,NA,"43x43cm",NA,"No",0.941666666666667
"341170","Wilko Cushion Chenille Mink 43 x 43cm","Wilko","Plain Cushion","Cream",NA,NA,"43x43cm",NA,NA,0.85
"341171","Wilko Cushion Chenille Green 43 x 43cm","Wilko","Plain Cushion","Green",NA,NA,"43x43cm",NA,"No",0.941666666666667
"408004","Wilko Embellished Leaf Cushion Covers Red Pair43 x 43cm","Wilko","Cushion Covers","Red","2pk",NA,NA,NA,NA,0.85
"408005","Wilko Embossed Leaf Cushion Covers Teal Pair43 x 43cm","Wilko","Cushion Covers",NA,"2pk",NA,NA,NA,NA,0.8
"408006","Wilko Embossed Leaf Cushion Covers Mink Pair43 x 43cm","Wilko","Cushion Covers",NA,"2pk",NA,NA,NA,NA,0.8
"408007","Wilko Embellished Leaf Cushion Covers Green Pair43 x 43cm","Wilko","Cushion Covers",NA,"2pk",NA,NA,NA,NA,0.8
"414851","Wilko Chenille Cushion Natural 43 x 43cm","Wilko","Plain Cushion",NA,NA,NA,"43x43cm",NA,"No",0.883333333333333
"414852","Wilko Chenille Cushion Duck Egg 43 x 43cm","Wilko","Faux Silk Cushion",NA,NA,NA,NA,NA,"No",0.825
"414853","Wilko Chenille Cushion Grey 43 x 43cm","Wilko","Faux Silk Cushion",NA,NA,NA,"43x43cm",NA,"No",0.883333333333333
"414854","Wilko Chenille Cushion Black 43 x 43cm","Wilko","Faux Silk Cushion",NA,"1",NA,"43x43cm",NA,NA,0.85
"414856","Wilko Chenille Cushion Plum 43 x 43cm","Wilko","Faux Silk Cushion",NA,NA,NA,"43x43cm",NA,"No",0.883333333333333
"416736","Wilko Chenille Cushion Charcoal 43 x 43cm","Wilko","Plain Cushion",NA,NA,NA,"43x43cm",NA,"No",0.883333333333333
"446583","Wilko Faux Mongolian Cushion Teal 43x43cm","Wilko","Mongolian Cushion","Green",NA,NA,"43 x 43cm",NA,"No",0.941666666666667
"446585","Wilko Faux Mongolian Cushion Charcoal 43x43cm","Wilko","Mongolian Cushion","Grey",NA,NA,"43 x 43cm",NA,"No",0.941666666666667
"446586","Wilko Faux Mongolian Cushion Plum 43x43cm","Wilko","Mongolian Cushion","Purple",NA,NA,"43 x 43cm",NA,"No",0.941666666666667
"452418","Wilko Velour Cushion Red 50x50cm","Wilko","Cushions",NA,"1",NA,"50 x 50cm",NA,NA,0.85
"452419","Wilko Velour Cushion Charcoal 50x50cm","Wilko","Cushions",NA,"1",NA,"50 x 50cm",NA,NA,0.85
"452420","Wilko Velour Cushion Cream 50x50cm","Wilko","Cushions",NA,"1",NA,"50 x 50cm",NA,NA,0.85
"68435","Wilko Functional  Cushion Inner Standard","Wilko Functional","Cushion Inner","White",NA,"Wipe Clean Only","41x41cm","100% Polypropylene Cover, 100% Polyester Filling",NA,0.95
"68436","Wilko Functional Cushion Inner 46 x 46cm","Wilko Functional","Cushion Inner","White",NA,"Wipe Clean Only","46x46cm","100% Polypropylene Cover, 100% Polyester Filling",NA,0.95
