"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Washable","Size","Material","DQ Score"
"280737","Collection Cover Up Stick 1 Light 4g","Collection 2000","Concealer","Brown",NA,"1",NA,"4g",NA,0.81875
"280738","Collection Cover Up Stick 13 Natural Beige 4g","Collection 2000","Concealer","Brown",NA,"1",NA,"4g",NA,0.81875
"280756","Collection Eye Definer 1 Black 0.25g","Collection 2000","Eye Liner","Black",NA,"1",NA,"2g",NA,0.81875
"280759","Collection Eye Definer 2 Brown 0.25g","Collection 2000","Eye Liner","Brown",NA,"1",NA,"2g",NA,0.81875
"280761","Collection Eye Definition 1 Ebony 6ml","Collection 2000","Eye Liner","Wood",NA,"1",NA,"6ml",NA,0.81875
"280764","Collection Eyebrow Definer 1 Black 0.25g","Collection 2000","Brows","Black",NA,"1",NA,"0.25g",NA,0.81875
"280765","Collection Eyebrow Definer Blonde 3","Collection 2000","Brows","Blonde",NA,"1",NA,"4.2g",NA,0.81875
"280768","Collection Fast Stroke Eyeliner Black 1","Collection 2000","Eye Liner","Black",NA,"1",NA,"3.8g",NA,0.81875
"280773","Collection Fast Stroke Eyeliner Brown 6","Collection 2000","Eye Liner","Brown",NA,"1",NA,"3.8g",NA,0.81875
"280803","Collection Gel Liner 4 Hustle 6ml","Collection 2000","Nail Polish","Pink",NA,"1",NA,"6ml",NA,0.81875
"280804","Collection Gel Liner 5 Le Freak 6ml","Collection 2000","Nail Polish","Pink",NA,"1",NA,"6ml",NA,0.81875
"280822","Collection Gel Liner Shake it Up! 11 6ml","Collection 2000","Nail Polish","Cream",NA,"1",NA,"6ml",NA,0.81875
"280847","Collection Illuminating Touch ConcealerNaked 1 2.5g","Collection 2000","Concealer","Brown",NA,"1",NA,"2.5g",NA,0.81875
"280848","Collection Illuminating Touch ConcealerNatural 2 2.5g","Collection 2000","Concealer","Cream",NA,"1",NA,"2.5g",NA,0.81875
"280849","Collection Illuminating Touch ConcealerGlow 3 2.5g","Collection 2000","Concealer","Brown",NA,"1",NA,"2.5g",NA,0.81875
"280901","Collection Pressed Powder 18 Ivory 17g","Collection 2000","Powder Foundation","Cream",NA,"1",NA,"17g",NA,0.81875
"280902","Collection Powder 24 Misty Beige 17g","Collection 2000","Powder Foundation","Brown",NA,"1",NA,"17g",NA,0.81875
"280903","Collection Powder 3 Translucent 17g","Collection 2000","Powder Foundation","Clear",NA,"1",NA,"17g",NA,0.81875
"296174","Collection 24hr Felt Liner 1 Black  7.8g","Collection 2000","Eye Liner","Black",NA,"1",NA,"7.8g",NA,0.81875
"296176","Collection 24hr Felt Liner 3 Blue 7.8g","Collection 2000","Eye Liner","Blue",NA,"1",NA,"7.8g",NA,0.81875
"296178","Collection Extreme Mascara 1 Black 9ml","Collection 2000","Mascara","Black",NA,"1",NA,"9ml",NA,0.81875
"298406","Collection Cover Up Stick 14 Honey Beige 4g","Collection 2000","Liquid Foundation","Brown",NA,NA,NA,"4g",NA,0.775
