"Article","Web Description","Brand","Type","Size","Colour","Assembly","Pack Qty","Material","DQ Score"
"352739","Batiste Dry Shampoo Blush 50ml","Batiste","Dry Shampoo","50ml",NA,NA,"1",NA,1
"281806","Colgate Toothpaste Total Advanced Clean25ml","Colgate","Regular Toothpaste","25ml",NA,NA,"1",NA,1
"450606","Cuticura Antibacterial Hand GelCrisp and Fresh 50ml","Cuticura","Hand Wash","50ml",NA,NA,"1",NA,1
"352738","Dove Body Wash Nourishing 55ml","Dove","Shower Gel","55ml",NA,NA,"1",NA,1
"351742","Dr Beckmann Travel Wash 100ml","Dr Beckmann","Travel Wash","100ml",NA,NA,"1",NA,1
"292146","Johnsons Baby Powder 100g","Johnsons","Talc","100ml",NA,NA,"1",NA,1
"266855","Listerine Mouthwash Total Care Clean Mint 95ml","Listerine","Mouthwash","95ml",NA,NA,"1",NA,1
"305863","Original Source Shower Gel Lemon and Tea Tree 50ml","Original Source","Shower Gel and Body Wash","50ml",NA,NA,"1",NA,1
"413531","Palram Balance Greenhouse Silver 8x12","Palram","Greenhouses","8x12",NA,"Yes",NA," Aluminium polycarbonate plastic",1
"413532","Palram Victory Orangery Greenhouse 12x10","Palram","Greenhouses","12x10",NA,"Yes",NA," Aluminium polycarbonate plastic",1
"413533","Palram Mythos Greenhouse Silver 6x4","Palram","Greenhouses","126L x 185W x 208H",NA,"Yes",NA," Aluminium polycarbonate plastic",1
"413534","Palram Mythos Greenhouse Silver 6x6","Palram","Greenhouses","186L x 185W x 208H",NA,"Yes",NA," Aluminium polycarbonate plastic",1
"413535","Palram Mythos Greenhouse Silver 6x8","Palram","Greenhouses","247L x 185W x 208H",NA,"Yes",NA," Aluminium polycarbonate plastic",1
"413536","Palram Mythos  Greenhouse Silver 6x10","Palram","Greenhouses","306L x 185W x 208H",NA,"Yes",NA," Aluminium polycarbonate plastic",1
"435718","Palram Aluminium Greenhouse Window Auto Vent Arm","Palram","Arms","40W x 7L x 5H cm",NA,"Yes",NA,"Aluminium",1
"435721","Palram Greenhouse Side Louver Window","Palram","Side Louver","H 62cm x Wi 62cm x 6cm Thickness. 62cm Window",NA,"Yes",NA,"Aluminium",1
"pr00001","Palram Polycarbonate Greenhouse Green 6x4","Palram","Greenhouses","6ft x 4ft","Green","Yes",NA,NA,1
"pr00002","Palram Polycarbonate Greenhouse Green 6x6","Palram","Greenhouses","6ft x 6ft",NA,"Yes",NA,"Aluminium frame, Polycarbonate panels",1
"pr00003","Palram Polycarbonate Greenhouse Green 6x8ft","Palram","Greenhouses","6ft x 8ft",NA,"Yes",NA,"Aluminium frame, Polycarbonate panels",1
"pr00004","Palram Polycarbonate Greenhouse Green 6x10","Palram","Greenhouses","6ft x 10ft",NA,"Yes",NA,"Aluminium frame, Polycarbonate panels",1
"pr00005","Palram Polycarbonate Greenhouse Aluminium 6x10","Palram","Greenhouses","6ft x 10ft",NA,"Yes",NA,"Aluminium frame, Polycarbonate panels",1
"pr00008","Palram Polycarbonate Greenhouse Silver Effect 6x6","Palram","Greenhouses","6ft x 6ft",NA,"Yes",NA,"Aluminium frame, Polycarbonate panels",1
"pr00009","Palram Polycarbonate Greenhouse Silver Effect 6x8","Palram","Greenhouses","6ft x 8ft",NA,"Yes",NA,"Aluminium frame, Polycarbonate panels",1
"436274","Rowlinson Single Hardwood Coldframe","Rowlinson","Cold Frames","61cm",NA,"No",NA,"Wood Timber",1
"348834","Wilko Suncare Lotion SPF30 50ml","Wilko","Sun Cream Spf30","50ml",NA,NA,"1",NA,1
"348835","Wilko Suncare Lotion SPF50 50ml","Wilko","Sun Cream Spf50","50ml",NA,NA,"1",NA,1
"348836","Wilko After Sun Lotion 50ml","Wilko","Aftersun","50ml",NA,NA,"1",NA,1
