"Article","Web Description","Brand","Type","Colour","Washable","Size","Material","Pack Qty","Capacity","Assembly","Power","Model Number","Coverage","DQ Score"
"423297","Wilko Aqua Soap Dispenser","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72
"423320","Wilko 3 Drawer Medium Tower Unit","Wilko","Storage Drawers",NA,NA,"27cm x 19cm x 47.5cm","POLYPROPYLENE","1",NA,NA,NA,NA,NA,0.9
"423321","Wilko Swing Bin 12L","Wilko","Swing Bins",NA,NA,"17.5cm x 24cm x 36cm",NA,"1",NA,NA,NA,NA,NA,0.883333333333333
"423847","Wilko Dome Pedal Bin Small Purple","Wilko","Pedal Bins",NA,NA,"16.8 x H28.6cm",NA,"1","3 litre",NA,NA,NA,NA,0.941666666666667
"425737","Wilko Words Toilet Seat","Wilko","Toilet Seats",NA,NA,"45.5cm x 36.6cm x 5.2cm","Molded Wood and Zinc Alloy","1",NA,NA,NA,NA,NA,0.941666666666667
"425738","Wilko Groove Toilet Seat Black","Wilko","Toilet Seats",NA,NA,"45.5cm x 36.6cm x 5.2cm","Molded Wood and Zinc Alloy","1",NA,NA,NA,NA,NA,0.941666666666667
"425739","Wilko Toilet Seat Matt Aqua","Wilko","Toilet Seats",NA,NA,"45.5cm x 36.6cm x 5.2cm",NA,"1",NA,NA,NA,NA,NA,0.883333333333333
"425889","Wilko Hearts Shower Curtain","Wilko","Shower Curtains",NA,NA,"180cm x180cm",NA,NA,NA,NA,NA,NA,"Painted Paper",0.93
"425890","Wilko Chevron Shower Curtain Black","Wilko","Shower Curtains",NA,NA,"180cm x180cm",NA,NA,NA,NA,NA,NA,"Painted Paper",0.93
"425891","Wilko Chevron Shower Curtain Aqua","Wilko","Shower Curtains",NA,NA,"180cm x180cm",NA,NA,NA,NA,NA,NA,"Painted Paper",0.93
"425892","Wilko Chevron Shower Curtain Purple","Wilko","Shower Curtains",NA,NA,"180cm x180cm",NA,NA,NA,NA,NA,NA,"Painted Paper",0.93
"425893","Wilko Pineapple Shower Curtain","Wilko","Shower Curtains",NA,NA,"180cm x180cm",NA,NA,NA,NA,NA,NA,"Painted Paper",0.93
"425894","Wilko Shower Curtain Metalic Plum","Wilko","Shower Curtains",NA,NA,"180cm x180cm",NA,NA,NA,NA,NA,NA,"Dye",0.93
"425897","Wilko Pop up  Bin Black","Wilko","Pop Up Bins",NA,NA,"34cm x 45cm","Polyester","1",NA,NA,NA,NA,NA,0.9
"425898","Wilko Pop up Bin White","Wilko","Pop Up Bins",NA,NA,"34cm x 45cm","Polyester","1",NA,NA,NA,NA,NA,0.9
"425899","Wilko Pop up Bin Aqua","Wilko","Pop Up Bins",NA,NA,"34cm x 45cm","Polyester","1",NA,NA,NA,NA,NA,0.9
"425903","Wilko Satin Stripe Shower Curtain White","Wilko","Shower Curtains",NA,NA,"180cm x180cm",NA,NA,NA,NA,NA,NA,"Dye",0.93
"425904","Wilko Satin Stripe Shower Curtain Black","Wilko","Shower Curtains",NA,NA,"180cm x180cm",NA,NA,NA,NA,NA,NA,"Dye",0.93
"425908","Wilko Satin Stripe Shower Curtain Aqua","Wilko","Shower Curtains",NA,NA,"180cm x180cm",NA,NA,NA,NA,NA,NA,"Dye",0.93
"425909","Wilko Clear Jewel Over Door Hook","Wilko","Door Hooks",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.86
"425938","Wilko Memory Foam Bath Mat Pebble Cream","Wilko","Bath Mats",NA,"Wash at 30","61x43cm","100% polyester",NA,NA,NA,NA,NA,NA,0.941666666666667
"425939","Wilko Memory Foam Bath Mat Pebble White","Wilko","Bath Mats",NA,"Wash at 30","61x43cm","100% polyester",NA,NA,NA,NA,NA,NA,0.941666666666667
"426362","Wilko Mosaic Waste Bin Silver","Wilko","Waste Paper Bin",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.825
"426378","Wilko Toilet Seat Oakwood Veneer","Wilko","Toilet Seats",NA,NA,"45.5cm x 37cm x 5.5cm","MDF and Zinc Alloy","1",NA,NA,NA,NA,NA,0.941666666666667
"426379","Wilko Foot Massage Bath Mat White","Wilko","Bath Mats",NA,NA,"71cm x 41cm","PVC",NA,NA,NA,NA,NA,NA,0.883333333333333
"426380","Wilko Comfort Bath Mat White","Wilko","Bath Mats",NA,NA,"69cm x 40cm","PVC",NA,NA,NA,NA,NA,NA,0.883333333333333
"426418","Wilko Sparkle Mirror Plaque","Wilko","Wall Signs",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.86
"426428","Wilko Bathroom Caddy Aqua and White","Wilko","Storage Caddy",NA,NA,"24cm x 16.5cm x 10cm","ABS Plastic","1",NA,NA,NA,NA,NA,0.9
"426640","Wilko Nautical Stripe Laundry Bin","Wilko","Laundry Baskets",NA,NA,"33cm x4 3cm x 60cm","Polyester Cotton","1",NA,NA,NA,NA,NA,0.9
"426641","Wilko Nautical Stripe 4 Drawer Unit","Wilko","Storage Drawers",NA,NA,"27.5cm x 26cm x 90cm","Polyester Cotton","1",NA,NA,NA,NA,NA,0.9
"426642","Wilko Come Out In the Wash Laundry Bag","Wilko","Laundry Baskets",NA,NA,"34cm x 36cm x 48cm","Polyester Cotton","1",NA,NA,NA,NA,NA,0.9
"426704","Wilko Bath Mat Aqua","Wilko","Bath Mats",NA,"Wash at 40","50x70cm","100% Cotton",NA,NA,NA,NA,NA,NA,0.941666666666667
"426705","Wilko Sparkle Bath Mat Plum","Wilko","Bath Mats",NA,"Wash at 40","50x70cm","100% Cotton",NA,NA,NA,NA,NA,NA,0.941666666666667
"427760","Wilko Blue And White Striped Laundry Bag","Wilko","Laundry Baskets",NA,NA,"34cmx36cmx48cm","Polyester Cotton","1",NA,NA,NA,NA,NA,0.9
"427898","Wilko Sparkle Hand Towel Plum","Wilko","Hand Towels",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"428212","Wilko Bathroom Cabinet Single Mirror Door","Wilko","Bathroom Cabinets",NA,NA,"30cm x 12cm x 50cm","STAINLESS STEEL430,GLASS","1",NA,"No",NA,NA,NA,0.95
"428213","Wilko Bathroom Double Cabinet Mirror Door","Wilko","Bathroom Cabinets",NA,NA,"45cm x 13cm x 45cm","STAINLESS STEEL430,GLASS","1",NA,"No",NA,NA,NA,0.95
"451426","Wilko Coastal Shower Curtain Blue","Wilko","Shower Curtains",NA,NA,"180cm x 180cm x 0.1mm",NA,NA,NA,NA,NA,NA,NA,0.86
"451427","Wilko Coastal Plaque","Wilko","Wall Signs",NA,NA,"1 x 23 x 30.5cm",NA,"1",NA,NA,NA,NA,NA,0.93
"451430","Wilko Coastal Beach Hut Storage","Wilko","Bathroom Ornament",NA,NA,"12 x 10 x 12cm",NA,"1",NA,NA,NA,NA,NA,0.93
"451431","Wilko Coastal Soap Dispenser","Wilko","Soap Dispenser",NA,NA,"L7.5 x W7.5 x H15 (CM)",NA,"1",NA,NA,NA,NA,NA,0.93
"451432","Wilko Coastal Soap Dish","Wilko","Soap Dish",NA,NA,"L11 x W11 x H2.5 (CM)",NA,"1",NA,NA,NA,NA,NA,0.93
"451433","Wilko Coastal Tumbler","Wilko","Tumblers",NA,NA,"L7.8 x W7.8 x H9.5 (CM)",NA,"1",NA,NA,NA,NA,NA,0.93
"451434","Wilko Stone Heart Light Pull","Wilko","Light Pulls",NA,NA,"L2 x W4.7 x H134 (CM)",NA,"1",NA,NA,NA,NA,NA,0.93
"451435","Wilko Stone Hearts Set of 3","Wilko","Bathroom Ornament",NA,NA,"L2 x W7.2 x H8 (CM) per heart",NA,"3",NA,NA,NA,NA,NA,0.93
"451438","Wilko Coastal Candle Blue","Wilko","Candles",NA,NA,"5cm x 8cm",NA,"1",NA,NA,NA,NA,NA,0.93
"451439","Wilko Laundry Bag Light Blue Stripes","Wilko","Laundry Bags",NA,NA,"1.0 x 41 x 65cm","Paperloom 60% Polyester 40%",NA,NA,NA,NA,NA,NA,0.883333333333333
"451440","Wilko Coastal Toilet Seat","Wilko","Toilet Seats",NA,NA,"45.5cm x 36.6cm x 5.2cm",NA,"1",NA,NA,NA,NA,NA,0.93
"451441","Wilko Symmetry Shower Curtain Aqua","Wilko","Shower Curtains",NA,NA,"180cm x 180cm x 0.1mm",NA,NA,NA,NA,NA,NA,NA,0.86
"451442","Wilko Love Your Bath Plaque Aqua","Wilko","Wall Signs",NA,NA,"0.8 x 11 x 25.5cm",NA,"1",NA,NA,NA,NA,NA,0.93
"451443","Wilko Soft Touch Toothbrush Holder Fresh Aqua","Wilko","Tumblers",NA,NA,"L5.2 x W7.6 x H9.5 (CM)",NA,"1",NA,NA,NA,NA,NA,0.93
"451444","Wilko Soft Touch Soap Dispenser Fresh Aqua","Wilko","Soap Dispenser",NA,NA,"L5.2 x W7.6 x H15.8 (CM)",NA,"1",NA,NA,NA,NA,NA,0.93
"451445","Wilko Soft Touch Toothbrush Holder White","Wilko","Tumblers",NA,NA,"L5.2 x W7.6 x H9.5 (CM)",NA,"1",NA,NA,NA,NA,NA,0.93
"451446","Wilko Soft Touch Soap Dispenser White","Wilko","Soap Dispenser",NA,NA,"L5.2 x W7.6 x H15.8 (CM)",NA,"1",NA,NA,NA,NA,NA,0.93
"451447","Wilko Symmetry Bath Mat","Wilko","Bath Mats",NA,NA,"50 x 70cm","Pile - 100% Cotton",NA,NA,NA,NA,NA,NA,0.883333333333333
"451449","Wilko Love Your Bath Plaque Grey","Wilko","Wall Signs",NA,NA,"0.8 x 11 x 25.5cm",NA,"1",NA,NA,NA,NA,NA,0.93
"451450","Wilko Grey Stripes Shower Curtain","Wilko","Shower Curtains",NA,NA,"180cm x 180cm x 0.1mm",NA,NA,NA,NA,NA,NA,NA,0.86
"451451","Wilko Soft Touch Soap Dispenser Grey","Wilko","Soap Dispenser",NA,NA,"L5.2 x W7.6 x H15.8 (CM)",NA,"1",NA,NA,NA,NA,NA,0.93
"451452","Wilko Soft Touch Toothbrush Holder Grey","Wilko","Tumblers",NA,NA,"L5.2 x W7.6 x H9.5 (CM)",NA,"1",NA,NA,NA,NA,NA,0.93
"451453","Wilko Soft Touch Soap Dispenser Black","Wilko","Soap Dispenser",NA,NA,"L5.2 x W7.6 x H15.8 (CM)",NA,"1",NA,NA,NA,NA,NA,0.93
"451454","Wilko Soft Touch Toothbrush Holder Black","Wilko","Tumblers",NA,NA,"L5.2 x W7.6 x H9.5 (CM)",NA,"1",NA,NA,NA,NA,NA,0.93
"451455","Wilko Plastic Caddy Black","Wilko","Bathroom Caddy",NA,NA,"24cm x 16.5cm x 10cm","ABS Plastic 100%","1","3L",NA,NA,NA,NA,0.95
"451456","Wilko Plastic Caddy Grey","Wilko","Bathroom Caddy",NA,NA,"24cm x 16.5cm x 10cm","ABS Plastic 100%","1","3L",NA,NA,NA,NA,0.95
"451459","Wilko Suction Mirror","Wilko","Bathroom Mirrors",NA,NA,"L1.3 x W15 x H20 (CM)",NA,"1",NA,NA,NA,NA,NA,0.93
"451461","Wilko Baskets Set of 2","Wilko","Bathroom Caddy",NA,NA,"17.5 x 30 x cm","Water Hyacinth 100%","2",NA,NA,NA,NA,NA,0.9
"452662","Wilko Over Door Bath Storage","Wilko","Over Door Storage",NA,NA,"25cm x18cm x65cm","Iron wire","1",NA,NA,NA,NA,NA,0.9
"453199","Wilko Coastal Bath Mat","Wilko","Bath Mats",NA,NA,"50 x 70cm","Pile - 100% Cotton",NA,NA,NA,NA,NA,NA,0.883333333333333
"453200","Wilko Resin Sparkle Soap Dispenser","Wilko","Soap Dispenser",NA,NA,"L8 x W8 x H17.5 (CM)",NA,"1",NA,NA,NA,NA,NA,0.93
"453201","Wilko Resin Sparkle Tumbler","Wilko","Tumblers",NA,NA,"L8 x W8 x H11 (CM)",NA,"1",NA,NA,NA,NA,NA,0.93
"83998","Wilko Shower Curtain PVC White","Wilko","Shower Curtains",NA,NA,"Single",NA,NA,NA,NA,NA,NA,NA,0.86
"143632","Wilko Functional Zinc Chloride Batteries PP3 9VSingle","Wilko Functional","9v",NA,NA,"9V",NA,NA,NA,NA,"9V",NA,NA,0.93
"143633","Wilko Functional Zinc  Batteries PJ996 6V Single","Wilko Functional","6v",NA,NA,"PJ996",NA,NA,NA,NA,"6V",NA,NA,0.93
"182571","Wilko Functional Bath Shower Spray","Wilko Functional","Shower Heads",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"273035","Wilko Functional Mechanical Bathroom Scales","Wilko Functional","Bathroom Scales","White",NA,"Single",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"310208","Wilko Functional Toilet Seat","Wilko Functional","Toilet Seats","White",NA,"Single",NA,"1",NA,NA,NA,NA,NA,0.941666666666667
"310377","Wilko Waste Bin Opaque Plastic","Wilko Functional","Bathroom Bin","Clear",NA,"Single",NA,"1",NA,NA,NA,NA,NA,0.891666666666667
