"Article","Web Description","Brand","Type","Size","Material","DQ Score"
"342713","ABRU Heavy Duty 2 Step and Stool Grey","Abru","Step Ladders","H:90xW:49xD:5cm",NA,0.9125
"342714","ABRU Work Platform Handy Silver Effect 0.5m x 0.69x 0.3m","Abru","Platforms","H:50xW:69xD:30cm",NA,0.9125
"ab00002","Abru 10Way Combination Step Ladder","Abru","Multi Purpose Ladders",NA,"Aluminium",0.8625
"ab00003","Abru 5Way Combination Ladder and Platform","Abru","Multi Purpose Ladders",NA,"Aluminium",0.8625
"ab00005","Abru Loft Ladder Access Kit Wood","Abru","Loft Ladders",NA,"Timber",0.8625
"ab00006","Abru Triple Extension Ladder Aluminium","Abru","Extension Ladders",NA,"Aluminium",0.8625
"ab00007","Abru 2 Tread Stepstool Chrome","Abru","Step Ladders",NA,"Steel",0.8625
"ab00008","Abru Handy Work Platform Aluminium","Abru","Platforms",NA,"Aluminium",0.9125
"ab00010","Abru Triple Extension Ladder Aluminium","Abru","Extension Ladders",NA,"Aluminium",0.8625
"ab00011","Abru Step Ezee 2 Step Stepstool","Abru","Step Ladders",NA,"Steel",0.8625
"ab00012","Abru 2 Step Large Stepstool","Abru","Step Ladders",NA,"Steel",0.8625
"ab00013","Abru 5 Tread High Handrail Stepladder","Abru","Step Ladders",NA,"Aluminium",0.8625
"ab00015","Abru Maxi Work Platform","Abru","Platforms",NA,"Aluminium",0.9125
"ab00016","Abru 3 Way Combination ladder with Tray","Abru","Combination Ladder",NA,"Aluminium",0.8625
"ab00017","Abru Easy Stow 3  Section Loft Ladder","Abru","Loft Ladders",NA,"Aluminium",0.8625
"ab00018","Abru Easy Stow 3  Section Loft Ladder","Abru","Loft Ladders",NA,"Aluminium",0.8625
