"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Size","Assembly","DQ Score"
"453163","Maya Table Lamp Mirror Crackle and Chrome EffectBase","Lighting and Interiors Group","Table Lamps",NA,NA,"1","Overall height 57cm, width at widest point 41cm","No",0.85
"453168","Nicholas Table Lamp Antique Brass","Lighting and Interiors Group","Table Lamps",NA,NA,"1","Overall height 57.5cm, width at widest point 35cm","No",0.85
"453174","Medina Touch Table Lamp Hammered ChromeEffect Finish","Lighting and Interiors Group","Table Lamps",NA,NA,"1","Overall height 45cm, width at widest point 30cm","No",0.85
"453176","Aslan Table Lamp Blue and White","Lighting and Interiors Group","Table Lamps",NA,NA,"1","Overall height 68.5cm, width at widest point 38cm","No",0.85
"453177","Thistle Table Lamp Sage Green","Lighting and Interiors Group","Table Lamps",NA,NA,"1","Overall height 68.5cm, width at widest point 40.5c","No",0.85
"325660","Wilko Ceramic Table Lamp Black","Wilko","Table Lamps","Black","Mains",NA,"Single","No",0.95
"325661","Wilko Ceramic Table Lamp Duck Egg","Wilko","Table Lamps","Blue","Mains",NA,"Single","No",0.95
"325662","Wilko Ceramic Lamp Chilli Pepper","Wilko","Table Lamps","Red","Mains",NA,"Single","No",0.95
"325663","Wilko Ceramic Table Lamp Magenta","Wilko","Table Lamps","Red","Mains",NA,"Single","No",0.95
"325667","Wilko Desk Lamp White","Wilko","Table Lamps","White","Mains",NA,"Single","No",0.95
"325668","Wilko Desk Lamp Black","Wilko","Table Lamps","Black","Mains",NA,"Single","No",0.95
"325669","Wilko Desk Lamp Grey","Wilko","Table Lamps","Grey","Mains",NA,"Single","No",0.95
"325671","Wilko Desk Lamp Chilli Pepper","Wilko","Table Lamps","Red","Mains",NA,"Single","No",0.95
"325701","Wilko Pearl Heart Lamp White","Wilko","Table Lamps","White","Mains",NA,"Single","No",0.95
"325714","Wilko Sweetie Jar Lamp Champagne","Wilko","Table Lamps",NA,"Mains","1","Single","No",0.95
"325716","Wilko Dreamweave Lantern Cream","Wilko","Table Lamps","Cream","Mains",NA,"Single","No",0.95
"325724","Wilko Task Angle Lamp Black","Wilko","Table Lamps","Black","Mains",NA,"Single","No",0.95
"341342","Wilko Atole Lamp Purple","Wilko","Table Lamps","Purple",NA,"1",NA,"No",0.9
"341425","Wilko Allium Laser Cut Lamp Cream","Wilko","Table Lamps","Cream",NA,"1",NA,"No",0.9
"407003","Wilko Ceramic House Lamp","Wilko","Table Lamps",NA,NA,"1",NA,"No",0.85
"407060","Wilko Mosaic Table Lamp Black","Wilko","Table Lamps","Black",NA,"1",NA,"No",0.9
"407069","Wilko Cut Glass Table Lamp Large Clear","Wilko","Table Lamps",NA,NA,"1",NA,"No",0.85
"409231","Wilko Metal Table Lamp Gun Metal","Wilko","Table Lamps",NA,NA,"1",NA,"No",0.85
"413912","Wilko Beaded Global Plated Lamp Bronze","Wilko","Table Lamps",NA,NA,"1",NA,"No",0.85
"413977","Wilko Floral Laser Table Lamp Duck Egg","Wilko","Table Lamps",NA,"SES Candle 42W Eco Halogen / 11W Energy Candle","1",NA,"No",0.9
"414372","Wilko Atole Table Lamp Parchment","Wilko","Table Lamps",NA,NA,"1",NA,"No",0.85
"414373","Wilko Atole Table Lamp Light Grey","Wilko","Table Lamps",NA,NA,"1",NA,"No",0.85
"423269","Wilko Glass Balls Table Lamp Cool Grey","Wilko","Table Lamps",NA,"60W","1","30x30x57cm","No",0.95
"423270","Wilko Glass Balls Table Lamp Parchment","Wilko","Table Lamps",NA,"60W","1","30x30x57cm","No",0.95
"423273","Wilko Glass Table Lamp Champagne Gold","Wilko","Table Lamps",NA,"60W","1","30x30x57cm","No",0.95
"427922","Wilko Bottle Table Lamp White","Wilko","Table Lamps",NA,NA,"1",NA,"No",0.85
"436427","Wilko Milan Table Lamp Grey","Wilko","Table Lamps",NA,NA,"1","39.5cm Height, 16cm Diameter","No",0.9
"436428","Wilko Milan Table Lamp Parchment","Wilko","Table Lamps",NA,NA,"1","39.5cm Height, 16cm Diameter","No",0.9
"436429","Wilko Milan Table Lamp Plum","Wilko","Table Lamps",NA,NA,"1","39.5cm Height, 16cm Diameter","No",0.9
"436430","Wilko Milan Table Lamp Teal","Wilko","Table Lamps",NA,NA,"1","39.5cm Height, 16cm Diameter","No",0.9
"436431","Wilko Milan Table Lamp Black","Wilko","Table Lamps",NA,NA,"1","39.5cm Height, 16cm Diameter","No",0.9
"436432","Wilko Milan Table Lamp White","Wilko","Table Lamps",NA,NA,"1","39.5cm Height, 16cm Diameter","No",0.9
"436433","Wilko Copper Effect Table Lamp","Wilko","Table Lamps",NA,NA,"1","37.5cm","No",0.9
"436447","Wilko Black & White Table Lamp","Wilko","Table Lamps",NA,NA,"1","Height 68cm X 37cm Diameter","No",0.9
"436824","Wilko Table Lamp Rose","Wilko","Table Lamps",NA,NA,"1",NA,"Yes",0.85
"436825","Wilko Laser Cut Table Lamp Grey","Wilko","Table Lamps",NA,NA,"1",NA,"No",0.85
