"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Assembly","Material","DQ Score"
"454616","Glitterati Sequin Cushion Silver 30 x 30cm","Arthouse","Sequin Cushions",NA,"1","30 x 30cm",NA,NA,0.8
"454617","Glitterati Sequin Cushion Gold 45 x 45cm","Arthouse","Sequin Cushions",NA,"1","45 x 45cm",NA,NA,0.8
"454618","Glitterati Sequin Cushion Midnight Blue 45 x 45cm","Arthouse","Sequin Cushions",NA,"1","45 x 45cm",NA,NA,0.8
"454620","Glitterati Sequin Cushion Black 43 x 43cm","Arthouse","Sequin Cushions",NA,"1","43 x 43cm",NA,NA,0.8
"454621","Glitterati Sequin Cushion Fuschia 43 x 43cm","Arthouse","Sequin Cushions",NA,"1","43 x 43cm",NA,NA,0.8
"454623","Glitterati Sequin Cushion Red 43 x 43cm","Arthouse","Sequin Cushions",NA,"1","43 x 43cm",NA,NA,0.8
"427957","Cole and Mason Style Salt and Pepper Set","Cole & Mason","Salt and Pepper Sets",NA,"1",NA,NA,NA,0.81
"427958","Cole and Mason Beehive Shaker Set","Cole & Mason","Salt and Pepper Sets",NA,"1",NA,NA,NA,0.81
"427959","Cole and Mason Capstan Salt and Pepper Set","Cole & Mason","Salt and Pepper Sets",NA,"1",NA,NA,NA,0.81
"227128","Wilko Utensil Caddy Chrome Plated","Wilko","Utensil Holder","Silver","1",NA,NA,"Chrome Plated",0.9
"242492","Wilko Cutlery Tray Chrome Plated","Wilko","Cutlery Trays","Silver","1",NA,NA,NA,0.93
"262784","Wilko Pestle and Mortar Natural Granite","Wilko","Pestle and Mortar","Grey","1",NA,NA,NA,0.883333333333333
"262787","Wilko Salt and Pepper Mill Acrylic and Stainless Steel","Wilko","Salt and Pepper Pots","Silver","1",NA,NA,NA,0.93
"262788","Wilko Salt and Pepper Mill Acrylic","Wilko","Salt and Pepper Pots","Clear","1 Pair",NA,NA,NA,0.93
"341194","Wilko Faux Mongolian Cushion Grey 43 x 43cm","Wilko","Mongolian Cushion","Grey",NA,"43x43cm","No",NA,0.941666666666667
"409519","Wilko Jumbo Cushion Grey 55 x 55cm","Wilko","Plain Cushion","Grey",NA,NA,"No",NA,0.883333333333333
"418555","Wilko Faux Mongolian Mink Cushion 43 x 43cm","Wilko","Mongolian Cushion","Brown",NA,"43x43cm","No",NA,0.941666666666667
"418556","Wilko Faux Mongolian Duck Egg 43 x 43cm","Wilko","Mongolian Cushion",NA,NA,"43x43cm","No",NA,0.883333333333333
