"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Model Number","DQ Score"
"DIY","TOO","342508","Black and Decker Workbench Foldable with ClampingAction","Black & Decker",NA,NA,"1",NA,NA,NA,NA,0.8625
"DIY","TOO","345549","Black and Decker Hammer Drill In Kitbox 500W","Black & Decker",NA,NA,"1",NA,NA,NA,NA,0.81
"DIY","TOO","345557","Black and Decker Mouse Sander and Kitbag15 Accessories","Black & Decker",NA,NA,"1",NA,"No",NA,NA,0.6
"DIY","TOO","345559","Black and Decker Angle Grinder 5 Disc 750W 115mm","Black & Decker",NA,NA,"1",NA,NA,NA,NA,0.81
"DIY","TOO","427716","Black and Decker Cordless Lithium Screwdriver 3.6V","Black & Decker",NA,NA,"1","PLASTIC & STEEL","No","3.6v Lithium Ion","CS3651LC-GB",0.55
"DIY","TOO","427717","Black and Decker  Random Orbital Sander 125mm","Black & Decker",NA,NA,"1",NA,NA,NA,NA,0.76
"DIY","TOO","427718","Black and Decker Compact Jigsaw and Blade 400W","Black & Decker",NA,NA,NA,NA,NA,"400w, 230v Jigsaw","KS501-GB",0.83
"DIY","TOO","449823","Black and Decker Piranha Orbital Sanding Sheets 5pk","Black & Decker",NA,"Grey","5pk",NA,NA,NA,NA,0.88
"DIY","TOO","449824","Black and Decker Piranha Mouse Sanding Sheets 5pk","Black & Decker",NA,"Grey","5pk",NA,NA,NA,NA,0.88
"DIY","TOO","449825","Black and Decker Drill Bit Set 31 Piece","Black & Decker",NA,"Black","31pcs","Plastic and steel","No",NA,"A7233-XJ",0.6
"DIY","TOO","449826","Black and Decker Drill Driver Lithium Ion 18V","Black & Decker",NA,"Orange","1","Plastic and metals","No","18v Li Ion Drill","BDCDC18-GB",0.6
"DIY","TOO","449827","Black and Decker Fast Battery Charger Lithium Ion","Black & Decker",NA,"Orange","1","Plastic and metals","No","240v Charger","BDC1A-GB",0.55
"DIY","TOO","449828","Black and Decker Battery 2.0AH Lithium Ion 18V","Black & Decker",NA,"Orange","1","Plastic and metals","No",NA,"BL2018-XJ",0.6
"DIY","TOO","449829","Black and Decker Impact Driver - Bare Unit 18V","Black & Decker",NA,NA,NA,NA,NA,NA,"BDCIM18N-XJ",0.76
"DIY","TOO","451101","Black and Decker Cordless Hammer Drill Lithium lon18V","Black & Decker",NA,NA,NA,NA,NA,"18V Li-Ion Drill","BDCH188N-XJ",0.88
"HOU","SWE","429071","Black and Decker Flexi Dustbuster Cordless HandHeld Vacuum Cleaner 10.8v","Black & Decker","(H)25.0 x (W)30.0 x (D)16.0",NA,NA,NA,NA,NA,"PD1020L-GB",0.833333333333333
"HOU","SWE","454070","Black & Decker Dustbuster Cordless Hand VacuumCleaner 5.4wh Lithium Ion 3.6V","Black & Decker",NA,NA,NA,NA,NA,"7.5 air watts 3.6v Li-Ion","NVB115W-GB",0.833333333333333
"HOU","SWE","454071","Black & Decker Dustbuster Cordless Bagless HandVacuum Wet and Dry Lithium Ion 7.2V","Black & Decker",NA,NA,NA,NA,NA,"7.2v","WDB215WA-GB",0.833333333333333
"HOU","SWE","454072","Black & Decker Stick Vac 2 in 1 28.8wh EPP 14.4V","Black & Decker",NA,"Grey",NA,NA,NA,"14.4V Lithium Ion","SVA420B-GB",0.891666666666667
"HOU","SWE","454073","Black & Decker Steam Mop 1300W","Black & Decker",NA,NA,"1","Plastic, Steel",NA,NA,NA,0.833333333333333
"HOU","SWE","454074","Black & Decker Steam Mop 7 in 1 Gen 1300W andAccessories","Black & Decker",NA,NA,"1",NA,NA,NA,NA,0.775
"HOU","SWE","454075","Black & Decker SteaMitt Glove Accessory Pack","Black & Decker",NA,NA,"1","Rubber and Microfibre",NA,NA,NA,0.883333333333333
"HOU","SWE","454076","Black and Decker SteaMitt Replacement Pads 2pk","Black & Decker",NA,NA,"2 Pack","Microfibre",NA,NA,NA,0.783333333333333
"HOU","SWE","454077","Black & Decker Steam Mop Replacement Pads 2pk","Black & Decker",NA,NA,"2 Pack","Microfibre",NA,NA,NA,0.833333333333333
