"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Assembly","Age","DQ Score"
"TOI","MED","100637","Nurofen Ibuprofen Tablets 12pk","Nurofen",NA,"12pk",NA,NA,0.9125
"TOI","MED","214973","Nurofen Ibuprofen 8pk","Nurofen","8 Pack","8pk",NA,NA,1
"TOI","MED","260334","Nurofen Express Ibuprofen 259mg 12pk","Nurofen","256mg","12pk",NA,NA,1
"TOI","MED","280373","Nurofen Ibuprofen Express 16pk","Nurofen","200mg","16pk",NA,NA,1
"TOI","MED","280385","Nurofen Ibuprofen Express Liquid 10pk","Nurofen","200mg","10pk","No","12 Years",0.65
"TOI","MED","281092","Nurofen for Children Strawberry 100ml","Nurofen",NA,"1",NA,NA,0.9125
"TOI","MED","296559","Nurofen Ibuprofen 16pk","Nurofen",NA,"16pk",NA,NA,0.9125
"TOI","MED","296560","Nurofen Ibuprofen Express 16pk","Nurofen",NA,"16pk",NA,NA,0.9125
"TOI","MED","297481","Nurofen for Children Oral Suspension Strawberry100ml","Nurofen","100ml",NA,NA,NA,0.9125
"TOI","MED","305353","Nurofen Ibuprofen Express Tablets 256mg 16pk","Nurofen",NA,"16pk",NA,NA,0.9125
"TOI","MED","308728","Nurofen Ibuprofen 200mg 16pk","Nurofen","16 Pack","16pk",NA,NA,1
"TOI","MED","342565","Nurofen Cold and Flu Relief Tablets 16pk","Nurofen",NA,"16pk",NA,NA,0.9125
"TOI","MED","342567","Nurofen for Children Cold and Flu 100ml","Nurofen","100ml","1",NA,NA,1
"TOI","MED","407665","Nurofen Migraine 12pk","Nurofen",NA,"12pk",NA,NA,0.9125
"TOI","MED","423967","Nurofen Sinus Pain Relief Tablets 16pk","Nurofen",NA,"1",NA,NA,0.9125
"TOI","MED","423968","Nurofen Blocked Nose and Sinus Relief Tablets16pk","Nurofen",NA,"1",NA,NA,0.9125
"TOI","MED","430551","Nurofen Joint and Back Tablets 16pk","Nurofen","256mg","16pk",NA,NA,1
"TOI","MED","430553","Nurofen Joint and Back Caps 16pk","Nurofen","200mg","16pk",NA,NA,1
"TOI","MED","453076","Nurofen Joint Back Relief Max 10% 40ml","Nurofen",NA,"1",NA,NA,0.9125
