"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","DQ Score"
"DEC","ADH","432835","Wilko Functional Super Glue Tubes 8 x 2g","Wilko Functional","8 x 2g",NA,"8pk",NA,NA,NA,NA,NA,NA,NA,1
"DEC","PAS","2784040","Paste Table with Hardboard Top","Wilko Functional","1 Pack",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.8
"DEC","PAS","343882","Wilko Functional Wallpaper Hanging Set 4pk","Wilko Functional","Assorted","Black","4pk",NA,NA,NA,NA,NA,NA,NA,0.9
"DEC","PRP","159223","Wilko Decorator Disposable Gloves Polythene One Size 25pk","Wilko Functional","OneSize",NA,"25pk","Polythene",NA,NA,NA,NA,NA,NA,0.85
"DEC","PRP","2702940","Wilko Decorators Sponge 14cm x 10cm x 3.5cm","Wilko Functional","14cmx10cmx3.5cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.8
"DEC","PRP","287561","Wilko Sandpaper Assorted Grades Pack x 10 sheets","Wilko Functional","23 x 14cm",NA,"10pk","Quartz Sand, Glue, Paper",NA,NA,NA,NA,NA,NA,0.85
"DEC","PRP","287952","Wilko General Purpose Wire Brush","Wilko Functional","1 Pack",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"DEC","PRP","309327","Wilko Decorating Tool Set","Wilko Functional",NA,"Black","3pk",NA,NA,NA,NA,NA,NA,NA,0.8
"DEC","PRP","343139","Wilko Functional Protection Roll 2 x 50m","Wilko Functional","2M x 50M",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.85
"DEC","PRP","343298","Wilko Functional Filling Knives","Wilko Functional",NA,"Yellow","3pk",NA,NA,NA,NA,NA,NA,NA,0.85
"DEC","PRP","343811","Wilko Polythene Dust Sheet 12x9ft","Wilko Functional","12x9ft",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.8
"DEC","ROL","287944","Wilko Functional Paintbrush 100mm/4in","Wilko Functional","100mm, 4in",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"DEC","ROL","343081","Wilko Functional Block Brush","Wilko Functional","3x12cm","Black","1",NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"DEC","ROL","343159","Wilko Func. Roller Tray Set 9In","Wilko Functional","9in","Black",NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333
"DEC","ROL","343160","Wilko Functional Brush Set 5pk","Wilko Functional","5 Pack",NA,"5pk",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DEC","ROL","343161","Wilko Functional Brush Set 3pk","Wilko Functional","3 Pack",NA,"3pk",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DEC","ROL","343187","Wilko Functional Mini Roller and Tray 4in","Wilko Functional","4in","Black",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DEC","TIL","157225","Wilko Decorator Interior Sealant All-Purpose White100ml","Wilko Functional","100ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8625
"DEC","TIL","78666","Wilko Decorator Interior Sealant All Purpose White300ml","Wilko Functional","300ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.95
"DEC","WAL","138819","Wilko Functional Lining Paper Wallcovering","Wilko Functional","10m x 0.52m","White","1",NA,NA,NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","246876","Wilko Wallpaper Embossed White 16276","Wilko Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
"DEC","WAL","246877","Wilko Wallpaper Embossed White 16277","Wilko Functional","10m x 0.52m","White",NA,NA,NA,NA,NA,NA,"5.2m²",NA,0.85
"DEC","WAL","344140","Wilko Best Lining Paper","Wilko Functional","10m x 0.52m","White",NA,NA,NA,NA,NA,NA,"5.2m²",NA,0.85
"DEC","WAL","345481","Wilko Functional Wallpaper Erin Black","Wilko Functional","10m x 0.53m","Black","1pk",NA,"No",NA,NA,NA,"5.33m²",NA,0.65
"DEC","WAL","345482","Wilko Functional Wallpaper Erin Neutral","Wilko Functional","10m x 0.53m","Cream","1",NA,"No",NA,NA,NA,"5.33m²",NA,0.65
"DEC","WAL","345483","Wilko Functional Wallpaper Erin Red","Wilko Functional","10m x 0.53m","Red","1",NA,"No",NA,NA,NA,"5.33m²",NA,0.65
"DEC","WAL","345484","Wilko Functional Wallpaper Erin Plum","Wilko Functional","10m x 0.53m","Purple","1",NA,"No",NA,NA,NA,"5.33m²",NA,0.65
"DEC","WAL","345485","Wilko Functional Wallpaper Erin Teal","Wilko Functional","10m x 0.53m","Green","1",NA,"No",NA,NA,NA,"5.33m²",NA,0.65
"DIS","BIN","193718","Wilko Swing Bin Liners 58 x76cm 50pk","Wilko Functional","585mmx760mm",NA,"50pk",NA,NA,NA,NA,NA,NA,NA,0.833333333333333
"DIS","BIN","332570","Wilko Functional Refuse Sacks 30pk","Wilko Functional",NA,NA,"30",NA,NA,NA,NA,NA,NA,NA,0.825
"DIS","BIN","332690","Wilko Functional Pedal Bin Liners 50pk","Wilko Functional","46cmx46cm",NA,"50pk",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIS","FOO","318979","Wilko Functional Wrapping Foil 20m x 29cm","Wilko Functional","290mmx20m",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.85
"DIS","FOO","332334","Wilko Functional Food Bags Medium 23 x 35cm 50pk","Wilko Functional","Medium",NA,"50pk",NA,NA,NA,NA,NA,NA,NA,0.85
"DIS","FOO","334768","Wilko Functional Wrapping Film 50m x 30cm","Wilko Functional","50mx300ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8
"DIS","TAB","203985","Wilko Functional Paper Tablecovers White 90 x90cm 4pk","Wilko Functional","90cmx90cm",NA,"4pk",NA,NA,NA,NA,NA,NA,NA,0.93
"DIS","TAB","331993","Wilko Functional Plastic Cups White 30pk","Wilko Functional","Small",NA,"30pk",NA,NA,NA,NA,NA,NA,NA,0.93
"DIS","TAB","332174","Wilko Functional Paper Bowls White 30pk","Wilko Functional","30 Pack","White","30pk",NA,NA,NA,NA,NA,NA,NA,1
"DIS","TAB","63821","Wilko Functional Napkins 1 Ply White 100pk","Wilko Functional","1ply",NA,"100pk",NA,NA,NA,NA,NA,NA,NA,0.93
"DIS","TIS","1593850","Wilko Functional Tissues 70 Sheets 2 Ply","Wilko Functional","Mansize",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DIS","TOI","351810","Wilko Functional Toilet Tissues White 6 Rolls190 Sheets 2 Ply","Wilko Functional",NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,0.9125
"DIS","TOW","351827","Wilko Functional Kitchen Towel White 4 Rolls200 Sheets 2 Ply","Wilko Functional","50 sheets per roll",NA,"4",NA,NA,NA,NA,NA,NA,NA,1
"DIY","BAT","143628","Wilko Functional Zinc Chloride Batteries D 1.5V2pk","Wilko Functional","D",NA,"2pk",NA,NA,NA,"1.5V",NA,NA,NA,1
"DIY","BAT","143629","Wilko Functional Zinc Chloride Batteries C 1.5V2pk","Wilko Functional","C",NA,"2pk",NA,NA,NA,"1.5V",NA,NA,NA,1
"DIY","BAT","143630","Wilko Functional Zinc Chloride Batteries AA 5V 4pk","Wilko Functional","AA",NA,"4pk",NA,NA,NA,"1.5V",NA,NA,NA,1
