"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Material","Assembly","Capacity","Age","DQ Score"
"KIT","HOM","318923","Muntons Spray Malt Medium 500g","Muntons","500g","1",NA,NA,NA,NA,0.93
"KIT","HOM","318924","Muntons Spray Malt Light 500g","Muntons","500g","1",NA,NA,NA,NA,0.93
"KIT","HOM","440533","Cheeky Chimp Amaretto Liqueur Starter KitMakes 6 x 750ml Bottles","Muntons","40 Pint","1","Plastic, Card, Metal, Malt, Cleaner Steriliser","No",NA,"18+",0.6
"KIT","HOM","440534","Cheeky Chimp Black Sambuca Liqueur Starter KitMakes 6 x 750ml Bottles","Muntons",NA,"1",NA,"No","9 pints",NA,0.6
"KIT","HOM","440535","Cheeky Chimp Amaretto Refill KitMakes 6 x 750ml Bottles","Muntons",NA,"1",NA,"No",NA,NA,0.6
"KIT","HOM","440536","Cheeky Chimp Coconut Rum Refill KitMakes 6 x 750ml Bottles","Muntons","1.7kg","1",NA,"No",NA,"18+",0.6
"KIT","HOM","443334","Courage Directors Brewing KitMakes 36 Pints","Muntons","3kg","1",NA,NA,NA,NA,0.88
"KIT","HOM","453141","Muntons Premium Cellar Red Wine Kit 6.8kg","Muntons","6.8kg","1",NA,NA,NA,NA,0.93
"KIT","HOM","453142","Muntons Premium Cellar White Wine Kit 6.8kg","Muntons","6.8kg","1",NA,NA,NA,NA,0.93
"KIT","HOM","453149","Gervin Recipe Booklet","Muntons","0.3 X 15 X 21cm","1","Paper","No",NA,NA,0.6
