"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Age","DQ Score"
"SBK","PAR","441573","Unique Handclapper Party Favours 4pk","Unique Party","4cm x 15cm x 17.5cm","Multi","4",NA,NA,NA,0.95
"SBK","PAR","441574","Unique Water Pistol Party Favours 4pk","Unique Party","8cm x 6cm x 2cm","Multi","4",NA,NA,NA,0.95
"SBK","PAR","441576","Unique Princess Bubble Wand Party Favours 4pk","Unique Party","42 x 5 x 2.5cm including the string","Multi","4",NA,NA,NA,0.95
"SBK","PAR","441577","Unique Dinosaur Party Favours 4pk","Unique Party","7cm x 7cm x 2cm","Multi","4",NA,NA,NA,0.95
"SBK","PAR","441578","Unique Foam Balls Party Favours 4pk","Unique Party","5cm x 5cm x 5cm","Multi","4",NA,NA,NA,0.95
"SBK","PAR","441580","Unique Crayons Party Favours 4pk","Unique Party","9cm x 0.7cm x 0.7cm","Multi","4",NA,NA,NA,0.95
"SBK","PAR","441581","Unique Chevron Happy Birthday Tableware Party Pack","Unique Party",NA,"Multi","33",NA,NA,NA,0.88
"SBK","PAR","441582","Unique Princess Tableware Party Party Pack","Unique Party",NA,"Multi","33",NA,NA,NA,0.88
"SBK","PAR","441583","Unique Football Tableware Party Pack","Unique Party",NA,"Multi","33",NA,NA,NA,0.88
"SBK","PAR","441585","Unique Tableware Party Pack Purple Chevron","Unique Party",NA,"Multi","33",NA,NA,NA,0.88
"SBK","PAR","441586","Unique Tableware Party Pack Teal Chevron","Unique Party",NA,"Multi","33",NA,NA,NA,0.88
"SBK","PAR","441587","Unique Tableware Party Pack Grey Chevron","Unique Party",NA,"Multi","33",NA,NA,NA,0.88
"SBK","PAR","441589","Unique Tableware Party Pack Gold","Unique Party",NA,"Multi","43",NA,NA,NA,0.88
"SBK","PAR","441590","Unique Tableware Party Pack Silver","Unique Party",NA,"Multi","43",NA,NA,NA,0.88
"SBK","PAR","441592","Unique Tableware Party Pack Black","Unique Party",NA,"Multi","43",NA,NA,NA,0.88
"SBK","PAR","441594","Unique Polka Dot Tableware Party Pack Powder Blue","Unique Party",NA,"Multi","33",NA,NA,NA,0.88
"SBK","PAR","441595","Unique Polka Dot Tableware Party Pack Pink","Unique Party",NA,"Multi","33",NA,NA,NA,0.88
"SBK","PAR","441596","Unique Polka Dot Tableware Party Pack Red","Unique Party",NA,"Multi","33",NA,NA,NA,0.88
"SBK","PAR","444686","Crepe Streamer 8ft Red","Unique Party","8ft","Red","1",NA,NA,NA,0.95
