"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"CLE","AIR","419544","Wilko Gel Pearl Cotton 100g","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"CLE","AIR","419545","Wilko Gel Pearl Lavender 100g","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"CLE","AIR","419546","Wilko Reed Diffuser Cotton","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"CLE","AIR","419547","Wilko Reed Diffuser Vanilla","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"CLE","AIR","419551","Wilko Liquid Wick Vanilla 75ml","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"CLE","AIR","419552","Wilko Liquid Wick Cotton 75ml","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"CLE","AIR","419553","Wilko Liquid Wick Lavender 75ml","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"CLE","AIR","419556","Wilko Plug In Starter Lavender","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"CLE","AIR","429887","Wilko Plug In Twin Refill Cotton","Wilko",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"CLE","AIR","429889","Wilko Plug-in Refills Lavender 20ml","Wilko","20ml",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"CLE","AIR","441178","Wilko Compact Premium AirSpray Vanilla240ml","Wilko","240ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"CLE","AIR","441179","Wilko Compact Premium Airspray Cotton240ml","Wilko","240ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"CLE","AIR","450202","Wilko Wax Melt Refill Pink Posies 4pk","Wilko","44g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"CLE","AIR","450203","Wilko Wax Melt Refill Orchid Delight 4pk","Wilko","44g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"CLE","AIR","450204","Wilko Wax Melt Refill Summer Fruits 5pk","Wilko","44g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"CLE","AIR","450205","Wilko Wax Melt Refill Rhubarb Sugar Melon 4pk","Wilko","44g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"CLE","AIR","450206","Wilko Wax Melt Refill Warming Spice 4pk","Wilko","44g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"CLE","AIR","450207","Wilko Wax Melt Refill Vanilla Pod 4pk","Wilko","44g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"CLE","AIR","450208","Wilko Wax Melt Refill Woodland Escape 4pk","Wilko","44g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"CLE","AIR","450209","Wilko Wax Melt Refill White Linen 4pk","Wilko","44g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"CLE","DIS","168721","Wilko Dishwasher Salt Granules 2kg","Wilko","2kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"CLE","DIS","274245","Wilko Dishwasher Cleaner 250ml","Wilko","250ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"CLE","DIS","333362","Wilko Dishwasher Tablets 3in1 30pk","Wilko",NA,NA,"30s",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"CLE","DIS","77545","Wilko Dishwasher Rinse Aid 500ml","Wilko","500ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"CLE","FUR","333091","Wilko Furniture Polish Aerosol Spray CherryBlossom and Tonka Bean 250ml","Wilko","250ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"CLE","FUR","439371","Wilko Multi-Purpose Wipes 30pk","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"CLE","FUR","439372","Wilko Leather Wipes 30pk","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"CLE","FUR","439382","Wilko Multi-Purpose PolishVanilla and Rose Blossom 250ml","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"CLE","LAU","168723","Wilko Laundry Water Softening Powder40 Washes","Wilko","1kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
