"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Material","Assembly","Model Number","DQ Score"
"DIY","TOO","247396","Stanley Retractable Knife","Stanley",NA,NA,NA,NA,NA,0.79
"DIY","TOO","247399","Stanley Screwdriver Multi Bit Ratchet","Stanley",NA,"1",NA,NA,NA,0.9125
"DIY","TOO","247400","Stanley Tape Measure Tylon 5m","Stanley","5m","1",NA,NA,NA,1
"DIY","TOO","247401","Stanley Tape Measure Tylon 8m","Stanley","8m",NA,NA,NA,NA,0.9125
"DIY","TOO","247405","Stanley Saw Heavy Duty 7TPI 500mm","Stanley","500mm",NA,NA,NA,NA,0.9125
"DIY","TOO","247406","Stanley Junior Hacksaw 152mm","Stanley","150mm",NA,NA,NA,NA,0.9125
"DIY","TOO","247407","Stanley Junior Hacksaw Blade 150mm 5pk","Stanley","150mm","5pk",NA,NA,NA,1
"DIY","TOO","247713","Stanley Plier Set 3 Piece","Stanley","150mm, 150mm, 250mm",NA,NA,"No",NA,0.65
"DIY","TOO","290119","Stanley Screwdriver Pocket 4 in 1","Stanley",NA,"1",NA,NA,NA,0.9125
"DIY","TOO","290120","Stanley Bit Set 7piece","Stanley","7Piece","7pcs",NA,NA,NA,0.93
"DIY","TOO","290121","Stanley Stud Sensor 100 STHT77403","Stanley",NA,"1",NA,NA,NA,0.9125
"DIY","TOO","290122","Stanley MaxSteel Vice Multi Angle 1-83-069","Stanley","75mm",NA,NA,NA,NA,0.9125
"DIY","TOO","290123","Stanley 20oz Fibreglass Curve Clawhammer","Stanley","20oz",NA,NA,NA,NA,0.9125
"DIY","TOO","290125","Stanley Staple Gun Light Duty","Stanley",NA,"1",NA,NA,NA,0.9125
"DIY","TOO","290126","Stanley Light Duty Staples 8mm Type 53 100pk","Stanley","8mm,","1000pk",NA,NA,NA,1
"DIY","TOO","342497","Stanley PowerLock Tape Measure Silver Effect 5m","Stanley","5m","1",NA,NA,NA,1
"DIY","TOO","342499","Stanley Titanium Coated Metal Shears","Stanley",NA,"1",NA,NA,NA,0.9125
"DIY","TOO","342500","Stanley Moulding Bar Black20.3cm","Stanley","8in",NA,NA,NA,NA,0.9125
"DIY","TOO","342501","Stanley Sharp Shooter MultiPurpose Staple Gun","Stanley",NA,"1",NA,NA,NA,0.9125
"DIY","TOO","342502","Stanley Staples Light Duty Type 53 600mm1000pk","Stanley",NA,"1000pk",NA,NA,NA,0.9125
"DIY","TOO","342503","Stanley Staples Light Duty Type 53 10mm1000pk","Stanley",NA,"1000pk",NA,NA,NA,0.9125
"DIY","TOO","342504","Stanley Saw Storage Mitre Box With Tenon Saw","Stanley",NA,"1","ABS Plastic","No",NA,0.65
"DIY","TOO","342506","Stanley 2pt Phillips Screwdriver Cushion Grip150mm","Stanley",NA,"1",NA,NA,NA,0.9125
"DIY","TOO","426244","Stanley 19in Tote and Organiser","Stanley",NA,"1","PLASTIC","No","STST1-70317",0.6
"DIY","TOO","426245","Stanley  Toolbox with Tray Organiser 19in","Stanley",NA,"1","PLASTIC","No","STST1-75520",0.6
"DIY","TOO","426246","Stanley Toolbox with Tray Organiser 16in","Stanley",NA,"1","PLASTIC","No","STST1-75517",0.6
"DIY","TOO","426247","Stanley Toolbox with Tray Organiser 12.5in","Stanley",NA,"1","PLASTIC","No","STST1-75514",0.6
"DIY","TOO","426248","Stanley Multibit Stubby Ratchet Scrwdriver","Stanley",NA,"1",NA,NA,NA,0.8625
