"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Size","Assembly","DQ Score"
"453164","Maya Floor Lamp Crackle","Lighting and Interiors Group","Floor Lamps",NA,NA,"1","Overall height 156.5cm, width at widest point 40cm","No",0.85
"453165","Vintage Floor Lamp Grey","Lighting and Interiors Group","Floor Lamps",NA,NA,"1","Overall height 167cm. Width and height adjustable","No",0.85
"453167","Vintage Floor Lamp Cream","Lighting and Interiors Group","Floor Lamps",NA,NA,"1","Overall height 167cm. Width and height adjustable","No",0.85
"453171","Grantham Floor Lamp Satin Nickel","Lighting and Interiors Group","Floor Lamps",NA,NA,"1","Overall height 158cm, width at widest point 45cm","No",0.85
"453172","Grantham Floor Lamp Antique Brass","Lighting and Interiors Group","Floor Lamps",NA,NA,"1","Overall height 158cm, width at widest point 45cm","No",0.85
"453173","Sven Floor Lamp Grey","Lighting and Interiors Group","Floor Lamps",NA,NA,"1","Overall height 156cm, adjustable width","No",0.85
"453178","Vienna Floor Lamp Satin Chrome Effect Base","Lighting and Interiors Group","Floor Lamps",NA,NA,"1","Overall height 167cm, width at widest point 41cm","No",0.85
"453179","Iris Floor Lamp Antique Brass","Lighting and Interiors Group","Floor Lamps",NA,NA,"1","Overall height 160cm, width at widest point 28cm","No",0.85
"453186","Acrylic Petal Floor Lamp White/Chrome","Lighting and Interiors Group","Floor Lamps",NA,NA,"1","Overall height 158cm, width at widest point 42cm","No",0.85
"436839","Wilko Paper Floor Lamp","Wilko Functional","Floor Lamps",NA,NA,"1",NA,"No",0.8
