"PSA_1","PSA_2","Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Assembly","Material","Power","Capacity","Coverage","DQ Score"
"PET","100","453914","Felight Cat Litter 20L","Bob Martin","Cat Litter",NA,"1","20L",NA,NA,NA,NA,NA,0.88
"PET","100","314225","Boredom Breaker Naturals Hay n Hide Small","Boredom Breaker","Tunnels and Hideaways",NA,NA,"Small",NA,NA,NA,NA,NA,0.86
"PET","100","335634","Boredom Breaker Naturals Himalayan Salt Lick Stone","Boredom Breaker","Salt Lick",NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"PET","100","335647","Boredom Breaker Naturals Sunflower and Camomile Seeds 140g","Boredom Breaker","Treats",NA,NA,"140g",NA,NA,NA,NA,NA,0.9125
"PET","100","335655","Boredom Breaker Naturals Carrot Woodroll","Boredom Breaker","Treats",NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"PET","100","335656","Boredom Breaker Naturals Parsley Bell","Boredom Breaker","Treats",NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"PET","100","335658","Boredom Breaker Naturals Apple Cracker Dari","Boredom Breaker","Treats",NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"PET","100","335662","Boredom Breaker Naturals Summerfield 100g","Boredom Breaker","Treats",NA,NA,"100g",NA,NA,NA,NA,NA,0.9125
"PET","100","314817","Burgess Adult Chicken 15kg","Burgess","Large Bagged Food",NA,NA,"15kg",NA,NA,NA,NA,NA,0.9125
"PET","100","328367","Burgess Sensitive Premium Hypoallergenic Puppy Complete Turkey and Rice 12.5kg","Burgess","Puppy Food",NA,NA,"12.5kg",NA,NA,NA,NA,NA,0.9125
"PET","100","328368","Burgess Sensitive Premium Hypoallergenic Adult Complete Lamb and Rice 12.5kg","Burgess","Large Bagged Food",NA,NA,"12.5kg",NA,NA,NA,NA,NA,0.9125
"PET","100","328369","Burgess Sensitive Premium Hypoallergenic Adult Complete Salmon and Rice 12.5kg","Burgess","Large Bagged Food",NA,NA,"12.5kg",NA,NA,NA,NA,NA,0.9125
"PET","100","420150","Catit Senses Drinking Fountain","Cat It","Drinking Fountain",NA,"1",NA,NA,NA,NA,NA,NA,0.81
"PET","100","420151","Catit Senses Water Softening Filter","Cat It","Water Filter",NA,"1",NA,NA,NA,NA,NA,NA,0.76
"PET","100","420220","Catit Senses Comfort Zone Bed","Cat It","Cat Bed",NA,"1",NA,NA,NA,NA,NA,NA,0.76
"PET","100","420221","Catit Play N Scratch Toy Green","Cat It","Scratching Posts",NA,"1",NA,NA,NA,NA,NA,NA,0.81
"PET","100","313616","Classic Pet Products Mini Carry Care Pet Carrier","Classic Pet Products","Pet Carriers",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","313621","Classic Pet Products Hamster Town","Classic Pet Products","Tunnels and Hideaways",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","313623","Aquarium Ornament Assorted Castles","Classic Pet Products","Ornaments",NA,NA,"9.2x6.5cm",NA,NA,NA,NA,NA,0.81
"PET","100","313624","Classic Pet Products Underwater Kingdom Aquarium Ornament Castle Ruin","Classic Pet Products","Ornaments",NA,"1","23cm",NA,NA,NA,NA,NA,0.93
"PET","100","313912","Classic Pet Products Underwater Kingdom Aquarium Ornament Starfish","Classic Pet Products","Ornaments",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","313915","Classic Aquarium Ornament Divers Helmet","Classic Pet Products","Ornaments",NA,"1","18cm",NA,NA,NA,NA,NA,0.88
"PET","100","313916","Classi Aquarium Ornament Assorted Bridges","Classic Pet Products","Ornaments",NA,"1","16cm",NA,NA,NA,NA,NA,0.88
"PET","100","313917","Classic Aquarium Ornament Arizona Rock Large","Classic Pet Products","Ornaments",NA,"1","20cm",NA,NA,NA,NA,NA,0.88
"PET","100","313919","Classic Aquarium Ornament Trees, Skull and Barrel","Classic Pet Products","Ornaments",NA,"1","20cm",NA,NA,NA,NA,NA,0.88
"PET","100","313920","Classic Aquarium Ornament Garden","Classic Pet Products","Ornaments",NA,"1","13cm",NA,NA,NA,NA,NA,0.88
"PET","100","313922","Classic Aquarium Ornament Crystal Ruin","Classic Pet Products","Ornaments",NA,"1","25cm",NA,NA,NA,NA,NA,0.88
"PET","100","313935","Classic for Small Pets Rustic Fun Hay Play Ball","Classic Pet Products","Activity Toys",NA,"1","Large",NA,NA,NA,NA,NA,0.88
"PET","100","334289","Aqua Ornament Pagode a Plants","Classic Pet Products","Ornaments",NA,"1",NA,NA,NA,NA,NA,NA,0.81
"PET","100","334290","Classic Pet Products Aquarium OrnamentStump Garden","Classic Pet Products","Ornaments",NA,"1","20cm",NA,NA,NA,NA,NA,0.93
"PET","100","334291","Classic Aquatics Aquarium Ornaments Rocky Ledge Multi-Coloured","Classic Pet Products","Ornaments",NA,"1",NA,NA,NA,NA,NA,NA,0.81
"PET","100","334292","Classic Aquatics Aquarium Ornaments Treasure Pot Multi-Coloured","Classic Pet Products","Ornaments",NA,"1",NA,NA,NA,NA,NA,NA,0.81
"PET","100","334293","Classic Aquatics Aquarium Ornaments Bonsai Mini Multi-Coloured","Classic Pet Products","Ornaments",NA,"1","Mini",NA,NA,NA,NA,NA,0.88
"PET","100","452649","Country Club Pet Bed/Cage Mat 70x100cm","Country Club","Mattresses","Multi","70 x 100cm",NA,NA,NA,NA,NA,NA,0.93
"PET","100","334093","Curver Pet Life Dry Pet Food Container 10L","Curver","Food Containers","Multi","1","4kg",NA,NA,NA,"4kg",NA,0.95
"PET","100","334098","Curver Pet Life Dry Pet Food Container 35L","Curver","Food Containers",NA,"1","12kg",NA,NA,NA,"12kg",NA,0.9
"PET","100","334099","Curver Pet Life Dry Pet Food Container 54L","Curver","Food Containers",NA,"1","10kg",NA,NA,NA,"20kg",NA,0.9
"PET","100","313809","Dog Life Dog Toy Teething Dumbell Rubber","Dog Life","Puppy Toys",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","313741","Elite Stingray 10 Underwater Filter 50L","Elite","Aeration, Pumps and Filters",NA,NA,"50L",NA,NA,NA,NA,NA,0.86
"PET","100","313745","Elite Stingray 15 Underwater Filter 75L","Elite","Aeration, Pumps and Filters",NA,NA,"75L",NA,NA,NA,NA,NA,0.86
"PET","100","313750","Elite Jet-Flo 100 Replacement Filter Foam 2pk","Elite","Aeration, Pumps and Filters",NA,"2pk",NA,NA,NA,NA,NA,NA,0.86
"PET","100","313752","Elite Stingray 10 Filter Cartridge with Carbon andZeolite","Elite","Aeration, Pumps and Filters",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","313754","Elite Stingray 15 Filter Cartridge with Carbon andZeolite","Elite","Aeration, Pumps and Filters",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","313756","Elite Stingray 10 Replacement Filter Foam","Elite","Aeration, Pumps and Filters",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","313765","Elite Submersible Aquarium Heater 100W","Elite","Heaters and Thermometers",NA,NA,"100W",NA,NA,NA,NA,NA,0.86
"PET","100","313770","Elite Submersible Aquarium Heater 200W","Elite","Heaters and Thermometers",NA,"1","200w",NA,NA,NA,NA,NA,0.93
"PET","100","313784","Elite Aqua Fizzzz Air Stone for Aquarium Use 3cm","Elite","Aeration, Pumps and Filters",NA,NA,"3cm",NA,NA,NA,NA,NA,0.86
"PET","100","313803","Elite Aqua Fizzzz Air Stone for Aquarium Use 2pk","Elite","Aeration, Pumps and Filters",NA,NA,NA,NA,NA,NA,NA,NA,0.79
"PET","100","313812","Elite Aqua Fizzzz Aquarium Longstone 10cm","Elite","Aeration, Pumps and Filters",NA,NA,"10cm",NA,NA,NA,NA,NA,0.86
"PET","100","313814","Elite Aqua Fizzzz Air Stone for Aquarium Use 15cm","Elite","Aeration, Pumps and Filters",NA,NA,"15cm",NA,NA,NA,NA,NA,0.86
"PET","100","313817","Elite Aqua Fizzzz Aquarium Longstone Airstone 30.5cm","Elite","Aeration, Pumps and Filters",NA,NA,"30cm",NA,NA,NA,NA,NA,0.86
"PET","100","313824","Elite Bubble Disk 3in (7.5cm)","Elite","Aeration, Pumps and Filters",NA,NA,"Small",NA,NA,NA,NA,NA,0.86
"PET","100","313829","Elite Bubble Disk 4in (10cm)","Elite","Aeration, Pumps and Filters",NA,"1","Medium",NA,NA,NA,NA,NA,0.93
"PET","100","313868","Elite Aquarium Airline Tubing 2m - 6.5 ft, 1.8 x 5mm","Elite","Aeration, Pumps and Filters",NA,NA,"2m",NA,NA,NA,NA,NA,0.86
"PET","100","313871","Elite Aquarium Check Valve","Elite","Aeration, Pumps and Filters",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","313875","Elite 2-Way Air Control Valve","Elite","Aeration, Pumps and Filters",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","314086","Elite Stingray 5 Underwater Filter","Elite","Aeration, Pumps and Filters",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","314326","Elite Stingray 5 Replacement Filter Foam","Elite","Aeration, Pumps and Filters",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","335663","Evolution Aqua Pure Pond Bomb","Evolution Aqua","Cleaning and Water Control",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"PET","100","314548","Felix As Good As It Looks Kitten Fish SelectionPouches Assorted 12 x 100g","Felix","Kitten Food 1-12 Months",NA,"12pk","100g",NA,NA,NA,NA,NA,0.93
"PET","100","313954","Glo Sun-Glo Daylight Aquarium Bulb T8 15W","Glo","Lighting",NA,"1","15w",NA,NA,NA,NA,NA,0.93
"PET","100","313956","Glo Sun-Glo Daylight Aquarium Bulb T8 20W","Glo","Lighting",NA,NA,"20w",NA,NA,NA,NA,NA,0.86
"PET","100","313962","Glo Sun-Glo Daylight Aquarium Bulb T8 25W","Glo","Lighting",NA,NA,"25w",NA,NA,NA,NA,NA,0.86
"PET","100","314543","Go-Cat Complete Kitten -1 Year with Chicken, Carrot and Milk Nuggets 2kg","Go Cat","Kitten Food 1-12 Months",NA,"1","2kg",NA,NA,NA,NA,NA,0.88
"PET","100","313735","Good Boy Doggy Dolittles Duck","Good Boy","Character Toys",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","313751","Good Boy Lob It! Space Lobber Giant","Good Boy","Throw and Fetch Toys",NA,NA,"Giant",NA,NA,NA,NA,NA,0.86
"PET","100","313766","Armitage Pet Care Floppy Moppy","Good Boy","Character Toys",NA,NA,"19.4x9.2cm",NA,NA,NA,NA,NA,0.81
"PET","100","313810","Good Boy Clean Green Dog Loo","Good Boy","Dog Toilet","Green","1",NA,NA,NA,NA,NA,NA,0.93
"PET","100","313763","Hagen Green-X Phosphate Remover 4g","Hagen","Cleaning and Water Control",NA,NA,"4g",NA,NA,NA,NA,NA,0.86
"PET","100","453408","HandiPOD Purple Antibacterial Hand SanitiserPOD and 40 Poop Bags","HandiPOD","Waste Bags",NA,NA,NA,NA,NA,NA,NA,NA,0.79
"PET","100","453410","HandiPOD Black Poop Bag Dispenser andAntibacterial Hand Sanitiser","HandiPOD","Waste Bags",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","453411","HandiPOD Hand Sanitiser and Two Rolls Refill Pack","HandiPOD","Waste Bags",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","453412","HandiPOD Poop Bag Refills Black 4pk","HandiPOD","Waste Bags",NA,"4",NA,NA,NA,NA,NA,NA,0.86
"PET","100","454280","Little Rascals Sock Monkey Puppy Toy","Happy Pet","Character Toys",NA,"1","31 x 13 x 7cm",NA,NA,NA,NA,NA,0.88
"PET","100","454281","Little Rascals Teething Bone Keys","Happy Pet","Character Toys",NA,"1","15x5x3cm",NA,NA,NA,NA,NA,0.88
"PET","100","454282","Nuts for Knots King Size Dog Rope Tugger","Happy Pet","Rope and Tug Toys",NA,"1","130x14x14cm",NA,NA,NA,NA,NA,0.88
"PET","100","454283","Happy Pet Vinyl Doughnuts Dog Toy","Happy Pet","Sweet Shop Toys",NA,"1","14cm",NA,NA,NA,NA,NA,0.93
"PET","100","454284","Happy Pet Gum Gum Figure of 8 Dog Toy","Happy Pet","Dental and Chew Toys",NA,"1","32x11x6cm",NA,NA,NA,NA,NA,0.93
"PET","100","454285","Happy Pet Egg Noggins Dog Toy","Happy Pet","Character Toys",NA,"1","13x10x8cm",NA,NA,NA,NA,NA,0.93
"PET","100","314867","Hills Science Plan Adult 1-6 Optimal Care with Tuna 2kg","Hills","Bagged Food",NA,NA,"2kg",NA,NA,NA,NA,NA,0.8625
"PET","100","314868","Hills Science Plan Kitten Healthy Development Chicken 2kg","Hills","Kitten Food 1-12 Months",NA,"1","2kg",NA,NA,NA,NA,NA,0.88
"PET","100","314869","Hills Science Plan Kitten Healthy Development Chicken 400g","Hills","Kitten Food 1-12 Months",NA,"1","400g",NA,NA,NA,NA,NA,0.88
"PET","100","314260","Iams Proactive Nutrition Puppy and Junior Small and Medium Breed Rich Roast Chicken 3kg","Iams","Puppy Food",NA,NA,"3kg",NA,NA,NA,NA,NA,0.9125
"PET","100","314831","Iams Proactive Nutrition Adult Large Rich in Succulent Roast Chicken 12kg","Iams","Large Bagged Food",NA,NA,"12kg",NA,NA,NA,NA,NA,0.9125
"PET","100","303747","Keep Well Poultry Tonic 250g","Keep Well","Food",NA,NA,"250g",NA,NA,NA,NA,NA,0.9125
"PET","100","334137","Kong Puppy Chewing Dog Toy Large","Kong","Puppy Toys",NA,NA,"Large",NA,NA,NA,NA,NA,0.9125
"PET","100","314102","Vinyl Linyl Lost Sole Dog Toy Slipper","Lost Sole","Character Toys",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","313747","Marina i25 Internal Filter","Marina","Aeration, Pumps and Filters",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","313749","Marina i25 3 in 1 Power Cartridge 2pk","Marina","Aeration, Pumps and Filters",NA,"2pk",NA,NA,NA,NA,NA,NA,0.86
"PET","100","313844","Marina Multi Aquarium Gravel Washer","Marina","Cleaning and Water Control",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","313846","Marina Aquarium Glass Cleaning Kit","Marina","Cleaning and Water Control",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","313853","Marina Aquarium Algae Magnet Cleaner","Marina","Cleaning and Water Control",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","313855","Marina Easy Clean","Marina","Cleaning and Water Control",NA,"1","10in, 25.5cm",NA,NA,NA,NA,NA,0.93
"PET","100","313863","Marina Air Pump up to 60L","Marina","Aeration, Pumps and Filters",NA,"1","60L",NA,NA,NA,NA,NA,0.93
"PET","100","313866","Marina Air Pump up to 100L","Marina","Aeration, Pumps and Filters",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","313891","Marina LCD Digital Aquarium Thermometer","Marina","Heaters and Thermometers",NA,NA,"17.8x0.6cm",NA,NA,NA,NA,NA,0.86
"PET","100","313946","Marina Polywool 40g","Marina","Aeration, Pumps and Filters",NA,NA,"40g",NA,NA,NA,NA,NA,0.86
"PET","100","313983","Marina Aquarium Gravel Black 2kg","Marina","Gravel","Black",NA,"2kg",NA,NA,NA,NA,NA,0.883333333333333
"PET","100","313988","Marina Aquarium Gravel Rainbow 2kg","Marina","Gravel","Multi",NA,"2kg",NA,NA,NA,NA,NA,0.883333333333333
"PET","100","313990","Marina Aquarium Gravel Surf 2kg","Marina","Gravel","Blue",NA,"2kg",NA,NA,NA,NA,NA,0.883333333333333
"PET","100","314010","Marina Submersible Aquarium Heater 17w C17 up to 17L","Marina","Heaters and Thermometers",NA,"1","17w",NA,NA,NA,NA,NA,0.93
"PET","100","314018","Marina Aquarium LED Light","Marina","Lighting",NA,NA,NA,NA,NA,NA,NA,NA,0.79
"PET","100","314022","Marina Aquarium LED 3 Way Hub","Marina","Lighting","Black",NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","314026","Marina Micro LED Aquarium Light Green","Marina","Lighting",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","314034","Marina Slim Filter Cartridge Bio-Carb 3pk","Marina","Aeration, Pumps and Filters",NA,"3pk",NA,NA,NA,NA,NA,NA,0.86
"PET","100","314846","Marina 100 Air Pump","Marina","Aeration, Pumps and Filters",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","334269","Marina Replacement Cartridge Filter 360 Degree Splash Carbon","Marina","Aeration, Pumps and Filters",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","334281","Marina Aquarium Set Fin Sur Blue 14L","Marina","Tanks and Aquariums",NA,NA,"14L",NA,NA,NA,NA,NA,0.825
"PET","100","314240","Mr Johnsons Natural Layers Animal Pellets 20kg","Mr Johnsons","Food",NA,NA,"20kg",NA,NA,NA,NA,NA,0.9125
"PET","100","314655","Mr. Johnsons Love Your Pet Hamster and Gerbil Amos1kg","Mr Johnsons","Food",NA,NA,"1kg",NA,NA,NA,NA,NA,0.8625
"PET","100","314710","Rosewood Pet Products My Word Catch Bone","My Word","Puppy Toys",NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"PET","100","314711","Rosewood Pet Products My Word Catch Ball Pink","My Word","Puppy Toys",NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"PET","100","314041","Nutrafin Basix 3 Day Fish Feeder 16g","Nutrafin","Food",NA,NA,"16g",NA,NA,NA,NA,NA,0.86
"PET","100","453855","OUT One Handed Poop Scoop","OUT!","Waste Bags",NA,"1","34.6cm",NA,NA,NA,NA,NA,0.88
"PET","100","453859","OUT Rainbow Waste Pick Up 120 Bags","OUT!","Waste Bags",NA,"6","120",NA,NA,NA,NA,NA,0.88
"PET","100","453860","OUT Urine Stain&Odour Remover Spray","OUT!","Waste Bags",NA,"1","481g",NA,NA,NA,NA,NA,0.88
"PET","100","441900","Stop Muddy Paws Barrier Rug Design","Pet Rebellion","Pet Rug","Brown","1",NA,NA,NA,NA,NA,NA,0.88
"PET","100","314547","Purina One Kitten/Junior 1-12 Months Rich in Chicken with Rice 800g","Purina One","Kitten Food 1-12 Months",NA,"4pk","800g",NA,NA,NA,NA,NA,0.93
"PET","100","296442","Pet Stuff Dog Treat Bag","Rosewood","Training Aids",NA,"1",NA,NA,NA,NA,NA,NA,0.81
"PET","100","314107","Cyber-Dog Treat Ball Dog Toy Small","Rosewood","Dental and Chew Toys",NA,"1","Small",NA,NA,NA,NA,NA,0.88
"PET","100","314153","Rosewood Options Travel Soft Crate Medium","Rosewood","Pet Carriers",NA,"1","Medium",NA,NA,NA,NA,NA,0.93
"PET","100","314191","Rosewood 40 Winks Grey/Red Water Resistant Crate Mattress 76x56x61cm","Rosewood","Mattresses","Multi",NA,"Medium",NA,NA,NA,NA,NA,0.93
"PET","100","314267","Rosewood Slicker Brush Self Cleaning Large","Rosewood","Comb and Brushes",NA,"1","Large",NA,NA,NA,NA,NA,0.93
"PET","100","314269","Cat Scratch Post","Rosewood","Scratching Posts",NA,NA,NA,NA,NA,NA,NA,NA,0.74
"PET","100","314875","Rosewood Pet Products Double Diner Set Stainless Steel 2.25L Adjustable","Rosewood","Bowl","Silver","1","2.25L",NA,"Stainless Steel",NA,NA,NA,0.95
"PET","100","334147","Cyber-Dog Galactic Orbit Dog Toy","Rosewood","Dental and Chew Toys",NA,"1","12.5x12.5cm",NA,NA,NA,NA,NA,0.88
"PET","100","334252","Rosewood Place Settings For Messy Animals Black Stripe","Rosewood","Placemat",NA,"1","44cmx28cm",NA,NA,NA,NA,NA,0.85
"PET","100","335586","Bamboo Cat Pod","Rosewood","Cat Bed",NA,NA,NA,NA,NA,NA,NA,NA,0.74
"PET","100","335625","Rosewood Soft Protection Salon Scissors Pet Purple/Silver Effect","Rosewood","Scissors",NA,"1","10cm Blade",NA,NA,NA,NA,NA,0.93
"PET","100","420134","Rosewood Oregano Cat Scratching Post","Rosewood","Scratching Posts",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","420136","Rosewood Catwalk Collection Cat Post Tarragon","Rosewood","Scratching Posts",NA,"1","30 x 40 x 55cm",NA,NA,NA,NA,NA,0.93
"PET","100","420137","Rosewood Luxury Cat Tunnel Cream","Rosewood","Cat Bed",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","420138","Tweed Oval Shaped Pet Bed 20in","Rosewood","Soft Beds",NA,"1","20in",NA,NA,NA,NA,NA,0.88
"PET","100","454030","Rosewood Meaty Takeaway Pet Toy Chicken Flavour","Rosewood","Dental and Chew Toys",NA,"1","Small",NA,NA,NA,NA,NA,0.93
"PET","100","454033","Tough Wood Bone","Rosewood","Dental and Chew Toys",NA,"1","8cmx6.9cmx19cm",NA,NA,NA,NA,NA,0.88
"PET","100","454035","Squeaky Tough Rubber Assortment","Rosewood","Dental and Chew Toys",NA,"1","9.3cmx18.5cmx5.3cm",NA,NA,NA,NA,NA,0.88
"PET","100","454037","Oblik Supreme Bowl Medium","Rosewood","Bowl",NA,"1","17cmx17cmx11cm",NA,NA,NA,NA,NA,0.88
"PET","100","310064","Sherleys Worming Syrup 45ml","Sherleys","Flea and Worming Control",NA,NA,"45ml",NA,NA,NA,NA,NA,0.86
"PET","100","313645","Simple Solution Urine Destroyer 945ml","Simple Solution","Carpet Cleaners and Fresheners",NA,NA,"945ml",NA,NA,NA,NA,NA,0.9125
"PET","100","313646","Simple Solution Urine Dry Carpet Powder 680g","Simple Solution","Carpet Cleaners and Fresheners",NA,NA,"680g",NA,NA,NA,NA,NA,0.9125
"PET","100","313658","Simple Solution Stain and Odour Remover 750ml","Simple Solution","Carpet Cleaners and Fresheners",NA,NA,"750ml",NA,NA,NA,NA,NA,0.9125
"PET","100","313659","Simple Solution Stain + Odour Remover 750ml","Simple Solution","Carpet Cleaners and Fresheners",NA,NA,"750ml",NA,NA,NA,NA,NA,0.9125
"PET","100","453918","OUT Scented Waste Pick Up Bags 120 Bags","Simple Solution","Waste Bags",NA,"120","120",NA,NA,NA,NA,NA,0.88
"PET","100","453919","OUT Eco Waste Pick Up Bags 120 Bags","Simple Solution","Waste Bags",NA,"120","Scented Refill Bags 20.32 cm x34.29cm",NA,NA,NA,NA,NA,0.88
"PET","100","453920","OUT Fabric Dispenser & Pick-Up Bags","Simple Solution","Waste Bags",NA,"1","Fabric bag 7cm x 4.5cm",NA,NA,NA,NA,NA,0.88
"PET","100","314243","Bird Feeder Cleaning Brush","Supa","Bird Feeder Cleaning Brush",NA,NA,NA,NA,NA,NA,NA,NA,0.775
"PET","100","314630","Supa Wild Bird Seed Feeder Assorted","Supa","Seed Feeder",NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"PET","100","314639","Supa Wild Bird Feeder Window Hanger","Supa","Bird Window Feeder",NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"PET","100","314640","Supa Wild Bird Lantern Seed Feeder","Supa","Seed Feeder",NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"PET","100","420114","Squirrel Proof X-2 Wild Bird Feeder","Supa","Squirrel Proof Feeders",NA,"1",NA,NA,NA,NA,NA,NA,0.8625
"PET","100","420115","Supa Harmony Wild Bird Feeder","Supa","Seed Feeder",NA,"4",NA,NA,NA,NA,NA,NA,0.9125
"PET","100","420116","Supa Radiant Wild Bird Feeder","Supa","Seed Feeder",NA,"4",NA,NA,NA,NA,NA,NA,0.9125
"PET","100","314653","Mr. Johnsons Love Your Pet Rabbit Supreme 1.5kg","Supreme","Food",NA,NA,"1.5kg",NA,NA,NA,NA,NA,0.9125
"PET","100","314958","Sydeco Fiesta Bush Assorted","Sydeco","Artificial Plants and Grass",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","314961","Sydeco Sea Grass Baby","Sydeco","Artificial Plants and Grass",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","314962","Sydeco Bamboo Large Plants","Sydeco","Ornaments",NA,"1",NA,NA,NA,NA,NA,NA,0.86
"PET","100","420087","TUFFS Birdy Tug Tails Dog Toy 38cm","Tuff","Character Toys",NA,"1","38cm",NA,NA,NA,NA,NA,0.93
"PET","100","420092","TUFFS Flyer Disc Dog Toy 23cm","Tuff","Throw and Fetch Toys",NA,"1","23cm",NA,NA,NA,NA,NA,0.93
"PET","100","303748","Verm X Poultry Liquid 250ml","Verm-X","Food",NA,NA,"250ml",NA,NA,NA,NA,NA,0.8625
"PET","100","314556","Wagg Complete with Beef and Veg 12kg","Wagg","Large Bagged Food",NA,NA,"12kg",NA,NA,NA,NA,NA,0.9125
"PET","100","314558","Wagg Complete Worker with Beef and Veg 17kg","Wagg","Large Bagged Food",NA,NA,"17kg",NA,NA,NA,NA,NA,0.9125
"PET","100","314493","Whiskas Kitten with Chicken up to 1 Year 2kg","Whiskas","Kitten Food 1-12 Months",NA,"1","2kg",NA,NA,NA,NA,NA,0.93
"PET","100","303759","Wilko Crushed Oyster Shell 1kg","Wilko","Food",NA,NA,"1kg",NA,NA,NA,NA,NA,0.9125
