"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"DIY","BAT","215269","Duracell Plus Power Alkaline Batteries AAA LR031.5V 4pk","Duracell","AAA",NA,"4pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","215270","Duracell Plus Power Alkaline Batteries AA LR6 1.5V4pk","Duracell","AA",NA,"4pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","215271","Duracell Plus Power Alkaline Batteries C LR141.5V 2pk","Duracell","C",NA,"2pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","215273","Duracell Plus Power Alkaline Batteries D LR201.5V 2pk","Duracell","D",NA,"2pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","215276","Duracell Plus Power Alkaline Batteries AA LR61.5V 8pk","Duracell","AA",NA,"8pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","254438","Duracell Plus Power Alkaline Batteries AAA LR031.5V 8pk","Duracell","AAA",NA,"8pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","295056","Duracell Ultra Power Alkaline Batteries C LR141.5V 2pk","Duracell","C",NA,"2pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","295057","Duracell Ultra Power Alkaline Batteries D LR201.5V 2pk","Duracell","D",NA,"2pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","298782","Duracell Ultra Power Alkaline Batteries AAA LR031.5V 4pk","Duracell","AAA",NA,"4pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","298783","Duracell Ultra Power Alkaline Batteries AA LR61.5V 4pk","Duracell","AA",NA,"4pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","346256","Duracell Ultra Power Alkaline Batteries AA LR61.5V 8pk","Duracell","AA",NA,"8pk",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","405764","Duracell Plus Power Battery 6LF22 9V Single","Duracell","9V",NA,"1",NA,NA,NA,"9V",NA,NA,NA,NA,1
"DIY","BAT","405765","Duracell Ultra Power Battery 6LR61 9V Single","Duracell","9V",NA,"1",NA,NA,NA,"9V",NA,NA,NA,NA,1
"DIY","BAT","443329","Duracell Plus Power Batteries AA LR6 16pk","Duracell","AA",NA,"16pk",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","174219","Energizer Alkaline Battery A23 12V Single","Energizer","12V",NA,NA,NA,NA,NA,"12V",NA,NA,NA,NA,0.93
"DIY","BAT","174224","Energizer Lithium Battery CR2 3V Single","Energizer","3V",NA,NA,NA,NA,NA,"3V",NA,NA,NA,NA,0.93
"DIY","BAT","174225","Energizer Lithium Battery 123 3V Single","Energizer","123",NA,NA,NA,NA,NA,"3V",NA,NA,NA,NA,0.93
"DIY","BAT","180586","Energizer Max Alkaline Batteries D 1.5V 2pk","Energizer","D",NA,"2pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","180587","Energizer Max Alkaline Batteries  1.5v C LR141.5V 2pk","Energizer","C",NA,"2pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","180588","Energizer Max Alkaline Batteries AAA LR03 1.5V 4pk","Energizer","AAA",NA,"4pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","180589","Energizer Max Alkaline Batteries AA LR6 1.5V 4pk","Energizer","AA",NA,"4pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","180590","Energizer Max Alkaline Batteries 6LR61 9V Single","Energizer","9V",NA,"1",NA,NA,NA,"9V",NA,NA,NA,NA,1
"DIY","BAT","180593","Energizer Max Alkaline Batteries LR6 1.5V 8pk","Energizer","AA",NA,"8pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","203035","Energizer Max Alkaline Batteries AAA LR03 1.5V 8pk","Energizer","AAA",NA,"8pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","218366","Energizer Cell Lithium Battery CR2016 3V 2pk","Energizer","CR2016",NA,"2pk",NA,NA,NA,"3V",NA,NA,NA,NA,1
"DIY","BAT","218367","Energizer Cell Lithium Battery CR2025 3V 2pk","Energizer","CR2025",NA,"2pk",NA,NA,NA,"3V",NA,NA,NA,NA,1
"DIY","BAT","218368","Energizer Cell Lithium Battery CR2032 3V 2pk","Energizer","CR2032",NA,"2pk",NA,NA,NA,"3V",NA,NA,NA,NA,1
"DIY","BAT","277652","Energizer Universal Battery Charger","Energizer","Universal",NA,NA,NA,NA,NA,"Mains",NA,NA,NA,NA,0.93
"DIY","BAT","277653","Energizer Accu Recharge Maxi Compact BatteryCharger with Batteries AA 1.2V 4pk","Energizer","AA",NA,NA,NA,NA,NA,"Mains",NA,NA,NA,NA,0.93
"DIY","BAT","277654","Energizer NiHM Rechargeable Batteries D 2500mAh1.2V 2pk","Energizer","D",NA,"2pk",NA,NA,NA,"1.2V",NA,NA,NA,NA,1
"DIY","BAT","277655","Energizer NiMH Rechargeable Batteries C 2500mAh1.2V 2pk","Energizer","C",NA,"2pk",NA,NA,NA,"1.2V",NA,NA,NA,NA,1
"DIY","BAT","277656","Energizer NiMH Rechargeable Batteries AAA 700mAh1.2V 4pk","Energizer","AAA",NA,"4pk",NA,NA,NA,"1.2V",NA,NA,NA,NA,1
"DIY","BAT","277657","Energizer NiMH Rechargable Batteries AAA 500mAh1.2V 4pk","Energizer","AAA",NA,"4pk",NA,NA,NA,"1.2V",NA,NA,NA,NA,1
