"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Power","Model Number","DQ Score"
"TOI","FEM","100479","Bic Twin Lady Twin Blade 5pk","Bic","5 Pack","Multi","1",NA,NA,NA,0.941666666666667
"TOI","FEM","433184","Bic Miss Soleil 4pk","Bic",NA,NA,NA,NA,NA,NA,0.766666666666667
"TOI","FEM","433209","Bic Soleil Scent 4pk","Bic",NA,NA,NA,NA,NA,NA,0.766666666666667
"TOI","FEM","447832","Bic One Lady Razors 10pk","Bic",NA,NA,"10",NA,NA,NA,0.825
"TOI","FEM","449520","Bic Soleil Bella Colours Razors 3pk","Bic",NA,NA,"1",NA,NA,NA,0.825
"TOI","FEM","117027","Charlie Red Body Spray 75ml","Charlie","75ml",NA,"1",NA,NA,NA,1
"TOI","FEM","217443","Charlie Pink Body Spray 75ml","Charlie","75ml",NA,"1",NA,NA,NA,1
"TOI","FEM","243347","Charlie Black Body Spray 75ml","Charlie","75ml",NA,"1",NA,NA,NA,1
"TOI","FEM","252010","Charlie Touch Body Spray 75ml","Charlie","75ml",NA,"1",NA,NA,NA,1
"TOI","FEM","412235","Charlie Divine Body Spray 75ml","Charlie",NA,NA,"1",NA,NA,NA,0.8625
"TOI","FEM","150415","Dove Roll On Original 50ml","Dove","50ml",NA,"1",NA,NA,NA,1
"TOI","FEM","150417","Dove Cream Roll On Original 50ml","Dove","50ml",NA,NA,NA,NA,NA,0.9125
"TOI","FEM","243410","Dove Invisible Dry Roll On 48 Hour 40ml","Dove","40ml",NA,"1",NA,NA,NA,1
"TOI","FEM","243411","Dove Invisible Roll On 50ml","Dove","50ml",NA,"1",NA,NA,NA,1
"TOI","FEM","264313","Dove Anti-Perspirant Spray Original 250ml","Dove","250ml",NA,"1",NA,NA,NA,1
"TOI","FEM","269945","Dove Anti-Perspirant Spray Invisible 250ml","Dove","250ml",NA,"1",NA,NA,NA,1
"TOI","FEM","319899","Dove Go Fresh Anti-Perspirant 250ml","Dove","250ml",NA,"1",NA,NA,NA,1
"TOI","FEM","332848","Dove Anti-Perspirant Anti White Marks 75ml","Dove","75ml",NA,NA,NA,NA,NA,0.9125
"TOI","FEM","412065","Dove Roll On Soft Feel 50ml","Dove","50ml",NA,"1",NA,NA,NA,1
"TOI","FEM","450023","Dove Deodorant Go Fresh 250ml","Dove","250ml",NA,"1",NA,NA,NA,1
"TOI","FEM","451483","Dove Original Spray Deodorant 150ml","Dove","150ml",NA,"1",NA,NA,NA,1
"TOI","FEM","451493","Dove Pomegranate Spray Deodorant 150ml","Dove",NA,NA,NA,NA,NA,NA,0.825
"TOI","FEM","125933","Gillette Simply Venus Disposable Razors 4pk","Gillette",NA,"Multi","4pk",NA,NA,NA,0.883333333333333
"TOI","FEM","176085","Gillette Venus Womens Razor","Gillette",NA,"Multi","1",NA,NA,NA,0.883333333333333
"TOI","FEM","176101","Gillette Venus Classic Women's Razor BladeRefills 4pk","Gillette","4 Pack","Multi","1",NA,NA,NA,0.941666666666667
"TOI","FEM","263524","Gillette Venus Spa Breeze Women's Razor BladeRefills 4pk","Gillette","4 Pack","Multi","1",NA,NA,NA,0.941666666666667
"TOI","FEM","263527","Gillette Venus Spa Breeze Women's Razor with BladeRefill And Shower Holder","Gillette",NA,"Multi","1",NA,NA,NA,0.883333333333333
"TOI","FEM","270061","Gillette Venus Oceana Womens Disposable Razors 3pk","Gillette",NA,"Multi","3pk",NA,NA,NA,0.883333333333333
"TOI","FEM","275282","Gillette Venus Embrace Women's Razor","Gillette",NA,"Multi","1",NA,NA,NA,0.883333333333333
"TOI","FEM","275283","Gillette Venus Embrace Womens Razor Blade Refils4pk","Gillette","4 Pack","Multi","1",NA,NA,NA,0.941666666666667
"TOI","FEM","288189","Gillette Simply Venus Women's Disposable Razors4pk","Gillette","4 Pack","Multi","1",NA,NA,NA,0.941666666666667
"TOI","FEM","288190","Gillette Satin Care Shaving Gel for Dry Skin200ml","Gillette","200ml","Multi","1",NA,NA,NA,0.941666666666667
"TOI","FEM","318562","Gillette Venus Embrace Sensitive Razor","Gillette",NA,"Multi","1",NA,NA,NA,0.883333333333333
"TOI","FEM","318565","Gillette Venus Embrace Sensitive Womens BladeRefills 4pk","Gillette",NA,"Multi","3",NA,NA,NA,0.883333333333333
