"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Age","DQ Score"
"TOI","FAC","452971","Wilko Cocoa Butter Body Cream 400ml","Wilko","400ml",NA,"1",NA,NA,1
"TOI","FAC","456297","Wilko Intense Hand Lotion 75ml","Wilko","75ml",NA,"1",NA,NA,1
"TOI","FRU","347555","Wilko  Body Scrub 250mlStrawberry and Pomegranate","Wilko","250ml",NA,"1",NA,NA,1
"TOI","FRU","347558","Wilko Fruits Hand Lotion 250mlStrawberry and Pomegranate","Wilko","250ml",NA,"1",NA,NA,1
"TOI","FRU","347559","Wilko Fruits Hand Wash 250mlStrawberry and Pomegranate","Wilko","250ml",NA,"1",NA,NA,1
"TOI","FRU","347560","Wilko Fruits Bath Foam 250mlCoconut and Vanilla","Wilko","500ml",NA,"1",NA,NA,1
"TOI","FRU","347561","Wilko Fruits Shower Gel 250mlCoconut and Vanilla","Wilko","250ml",NA,"1",NA,NA,1
"TOI","FRU","347562","Fruits Body Scrub CFruits Body Scrub Coconut 250ml","Wilko","250ml",NA,"1",NA,NA,0.95
"TOI","FRU","347565","Wilko Fruits Hand Lotion 250mlCoconut and Vanilla","Wilko","250ml",NA,"1",NA,NA,1
"TOI","FRU","347566","Wilko Fruits Handwash 250mlCoconut and Vanilla","Wilko","250ml",NA,"1",NA,NA,1
"TOI","FRU","347588","Wilko Fruits Bath Foam 250mlRhubarb and Vanilla","Wilko","500ml",NA,"1",NA,NA,1
"TOI","FRU","347589","Wilko Fruits Shower Gel 250mlRhubarb and Vanilla","Wilko","250ml",NA,"1",NA,NA,1
"TOI","FRU","347590","Wilko Fruits Body Scrub 250mlRhubarb and Vanilla","Wilko","250ml",NA,"1",NA,NA,1
"TOI","FRU","347593","Wilko Fruits Hand Lotion 250mlRhubarb and Vanilla","Wilko","250ml",NA,"1",NA,NA,1
"TOI","FRU","347594","Wilko Fruits Hand Wash Rhubarb and Vanilla 250ml","Wilko","250ml",NA,"1",NA,NA,1
"TOI","FRU","347595","Wilko Fruits Bath Foam 500mlPassion Fruit and Watermelon","Wilko","500ml",NA,"1",NA,NA,1
"TOI","FRU","347596","Wilko Fruits Shower Gel 250mlPassion Fruit and Watermelon","Wilko","250ml",NA,"1",NA,NA,1
"TOI","FRU","347597","Wilko Fruits Body Scrub 250mlPassion Fruit and Watermelon","Wilko","250ml",NA,"1",NA,NA,1
"TOI","FRU","347600","Wilko Fruit Hand Lotion 250mlPassion Fruit and Melon","Wilko","250ml",NA,"1",NA,NA,1
"TOI","FRU","347601","Wilko Fruits Hand Wash 250mlPassion Fruit and Watermelon","Wilko","250ml",NA,"1",NA,NA,1
"TOI","FRU","347616","Wilko Fruits Bath Foam 500mlStrawberry and Pomegranate","Wilko","500ml",NA,"1",NA,NA,1
"TOI","FRU","347617","Wilko Fruits Shower Gel 250mlStrawberry and Pomegranate","Wilko","250ml",NA,"1",NA,NA,1
"TOI","FRU","347647","Wilko Fruits Body Mop Red","Wilko",NA,NA,NA,NA,NA,0.825
"TOI","FRU","347649","Wilko Fruits Body Mop White","Wilko",NA,NA,"1",NA,NA,0.9125
"TOI","FRU","347657","Wilko Fruits Body Mop Pink","Wilko",NA,NA,"1",NA,NA,0.9125
"TOI","FRU","347659","Wilko Fruits Body Mop Purple","Wilko",NA,NA,"1",NA,NA,0.9125
"TOI","FRU","347682","Wilko Fruits Bath Bomb Strawberry andPomegranate 170g","Wilko","170g",NA,"1",NA,NA,1
"TOI","FRU","347685","Wilko Fruits Bath Bomb 170gCoconut and Vanilla","Wilko","170g",NA,"1",NA,NA,1
"TOI","FRU","347697","Wilko Fruits Bath Bomb 170gRhubarb and Vanilla","Wilko","170g",NA,"1",NA,NA,1
"TOI","FRU","347700","Wilko Fruits Bath Bomb 170gPassion Fruit and Watermelon","Wilko","170g",NA,"1",NA,NA,1
"TOI","FRU","350330","Wilko Fruits Bath Clear","Wilko",NA,NA,"1",NA,NA,0.9125
"TOI","FRU","457507","Wilko Fruits Hand Lotion and Hand Wash Duo Pack","Wilko","250ml",NA,"2",NA,NA,1
"TOI","FRU","457508","Wilko Fruits Limited Edition Cranberry BodySouffle 200ml","Wilko","200ml",NA,"1",NA,NA,1
"TOI","FRU","457510","Wilko Fruits Miniature Shower Gels Gift Set","Wilko","50ml",NA,NA,NA,NA,0.825
"TOI","FRU","457511","Wilko Fruits Bath Bomb Tin Gift Set","Wilko","1020g",NA,"6",NA,NA,1
"TOI","FRU","457512","Wilko Fruits Limited Edition Cranberry Bath Bomb","Wilko","170g",NA,"1",NA,NA,1
"TOI","FRU","457513","Wilko Fruits Nectarine and Passionfruit Bath Bomb","Wilko","170g",NA,"1",NA,NA,1
"TOI","FRU","457514","Wilko Fruits Watermelon and Guava Bath Bomb","Wilko","170g",NA,"1",NA,NA,1
"TOI","FRU","457515","Wilko Fruits Blueberry and Morello Bath Bomb","Wilko","170g",NA,"1",NA,NA,1
"TOI","HAI","140875","Nice’n Easy Semi-Permanent Medium Ash Brown 77","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","140877","Nice'n Easy Semi-Permanent Dark Blonde 91","Clairol",NA,"Blonde","1",NA,NA,0.88
"TOI","HAI","140879","Nice'n Easy Semi-Permanent Light Brown 755","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","140882","Nice'n Easy Semi-Permanent Light Golden Brown 76","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","140883","Nice'n Easy Semi-Permanent Medium Brown 765","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","140884","Nice'n Easy Semi-Permanent Dark Brown 79","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","140978","Nice’n Easy Semi-Permanent Medium GoldenBrown 78","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","213919","Nice'n Easy Permanent Hair Dye Natural Light BeigeBlonde 9B","Clairol",NA,"Blonde","1",NA,NA,0.88
"TOI","HAI","213925","Nice'n Easy Permanent Natural Light Golden Brown 6Brown 6G","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","213930","Nice'n Easy Permanent Natural LightestGold Brown 6.5G","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","213934","Nice'n Easy Permanent Natural DarkChampagne Blonde 7CB","Clairol",NA,"Blonde","1",NA,NA,0.88
"TOI","HAI","213936","Nice'n Easy Permanent Natural MediumReddish Brown 5RB","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","213937","Nice'n Easy Permanent Natural Dark Blonde 7","Clairol",NA,"Blonde","1",NA,NA,0.88
"TOI","HAI","214028","Nice'n Easy Permanent Natural Ultra LightBlonde 10","Clairol",NA,"Blonde","1",NA,NA,0.88
"TOI","HAI","214033","Nice'n Easy Permanent Natural Extra LightBeige Blonde 9.5B","Clairol",NA,"Blonde","1",NA,NA,0.88
"TOI","HAI","214037","Nice'n Easy Permanent Natural Extra Light 9.5","Clairol",NA,"Blonde","1",NA,NA,0.88
"TOI","HAI","214039","Nice'n Easy Permanent Natural Medium CoolBrown 5C","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","214045","Nice'n Easy Permanent Natural Baby Blonde 9.5A","Clairol",NA,"Blonde","1",NA,NA,0.88
"TOI","HAI","214050","Nice'n Easy Permanent Natural Light Ash Blonde 9A","Clairol",NA,"Blonde","1",NA,NA,0.88
"TOI","HAI","214052","Nice'n Easy Permanent Natural Honey Blonde 8G","Clairol",NA,"Blonde","1",NA,NA,0.88
"TOI","HAI","214055","Nice'n Easy Permanent Natural Medium Ash Blonde 8A","Clairol",NA,"Blonde","1",NA,NA,0.88
"TOI","HAI","214057","Nice'n Easy Permanent Natural LightNeutral Summer Blonde SB1","Clairol",NA,"Blonde","1",NA,NA,0.88
"TOI","HAI","214058","Nice'n Easy Permanent Hair Dye Natural Light AshBrown 6A","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","214061","Nice'n Easy Permanent Natural Light Brown 6","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","214064","Nice'n Easy Permanent Natural Medium Brown 5","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","214065","Nice'n Easy Permanent Natural Dark Brown 4","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","214066","Nice'n Easy Permanent Natural Black 112","Clairol",NA,"Black","1",NA,NA,0.88
"TOI","HAI","240153","Nice'n Easy Permanent Natural MediumChampagne Blonde 8CB","Clairol",NA,"Blonde","1",NA,NA,0.88
"TOI","HAI","240154","Nice'n Easy Permanent Natural MediumGolden Brown 5G","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","240156","Nice'n Easy Permanent Natural GoldenAuburn Blonde 8WR","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","240158","Nice'n Easy Non-Permanent Hair Dye No-Ammonia DarkWarm Brown #82","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","240160","Nice’n Easy Non-Permanent Medium Ash Blonde 73","Clairol",NA,"Blonde","1",NA,NA,0.88
"TOI","HAI","243323","Nice'n Easy Root Touch-Up Dark Blonde 7","Clairol",NA,"Blonde","1",NA,NA,0.88
"TOI","HAI","243324","Nice'n Easy Root Touch-Up Dark Brown 4","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","243325","Nice'n Easy Root Touch-Up Medium Brown 5","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","250367","Nice'n Easy Natural Medium Blonde 8","Clairol",NA,"Blonde","1",NA,NA,0.88
"TOI","HAI","269845","Nice'n Easy Permanent Natural Pale Blonde 9PB","Clairol",NA,"Blonde","1",NA,NA,0.88
"TOI","HAI","269846","Nice'n Easy Permanent Natural Warm Auburn 5WR","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","281562","Nice'n Easy Permanent Natural Darkest Brown 3.5","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","281563","Nice'n Easy Permanent Natural Lighter Brown 6N","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","281564","Nice'n Easy Permanent Natural MediumMahogany Brown 5M","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","281572","Nice’n Easy Non-Permanent Black 83","Clairol",NA,"Black","1",NA,NA,0.88
"TOI","HAI","316906","Nice'n Easy Permanent Natural Medium AshBrown 5A","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","316910","Nice'n Easy Permanent Natural Light Auburn 6R","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","330390","Nice'n Easy Permanent Hair Dye Ultra Light AshBlonde 10A","Clairol",NA,"Blonde","1",NA,NA,0.88
"TOI","HAI","330391","Nice'n Easy Sun Kissed Ultra Light CoolSummer Blonde SB2","Clairol",NA,"Blonde","1",NA,NA,0.88
"TOI","HAI","347454","Nice'n Easy Age Defy Dark Brown 4","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","347455","Nice'n Easy Age Defy Medium Brown 5","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","347456","Nice'n Easy Age Defy Medium Ash Blonde 8A","Clairol",NA,"Blonde","1",NA,NA,0.88
"TOI","HAI","347457","Nice'n Easy Age Defy Light Brown 6","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","348919","Nice'n Easy Age Defy Permanent Light Golden Brown6G","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","348921","Nice'n Easy Age Defy Medium Golden Brown 5G","Clairol",NA,NA,"1",NA,NA,0.81
"TOI","HAI","351445","Nice'n Easy Permanent Natural LightGolden Blonde 9G","Clairol","9g",NA,"1",NA,NA,0.88
"TOI","HAI","351446","Nice'n Easy Non Permanent Light Warm Brown 92","Clairol",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","416195","Nice'n Easy Age Defy Permanent Extra Light Blonde10","Clairol",NA,NA,"1",NA,NA,0.81
"TOI","HAI","416197","Nice'n Easy Age Defy Permanent LightAsh Blonde 9A","Clairol",NA,"Blonde","1",NA,NA,0.88
"TOI","HAI","416199","Nice'n Easy Age Defy Permanent Light Blonde 9","Clairol",NA,NA,"1",NA,NA,0.81
"TOI","HAI","416231","Nice'n Easy Age Defy Permanent Medium Blonde 8","Clairol",NA,"Blonde","1",NA,NA,0.88
"TOI","HAI","428982","Nice'n Easy Permanent Rich Dark Brown R4","Clairol",NA,NA,"1",NA,NA,0.81
"TOI","HAI","428983","Nice'n Easy Permanent Natural Dark CoolBlonde 7C","Clairol",NA,NA,"1",NA,NA,0.81
"TOI","HAI","428985","Nice'n Easy Permanent Natural Light Caramel Brown6W","Clairol",NA,NA,"1",NA,NA,0.81
"TOI","HAI","429002","Nice'n Easy Permanent Natural Dark Burgundy 4BG","Clairol",NA,NA,"1",NA,NA,0.81
"TOI","HAI","429003","Nice'n Easy Permanent Natural Medium Auburn 5R","Clairol",NA,NA,"1",NA,NA,0.81
"TOI","HAI","429294","Nice'n Easy Permanent Natural Burgundy Black 2BG","Clairol",NA,NA,"1",NA,NA,0.81
"TOI","HAI","429296","Nice'n Easy Root Touch Up Permanent DarkGolden Brown 4G","Clairol",NA,NA,"1",NA,NA,0.81
"TOI","HAI","429298","Nice'n Easy Root Touch Up Permanent  LightBlonde 9","Clairol",NA,NA,"1",NA,NA,0.81
"TOI","HAI","429299","Nice'n Easy Root Touch Up PermanentMedium Blonde 8","Clairol",NA,NA,"1",NA,NA,0.81
"TOI","HAI","453501","Nice'n Easy Colour Enhancer Beige Blonde 70","Clairol",NA,NA,NA,NA,NA,0.69
"TOI","HAI","453502","Nice'n Easy Colour Enhancer Light Ash Brown 75","Clairol",NA,NA,NA,NA,NA,0.69
"TOI","HAI","453503","Nice'n Easy Colour Enhancer Dark Brown 79","Clairol",NA,NA,NA,NA,NA,0.69
"TOI","HAI","453504","Nice'n Easy Colour Enhancer Medium Brown 765","Clairol",NA,NA,NA,NA,NA,0.69
"TOI","HAI","453505","Nice'n Easy Colour Enhancer Medium Golden Brown 78","Clairol",NA,NA,NA,NA,NA,0.69
"TOI","HAI","453506","Nice'n Easy Colour Enhancer Medium Ash Brown 77","Clairol",NA,NA,NA,NA,NA,0.69
"TOI","HAI","453507","Nice'n Easy Colour Enhancer Medium Ash Blonde 73","Clairol",NA,NA,NA,NA,NA,0.69
"TOI","HAI","442214","Colourless Hair Colour Remover Maximum Conditioner","Colourless",NA,NA,"1",NA,NA,0.9125
"TOI","HAI","442215","Colourless Hair Colour Remover Maximum Effect","Colourless",NA,NA,"1",NA,NA,0.86
"TOI","HAI","100856","Garnier Belle Color 5 Natural Brown PermanentHair Dye","Garnier",NA,"Brown","1",NA,NA,0.93
"TOI","HAI","100857","Garnier Belle Color 4 Natural Dark BrownPermanent Hair Dye","Garnier",NA,"Brown","1",NA,NA,0.93
"TOI","HAI","100858","Garnier Belle Color 6 Natural Light BrownPermanent Hair Dye","Garnier",NA,"Brown","1",NA,NA,0.93
"TOI","HAI","100859","Garnier Belle Color 7 Natural Dark BlondePermanent Hair Dye","Garnier",NA,"Blonde","1",NA,NA,0.93
"TOI","HAI","125970","Garnier Belle Color 3 Dark Brown Permanent HairDye","Garnier",NA,"Brown","1",NA,NA,0.93
"TOI","HAI","128001","Garnier Belle Color 9.3 Natural Light HoneyBlonde Permanent Hair Dye","Garnier",NA,"Blonde","1",NA,NA,0.93
"TOI","HAI","141267","Garnier Belle Color 110 Ultra Light NaturalBlonde Permanent Hair Dye","Garnier",NA,"Blonde","1",NA,NA,0.93
"TOI","HAI","141268","Garnier Belle Color 7.1 Natural Dark Ash BlondePermanent Hair Dye","Garnier",NA,"Blonde","1",NA,NA,0.93
"TOI","HAI","150254","Garnier Nutrisse 100 Extra Light Blonde PermanentHair Dye","Garnier",NA,"Blonde","1",NA,NA,0.93
"TOI","HAI","150262","Garnier Nutrisse 3.6 Deep Reddish Brown PermanentHair Dye","Garnier",NA,"Brown",NA,NA,NA,0.86
"TOI","HAI","150264","Garnier Nutrisse 4.3 Dark Golden Brown PermanentHair Dye","Garnier",NA,"Brown","1",NA,NA,0.93
"TOI","HAI","150265","Garnier Nutrisse 9 Light Blonde Permanent HairDye","Garnier",NA,"Blonde","1",NA,NA,0.93
"TOI","HAI","150269","Garnier Nutrisse 6 Light Brown Permanent Hair Dye","Garnier",NA,"Brown","1",NA,NA,0.93
"TOI","HAI","152338","Garnier Nutrisse 5.3 Golden Brown Permanent HairDye","Garnier",NA,"Brown","1",NA,NA,0.93
"TOI","HAI","152340","Garnier Nutrisse 4.6 Deep Red Permanent Hair Dye","Garnier",NA,"Red","1",NA,NA,0.93
"TOI","HAI","246260","Garnier Nutrisse 4 Dark Brown Permanent Hair Dye","Garnier",NA,"Brown","1",NA,NA,0.93
"TOI","HAI","247517","Garnier Nutrisse 5 Brown Permanent Hair Dye","Garnier",NA,"Brown","1",NA,NA,0.93
"TOI","HAI","302132","Garnier Nutrisse 10.1 Ultra Ice Blonde PermanentHair Dye","Garnier",NA,"Blonde","1",NA,NA,0.93
"TOI","HAI","302154","Garnier Nutrisse 5.62 Ultra Vibrant Red PermanentHair Dye","Garnier",NA,"Red","1",NA,NA,0.93
"TOI","HAI","302230","Garnier Nutrisse 5.25 Ultra Chestnut BrownPermanent Hair Dye","Garnier",NA,"Brown","1",NA,NA,0.93
"TOI","HAI","302231","Garnier Nutrisse 60 Ultra Fiery Red PermanentHair Dye","Garnier",NA,"Red","1",NA,NA,0.93
"TOI","HAI","302232","Garnier Nutrisse 4.15 Ultra Iced Coffee BrownPermanent Hair Dye","Garnier",NA,"Brown","1",NA,NA,0.93
"TOI","HAI","330872","Garnier Nutrisse Creme Vanilla Blonde 8","Garnier",NA,"Blonde","1",NA,NA,0.93
"TOI","HAI","331435","Garnier Nutrisse 4 1/2 Medium Dark BrownPermanent Hair Dye","Garnier",NA,"Brown","1",NA,NA,0.93
"TOI","HAI","331436","Garnier Nutrisse 4.26 Deep Burgundy Red PermanentHair Dye","Garnier",NA,"Red","1",NA,NA,0.93
"TOI","HAI","331658","Garnier Nutrisse 3 Darkest Brown Permanent HairDye","Garnier",NA,"Brown","1",NA,NA,0.93
"TOI","HAI","331659","Garnier Nutrisse 2.6 Ultra Dark Cherry RedPermanent Hair Dye","Garnier",NA,"Red","1",NA,NA,0.93
"TOI","HAI","331732","Garnier Olia 9.0 Light Blonde Permanent Hair Dye","Garnier",NA,"Blonde","1",NA,NA,0.93
"TOI","HAI","331733","Garnier Olia 0 Light Brown Permanent Hair Dye","Garnier",NA,"Brown","1",NA,NA,0.93
"TOI","HAI","331735","Garnier Olia 4.15 Iced Chocolate Brown PermanentHair Dye","Garnier",NA,"Brown","1",NA,NA,0.93
"TOI","HAI","331740","Garnier Olia 3.0 Soft Black Permanent Hair Dye","Garnier",NA,"Black","1",NA,NA,0.93
"TOI","HAI","331741","Garnier Olia 5.0 Brown Permanent Hair Dye","Garnier",NA,"Brown","1",NA,NA,0.93
"TOI","HAI","331742","Garnier Olia 4.0 Dark Brown Permanent Hair Dye","Garnier",NA,"Brown","1",NA,NA,0.93
"TOI","HAI","340162","Garnier Nutrisse D+++ Bleach Lightener PermanentHair Dye","Garnier",NA,NA,"1",NA,NA,0.86
"TOI","HAI","351771","Garnier Belle Color 1 Black Permanent Hair Dye","Garnier",NA,"Black","1",NA,NA,0.93
"TOI","HAI","351773","Garnier Nutrisse 10.01 Baby Blonde Permanent HairDye","Garnier",NA,"Blonde","1",NA,NA,0.93
"TOI","HAI","351774","Garnier Nutrisse 9.03 Light Beige BlondePermanent Hair Dye","Garnier",NA,"Blonde","1",NA,NA,0.93
"TOI","HAI","351775","Garnier Nutrisse 8.13 Medium Beige BlondePermanent Hair Dye","Garnier",NA,NA,"1",NA,NA,0.86
"TOI","HAI","351871","Garnier Belle Color 111 Extra Light Ash BlondePermanent Hair Dye","Garnier",NA,"Blonde","1",NA,NA,0.93
"TOI","HAI","429021","Garnier Belle Color 112 Natural Light SummerBlonde Permanent Hair Dye","Garnier",NA,NA,"1",NA,NA,0.86
"TOI","HAI","429025","Garnier Belle Color 10 Natural Light Baby BlondePermanent Hair Dye","Garnier",NA,NA,"1",NA,NA,0.86
"TOI","HAI","429026","Garnier Belle Color 4.3 Natural Dark Golden BrownPermanent Hair Dye","Garnier",NA,NA,"1",NA,NA,0.86
"TOI","HAI","429080","Garnier Belle Color 7.3 Natural Dark GoldenBlonde Permanent Hair Dye","Garnier",NA,NA,"1",NA,NA,0.86
"TOI","HAI","430220","Garnier Belle Color 3 Light Golden BrownPermanent Hair Dye","Garnier",NA,NA,"1",NA,NA,0.86
"TOI","HAI","430221","Garnier Belle Color 9 Natural Light BlondePermanent Hair Dye","Garnier",NA,NA,"1",NA,NA,0.86
"TOI","HAI","430222","Garnier Belle Color 4 Natural Copper PermanentHair Dye","Garnier",NA,NA,"1",NA,NA,0.86
"TOI","HAI","430223","Garnier Nutrisse 8.32 Gold Pearl Blonde PermanentHair Dye","Garnier",NA,NA,"1",NA,NA,0.86
"TOI","HAI","430225","Garnier Nutrisse 3 Golden Light Brown PermanentHair Dye","Garnier",NA,NA,"1",NA,NA,0.86
"TOI","HAI","456257","Garnier Olia 9.3 Golden Light Blonde PermanentHair Dye","Garnier",NA,NA,"1",NA,NA,0.81
"TOI","HAI","456258","Garnier Nutrisse 1 Black Permanent Hair Dye","Garnier",NA,NA,"1",NA,NA,0.81
"TOI","HAI","456259","Garnier Nutrisse 7N Nude Dark Blonde PermanentHair Dye","Garnier",NA,NA,"1",NA,NA,0.81
"TOI","HAI","456266","Garnier Olia 60 Intense Red Permanent Hair Dye","Garnier",NA,NA,"1",NA,NA,0.81
"TOI","HAI","456280","Garnier Nutrisse 7.3 Golden Copper Permanent HairDye","Garnier",NA,NA,"1",NA,NA,0.81
"TOI","HAI","340261","Jerome Russell Bblonde Maxium Lift Cream Peroxide","Jerome and Russell",NA,NA,"1",NA,NA,0.81
"TOI","HAI","340262","Jerome Russell BBlonde Powder Bleach","Jerome and Russell",NA,NA,"1",NA,NA,0.81
"TOI","HAI","442212","Jerome Russell Maximum Colour Toner Silver","Jerome Russell",NA,NA,"1",NA,NA,0.81
"TOI","HAI","442213","Jerome Russell Maximum Colour Toner Steel","Jerome Russell",NA,NA,"1",NA,NA,0.86
"TOI","HAI","456416","Jerome Russell Lilac Max Colour Toner","Jerome Russell",NA,NA,"1",NA,NA,0.81
"TOI","HAI","116972","L'Oreal Preference Les Blondissimes 01 LightestNatural Blonde Permanent Hair Dye","L'Oreal",NA,"Blonde","1",NA,NA,0.93
"TOI","HAI","116975","L'Oreal Preference Les Blondissimes 03 LightestAsh Blonde Permanent Hair Dye","L'Oreal",NA,"Blonde","1",NA,NA,0.93
"TOI","HAI","125974","L'Oreal Preference Infinia 7.3 Florida HoneyBlonde Permanent Hair Dye","L'Oreal",NA,"Blonde","1",NA,NA,0.93
"TOI","HAI","152488","L'Oreal Excellence Creme 8 Natural BlondePermanent Hair Dye","L'Oreal",NA,"Blonde","1",NA,NA,0.93
"TOI","HAI","240168","L'Oreal Preference Infinia 3.66 Dark RedPermanent Hair Dye","L'Oreal",NA,"Red","1",NA,NA,0.93
"TOI","HAI","258472","L'Oreal Casting Creme Gloss 415 Iced ChocolateBrown Semi Permanent Hair Dye","L'Oreal",NA,"Brown","1",NA,NA,0.93
"TOI","HAI","258481","L'Oreal Casting Creme Gloss 500 Medium Brown SemiPermanent Hair Dye","L'Oreal",NA,"Brown","1",NA,NA,0.93
"TOI","HAI","258482","L'Oreal Casting Creme Gloss 600 Light Brown SemiPermanent Hair Dye","L'Oreal",NA,"Brown","1",NA,NA,0.93
"TOI","HAI","258483","L'Oreal Casting Creme Gloss 550 Mahogany SemiPermanent Hair Dye","L'Oreal",NA,"Red","1",NA,NA,0.93
"TOI","HAI","258484","L'Oreal Casting Creme Gloss 515 Chocolate TruffleBrown Semi Permanent Hair Dye","L'Oreal",NA,"Brown","1",NA,NA,0.93
"TOI","HAI","258486","L'Oreal Casting Creme Gloss 535 Chocolate BrownSemi Permanent Hair Dye","L'Oreal",NA,"Brown","1",NA,NA,0.93
"TOI","HAI","331657","L'Oreal Casting Creme Gloss 554 Chilli ChocolateBrown Semi Permanent Hair Dye","L'Oreal",NA,"Brown","1",NA,NA,0.88
"TOI","HAI","331738","L'Oreal Casting Creme Gloss 400 Dark Brown SemiPermanent Hair Dye","L'Oreal",NA,"Brown","1",NA,NA,0.93
"TOI","HAI","331739","L'Oreal Casting Creme Gloss 200 Ebony Black SemiPermanent Hair Dye","L'Oreal",NA,"Black","1",NA,NA,0.93
"TOI","HAI","331748","L'Oreal Preference Platinum Extreme PlatinumBlonde Permanent Hair Dye","L'Oreal",NA,"Metal","1",NA,NA,0.88
"TOI","HAI","331756","L'Oreal Casting Creme Gloss 360 Black Cherry SemiPermanent Hair Dye","L'Oreal",NA,"Black","1",NA,NA,0.93
"TOI","HAI","331757","L'Oreal Casting Creme Gloss 316 Plum SemiPermanent Hair Dye","L'Oreal",NA,"Purple","1",NA,NA,0.93
"TOI","HAI","331758","L'Oreal Casting Creme Gloss 300 Darkest BrownSemi Permanent Hair Dye","L'Oreal",NA,"Brown","1",NA,NA,0.93
"TOI","HAI","331764","L'Oreal Casting Creme Gloss 603 Chocolate CaramelBrown Semi Permanent Hair Dye","L'Oreal",NA,"Brown","1",NA,NA,0.93
"TOI","HAI","345286","L'Oreal Casting Creme Gloss 734 Rich Honey BlondeSemi Permanent Hair Dye","L'Oreal",NA,NA,"1",NA,NA,0.86
"TOI","HAI","345287","L'Oreal Casting Creme Gloss 830 Sweet HoneyBlonde Semi Permanent Hair Dye","L'Oreal",NA,"Yellow","1",NA,NA,0.93
"TOI","HAI","345288","L'Oreal Casting Creme Gloss 513 Iced TruffleBrown Semi Permanent Hair Dye","L'Oreal",NA,NA,"1",NA,NA,0.86
"TOI","HAI","345290","L'Oreal Casting Creme Gloss 323 Dark ChocolateBrown Semi Permanent Hair Dye","L'Oreal",NA,"Brown","1",NA,NA,0.93
"TOI","HAI","345291","L'Oreal Casting Creme Gloss 1010 Light IcedBlonde Semi Permanent Hair Dye","L'Oreal",NA,"Blonde","1",NA,NA,0.93
"TOI","HAI","345601","L'Oreal Casting Creme Gloss 613 Iced Mocha LightBrown Semi Permanent Hair Dye","L'Oreal",NA,NA,"1",NA,NA,0.86
"TOI","HAI","351711","L'Oreal Excellence Creme Blondes Supreme LightestBlonde Permanent Hair Dye","L'Oreal",NA,NA,"1",NA,NA,0.86
"TOI","HAI","444978","L'Oreal Magic Retouch Dark Brown Root Touch Up","L'Oreal",NA,NA,"1",NA,NA,0.86
"TOI","HAI","444979","L'Oreal Magic Retouch Brown Root Touch Up","L'Oreal",NA,NA,"1",NA,NA,0.86
"TOI","HAI","444980","L'Oreal Magic Retouch Dark Blonde Root Touch Up","L'Oreal",NA,NA,"1",NA,NA,0.86
"TOI","HAI","450015","L'Oreal Magic Retouch Light Golden Blonde RootTouch Up","L'Oreal",NA,NA,"1",NA,NA,0.86
"TOI","HAI","456251","L'Oreal Casting Creme Gloss 356 Cherry Cola DarkBrown Semi Permanent Hair Dye","L'Oreal",NA,NA,"1",NA,NA,0.81
"TOI","HAI","456252","L'Oreal Casting Creme Gloss 700 Dark Blonde SemiPermanent Hair Dye","L'Oreal",NA,NA,"1",NA,NA,0.81
"TOI","HAI","456253","L'Oreal Magic Retouch Golden Brown Root Touch Up","L'Oreal",NA,NA,"1","No",NA,0.6
"TOI","HAI","456264","L'Oreal Excellence Creme 5.3 Golden BrownPermanent Hair Dye","L'Oreal",NA,NA,"1",NA,NA,0.81
