"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"GAR","BUA","292856","Wilko Bulbs Tulips Orange Emperor 11/12 10pk","Wilko","11,12",NA,"10pk",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"GAR","BUA","315183","Wilko Bulbs Aestivum Leucojum 9/10 4pk","Wilko",NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,0.65
"GAR","BUA","321178","Wilko Bulbs Dutch Iris White Blue 6/7 15pk","Wilko","6,7",NA,"15pk",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"GAR","BUA","454682","Wilko Bulbs Narcis Paperwhite 4pk","Wilko","4 Daffodils bulb Paperwhite size 15/16",NA,"4pk","Flower Bulb","No",NA,NA,NA,NA,NA,NA,0.65
"GAR","BUA","454695","Wilko Allium Miami Bulbs 5pk","Wilko","5 Allium Miami size 10/11",NA,"5pk","Flower Bulb","No",NA,NA,NA,NA,NA,NA,0.65
"GAR","BUA","454707","Wilko Bulbs Colour Pinks/Purples 100pk","Wilko",NA,NA,"100pk","Flower Bulb","No",NA,NA,NA,NA,NA,NA,0.65
"GAR","ORN","341786","Wilko Mesh Bag Snow White Pebbles 1kg","Wilko","1kg","White",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
"GAR","PCL","333052","ELHO Pure Planter Round High Anthracite 35cm","Elho International","35cm","Black",NA,NA,"No",NA,NA,NA,NA,NA,NA,0.95
"GAR","PCL","333054","ELHO Pure Planter Round High Anthracite 45cm","Elho International","45cm","Black",NA,NA,"No",NA,NA,NA,NA,NA,NA,0.95
"GAR","PCL","434003","Greenhurst Georgina Style Planters 4pk Chocolate","Gablemere","Large - H26.5 x 34cm Dia, Medium - H22 x 28cm Dia",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,0.88
"GAR","PCL","434004","Greenhurst Georgina Style Planters 4pk Black","Gablemere","Large - H26.5 x 34cm Dia, Medium - H22 x 28cm Dia",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,0.88
"GAR","PCL","434010","Greenhurst Wenlock Planter 4pk Grey","Gablemere","Medium - H23 x 33cm Dia, Small - H18 x 25.5cm Dia","Grey",NA,NA,"No",NA,NA,NA,NA,NA,NA,0.95
"GAR","PCL","456337","Greenhurst Garden Planters Wood Effect Barrel 4pk","Gablemere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775
"GAR","PCL","456338","Gablemere Garden Planters Chalkboard Crate 3pk","Gablemere","H18 x L38 / 28.5 x D25 / 16cm",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,0.93
"GAR","PCL","436277","Rowlinson Raised Patio Planter","Rowlinson","180cm",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,0.93
"GAR","PCL","436278","Rowlinson Square Planter","Rowlinson","50cm",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,0.93
"GAR","PCL","436282","Rowlinson Marberry Rectangular Planter","Rowlinson","50cm",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,0.93
"GAR","PCL","430513","Scheurich Indoor Plant Pot Dark Red 16cm","Scheurich","16cm","Red",NA,NA,"No",NA,NA,NA,NA,NA,NA,1
"GAR","PCL","444493","Scheurich Indoor Plant Pot Pannacotta 12cm","Scheurich","Planter 12cm","White",NA,NA,"No",NA,NA,NA,NA,NA,NA,1
"GAR","TOO","135746","Wilko Pruner Vinyl Grip Handles 8in","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"GAR","TOO","408601","Wilko Functional Garden Shovel","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"GAR","TOO","444096","Wilko Digging Spade Carbon Steel","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"GAR","TOO","444097","Wilko Digging Fork Carbon Steel","Wilko","110 x 18.50 x 10",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"GAR","TOO","444106","Wilko Hand Tulip Shovel Carbon Steel","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"GAR","TOO","444108","Wilko Hand Fork Carbon Steel","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"GAR","TOO","444110","Wilko Hand Weeder Carbon Steel","Wilko","32.5 x 2.5 x 5",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"GAR","TOO","444130","Wilko Forged Contractor Fork","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"GAR","TOO","447467","Wilko Garden Tool Handle","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"GAR","TRA","413531","Palram Balance Greenhouse Silver 8x12","Palram","8x12",NA,NA," Aluminium polycarbonate plastic","Yes",NA,NA,NA,NA,NA,NA,1
"GAR","TRA","413532","Palram Victory Orangery Greenhouse 12x10","Palram","12x10",NA,NA," Aluminium polycarbonate plastic","Yes",NA,NA,NA,NA,NA,NA,1
"GAR","TRA","413533","Palram Mythos Greenhouse Silver 6x4","Palram","126L x 185W x 208H",NA,NA," Aluminium polycarbonate plastic","Yes",NA,NA,NA,NA,NA,NA,1
"GAR","TRA","413534","Palram Mythos Greenhouse Silver 6x6","Palram","186L x 185W x 208H",NA,NA," Aluminium polycarbonate plastic","Yes",NA,NA,NA,NA,NA,NA,1
"GAR","TRA","413535","Palram Mythos Greenhouse Silver 6x8","Palram","247L x 185W x 208H",NA,NA," Aluminium polycarbonate plastic","Yes",NA,NA,NA,NA,NA,NA,1
"GAR","TRA","413536","Palram Mythos  Greenhouse Silver 6x10","Palram","306L x 185W x 208H",NA,NA," Aluminium polycarbonate plastic","Yes",NA,NA,NA,NA,NA,NA,1
"GAR","TRA","435718","Palram Aluminium Greenhouse Window Auto Vent Arm","Palram","40W x 7L x 5H cm",NA,NA,"Aluminium","Yes",NA,NA,NA,NA,NA,NA,1
"GAR","TRA","435721","Palram Greenhouse Side Louver Window","Palram","H 62cm x Wi 62cm x 6cm Thickness. 62cm Window",NA,NA,"Aluminium","Yes",NA,NA,NA,NA,NA,NA,1
"GAR","TRA","pr00001","Palram Polycarbonate Greenhouse Green 6x4","Palram","6ft x 4ft","Green",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,1
"GAR","TRA","pr00002","Palram Polycarbonate Greenhouse Green 6x6","Palram","6ft x 6ft",NA,NA,"Aluminium frame, Polycarbonate panels","Yes",NA,NA,NA,NA,NA,NA,1
"GAR","TRA","pr00003","Palram Polycarbonate Greenhouse Green 6x8ft","Palram","6ft x 8ft",NA,NA,"Aluminium frame, Polycarbonate panels","Yes",NA,NA,NA,NA,NA,NA,1
"GAR","TRA","pr00004","Palram Polycarbonate Greenhouse Green 6x10","Palram","6ft x 10ft",NA,NA,"Aluminium frame, Polycarbonate panels","Yes",NA,NA,NA,NA,NA,NA,1
"GAR","TRA","pr00005","Palram Polycarbonate Greenhouse Aluminium 6x10","Palram","6ft x 10ft",NA,NA,"Aluminium frame, Polycarbonate panels","Yes",NA,NA,NA,NA,NA,NA,1
"GAR","TRA","pr00008","Palram Polycarbonate Greenhouse Silver Effect 6x6","Palram","6ft x 6ft",NA,NA,"Aluminium frame, Polycarbonate panels","Yes",NA,NA,NA,NA,NA,NA,1
"GAR","TRA","pr00009","Palram Polycarbonate Greenhouse Silver Effect 6x8","Palram","6ft x 8ft",NA,NA,"Aluminium frame, Polycarbonate panels","Yes",NA,NA,NA,NA,NA,NA,1
"GAR","TRA","436274","Rowlinson Single Hardwood Coldframe","Rowlinson","61cm",NA,NA,"Wood Timber","No",NA,NA,NA,NA,NA,NA,1
"GAR","TRA","406178","Whitefurze Barrel Planter 50cm","Whitefurze","50cm",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,0.93
"GAR","TRA","123613","Wilko Seed Tray Insert Olive 24cm 3pk","Wilko","24Cell","Green","3pk",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"GAR","TRA","446060","Wilko Pop Up Planter","Wilko","50cm x 95cm",NA,"1","Iron Oxford Fabric",NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"GAR","TRA","446062","Wilko Angled Raised Bed","Wilko","45cm x 50cm x 75cm",NA,"1","Iron Oxford Fabric PP",NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"GAR","TRA","446063","Wilko Modular Raised Bed","Wilko","50cm x 45cm",NA,"1","Iron Oxford Fabric PP",NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"GAR","TRA","446064","Wilko Modular Raised Bed Large","Wilko","50cm x 28cm",NA,"1","Iron Oxford Fabric PP",NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"GAR","WOO","3186740","Cuprinol Wood Preserver Clear 1L","Cuprinol","1L","Clear","1",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
