"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"DEC","ADH","4224040","Copydex Adhesive 125ml","Copydex",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","421517","Gorilla Tape 11m","Gorilla Glue",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.95
"DEC","ADH","421519","Gorilla Tape Handy Roll 9.14m x 25mm","Gorilla Glue",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.95
"DEC","ADH","421525","Gorilla Glue 60ml","Gorilla Glue",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","421526","Gorilla Glue 115ml","Gorilla Glue",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","421527","Gorilla Glue 250ml","Gorilla Glue",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","421528","Gorilla Wood Glue 118ml","Gorilla Glue",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.95
"DEC","ADH","421530","Gorilla Wood Glue 532ml","Gorilla Glue",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.95
"DEC","ADH","421531","Gorilla Epoxy Glue 25ml","Gorilla Glue",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.95
"DEC","ADH","421532","Gorilla Superglue 3g 2pk","Gorilla Glue",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,0.95
"DEC","ADH","421533","Gorilla Superglue 15g","Gorilla Glue",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.95
"DEC","ADH","421534","Gorilla Superglue Gel 15g","Gorilla Glue",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.95
"DEC","ADH","441732","Gorilla Heavy Duty Grab Adhesive 290ml","Gorilla Glue","290ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.95
"DEC","ADH","441733","Gorilla Heavy Duty Mounting Tape 25.4mm x 1.52m","Gorilla Glue","1.52m",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.833333333333333
"DEC","ADH","169379","Unibond Powertape Black 50mmx25m","Henkel",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.95
"DEC","ADH","150185","Loctite Super Glue Powerflex Gel 3g","Loctite",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","222915","Loctite Super Glue Water Resistant Brush On 5g","Loctite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","295291","Loctite Power Easy Gel 3g","Loctite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","433384","Loctite 60 Seconds All Purpose Glue 20g","Loctite","20g",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","433397","Loctite Superglue Power Flex Mini Trio Gel 1g 3pk","Loctite","3 x 1g",NA,"3",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","74309","Loctite Super Glue 5g","Loctite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","74310","Loctite Super Glue Universal 3g","Loctite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","303488","Unibond No More Nails Original Interior 200ml","No More Nails",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","231136","Unibond Repair Extreme Power Glue 20g","Unibond",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","237184","Unibond No More Nails Strips Removable Interior and Exterior 10pk","Unibond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","237185","Unibond No More Nails Strips Permanent Interior and Exterior 10pk","Unibond",NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","245982","Unibond No More Nails Original Adhesive 300ml","Unibond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","245983","Unibond No More Nails Original Interior 200ml","Unibond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","301997","Unibond No More Nails Original Interior 40ml","Unibond",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","323466","Unibond Power Tape Extra Strong Silver 50mmx25m","Unibond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","340867","Unibond Waterproof Cartridge No More Nails","Unibond",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","341318","Unibond Transparent Repair Tape 50mm x 25m","Unibond",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","433385","Unibond Duct Tape 50m x 50mm 2pk","Unibond","50mm x 50m",NA,"2",NA,NA,NA,NA,NA,NA,NA,0.833333333333333
"DEC","ADH","433389","Unibond Strong Packaging Tape 50mm x 50m","Unibond","50mm x 50m",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","433390","Unibond Repair Power Epoxy Permanent Adhesive 1 minute 14ml","Unibond","14ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.95
"DEC","ADH","433391","Unibond Repair Power Epoxy Permanent Adhesive 5 minute 14ml","Unibond","14ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","433392","Unibond One For All Crystal Glue Transparent 290g","Unibond","290g",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","433393","Unibond One For All Super Grab White 440g","Unibond","440g",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","433394","Unibond One For All Universal White 390g","Unibond","390g",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"DEC","ADH","433395","Unibond Super PVA Adhesive and Sealer 250ml","Unibond","250ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","433398","Unibond No More Nails Wood 225g","Unibond",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","157228","Wilko Decorator Power Bond Instant Grab Solvent Free 300g","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","209358","Wilko Glass Glue 3g","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","209359","Wilko Plastic Glue 20ml","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","288947","Wilko Fabric Glue 20ml","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","288948","Wilko Leather Glue 20ml","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","288950","Wilko Rubber Glue 15g","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","288959","Wilko PVA Adhesive 225ml","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","437143","Wilko DIY Tape 50mm x 10m Silver","Wilko","Wilko DIY Tape Silver 50mmx10m","Silver","1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","437144","Wilko DIY Tape 50mm x 10m White","Wilko","Wilko DIY Tape White 50mmx10m","White","1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","437145","Wilko DIY Tape 50mm x 10m Black","Wilko","Wilko DIY Tape Black 50mmx10m","Black","1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","437146","Wilko DIY Tape 50mm x 10m Beige","Wilko","Wilko DIY Tape Beige 50mmx10m","Brown","1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","437147","Wilko DIY Tape 50mm x 10m Red","Wilko","Wilko DIY Tape Red 50mmx10m","Red","1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","437148","Wilko Rug Tape 50mm x 5m","Wilko","Rug tape 50mmx5m","Brown","1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","437149","Wilko Double Sided Tape 50mm x 10m","Wilko","Wilko Double Sided Tape 50mmx10m","White","1","Plastic",NA,NA,NA,NA,NA,NA,1
"DEC","ADH","437151","Wilko All Weather Tape 50mm x 10m","Wilko","Wilko All Weather Tape 50mmx10m","Clear","1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","437153","Wilko DIY Tape 50mm x 50m Black","Wilko","Wilko DIY Tape Black 50mmx50m","Black","1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","81176","Wilko Super Glue 3g","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","432835","Wilko Functional Super Glue Tubes 8 x 2g","Wilko Functional","8 x 2g",NA,"8pk",NA,NA,NA,NA,NA,NA,NA,1
"DEC","CAR","151437","RolaBond Carpet and Vinyl Metal Edgings Z SectionSilver 800mm","RolaBond","800mm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"DEC","CAR","169786","RolaBond Universal Carpet Gripper 12.2m/40ft/Approx.","RolaBond","12.2m Approx",NA,"8pk",NA,NA,NA,NA,NA,NA,NA,0.93
"DEC","CAR","2848740","RolaBond Carpet and Vinyl Metal Edgings Dual GripStandard Silver 800mm","RolaBond","800mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"DEC","CAR","2848940","RolaBond Metal Edging Coverstrip Aluminium M104","RolaBond","800mm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"DEC","CAR","2849140","RolaBond Carpet and Vinyl Metal Edgings Vinyl EdgeSmall Silver 90cmx2.8cm","RolaBond","90cmx2.8cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
