"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"SBK","ADH","431759","Avery Printable Mailing Labels Assorted Sizes","Avery",NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","ADH","431763","Avery Printable Clear Labels 36pk 95 x 41mm","Avery",NA,NA,"36",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","ADH","431761","Dymo Digital Postal Scales 2kg","Dymo",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","ADH","417028","Pentel Twin Tipped Permanent Marker 2pk","Pentel","Each Marker 13.8cm x 1.3cm x 1.8cm","Black","2",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADH","300391","Post Office PostPak Bubble Envelope Size 5 345 x 260mm","Royal Mail","Size 5","Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88
"SBK","ADH","300392","Post Office PostPak Mailing Box Small Parcel","Royal Mail","Small","Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"SBK","ADH","300393","Post Office PostPak Envelope Size 1 245 x 170mm","Royal Mail","Size 1","Red","1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"SBK","ADH","300394","Post Office PostPak Book Box Large","Royal Mail","Small","Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88
"SBK","ADH","431753","Post Office PostPak Bubble Envelopes Size 0 3pk 195 x 140mm","Royal Mail","1013559",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,0.83
"SBK","ADH","431754","Post Office PostPak Bubble Envelopes Size 1 3pk 245 x 170mm","Royal Mail",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,0.76
"SBK","ADH","431756","Post Office PostPak Bubble Envelopes Size 5 3pk 345 x 260mm","Royal Mail",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,0.76
"SBK","ADH","431758","Post Office Polythene Envelopes 5pk Assorted Sizes","Royal Mail",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,0.76
"SBK","ADH","431871","Scotch Packaging Tape 48mm x 20.3m","Scotch","L x 0.0710m W x 0.0600m H x 0.1040m","Brown","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADH","431872","Scotch Brown Packaging Tape 66M x 50mm","Scotch","L x 0.120m W x 0.1020 H x 0.500m","Brown","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADH","433055","Scotch Universal Comfort Scissors 18cm","Scotch","L x 0.1050m W x 0.0130m H x 0.2710m","Red","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADH","108100","Wilko Cushion Envelopes 4pk 150 x 215mm","Wilko","150x215mm","Brown","4pk",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADH","18855","Wilko Parcel Tape Brown","Wilko","50mmx60m","Brown","1",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"SBK","ADH","203741","Wilko Luggage Tags 10pk","Wilko","10 pack","Multi","10",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADH","238457","Wilko Kraft Wrapping Paper 6m x 500mm","Wilko","500mmx6m","Brown",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
"SBK","ADH","261523","Wilko Peel & Seal Window Envelopes White DL 25pk110 x 220mm","Wilko","110x220mm","White","25pk",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADH","261524","Wilko Bubble Cushioned Envelopes Manilla 2pk 470 x350mm","Wilko","340x445mm","Brown","2pk",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADH","261530","Wilko Peel & Seal Envelopes C4 Manilla 10pk324 x 229mm","Wilko","324x229mm","Brown","10pk",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADH","261532","Wilko Peel & Seal Envelopes C5 Manilla 25pk229 x 162mm","Wilko","229x162mm","Brown","25pk",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADH","261533","Wilko Peel & Seal Envelopes C5 White 25pk229 x 162mm","Wilko","229x162mm","White","25pk",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADH","261534","Wilko Peel & Seal Envelopes DL White 50pk110 x 220mm","Wilko","110x220mm","White","50pk",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADH","261535","Wilko Peel & Seal Envelopes C6 White 50pk114 x 162mm","Wilko","114x162mm","White","50pk",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADH","261539","Wilko Money Envelopes Manilla 50pk 101 x 76mm","Wilko","101x76mm","Brown","50pk",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADH","261548","Wilko Clear Adhesive Tape 50mm x 60m","Wilko","50mmx60m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"SBK","ADH","261549","Wilko Warning Tape Fragile 50mm x 30m","Wilko","50mmx33m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"SBK","ADH","262795","Wilko Mailing Bag A5 Small 10pk 160 x 230mm","Wilko","Small","Multi","10",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADH","262796","Wilko Mailing Bag A4 Medium 5pk 240 x 320mm","Wilko","Medium","Silver","5pk",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADH","262797","Wilko Mailing Bag A3 Large 5pk","Wilko","A3","Grey","3pk",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADH","262801","Wilko Self Adhesive Address Labels White 30pk55 x110mm","Wilko","55x110mm","Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADH","299456","Wilko String Ball 40m","Wilko","40m","Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADH","300216","Wilko Writing Pad Lined White 100 Sheets 80GSM","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADH","300217","Wilko Writing Pad Plain White 100 Sheets 80GSM","Wilko","100 Sheets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADH","317925","Wilko Board Backed Envelopes C4 Manilla 10pk 324 x229mm","Wilko","324x229mm","Brown","10pk",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADH","317926","Wilko Peel & Seal Envelopes C4 White 10pk324 x 229mm","Wilko","324x229mm","White","10pk",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADH","432625","Wilko Envelopes Manilla 40pk Assorted Sizes","Wilko","Envelopes.C4,C5,C6,DL Self Seal","White","40",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADH","73894","Wilko Bubble Cushioned Envelopes 7G Manilla 4pk240 x 335mm","Wilko","240x335mm","Brown","4pk",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADH","78673","Wilko Bubble Wrap Roll 30cm x 5m","Wilko","5mx30cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","ADH","94580","Wilko Envelopes Ivory C6 50pk 114 x 162mm","Wilko","114x162mm","Cream","25pk",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADH","94596","Wilko Postcards White 12pk","Wilko",NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADH","261527","Wilko Peel & Seal Envelopes Manilla 50pk89 x 152mm","Wilko Functional","89x152mm","Brown","50pk",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"SBK","ADH","261528","Wilko Gummed Envelopes White 50pk110 x 220mm","Wilko Functional","110x220mm","White","50pk",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"SBK","ADU","433068","Bic Conte Water Based Colouring Felt Tips 0.9mm 10pk","Bic",NA,"Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","433069","Bic Conte Premium Colouring Pencils 12pk","Bic",NA,"Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","433070","Bic Conte Premium Watercolour Pencils 12pk","Bic",NA,"Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","322005","Dovecraft 3D Foam Pads Square 400pk 5 x 5mm","Dovecraft",NA,"White","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADU","322022","Dovecraft Essentials Colours Paper Pack 120gsm Assorted Colours 72 Sheets","Dovecraft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"SBK","ADU","322034","Dovecraft Clear Card Bags Square 20pk 145 x 145mm","Dovecraft",NA,"Clear","20pk",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADU","322040","Dovecraft Precision Scissors","Dovecraft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"SBK","ADU","322041","Dovecraft Special Effect Metallic Markers 5pk","Dovecraft",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","ADU","322042","Dovecraft Clear Card Bags C6 20pk 120 x 169mm","Dovecraft",NA,"Clear","20pk",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADU","322045","Dovecraft Premium Pigment Ink Pad","Dovecraft",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","ADU","322047","Dovecraft Premium Pigment Ink Pad","Dovecraft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"SBK","ADU","322049","Dovecraft Square Cards and Envelopes White 10pk14 x14 cm","Dovecraft",NA,"White","10pk",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADU","322053","Dovecraft Peel Off Letters and SymbolsGold and Silver Assorted","Dovecraft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"SBK","ADU","322054","Dovecraft Peel Off Happy Birthday Stickers Gold and Silver Assorted","Dovecraft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"SBK","ADU","322055","Dovecraft Cards and Envelopes Cream C6 10pk","Dovecraft",NA,"Cream","10pk",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADU","322056","Dovecraft Cards and Envelopes White C6 10pk","Dovecraft",NA,"White","10pk",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADU","322057","Dovecraft Square Cards and Envelopes Cream 10pk14 x 14cm","Dovecraft",NA,"Cream","10pk",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADU","331530","Dovecraft Peel Off Sentiment Stickers Gold and Silver","Dovecraft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"SBK","ADU","416451","Dovecraft Ribbon Reels Assorted Designs 2m","Dovecraft",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","416457","Dovecraft Curiosity Corner Lace Ribbons","Dovecraft",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","416459","Dovecraft Curiosity Corner Metal Keys 3pk","Dovecraft",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","ADU","416480","Dovecraft Kraft Cards and Envelopes10pk 5 x 7in","Dovecraft",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","416481","Dovecraft Kraft Cards and Envelopes10pk 6 x 6in","Dovecraft",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","416482","Dovecraft Ribbon Reels Assorted Designs 2m","Dovecraft",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","416483","Dovecraft Curiosity Corner Sentiment Clear Stamps6pk","Dovecraft",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","416484","Dovecraft Curiosity Corner Clear Stamps 4pk","Dovecraft",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","416485","Dovecraft Curiosity Corner Wooden Frames 12pk","Dovecraft",NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","ADU","416486","Dovecraft Curiosity Designer Paper 6 x 6in 150gsmAssorted Designs 72 Sheets","Dovecraft",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","416487","Dovecraft Curiosity Corner Premium Adhesive Gems and Pearls Assorted Colours and Sizes","Dovecraft",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","416488","Dovecraft Curiosity Corner Twine 3 x 10m","Dovecraft",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","417621","Dovecraft Essentials Photo Frames 10pk","Dovecraft",NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","417622","Dovecraft Essentials Photo Corners 24pk","Dovecraft",NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","418641","Dovecraft Clear Stamp Block 12 x 5cm","Dovecraft","12cm x 5cm","Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADU","433056","Dovecraft Floral Muse Designer Paper6 x 6in 150gsm Assorted Designs 72 Sheets","Dovecraft",NA,"Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADU","433057","Dovecraft Floral Muse Card Butterflies Assorted Designs 10pk","Dovecraft",NA,"Multi","10",NA,NA,NA,NA,NA,NA,NA,NA,1
