"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Capacity","Age","Model Number","DQ Score"
"TOI","ACB","325531","Bathtime Buddies Soap Crayons","Bathtime Buddies",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.825
"TOI","ACB","430347","Bathtime Buddies Alphabet Set","Bathtime Buddies",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","ACB","325536","Disney Princess Bath and Shower Bubbles 400ml","Disney",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","ACB","441277","Marvel Avengers Superhero Body Wash 400ml","Disney",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8625
"TOI","ACB","441278","Marvel Avengers Superhero 2in1 Shampoo andConditioner 400ml","Disney",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.81
"TOI","ACB","441744","Disney Frozen Detangling Hair Spritz 100ml","Disney",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","ACB","441745","Disney Frozen Elsa Hair Brush","Disney",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","ACB","441747","Disney Pixar Finding Dory Bath and Shower Bubbles400ml","Disney",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","ACB","452979","Disney Frozen Bath and Shower Bubbles","Disney Frozen",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","ACB","452293","Marvel Spider-Man Bath and Shower Bubbles400ml","Marvel","Expanded Facecloth 28cm x 28cm",NA,"1",NA,NA,NA,NA,NA,NA,0.95
"TOI","ACB","441275","Despicable Me Minion Made Bubble Bath 400ml","Minions",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8625
"TOI","ACB","441276","Despicable Me Giggling Minion Hand Wash 250ml","Minions",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8625
"TOI","ACB","441253","Paw Patrol Bath and Shower Gel 400ml","Paw Patrol",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","ACB","452929","Paw Patrol Foam Soap 250ml","Paw Patrol","250ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","ACB","430351","Shopkins Bath and Shower Bubbles 400ml","Shopkins",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","ACB","430352","Shopkins Magic Facecloth","Shopkins",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAB","271432","Bepanthen Nappy Care Ointment 100g","Bepanthen","100g",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAB","281543","Bepanthen Nappy Care Ointment 30g","Bepanthen","30g",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAB","456896","Dove Baby Lotion Rich Moisture 200ml","Dove",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.81
"TOI","BAB","456898","Dove Baby Rich Moisture Shampoo 200ml","Dove",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.81
"TOI","BAB","456901","Dove Baby Rich Moisture Head to Toe Wash 200ml","Dove",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.81
"TOI","BAB","172788","Infacol Colic Relief Drops 50ml","Infacol","50ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAB","174099","Johnsons Baby Bedtime Bath Lavender and Camomile300ml","Johnsons","300ml",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAB","227002","Johnsons Baby Soap 4 Bar Value Pack","Johnsons","100g",NA,"4pk",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAB","285264","Johnsons Baby Oil 300ml","Johnsons","300ml",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAB","285265","Johnsons Baby Shampoo 300ml","Johnsons","300ml",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","BAB","285530","Johnsons Baby Bath 300ml","Johnsons","300ml",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAB","285531","Johnsons Baby Lotion 300ml","Johnsons","300ml",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAB","312118","Johnsons 2in1 Bath And Wash 300ml","Johnsons","300ml",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAB","347211","Johnsons Baby Light Oil Spray 200ml","Johnsons","200ml",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAB","50340","Johnsons Baby Powder 500g","Johnsons","500g",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAB","58245","Johnsons Cotton Buds 200pk","Johnsons","200",NA,"200pk",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAB","292203","Metanium Nappy Rash Ointment 30g","Metanium","30g",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAB","231794","Milton Sterilising Tablets 28pk","Milton","112g",NA,"15pk",NA,NA,NA,NA,NA,NA,1
"TOI","BAB","242082","Milton Antibacterial Surface Spray 500ml","Milton","500ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAB","341556","Milton Sterilising Fluid 1L","Milton","1L",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAB","193665","Napisan Non Biological Stain Remover 800g","Napisan","800g",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAB","290564","Sanex Dermo Kids Bodywash and Foam Bath 500ml","Sanex","500ml",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAB","427222","Simple Baby All in One Wash 300ml","Simple",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"TOI","BAB","427223","Simple Baby Moisturising Bath 300ml","Simple",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"TOI","BAB","427224","Simple Baby Moisturising Shampoo 300ml","Simple",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"TOI","BAB","172789","Sudocrem Antiseptic Healing Cream 250g","Sudocream","250g",NA,"1",NA,NA,NA,NA,NA,NA,0.95
"TOI","BAB","251205","Sudocream Antiseptic Healing Cream 60g","Sudocream","60g",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAB","280596","Nelsons Teetha Natural Teething Granules 24pk","Teetha",NA,NA,"24pk",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAB","33067","Vaseline Pure Petroleum Jelly Original 100ml","Vaseline",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAB","217867","Wilko Baby Oval Cotton Wool Pads 100pk","Wilko","100 Pads",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAB","289750","Wilko Baby Cotton Wool 100pk","Wilko","100 Pack",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAB","289751","Wilko Baby Cotton Wool Pleat 200g","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"TOI","BAB","341239","Wilko Baby Baby Shampoo 500ml","Wilko","500ml",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","BAB","341731","Wilko Sterilising Fluid 500ml","Wilko","500ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAB","346742","Wilko Petroleum Jelly Tub  200g","Wilko","200g",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAB","346743","Wilko Baby Bum Cream 235ml","Wilko","225g",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAB","346744","Wilko Baby Talc 500g","Wilko","500g",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAB","69934","Wilko Baby Cotton Wool Roll 250g","Wilko","250g",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAB","81306","Wilko Soft Cotton Wool Balls Baby 200s","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"TOI","BAB","33079","Woodwards Gripe Water Alcohol and Sugar Free150ml","Woodwards","150ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAC","288854","Bathtime Buddies 2 Little Ducks","Bathtime Buddies",NA,"Multi",NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","BAC","271249","Tommee Tippee Close To Nature Breast and BottleFeeding Teats 2pk","Tommee Tippee","3Months",NA,"2pk",NA,NA,NA,NA,NA,NA,0.883333333333333
"TOI","BAC","271250","Tommee Tippee Closer To Nature Fast Flow Teats 2pk","Tommee Tippee","6 Months",NA,"1",NA,NA,NA,NA,"6 Months",NA,0.941666666666667
"TOI","BAC","281690","Tommee Tippee Closer To Nature Bottle 260ml 2pk","Tommee Tippee","260ml",NA,"1",NA,NA,NA,NA,"Birth",NA,0.941666666666667
"TOI","BAC","421396","Tommee Tippee Active Sports Bottle 12+ Months","Tommee Tippee","300ML",NA,"1",NA,NA,NA,NA,"12 Months Plus",NA,0.9
"TOI","BAC","421397","Tommee Tippee Insulated Active Straw Cup 12+Months","Tommee Tippee","260ML",NA,"1",NA,NA,NA,NA,"12 Months Plus",NA,0.9
"TOI","BAC","421398","Tommee Tippee Insulated Active Sippee Cup 12+Months","Tommee Tippee","260ML",NA,"1",NA,NA,NA,NA,"12 Months Plus",NA,0.9
"TOI","BAC","319812","Wilko Baby Plug Socket Protectors White 6pk","Wilko",NA,NA,"6pk",NA,NA,NA,NA,NA,NA,0.86
"TOI","BAC","319813","Wilko Baby Long Multi-Purpose Locks White 2pk","Wilko",NA,NA,"2pk",NA,NA,NA,NA,NA,NA,0.86
"TOI","BAC","319814","Wilko Baby Drawer Latches 4pk","Wilko","4 Pack",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAC","319815","Wilko Baby Corner Guards Clear 4pk","Wilko","4 Pack",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAC","347408","Wilko Soothers Cherry 4pk 6-18 Months","Wilko","6-18 Months","Multi","1",NA,NA,NA,NA,"6 months +",NA,1
"TOI","BAC","347410","Wilko Night Soother Dummies 6 - 18 Months","Wilko",NA,"Multi","1",NA,NA,NA,NA,"6 months +",NA,0.941666666666667
"TOI","BAC","347415","Wilko Silicone Teats Fast Flow 2pk 6+ Months","Wilko",NA,NA,"2",NA,NA,NA,NA,"3 months +",NA,0.883333333333333
"TOI","BAC","347416","Wilko Silicone Teats Med Flow 2pk 3+ Months","Wilko",NA,NA,"2",NA,NA,NA,NA,"3 months +",NA,0.883333333333333
"TOI","BAC","347417","Wilko Bottle Wide Neck 250ml","Wilko","250ml",NA,"1",NA,NA,NA,NA,"From Birth",NA,0.941666666666667
"TOI","BAC","347427","Wilko Wide Neck Fast Flow Teat 2pk","Wilko","Wide Neck",NA,"1",NA,NA,NA,NA,"3 months +",NA,0.941666666666667
"TOI","BAC","347434","Wilko Toddler Plastic Cutlery 3pk","Wilko","Toddler","Multi","3",NA,NA,NA,NA,"12 months +",NA,0.95
"TOI","BAC","347435","Wilko Toddler Plates 3pk","Wilko",NA,"Multi","3",NA,NA,NA,NA,NA,NA,0.85
"TOI","BAC","347436","Wilko Toddler Bowls 3pk","Wilko",NA,"Multi","3",NA,NA,NA,NA,NA,NA,0.85
"TOI","BAC","347459","Wilko Bottle and Teat Brush","Wilko",NA,NA,"1",NA,NA,NA,NA,"0+Months",NA,0.883333333333333
"TOI","BAC","347469","Wilko Sunshade","Wilko",NA,NA,"1",NA,NA,NA,NA,"0+Months",NA,0.93
"TOI","BAC","347473","Wilko Baby Scissors","Wilko",NA,NA,"1",NA,NA,NA,NA,"0+Months",NA,0.93
"TOI","BAN","456899","Dove Baby Wipes Sensitive 50pk","Dove",NA,NA,"50",NA,NA,NA,NA,NA,NA,0.81
"TOI","BAN","228965","Huggies Wipes Natural Care Aloe Vera and Vitamin E56pk","Huggies","64",NA,"64pk",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAN","228966","Huggie Baby Wipes Pure 56pk","Huggies","56 Wipes",NA,"1",NA,NA,NA,NA,NA,NA,0.88
"TOI","BAN","253765","Huggies Dry Nites Pyjama Pants Girls 4-7 Years10pk","Huggies","17-30kg",NA,"10pk",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAN","253766","Huggies Dry Nites Pyjama Pants Boys 4-7 Years10pk","Huggies","17-30kg - 2st 10lbs-4st 10lbs",NA,"10pk",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAN","288087","Huggies Dry Nites Pyjama Pants Boys 8-15 Years 9pk","Huggies","8-15Yrs",NA,"9pk",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAN","288088","Huggies Drynites Pyjama Pants Girls 8-15 Years 9pk","Huggies","8-15Yrs",NA,"1",NA,NA,NA,NA,NA,NA,0.93
