"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Model Number","DQ Score"
"HOM","CLO","298254","Acctim Mini Flip LCD Alarm Clock Silver","Acctim","Single","Silver",NA,NA,NA,NA,"Battery",NA,NA,NA,0.941666666666667
"HOM","CLO","326363","Acctim Newton Wall Clock","Acctim","Single","Brown","1",NA,NA,NA,"Battery",NA,NA,NA,1
"HOM","CLO","326591","Wilko Antique Effect Clock 30cm","Acctim","Single","Cream","1",NA,NA,NA,"Battery",NA,NA,NA,0.95
"HOM","CLO","453209","Acctim Aura LCD Alarm Clock","Acctim",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.825
"HOM","CLO","453210","Acctim Lunz Wall/Table Clock","Acctim",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.825
"HOM","CLO","453155","Jones Darwin Clock 30cm","Jones",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.825
"HOM","CLO","453156","Jones The Teapot Clock","Jones",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.825
"HOM","CLO","453157","Jones Alarm Clock","Jones",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.825
"HOM","CLO","287981","Wilko Square Alarm Clock Black","Wilko","Single","Black","1",NA,NA,NA,"Battery",NA,NA,NA,1
"HOM","CLO","310761","Wilko Retro Wall Clock Cream","Wilko",NA,"Cream","1",NA,NA,NA,"Battery",NA,NA,NA,0.941666666666667
"HOM","CLO","341277","Wilko Station Clock Cream","Wilko","6.5 x 51.8 x 52.8cm","Cream","1",NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","CLO","341278","Wilko Giant Station Clock Black","Wilko","6.5 x 51.8 x 52.8cm","Black","1",NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","CLO","427023","Wilko Square Alarm Clock Cream","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOM","CLO","427148","Wilko Bell Alarm Clock Silver","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOM","CLO","452427","Wilko Station Clock Giant Red","Wilko","Dia: 47.8cm x Depth: 5.5cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOM","CLO","452428","Wilko Station Clock Giant Grey","Wilko","Dia: 47.8cm x Depth: 5.5cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOM","CLO","452620","Wilko Silver Classic Wall Clock","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOM","CLO","452621","Wilko Classic Wall Clock Copper Effect","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOM","CLO","452622","Wilko Retro Wall Clock Grey","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOM","CLO","452623","Wilko Retro Wall Clock Red","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOM","CLO","452624","Wilko Radio Controlled Alarm Clock","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOM","CLO","452625","Wilko Radio Controlled Wall Clock","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.825
"HOM","CLO","452626","Wilko MDF Slogan Clock","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOM","CLO","452627","Wilko Bell Alarm Clock Copper Effect","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.825
