"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"HOM","DIN","p200042","Brompton Dining Set 3 Piece Walnut","Brompton","T 74x75x75cm, C 96x41.5x57cm","Wood",NA,"Chair - Faux Leather","Yes",NA,NA,NA,NA,NA,NA,1
"HOM","DIN","s100002","Rio Square Dining Set with 2 chairs Pine","Rio",NA,"Wood",NA,"Pine","Yes",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","DIN","240687","Breakfast Dining Set 3 Piece","Wilko","81x53x85cm","Wood",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,0.891666666666667
"HOM","DIN","420757","Lisbon Chair Beige Pair","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
"HOM","DIN","420758","Lisbon Chair Grey  Pair","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
"HOM","DIN","421545","Oakhurst Dining Set with 4 Black Faux LeatherChairs","Wilko",NA,NA,NA,"MDF with melamine, rubber wood legs","Yes",NA,NA,NA,NA,NA,NA,0.833333333333333
"HOM","SHE","273949","Pratica Tendenza Floating Shelf Kit White25cm x 60cm","Tendenza","25cmx60cm","White","1","MDF",NA,NA,NA,NA,NA,NA,NA,1
"HOM","SHE","273950","Practica Tendenza Floating  Shelf Kit White25cm x 100cm","Tendenza","25cmx100cm","White","1","MDF",NA,NA,NA,NA,NA,NA,NA,1
"HOM","SHE","273951","Pratica Tendenza Floating Shelf Kit Oak Effect25cm x 60cm","Tendenza","25cmx60cm","Cream","1","MDF",NA,NA,NA,NA,NA,NA,NA,1
"HOM","SHE","273952","Pratica Tendenza Floating Shelf Oak Effect25cm x 100cm","Tendenza","25cmx100cm","Cream","1","MDF",NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","433619","Prestige Non stick Cushion Smart Small Roaster","Prestige","W33cm x D23.5cm x H 6cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","433620","Prestige Large Roaster Cushion Smart Non Stick","Prestige","W41cm x D32cm x H8cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","433621","Prestige Baking Sheet Cushion Smart Non Stick","Prestige","W39cm x D34cm x H2.5cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","433622","Prestige Oven Tray Cushion Smart Non Stick","Prestige","W39.5cm x D31cm x H3.5cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","433623","Prestige Pizza Tray Non Stick","Prestige","W41cm x D36cm x H2.5cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","433624","Prestige Loaf Tin Cushion Smart Non Stick 2lb","Prestige","W30cm x D14cm x H7.5cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","433625","Prestige Bun Tin Non Stick","Prestige","W28.5cm x D23.5cm x H4cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","433626","Prestige Sandwich Tin Cushion Smart Non Stick","Prestige","W28.5cm x D23.5cm x H4cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","434384","Salter Add and Weigh Jug Kitchen Scale","Salter","2.2kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","1242","Wilko Non-Stick 4 Cup Yorkshire Pudding Tin","Wilko","4 Cup","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","124825","Wilko Kitchen Non-Stick Deep Muffin Tin 12 Cup","Wilko","35.4x27x3cm","Grey","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","254135","Wilko Non-Stick Pizza Platter 33cm","Wilko","31cm","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","254137","Wilko Non-Stick Loaf Tin 900g/2lb","Wilko","900g","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","351463","Wilko Loaf Pan 1lb","Wilko","1lb","Metal","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","352654","Wilko Deep Square Cake Tin","Wilko","Square","Metal","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","352660","Wilko Loose Base Deep Cake Tin 8in","Wilko","21.5x21.5cm","Metal","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","434387","Wilko Cake Carousel","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.8
"KIT","BAK","434391","Wilko Wooden Salt and Pepper Mill","Wilko","6.3cm x 6.3cm x 22cm",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","434392","Wilko Chip Bucket","Wilko","11cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.85
"KIT","BAK","434393","Wilko Chip Dustbin","Wilko","8.5cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.85
"KIT","BAK","434394","Wilko Mini Frypan with Board","Wilko","Frypan 11.5cm, board 13.7cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.85
"KIT","BAK","452439","Wilko Round Pan 29.8cm","Wilko","29.8cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","452440","Wilko Loaf Pan 31.2cm","Wilko","31.2cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","452441","Wilko Square Pan 27.5cm","Wilko","27.5cm",NA,"1","carbon steel",NA,NA,NA,NA,NA,NA,NA,0.9
"KIT","BAK","452442","Wilko Small Roaster 33cm","Wilko","33cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","452443","Wilko Muffin Pan 12 Cup 40.4cm","Wilko","40.4cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","452444","Wilko Medium Roaster 40cm","Wilko","40cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","452445","Wilko Small Cookie Sheet 39cm","Wilko","39cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","452446","Wilko Mini Kid's Bake Pan Assted","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","BAK","52637","Wilko Roaster 35 x 26cm","Wilko","33x26cm","Grey","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","60600","Wilko Cake Tin Non-Stick Deep 20cm","Wilko","20cm","Grey","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","60602","Wilko Sandwich Tin 19cm","Wilko","19cm","Grey","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","60606","Wilko Kitchen Non-Stick Roaster 25 x 20cm","Wilko","28x22cm","Grey","1",NA,NA,NA,NA,NA,NA,NA,NA,1
