"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Age","Model Number","DQ Score"
"TOY","ACT","408666","Marvel Avengers Titan Hero Series 12in FigureAssortment","Avengers",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","439630","Avengers Walkie Talkies","Avengers",NA,"Multi","1",NA,NA,NA,"3x AAA Batteries Included","3 Years +",NA,1
"TOY","ACT","439971","Marvel Avengers Assemble Creepeez Assorted","Avengers",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","447533","Avengers Snap Band Assortment","Avengers",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","450241","Avengers Mashems","Avengers",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","440510","Spiderman/Batman Mashems Assortment","Batman",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","263898","Disney Cars Die Cast Cars 1:55 Scale Assortment","Cars",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","448316","Disney Cars Oversized Diecast Assortment","Cars",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","449111","Disney Cars 3 Plush Keyring","Cars",NA,"Multi","1",NA,NA,NA,NA,"12 Months +",NA,0.9
"TOY","ACT","448256","Grossery Gang 10pk Assortment","Grossery Gang",NA,"Multi","1",NA,NA,NA,NA,"5 Years +",NA,0.891666666666667
"TOY","ACT","448257","Grossery Gang Surprise Blind Bag","Grossery Gang",NA,"Multi","1",NA,NA,NA,NA,"5 Years +",NA,0.891666666666667
"TOY","ACT","448258","Grossery Gang Assortment 5pk","Grossery Gang",NA,"Multi","1",NA,NA,NA,NA,"5 Years +",NA,0.891666666666667
"TOY","ACT","191086","Hot Wheels Basic Car Assortment","Hot Wheels",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","191089","Hot Wheels Die Cast Cars 1:64 Scale 5pk Assortment","Hot Wheels",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","335905","Hot Wheels Car Case","Hot Wheels",NA,"Multi","1",NA,NA,NA,NA,"5 Years +",NA,0.941666666666667
"TOY","ACT","428775","Hot Wheels Batman V Superman Assortment","Hot Wheels",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","448239","Minecraft Action Figure Assortment","Minecraft",NA,"Multi","1",NA,NA,NA,NA,"6 Years +",NA,0.941666666666667
"TOY","ACT","315170","Nerf N Strike Jolt Ex-1","Nerf",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","330544","Nerf N-Strike Elite Firestrike","Nerf",NA,"Multi","1",NA,NA,NA,"Battery","8 Years",NA,1
"TOY","ACT","330551","Nerf N Strike Strongarm Blaster","Nerf",NA,"Multi","1",NA,NA,NA,NA,"8 Years +",NA,0.941666666666667
"TOY","ACT","427422","Pokemon Trading Card Game 60pcs","Pokemon",NA,"Multi","1",NA,NA,NA,NA,"6 Years +",NA,0.941666666666667
"TOY","ACT","427423","Pokemon Trading Card Booster Pack 30pcs","Pokemon",NA,"Multi","1",NA,NA,NA,NA,"6 Years +",NA,0.941666666666667
"TOY","ACT","448159","Pokemon Collectors Tin","Pokemon",NA,"Multi","1",NA,NA,NA,NA,"6 Years +",NA,0.941666666666667
"TOY","ACT","448242","Qixels Theme Pack Assortment","Qixels",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","448247","Qixels Design Creator","Qixels",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.891666666666667
"TOY","ACT","428060","Scooby Doo Figure In Goo Assortment","Scooby Doo",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","428062","Scooby Doo Super Soft Plush","Scooby Doo",NA,"Multi","1",NA,NA,NA,NA,"From Birth",NA,0.9
"TOY","ACT","448340","Scooby Doo Vehicle and Figure Assortment","Scooby Doo",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","401371","Spiderman Titan Hero Series Figure 12in","Spiderman",NA,"Multi","1","Plastic","No",NA,NA,"3 Years +",NA,0.65
"TOY","ACT","419673","Starwars Walkie Talkies","Star Wars",NA,"Multi","1",NA,NA,NA,"3x AAA Batteries Included","3 Years +",NA,0.95
"TOY","ACT","421593","Star Wars Hero Series Figure Assorted","Star Wars",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","439981","Starwars Bouncy Ball","Star Wars",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.891666666666667
"TOY","ACT","448182","Hot Wheel Star Wars Diecast Starship 2pk","Star Wars",NA,"Multi","2",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","448487","Star Wars Keychain Assortment","Star Wars",NA,"Multi","1",NA,NA,NA,NA,"12 Months +",NA,0.941666666666667
"TOY","ACT","449899","Hot Wheels Star Wars Die Cast 2pk","Star Wars",NA,"Multi","2",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","332872","Turtles Mix and Match Action Figures Assortment","Teenage Mutant Ninja Turtles",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.891666666666667
"TOY","ACT","428326","Turtles Half-Shell Heroes Figure 2pk Assortment","Teenage Mutant Ninja Turtles",NA,"Multi","2",NA,NA,NA,NA,"3 Years +",NA,0.891666666666667
"TOY","ACT","419732","Transformers Robots in Disguise Figures Assortment","Transformers",NA,"Multi","1",NA,NA,NA,NA,"5 Years +",NA,0.941666666666667
"TOY","ACT","438827","Transformers Rescue Bots Assorted","Transformers",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","279774","Wilko Play Roadsters City Bus Assortment","Wilko",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","283861","Wilko Play Roadsters Die Cast Car Assortment","Wilko",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","289528","Wilko Play Roadsters City Service Fleet","Wilko",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","305657","Wilko Play Roadsters Heavy Hauler TransporterAssortment","Wilko",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","305662","Wilko Play Roadsters Heavy Haulers Locomotive","Wilko",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","305666","Wilko Play Roadsters Road Tripper","Wilko",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","329467","Wilko Play Roadsters Classic Bus Assortment","Wilko",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","329468","Wilko Play Roadsters Emergency Heli TransportAssortment","Wilko",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","335894","Wilko Play Roadsters Ice Cream Van","Wilko",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","336368","Wilko Heroes Flying Fortress Battle Zone","Wilko",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","350209","Wilko Play Roadsters Die Cast Cars 5pk Assortment","Wilko",NA,"Multi","5",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","350211","Wilko Play Roadsters City Transport Assortment","Wilko",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","350213","Wilko Heroes Commando Figures Assorted","Wilko",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","350214","Wilko Heroes Stealth Vehicle Jet","Wilko",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","350218","Wilko Heroes Over Under Dart Gun with 8 Foam Darts","Wilko",NA,"Multi","1",NA,NA,NA,NA,"6 Years +",NA,0.941666666666667
"TOY","ACT","350894","Wilko Heroes Recon Force Fig and Vehicle","Wilko",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","350988","Wilko Play Roadsters Super Car Raceway Slot Car48pcs","Wilko",NA,"Multi","1","Plastic","No",NA,"8x AA Batteries Not Included","5 Years +",NA,0.65
"TOY","ACT","417999","Wilko Play Roadsters Roadside Rescue Assortment","Wilko",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","419445","Wilko Play Roadsters Wheelie Monster Assortment","Wilko",NA,"Multi","1",NA,NA,NA,"3x AA Batteries Included","3 Years +",NA,1
"TOY","ACT","419484","Wilko Play Roadsters Mini City Vehicles 5pk","Wilko",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","438471","Wilko Roadsters Diecast Train Assortment","Wilko",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","438472","Wilko Diecast Roadsters Construction TrucksAssorted","Wilko",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","438473","Wilko Roadsters Diecast Helicopter Assortment","Wilko",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","438475","Wilko Roadsters Tractor and Trailer Assortment","Wilko",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","ACT","438476","Wilko Roadsters Diecast Cars 51pcs","Wilko",NA,"Multi","51",NA,NA,NA,NA,"3 Years +",NA,0.941666666666667
