"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Capacity","Model Number","DQ Score"
"DIS","BIN","5584640","Inglenook Hearth Cheek Brick","Harewood","15cmx3.5cmx17cm",NA,NA,NA,NA,NA,NA,NA,0.81
"DIS","BIN","5585940","Inglenook Hearth Brick","Harewood","3.8cmx23cmx15.5cm",NA,NA,NA,NA,NA,NA,NA,0.81
"DIS","BIN","245770","Inglenook Fire Cement 1kg","Inglenook","1kg","Multi","1",NA,NA,NA,NA,NA,1
"DIS","BIN","294490","Inglenook Fireside Shovel Black 5in","Inglenook","5in","Black",NA,NA,NA,NA,NA,NA,0.93
"DIS","BIN","133869","Supa Stix Firewood Kindling","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,0.81
"DIS","BIN","1554","Wilko Tie Handle Swing Bin Liners 50L 15pk","Wilko","Large",NA,"15",NA,NA,NA,NA,NA,0.883333333333333
"DIS","BIN","214132","Wilko Tie Handle Pedal Bin Liners 25L 30pk","Wilko","Large",NA,"30pk",NA,NA,NA,NA,NA,0.883333333333333
"DIS","BIN","238429","Wilko Tie Top Refuse Sacks 80L 20pk","Wilko","73cmx93cm",NA,"30pk",NA,NA,NA,NA,NA,0.883333333333333
"DIS","BIN","278076","Wilko Tall Kitchen Bin Liners 30L 20pk","Wilko","30L",NA,"20pk",NA,NA,NA,NA,NA,0.883333333333333
"DIS","BIN","278077","Wilko Tall Kitchen Bin Liners 50L 15pk","Wilko","50L",NA,"15pk",NA,NA,NA,NA,NA,0.883333333333333
"DIS","BIN","330867","Wilko Tie Handle Garden Refuse Sacks 80L 10pk","Wilko","80L",NA,"10pk",NA,NA,NA,NA,NA,0.883333333333333
"DIS","BIN","330868","Wilko Wheelie Bin Liners 120 x 240L 10pk","Wilko","80L",NA,"10pk",NA,NA,NA,NA,NA,0.883333333333333
"DIS","BIN","332574","Wilko Recycled Refuse Bags Large 100L 20pk","Wilko","Large",NA,"20pk",NA,NA,NA,NA,NA,0.883333333333333
"DIS","BIN","332590","Wilko Recycled Refuse Bags Large 90L 10pk","Wilko","Large",NA,"10pk",NA,NA,NA,NA,NA,0.883333333333333
"DIS","BIN","332591","Wilko Recycled Bin Bags Extra Large 120L 20pk","Wilko","Extra Large",NA,"20pk",NA,NA,NA,NA,NA,0.883333333333333
"DIS","BIN","333513","Wilko Recycled Swing Bin Liners 50L 20pk","Wilko","50L",NA,"20pk",NA,NA,NA,NA,NA,0.883333333333333
"DIS","BIN","400384","Wilko Home Compost Caddy Liner 20pk","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"DIS","BIN","400385","Wilko Industrial Compost Caddy Liner 20pk","Wilko",NA,NA,"20",NA,NA,NA,NA,NA,0.825
"DIS","BIN","400391","Wilko Extra Strong Rubble Sacks 10pk","Wilko","10 Pack",NA,"1",NA,NA,NA,NA,NA,0.883333333333333
"DIS","BIN","400392","Wilko Refuse Sacks Clear 20pk","Wilko",NA,NA,"20pk",NA,NA,NA,NA,NA,0.825
"DIS","BIN","400393","Wilko Drawstring Storage Bag Clear 10pk","Wilko","90L",NA,"10",NA,NA,NA,NA,NA,0.883333333333333
"DIS","BIN","400394","Wilko Kerbside Caddy Liners Large 10pk","Wilko",NA,NA,"10",NA,NA,NA,NA,NA,0.825
"DIS","BIN","400395","Wilko Waste Basket Liners Lavender Scented 25pk","Wilko",NA,NA,"25",NA,NA,NA,NA,NA,0.825
