"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","DQ Score"
"GAR","CAN","239014","Wilko Garden Extra Strong Tree Ties 2pk","Wilko","44cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"GAR","CAN","248985","Wilko Soft Twist Plant Tie","Wilko","4.8m",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"GAR","CAN","25348","Wilko Garden Wire and Cutter 30m","Wilko","30m",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"GAR","CAN","273926","Wilko Jute Twine Biodegradable  Natural 250m","Wilko","250m",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"GAR","CAN","273928","Wilko Twine Jute Green 125m","Wilko","125m","Green","1",NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"GAR","COM","159539","Miracle-Gro Potting Mix 8L","Miracle-Gro","8L",NA,"1",NA,"No",NA,NA,NA,NA,NA,0.65
"GAR","COM","331180","Wilko Get Growing Compost Multi-Purpose 50L","Wilko Functional",NA,NA,"1",NA,"No",NA,NA,NA,NA,NA,0.6
"GAR","COM","71522","Wilko Functional Multi Purpose Compost 15L","Wilko Functional","15L",NA,NA,NA,"No",NA,NA,NA,NA,NA,0.65
"GAR","FER","149819","Baby Bio Plant Food 175ml","Bayer","175ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8625
"GAR","FER","263019","Baby Bio Orchid Food 175ml","Bayer","175ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8625
"GAR","FER","342221","Baby Bio Original Food Single Drip Feed 40ml","Bayer",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.8625
"GAR","FER","342222","Baby Bio Orchid Food Single-Use Dripper 40ml","Bayer",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.8625
"GAR","FER","8354","Levington Tomorite Liquid Tomato Fertillser 1L","Levington","1L",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"GAR","FER","199748","Miracle-Gro All Purpose Concentrated Liquid PlantFood 1L","Miracle-Gro","1L",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"GAR","FER","70899","Miracle Gro All Purpose Soluble Plant Food 1kg","Miracle-Gro","1kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8625
