"Article","Web Description","Brand","Type","Pack Qty","Size","Age","Washable","Colour","Capacity","Material","DQ Score"
"288512","Cow & Gate Follow on Milk Stage 3 900g","Cow n Gate","Powdered Milk","1","900g",NA,NA,NA,NA,NA,0.88
"288513","Cow & Gate Growing Up Milk 1 Year Plus 900g","Cow n Gate","Powdered Milk",NA,"900g",NA,NA,NA,NA,NA,0.81
"290545","Cow & Gate Pure Baby Rice 100g","Cow n Gate","Cereals and Porridge","1","100g",NA,NA,NA,NA,NA,0.88
"290553","Cow & Gate Spaghetti Bolognese 200g","Cow n Gate","Jars","1","200g",NA,NA,NA,NA,NA,0.88
"290556","Cow & Gate Grandpas  Sunday Lunch 125g","Cow n Gate","Jars","1","125g",NA,NA,NA,NA,NA,0.88
"290563","Cow & Gate Growing Up Milk 1-2 Years 200ml","Cow n Gate","Milk",NA,"200ml",NA,NA,NA,NA,NA,0.81
"288597","Heinz Biscotti Snack Chocolate 60g","Heinz","Finger Foods","1",NA,NA,NA,NA,NA,NA,0.86
"288716","Heinz Farleys Rusk Original 150g","Heinz","Finger Foods",NA,"150g",NA,NA,NA,NA,NA,0.86
"288717","Heinz Cheesy Vegetable Pasta 100g","Heinz","Dinners","1","100g",NA,NA,NA,NA,NA,0.93
"305000","Heinz Biscotti Snack Banana 60g","Heinz","Finger Foods","1","60g",NA,NA,NA,NA,NA,0.93
"305001","Heinz Blueberry Porridge 120g","Heinz","Cereals and Porridge","1","120g",NA,NA,NA,NA,NA,0.93
"315011","Heinz Mediterranean Vegetables with Rice 125g","Heinz","Dinners",NA,"125g",NA,NA,NA,NA,NA,0.86
"316846","Heinz Fruity Banana Custard Pots 4 x 100g","Heinz","Pouches and Pots","1","100g",NA,NA,NA,NA,NA,0.93
"316847","Heinz Fruity Medley Custard Pots 100g","Heinz","Pouches and Pots",NA,"100g",NA,NA,NA,NA,NA,0.86
"338297","Heniz Smooth Apple and Strawberry 100g","Heinz","Pouches and Pots","1","100g",NA,NA,NA,NA,NA,0.88
"338299","Heniz Baby Sweet Potato Parsnip and Apple","Heinz","Pouches and Pots",NA,"100g",NA,NA,NA,NA,NA,0.81
"338300","Heinz Baby Chicken Sunday Dinner 130g","Heinz","Pouches and Pots","1","130g",NA,NA,NA,NA,NA,0.93
"339750","Heniz Sweet Potato Chicken and Veggies 130g","Heinz","Pouches and Pots","1","130g",NA,NA,NA,NA,NA,0.88
"457169","Farleys Strawberry and Peach Biscotti","Heinz","Finger Foods","1",NA,NA,NA,NA,NA,NA,0.76
"457170","Heinz Strawberry and Banana Biscotti","Heinz","Finger Foods","1",NA,NA,NA,NA,NA,NA,0.81
"457171","Heinz Eat Play Peach and Apricot Biscuits","Heinz","Finger Foods","1",NA,NA,NA,NA,NA,NA,0.81
"457172","Heinz Eat Play Strawberry and Peach Biscuits","Heinz","Finger Foods","1",NA,NA,NA,NA,NA,NA,0.81
"288821","Finger Foods Organic Sweetcorn Hoops 20g","Organix","Finger Foods","1","20g",NA,NA,NA,NA,NA,0.88
"289017","Organix Finger Foods Raspberry and BlueberryRice Cakes 50g","Organix","Finger Foods","1","50g",NA,NA,NA,NA,NA,0.93
"289031","Organix Finger Foods Apple Rice Cakes 50g","Organix","Finger Foods","1","50g",NA,NA,NA,NA,NA,0.93
"422426","Organix Finger Foods Creamy Vanilla Biscuit Rings54g","Organix","Finger Foods","1",NA,NA,NA,NA,NA,NA,0.86
"435839","Polar Gear Lunch Bag Heart Design","Polar Gear","Lunch Bag","1","22cm x 10cm x 24cm",NA,NA,NA,NA,"600D Polyester with Peva lining",0.9
"435840","Polar Gear Flask Hearts 400ml","Polar Gear","Drinks Bottle","1","7.3cm x 7.3cm x 23cm",NA,NA,NA,"400ml","AS Plastic",0.95
"435841","Polar Gear Lunch Pink Bag","Polar Gear","Lunch Bag","1","21cm x 15cm x16cm",NA,NA,NA,"5L","600D Polyester with Peva lining",0.95
"435843","Polar Great Travel Flask Pink","Polar Gear","Flasks","1","8cm x 8cm x 21cm",NA,NA,NA,NA,NA,0.88
"435844","Polar Gear Sip and Snack Bottle Pink","Polar Gear","Drinks Bottle","1","7cm x 7cm x 19cm",NA,NA,NA,"590ml","Tritan Plastic",0.95
"435845","Polar Gear Lunch Bag Blue/Black","Polar Gear","Lunch Bag","1","21cm x 15cm x16cm",NA,NA,NA,"5L","600D Polyester with Peva lining",0.95
"435847","Polar Gear Travel Mug Black","Polar Gear","Travel Mug","1","8cm x 8cm x 21cm",NA,NA,NA,NA,NA,0.93
"435848","Polar Gear Sip and Snack Bottle Black","Polar Gear","Drinks Bottle","1","7cm x 7cm x 19cm",NA,NA,NA,"590ml","Tritan Plastic",0.95
"435849","Polar Gear Drinks Bottle Black","Polar Gear","Drinks Bottle","1","7cm x 9cm x 23.5cm",NA,NA,NA,"650ml","Tritan Plastic",0.95
"450060","Polar Gear Owl Lunch Bag","Polar Gear","Lunch Bag","1","24.5cm x 10cm x 21.5cm",NA,NA,"Pink",NA,"EVA",0.9
"450061","Cars 3 Lunch Bag","Polar Gear","Lunch Bag","1","19.5cm x 8cm x 23cm",NA,NA,"Black",NA,"PVC",0.85
"238374","Wilko Multi Purpose Roasting Bags 25 x 38cm 10pk","Polylina","Roasting Bags","10pk","250mmx380mm",NA,NA,NA,NA,NA,0.8
"285244","Sistema Slimline Quadale Assorted Colours","Sistema","Lunch Box","1",NA,NA,NA,"Multi",NA,NA,0.85
"285248","Sistema Davina Sports Bottle 700ml","Sistema","Drinks Bottle",NA,"700ml",NA,NA,"Multi",NA,NA,0.85
"285250","Sistema Container 400ml","Sistema","Food Boxes","1","400ml",NA,NA,"Multi",NA,NA,0.9
"285251","Sistema Container 1L","Sistema","Food Boxes","1","1L",NA,NA,"Multi",NA,NA,0.9
"285252","Sistema Container 2L","Sistema","Food Boxes",NA,"2L",NA,NA,"Multi",NA,NA,0.85
"298844","Sistema Food Box Assorted Colours","Sistema","Food Boxes","1","450ml",NA,NA,"Multi",NA,NA,0.9
"332162","Sistema Soup To Go Mug 656ml","Sistema","Food Boxes",NA,NA,NA,NA,NA,NA,NA,0.75
"332163","Sistema Klip It Container 200ml","Sistema","Food Boxes","1","200ml",NA,NA,"Clear",NA,NA,0.9
"332166","Sistema Klip It Container Square 1.2L","Sistema","Food Boxes","1","1.2L",NA,NA,"Clear","1.2L",NA,0.95
"400454","Sistema Noodle Bowl","Sistema","Food Boxes","1","Single",NA,NA,"Multi",NA,NA,0.9
"433370","Sistema Easy Eggs To Go","Sistema","Egg Poacher",NA,NA,NA,NA,NA,NA,NA,0.75
"433376","Sistema Klip It Container 3L","Sistema","Food Boxes",NA,NA,NA,NA,NA,NA,NA,0.75
"435828","Sistema Lunch Cube","Sistema","Lunch Box",NA,NA,NA,NA,NA,NA,NA,0.75
"289202","SMA First Infant Milk Stage 1 800g","SMA","Powdered Milk","1","800g",NA,NA,NA,NA,NA,0.93
"289203","SMA Infant Milk Extra Hungry 800g","SMA","Powdered Milk",NA,"800g",NA,NA,NA,NA,NA,0.86
"289204","SMA Follow On Milk Stage 2 800g","SMA","Powdered Milk",NA,"800g",NA,NA,NA,NA,NA,0.86
"290647","SMA  First Infant Milk From Birth  200ml","SMA","Milk",NA,"200ml",NA,NA,NA,NA,NA,0.86
"320285","SMA Toddler Milk 1-3 Years 800g","SMA","Powdered Milk",NA,"800g",NA,NA,NA,NA,NA,0.86
"148340","Thermos Originals Flask Black 1L","Thermos","Flasks",NA,"1L",NA,NA,"Black",NA,NA,0.93
"434591","Thermos Stainless King Food Flask 470ml","Thermos","Flasks","1","470ml",NA,NA,NA,NA,NA,0.93
"434592","Thermos Stainless King Travel Flask 470ml","Thermos","Flasks","1","470ml",NA,NA,NA,NA,NA,0.93
"434593","Thermos Hercules Flask 1L","Thermos","Flasks","1","1L",NA,NA,NA,NA,NA,0.93
"178375","Wilko Stainless Steel Travel Mug","Wilko","Travel Mug","1",NA,NA,NA,"Silver",NA,NA,0.93
"180304","Wilko Rectangular Food Storage Box Clear 4L","Wilko","Food Boxes","1","4L",NA,NA,"Clear",NA,NA,0.9
"180314","Whitefurze Food Storers Dry Food Container 3L","Wilko","Food Boxes","1","3L",NA,NA,"Clear",NA,NA,0.85
"180316","Wilko Cereal Storer 5L","Wilko","Food Boxes","1","5L",NA,NA,"Clear",NA,NA,0.9
"180319","Wilko Fridge Jug 1.5L","Wilko","Jugs","1","1.5L",NA,NA,"Clear","1.5L",NA,0.95
"180320","Wilko Beaker 400ml","Wilko","Bottles","1","400ml",NA,NA,"Clear","400",NA,0.95
"203971","Wilko Foil Flan Cases 10pk","Wilko","Flan Cases","10pk",NA,NA,NA,NA,NA,"Aluminium",0.85
"203974","Wilko Pie Dishes Aluminium Small 20pk","Wilko","Pie Dishes","20pk","Small",NA,NA,NA,NA,"Aluminium",0.9
"203975","Wilko Pie Plates Aluminium 6pk","Wilko","Pie Dishes","6pk",NA,NA,NA,NA,NA,"Aluminium",0.85
"203976","Wilko Foil Trays and Lids Small 10pk","Wilko","Foil Trays","10pk","Small",NA,NA,NA,NA,"Aluminium",0.9
"203977","Wilko Trays and Lids Foil Medium 5pk","Wilko","Foil Trays","5pk","Medium",NA,NA,NA,NA,"Aluminium",0.9
"203978","Wilko Foil Trays Large 3pk","Wilko","Foil Trays","3pk","Large",NA,NA,NA,NA,"Aluminium",0.9
"203979","Wilko Food Containers and Lids 6pk","Wilko","Plastic Containers","6pk",NA,NA,NA,NA,NA,NA,0.8
"226521","Wilko Cooling Bottles Blue 2pk","Wilko","Ice Packs","1","2 Pack",NA,NA,"Blue",NA,NA,0.9
"233639","Wilko Flask Stainless Steel 500ml","Wilko","Flasks",NA,"500",NA,NA,"Silver",NA,NA,0.93
"254700","Wilko Ice Cube Bags 20pk","Wilko","Ice Cube Bags","20pk","24",NA,NA,NA,NA,"Plastic",0.9
"284667","Wilko Food and Freezer Bags Large 30pk","Wilko","Food Bags","30pk","Large",NA,NA,NA,NA,"Polythene",0.9
"285295","Wilko Thermal Flask with Glass Liner 1L","Wilko","Flasks",NA,"1L",NA,NA,NA,NA,NA,0.86
"285296","Wilko Plastic Glass Lined Flask with Two Cups","Wilko","Flasks",NA,"1.8L",NA,NA,NA,NA,NA,0.86
"285297","Wilko Food Box 125ml","Wilko","Food Boxes","1","125ml",NA,NA,NA,"125ml",NA,0.9
"285716","Wilko Foil Roasting Trays 2pk","Wilko","Foil Trays","2pk",NA,NA,NA,NA,NA,"Aluminium",0.85
"317739","Wilko Lunch Bag Black","Wilko","Lunch Bag","1",NA,NA,NA,"Black",NA,NA,0.85
"318975","Wilko Kitchen Foil 10m x 30cm","Wilko","Aluminium Foil",NA,"300mmx10m",NA,NA,NA,NA,NA,0.8
"318976","Wilko Kitchen Foil 20m x 30cm","Wilko","Aluminium Foil",NA,"300mmx20m",NA,NA,NA,NA,NA,0.8
"318977","Wilko Kitchen Foil 10m x 45cm","Wilko","Aluminium Foil",NA,"450mmx10m",NA,NA,NA,NA,NA,0.8
"330841","Wilko Resealable Food and Freezer Bags  26 x 28cm30pk","Wilko","Food Bags","30pk","Medium",NA,NA,NA,NA,NA,0.85
"330844","Wilko  Zip Seal Food and Freezer Bags 26 x26cm30pk","Wilko","Food Bags","30pk","Medium",NA,NA,NA,NA,NA,0.85
"330856","Wilko Tie Handle Food and Freezer BagsMedium 26 x 42cm 30pk","Wilko","Food Bags","30pk","Medium",NA,NA,NA,NA,"Polythene",0.9
"330857","Wilko Resealable Food and Freezer Bags 18 x20cm30pk","Wilko","Food Bags","1","Small",NA,NA,NA,NA,NA,0.85
"330862","Wilko Easy Seal Sandwich Bags 19 x 21cm 60pk","Wilko","Food Bags","60pk","Large",NA,NA,NA,NA,"Polythene",0.9
"330864","Wilko Resealable Pour and Store Bags 23 x 15cm10pk","Wilko","Food Bags","10pk","23cmx15cm",NA,NA,NA,NA,NA,0.85
"333063","Wilko Aluminium Tray Bakes Small 3pk","Wilko","Foil Trays","3pk","Small",NA,NA,NA,NA,"Aluminium",0.9
"333067","Wilko Aluminium Flan Dishes Large 6pk","Wilko","Flan Cases","6pk","Large",NA,NA,NA,NA,"Aluminium",0.9
"333068","Wilko Aluminium Containers with Lids Large 3pk","Wilko","Foil Trays","3pk","Large",NA,NA,NA,NA,"Aluminium",0.9
"333417","Wilko Greaseproof n Bake Paper 5m x 37.5cm","Wilko","Greaseproof Paper",NA,"5m",NA,NA,NA,NA,"Paper",0.85
"333522","Wilko Foil Backed Baking Parchment Foil Backed5m x 30cm","Wilko","Aluminium Foil",NA,"300mmx5m",NA,NA,NA,NA,NA,0.8
"400397","Wilko Multipurpose Cling Film 50m x 350mm","Wilko","Cling Film","1","50m x 350mm",NA,NA,NA,NA,NA,0.85
"419994","Wilko Plastic Containers and Lids 6pk","Wilko","Plastic Containers",NA,NA,NA,NA,NA,NA,NA,0.75
"420106","Wilko Food Bags Small 150pk","Wilko","Food Bags","150",NA,NA,NA,NA,NA,NA,0.8
"435838","Wilko Flask Copper Effect 1L","Wilko","Flasks",NA,NA,NA,NA,NA,NA,NA,0.79
"447950","Wilko Shaker Bottle 800ml","Wilko","Shaker Drinks Bottle","1","10.5cm x 7.2cm x 26.5cm",NA,NA,NA,"800ml","Plastic",0.95
"449063","Wilko Food Container Round 330ml","Wilko","Food Boxes","1","12.1cm x 12..1cm x 7.8cm",NA,NA,NA,"330","Plastic",0.95
"449068","Wilko Food Storage Container Rectangular 1.3 Litre","Wilko","Food Boxes","1","22.1cm x 14.6cm x 8.1cm",NA,NA,NA,"1300","Plastic",0.95
"449069","Wilko Food Storage Container Rectangular 1.6 Litre","Wilko","Food Boxes","1","22.1cm x 14.6cm x 9.9cm",NA,NA,NA,"1600ml","Plastic",0.95
"449071","Wilko Food Storage Container Rectangular 2.5 Litre","Wilko","Food Boxes","1","25.5cm x 18cm x 9.9cm",NA,NA,NA,"2500","Plastic",0.95
"449072","Wilko Food Storage Container Rectangular 3.5 Litre","Wilko","Food Boxes","1","25.5cm x 18cm x 13.5cm",NA,NA,NA,"3.5 Litre","Plastic",0.95
"449073","Wilko Food Container Square 1.2 Litre","Wilko","Food Boxes","1","15.4cm x 15.4cm x 9.9cm",NA,NA,NA,"1.2 Litre","Plastic",0.95
"449074","Wilko Food Container Square 1.5 Litre","Wilko","Food Boxes","1","18.8cm x 18.8cm x 8.1cm",NA,NA,NA,"1.5 Litre","Plastic",0.95
"449075","Wilko Food Storage Container Square 1.8 Litre","Wilko","Food Boxes","1","18.8cm x 18.8cm x 9.9cm",NA,NA,NA,"1.8 Litre","Plastic",0.95
"449076","Wilko Food Container Square 2.3 Litre","Wilko","Food Boxes","1","18.8cm x 18.8cm x 11.7cm",NA,NA,NA,"2.3 Litre","Plastic",0.95
"449077","Wilko Food Container Square 3.3 Litre","Wilko","Food Boxes ","1","22.3cm x 22.3cm x 11.7cm",NA,NA,NA,"3.3 Litre","Plastic",0.95
"449078","Wilko Food Container Square 4 Litre","Wilko","Food Boxes","1","22.3cm x 22.3cm x 13.5cm",NA,NA,NA,"4.0 Litre","Plastic",0.95
"449079","Wilko Food Container Round 1.1 Litre","Wilko","Food Boxes ","1","15.5cm x 15.5cm x 9.9cm",NA,NA,NA,"1.1 Litre","Plastic",0.95
"449080","Wilko Food Storage Container Round 1.5 Litre","Wilko","Food Boxes","1","19cm x 19cm x 11.2cm",NA,NA,NA,"1.5 Litre","Plastic",0.95
"449305","Wilko Pitcher With Fruit Infuser 2.1 Litre","Wilko","Pitcher","1","21cm x 14cm x 25.7cm",NA,NA,NA,NA,NA,0.85
"317345","Wilko Functional Container White 1L","Wilko Functional","Food Boxes","1","1L",NA,NA,"White","1L",NA,0.95
"317346","Wilko Functional Container Round 250ml 4pk","Wilko Functional","Food Boxes","4pk","250ml",NA,NA,"Clear","250ml",NA,0.95
"318979","Wilko Functional Wrapping Foil 20m x 29cm","Wilko Functional","Aluminium Foil","1","290mmx20m",NA,NA,NA,NA,NA,0.85
"332334","Wilko Functional Food Bags Medium 23 x 35cm 50pk","Wilko Functional","Food Bags","50pk","Medium",NA,NA,NA,NA,NA,0.85
"334768","Wilko Functional Wrapping Film 50m x 30cm","Wilko Functional","Cling Film",NA,"50mx300ml",NA,NA,NA,NA,NA,0.8
