"Article","Web Description","Brand","Capacity","Type","Colour","Size","Assembly","Coverage","Pack Qty","Power","Material","Model Number","DQ Score"
"436467","Forest Garden Lap Fence Panel 6ft x 5ft Pk of 10","Forest Garden",NA,"Lap Panels",NA,"4.8cm x 152.7cm x 182.8cm",NA,NA,NA,NA,NA,NA,0.9125
"436469","Forest Garden Lap Fence Panel 6ft x 5ft Pk of 7","Forest Garden",NA,"Lap Panels",NA,"4.8cm x 152.7cm x 182.8cm",NA,NA,NA,NA,NA,NA,0.9125
"436472","Forest Garden Close Board Fence Panel 3ft Pk of 10","Forest Garden",NA,"Close Board Panels",NA,"4.8cm x 182.8cm x 91.7cm",NA,NA,NA,NA,NA,NA,0.9125
"436473","Forest Garden Close Board Fence Panel 3ft Pk of 7","Forest Garden",NA,"Close Board Panels",NA,"4.8cm x 182.8cm x 91.7cm",NA,NA,NA,NA,NA,NA,0.9125
"436476","Forest Garden Close Board Fence Panel 4ft Pk of 10","Forest Garden",NA,"Close Board Panels",NA,"4.8cm x 182.8cm x 91.7cm",NA,NA,NA,NA,NA,NA,0.9125
"436477","Forest Garden Close Board Fence Panel 4ft Pk of 7","Forest Garden",NA,"Close Board Panels",NA,"4.8cm x 182.8cm x 91.7cm",NA,NA,NA,NA,NA,NA,0.9125
"436480","Forest Green Close Board Fence Panel 5ft Pack of10","Forest Garden",NA,"Close Board Panels",NA,"4.8cm x 182.8cm x 91.7cm",NA,NA,NA,NA,NA,NA,0.8625
"436481","Forest Garden Close Board Fence Panel 6ft Pk of 7","Forest Garden",NA,"Close Board Panels",NA,"4.8cm x 182.8cm x 91.7cm",NA,NA,NA,NA,NA,NA,0.9125
"436490","Forest Garden Wooden Cambridge Planter 1.5m x 50cm","Forest Garden",NA,"Planters",NA,"8.9cm x 9.8cm x 1.5cm","No",NA,NA,NA,NA,NA,0.93
"436492","Forest Garden Caledonian Corner Planter 1.3m","Forest Garden",NA,"Raised Beds",NA,"19.3cm x 0.3cm x 1.3cm","Yes",NA,NA,NA,NA,NA,0.93
"436493","Forest Garden Caledonian Tiered Raised Bed","Forest Garden",NA,"Raised Beds",NA,"0.9cm x 0.9cm x 0.6cm","Yes",NA,NA,NA,NA,NA,0.93
"436494","Forest Garden Deep Root Planter 1.8m","Forest Garden",NA,"Planters",NA,"0.2cm x 79.8cm x 1.8cm","Yes",NA,NA,NA,NA,NA,0.93
"436505","Forest Garden Raised Log Garden Planter","Forest Garden",NA,"Raised Beds",NA,"6.7cm x 0.1cm x 0.4cm","Yes",NA,NA,NA,NA,NA,0.93
"436506","Forest Garden Rectangular Sleeper Raised Bed","Forest Garden",NA,"Raised Beds",NA,"0.3cm x 0.4cm x 1.2cm","Yes",NA,NA,NA,NA,NA,0.93
"436514","Forest Garden Bi-Fold Roof Bin Store","Forest Garden",NA,"Bin Storage",NA,"92cm x 146cm x 121.5cm","Yes",NA,NA,NA,"Softwood",NA,0.941666666666667
"436517","Forest Garden Pinnacle Log Store","Forest Garden",NA,"Log Storage",NA,"64.8cm x 149.4cm x 149.4cm","Yes",NA,NA,NA,"Softwood",NA,0.941666666666667
"436523","Forest Garden Lap Fence Panel 6ft x 4ft Pk of 10","Forest Garden",NA,"Lap Panels",NA,"4.8cm x 122.2cm x 182.8cm",NA,NA,NA,NA,NA,NA,0.9125
"436525","Forest Garden Lap Fence Panel 6ft x 6ft Pk of 7","Forest Garden",NA,"Lap Panels",NA,"4.4cm x 182.8cm x 182.8cm",NA,NA,NA,NA,NA,NA,0.9125
"436528","Forest Garden Lap Fence Panel 6ft x 6ft Pk of 10","Forest Garden",NA,"Close Board Panels",NA,"4.4cm x 182.8cm x 182.8cm",NA,NA,NA,NA,NA,NA,0.9125
"436530","Forest Garden Close Board Fence Panel 6ft Pk of 7","Forest Garden",NA,"Close Board Panels",NA,"5cm x 182.8cm x 182.8cm",NA,NA,NA,NA,NA,NA,0.9125
"436550","Forest Garden Overlap Garden Wall Store","Forest Garden",NA,"Tool Storage",NA,"149.4cm x 111.8cm x 64.9cm","Yes",NA,NA,NA,"Softwood",NA,0.941666666666667
"436551","Forest Garden Storage Garden Chest","Forest Garden",NA,"Tool Storage",NA,"93.9cm x 126cm x 93.9cm","Yes",NA,NA,NA,"Softwood",NA,0.941666666666667
"436552","Forest Garden Overlap Garden Tool Chest","Forest Garden",NA,"Tool Storage",NA,"93.4cm x 126cm x 85.8cm","Yes",NA,NA,NA,"Softwood",NA,0.941666666666667
"436554","Forest Garden Pressure Treated Maxi Garden WallStore","Forest Garden",NA,"Tool Storage",NA,"184cm x 15.4cm x 8.5cm","Yes",NA,NA,NA,"Softwood",NA,0.941666666666667
"436556","Forest Garden Tall Garden Store","Forest Garden",NA,"Tool Storage",NA,"20.4cm x 9.3cm x 5.8cm","Yes",NA,NA,NA,"Softwood",NA,0.941666666666667
"436783","Forest Garden Overlap Garden Shed 4 x 3","Forest Garden",NA,"Wooden Sheds",NA,"4 x 3","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436784","Forest Garden Overlap Apex Garden Shed 5 x 3","Forest Garden",NA,"Wooden Sheds",NA,"5 x 3","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436785","Forest Garden Overlap Apex Garden Shed 3 x 5","Forest Garden",NA,"Wooden Sheds",NA,"3 x 5","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436786","Forest Garden Overlap Apex Garden Shed 6 x 4","Forest Garden",NA,"Wooden Sheds",NA,"6 x 4","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436787","Forest Garden Overlap Windowless Garden Shed 6 x 4","Forest Garden",NA,"Wooden Sheds",NA,"6 x 4","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436788","Forest Garden Reverse Overlap Garden Shed 6 x 4","Forest Garden",NA,"Wooden Sheds",NA,"6 x 4","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436789","Forest Garden Essential Overlap Garden Shed 5 x 7","Forest Garden",NA,"Wooden Sheds",NA,"5 x 7","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436790","Forest Garden Overlap Pent Garden Shed 7 x 5","Forest Garden",NA,"Wooden Sheds",NA,"7 x 5","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436791","Forest Garden Essential Overlap Garden 6 x 8","Forest Garden",NA,"Wooden Sheds",NA,"6 x 8","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436792","Forest Garden Essential Overlap Garden Shed 6 x 8","Forest Garden",NA,"Wooden Sheds",NA,"6 x 8","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436793","Forest Garden Overlap Pent Garden Shed 8 x 6","Forest Garden",NA,"Wooden Sheds",NA,"8 x 6","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436794","Forest Garden Double Door Overlap Garden Shed8 x 6","Forest Garden",NA,"Wooden Sheds",NA,"8 x 6","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436795","Forest Garden Reverse Apex Garden Shed 8 x 6","Forest Garden",NA,"Wooden Sheds",NA,"8 x 6","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436796","Forest Garden Overlap Pent Garden Shed 10 x 6","Forest Garden",NA,"Wooden Sheds",NA,"10 x 6","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436797","Forest Garden Double Door Overlap Garden Shed10 x 6","Forest Garden",NA,"Wooden Sheds",NA,"10 x 6","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436798","Forest Garden Overlap Apex Garden Workshop 10 x 8","Forest Garden",NA,"Wooden Sheds",NA,"10 x 8","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436799","Forest Garden Overlap Apex Garden Workshop 12 x 8","Forest Garden",NA,"Wooden Sheds",NA,"12 x 8","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436800","Forest Garden Overlap Pent Garden Wall Shed","Forest Garden",NA,"Wooden Sheds",NA,"203.3cm x 106.7cm x 180.8cm","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436801","Forest Garden Overlap Apex Garden Shed 6 x 4","Forest Garden",NA,"Wooden Sheds",NA,"6 x 4","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436802","Forest Garden Overlap Garden Shed with Lean To6 x 4","Forest Garden",NA,"Wooden Sheds",NA,"6 x 4","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436803","Forest Garden Overlap Pent Garden Shed 7 x 5","Forest Garden",NA,"Wooden Sheds",NA,"7 x 5","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436804","Forest Garden Double Door Apex Garden Shed 7 x 5","Forest Garden",NA,"Wooden Sheds",NA,"7 x 5","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436805","Forest Garden Double Door Overlap Apex GardenShed 7 x 7","Forest Garden",NA,"Wooden Sheds",NA,"7 x 7","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436806","Forest Garden Overlap Apex Garden Shed 8 x 6","Forest Garden",NA,"Wooden Sheds",NA,"8 x 6","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436807","Forest Garden Overlap Apex Windowless Garden Shed8 x 6","Forest Garden",NA,"Wooden Sheds",NA,"8 x 6","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436808","Forest Garden Onduline Overlap Garden Apex Shed6 x 8","Forest Garden",NA,"Wooden Sheds",NA,"6 x 8","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436809","Forest Garden Overlap Garden Workshop 10 x 8","Forest Garden",NA,"Wooden Sheds",NA,"10 x 8","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436810","Forest Garden Overlap Garden Workshop 12 x 8","Forest Garden",NA,"Wooden Sheds",NA,"12 x 8","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436811","Forest Garden Shiplap Apex Garden Shed 4 x 6","Forest Garden",NA,"Wooden Sheds",NA,"4 x 6","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436812","Forest Garden Shiplap Pent Garden Shed 7 x 5","Forest Garden",NA,"Wooden Sheds",NA,"7 x 5","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436813","Forest Garden Shiplap Apex Garden Shed 8 x 6","Forest Garden",NA,"Wooden Sheds",NA,"8 x 6","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436816","Forest Garden Shedbase 6x4","Forest Garden",NA,"6ft x 4ft",NA,"38cm x 179cm x 38cm","Yes",NA,NA,NA,NA,NA,0.93
"436817","Forest Garden Shedbase 7x5","Forest Garden",NA,"7ft x 5ft",NA,"38cm x 203.8cm x 38cm","Yes",NA,NA,NA,NA,NA,0.93
"436818","Forest Garden Shedbase 7x7","Forest Garden",NA,"7ft x 7ft",NA,"38cm x 203.8cm x 202.9cm","Yes",NA,NA,NA,NA,NA,0.93
"436819","Forest Garden Shedbase 8x6","Forest Garden",NA,"8ft x 6ft",NA,"38cm x 225cm x 38cm","Yes",NA,NA,NA,NA,NA,0.93
"436820","Forest Garden Maxi Wall Store","Forest Garden",NA,"Tool Storage",NA,"154.1cm x 84cmm x 183.6cm","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436821","Forest Garden Overlap Garden Bike Store 2m","Forest Garden",NA,"Bike Storage",NA,"161.3cm x 212.5cm x 161.3cm","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436822","Forest Garden Overlap Garden Mower Store","Forest Garden",NA,"Tool Storage",NA,"146.6cm x 143.1cm x 146.6cm","Yes",NA,NA,NA,NA,NA,0.883333333333333
"436823","Forest Garden Overlap Pent Tool Store","Forest Garden",NA,"Tool Storage",NA,"184.6cm x 111.8cm x 184.6cm","Yes",NA,NA,NA,NA,NA,0.883333333333333
"407861","Solar Gutter Lights Black Set of 2","Gablemere",NA,"Gutter Lights","Black","18 x 13 x 13",NA,NA,"2",NA,NA,NA,0.891666666666667
"227112","Garnier Ambre Solaire No Streaks Bronzer Self TanLotion 150ml","Garnier",NA,"Self Tanning Lotion",NA,"125ml",NA,NA,NA,NA,NA,NA,0.9125
"242758","Garnier Ambre Solaire After Sun Tan Maintainer200ml","Garnier",NA,"Aftersun",NA,"200ml",NA,NA,NA,NA,NA,NA,0.9125
"245124","Garnier Ambre Solaire Sensitive Sun Cream SPF50+200ml","Garnier",NA,"Sun Cream Spf50",NA,"200ml",NA,NA,NA,NA,NA,NA,0.9125
"253510","Garnier Ambre Solaire No Streaks Bronzer DarkSelf Tan Face Mist 75ml","Garnier",NA,"Self Tanning Spray",NA,"75ml",NA,NA,NA,NA,NA,NA,0.9125
"253513","Garnier Ambre Solaire Clear Protect Sun CreamSpray SPF30 200ml","Garnier",NA,"Sun Cream Spf30",NA,"200ml",NA,NA,NA,NA,NA,NA,0.9125
"276611","Garnier Ambre Solaire No Streaks Bronzer MediumSelf Tan Body Mist 150ml","Garnier",NA,"Self Tanning Mousse",NA,"150ml",NA,NA,NA,NA,NA,NA,0.9125
"276612","Garnier Ambre Solaire Clear Protect Sun CreamSpray SPF15 200ml","Garnier",NA,"Sun Cream Spf15",NA,"200ml",NA,NA,NA,NA,NA,NA,0.9125
"287515","Garnier Ambre Solaire No Streaks Bronzer DarkSelf Tan Body Mist 150ml","Garnier",NA,"Self Tanning Spray",NA,"150ml",NA,NA,NA,NA,NA,NA,0.9125
"302314","Garnier Ambre Solaire Clear Spray SPF50 200ml","Garnier",NA,"Sun Cream Spf50",NA,"200ml",NA,NA,NA,NA,NA,NA,0.9125
"451131","Hawaiian Tropic Hydrat After Sun 180ml","Hawaiian",NA,"Aftersun",NA,NA,NA,NA,"1",NA,NA,NA,0.9125
"451132","Hawaiian Tropic After Sun Body Butter 200ml","Hawaiian",NA,"Aftersun",NA,NA,NA,NA,"1",NA,NA,NA,0.9125
"409327","Jungle Formula Pump Max 90ml","Jungle Formula",NA,"Insect Repellents",NA,NA,NA,NA,"1",NA,NA,NA,0.9125
"452948","Jungle Formula Kids Bracelet","Jungle Formula",NA,"Insect Repellents",NA,NA,NA,NA,"1",NA,NA,NA,0.9125
"452949","Jungle Formula Kids Lotion 125ml","Jungle Formula",NA,"Baby and Kids Suncream",NA,NA,NA,NA,"1",NA,NA,NA,0.9125
"435318","Kelkay Cotswold Stone Chippings Bulk Bag","Kelkay",NA,"Chippings & Gravel",NA,"Bulk Bag 750kg approx",NA,NA,"1",NA,NA,NA,0.93
"435319","Kelkay Blue Slate Chippings Bulk Bag 40mm","Kelkay",NA,"Chippings & Gravel",NA,"Bulk Bag 750kg approx",NA,NA,"1",NA,NA,NA,0.93
"435320","Kelkay Plum Slate Chippings 40m Bulk Bag","Kelkay",NA,"Chippings & Gravel",NA,"Bulk Bag 750kg approx",NA,NA,"1",NA,NA,NA,0.93
"435321","Kelkay Tweed Pebble 20mm Bulk Bag","Kelkay",NA,"Chippings & Gravel",NA,"Bulk Bag 750kg approx",NA,NA,"1",NA,NA,NA,0.93
"435325","Kelkay Blue Slate Chippings Bulk Bag 20mm","Kelkay",NA,"Chippings & Gravel",NA,"Bulk Bag 750kg approx",NA,NA,"1",NA,NA,NA,0.93
"435326","Kelkay Crimson & Cream Chippings Bulk Bag","Kelkay",NA,"Chippings & Gravel",NA,"Bulk Bag 750kg approx",NA,NA,"1",NA,NA,NA,0.93
"435328","Kelkay Cheshire Pink Chippings Bulk Bag","Kelkay",NA,"Chippings & Gravel",NA,"Bulk Bag 750kg approx",NA,NA,"1",NA,NA,NA,0.93
"435329","Kelkay Red Stone Chippings Bulk Bag","Kelkay",NA,"Chippings & Gravel",NA,"Bulk Bag 750kg approx",NA,NA,"1",NA,NA,NA,0.93
"435330","Kelkay Yorkshire Cream Chippings Bulk Bag","Kelkay",NA,"Chippings & Gravel",NA,"Bulk Bag 750kg approx",NA,NA,"1",NA,NA,NA,0.93
"435332","Kelkay Shadow Mist Chippings Bulk Bag","Kelkay",NA,"Chippings & Gravel",NA,"Bulk Bag 750kg approx",NA,NA,"1",NA,NA,NA,0.93
"435334","Kelkay Autumn Gold Chippings Bulk Bag","Kelkay",NA,"Chippings & Gravel",NA,"Bulk Bag 750kg approx",NA,NA,"1",NA,NA,NA,0.93
"435337","Kelkay Green Slate Chippings Bulk Bag","Kelkay",NA,"Chippings & Gravel",NA,"Bulk Bag 750kg approx",NA,NA,"1",NA,NA,NA,0.93
"450640","L'Oreal Sublime Bronze Express Self Tanning MistNon Tinted 150ml","L'Oreal",NA,"Self Tanning Lotion",NA,NA,NA,NA,"1",NA,NA,NA,0.9125
"450644","L'Oreal Sublime Tinted Shimmer Gel 150ml","L'Oreal",NA,"Self Tanning Lotion",NA,NA,NA,NA,"1",NA,NA,NA,0.9125
"451472","L'Oreal Sublime Bronze Airbrush Legs 150ml","L'Oreal",NA,"Self Tanning Lotion",NA,NA,NA,NA,"1",NA,NA,NA,0.9125
"451481","L' Oreal Sublime Bronze Gradual Tan Medium 200ml","L'Oreal",NA,"Self Tanning Lotion",NA,NA,NA,NA,"1",NA,NA,NA,0.8625
"128176","Nivea Sun Protect And Moisture Sun LotionSPF20 Medium 200ml","Nivea",NA,"Sun Cream Spf20",NA,"200ml",NA,NA,NA,NA,NA,NA,0.9125
"128177","Nivea Sun Moisturising After Sun Lotion 200ml","Nivea",NA,"Aftersun",NA,"200ml",NA,NA,NA,NA,NA,NA,0.9125
"151203","Nivea Sun Moisturising After Sun Spray 200ml","Nivea",NA,"Aftersun",NA,"200ml",NA,NA,NA,NA,NA,NA,0.9125
"216089","Nivea Sun Protect Lip Balm SPF 30 4.8g","Nivea",NA,"Lip Care",NA,"4.8g",NA,NA,NA,NA,NA,NA,0.9125
"242832","Nivea Sun Protect And Moisture Sun LotionSPF30 High 200ml","Nivea",NA,"Sun Cream Spf30",NA,"200ml",NA,NA,NA,NA,NA,NA,0.9125
"242837","Nivea Sun Protect And Moisture Sun SpraySPF20 Medium 200ml","Nivea",NA,"Sun Cream Spf20",NA,"200ml",NA,NA,NA,NA,NA,NA,0.9125
"286607","Nivea Sun Kids Spray SPF50+ Very High 200ml","Nivea",NA,"Baby and Kids Suncream",NA,"200ml",NA,NA,NA,NA,NA,NA,0.9125
"286608","Nivea Sun Kids Pocket Size Lotion SPF50+ Very High50ml","Nivea",NA,"Baby and Kids Suncream",NA,"50ml",NA,NA,NA,NA,NA,NA,0.9125
"451136","Nivea Sun Kids Trigger Spray SPF50+ Very High 300m","Nivea",NA,"Baby and Kids Suncream",NA,NA,NA,NA,"1",NA,NA,NA,0.9125
"435709","Palram Skylight Shed Anthracite 6 x 3","Palram",NA,"Polycarbonate Sheds",NA,"6 x 3","Yes",NA,NA,NA,NA,NA,0.93
"435710","Palram Skylight Shed Anthracite 4 x 6","Palram",NA,"Polycarbonate Sheds",NA,"4 x 6","Yes",NA,NA,NA,NA,NA,0.93
"435711","Palram Skylight Shed Anthracite 6 x 5","Palram",NA,"Polycarbonate Sheds",NA,"6 x 5","Yes",NA,NA,NA,NA,NA,0.93
"435712","Palram Skylight Shed Anthracite 6 x 8","Palram",NA,"Polycarbonate Sheds",NA,"6 x 8","Yes",NA,NA,NA,NA,NA,0.93
"435713","Palram Skylight Shed Anthracite 6 x 10","Palram",NA,"Polycarbonate Sheds",NA,"6 x 10","Yes",NA,NA,NA,NA,NA,0.93
"286584","Piz Buin In Sun Allergy Lotion High SPF30 200ml","Piz Buin",NA,"Sun Cream Spf30",NA,"200ml",NA,NA,NA,NA,NA,NA,0.9125
"450600","Riemann P20 SPF Once a Day Sun ProtectionSpray 30 SPF 100ml","Rieman P20",NA,"Sun Cream SPF30",NA,NA,NA,NA,"1",NA,NA,NA,0.8625
"450601","Riemann P20 Once a Day Sun Protection SpraySPF 50 100ml","Rieman P20",NA,"Sun Cream SPF50",NA,NA,NA,NA,"1",NA,NA,NA,0.8625
"450567","Rimmel Self Tan Mousse Light Matte 150ml","Rimmel",NA,"Self Tanning Lotion",NA,NA,NA,NA,"1",NA,NA,NA,0.8625
"450573","Rimmel Self Tan Lotion with Chia OilLight to Medium Matte 150ml","Rimmel",NA,"Self Tanning Lotion",NA,NA,NA,NA,"1",NA,NA,NA,0.9125
"450575","Rimmel In Shower Self Tan Lotion 200ml","Rimmel",NA,"Self Tanning Lotion",NA,NA,NA,NA,"1",NA,NA,NA,0.9125
"450576","Rimmel Gradual Tan and Toning Lotion 125ml","Rimmel",NA,"Self Tanning Lotion",NA,NA,NA,NA,"1",NA,NA,NA,0.9125
"450580","Rimmel Instant Tan Lotion Medium Matte 125ml","Rimmel",NA,"Self Tanning Lotion",NA,NA,NA,NA,"1",NA,NA,NA,0.9125
"437723","Rowlinson Greenvale Metal Apex Garden Shed 6 x 5","Rowlinson",NA,"Metal Sheds",NA,"6 x 5","Yes",NA,NA,NA,"Metal",NA,0.941666666666667
"437724","Rowlinson Greenvale Metal Apex Garden Shed 8 x 6","Rowlinson",NA,"Metal Sheds",NA,"8 x 6","Yes",NA,NA,NA,"Metal",NA,0.941666666666667
"437725","Rowlinson Greenvale Metal Apex Garden Shed 10 x 8","Rowlinson",NA,"Metal Sheds",NA,"10 x 8","Yes",NA,NA,NA,"Metal",NA,0.941666666666667
"437727","Rowlinson Greenvale Metal Pent Garden Shed 8 x 4","Rowlinson",NA,"Metal Sheds",NA,"8 x 4","Yes",NA,NA,NA,"Metal",NA,0.941666666666667
"315006","St Moriz Self Tan Applicator Mitt","St Moritz",NA,"Applicator Mitt",NA,NA,NA,NA,"1",NA,NA,NA,0.8625
"430644","St Moriz Pro Fast Self Tan Foam 150ml","St Moritz",NA,"Self Tan",NA,NA,NA,NA,"1",NA,NA,NA,0.8625
"449629","St Moriz Professional Instant Tan","St Moritz",NA,"Self Tanning Lotion",NA,NA,NA,NA,"1",NA,NA,NA,0.8625
"160446","Wilko Get Gardening Multi Purpose Poly Sheet Clear6mx2m","Wilko",NA,"Bags, Truggs and Wheelbarrows",NA,"2x6m","No",NA,NA,NA,NA,NA,0.883333333333333
"250846","Wilko Insect Repellent Spray Extra Strength 100ml","Wilko",NA,"Insect Repellents",NA,"100ml",NA,NA,NA,NA,NA,NA,0.9125
"250847","Wilko Cool and Smooth Spray 50ml","Wilko",NA,"Insect Repellents",NA,"50ml",NA,NA,NA,NA,NA,NA,0.9125
"299033","Wilko Get Gardening Protection Fleece 1.5mx8m","Wilko",NA,"Frost Protection",NA,"1.5x8m",NA,NA,"1",NA,NA,NA,0.883333333333333
"337291","Wilko Get Gardening Leaf Grabber Green","Wilko",NA,"Bags, Truggs and Wheelbarrows",NA,NA,NA,NA,NA,NA,NA,NA,0.825
"340471","Wilko Get Gardening Tape All Weather Clear 5cmx15m","Wilko",NA,"All Weather Tape",NA,NA,"No",NA,NA,NA,NA,NA,0.86
"346574","Wilko Tie Top Garden Sacks 8pk","Wilko",NA,"Bags, Truggs and Wheelbarrows",NA,NA,"No",NA,NA,NA,NA,NA,0.825
"346577","Wilko Get Gardening Garden Sacks Tie Top Black x 6","Wilko",NA,"Bags, Truggs and Wheelbarrows",NA,NA,"No",NA,NA,NA,NA,NA,0.825
"406176","Wilko Composter 220L","Wilko","220ltr","Composters",NA,"220L","No",NA,NA,NA,NA,NA,0.941666666666667
"424898","Wilko Standard Rigger Glove","Wilko",NA,"Gloves and Wellingtons",NA,NA,NA,NA,"1 Pair",NA,NA,NA,0.86
"445708","Wilko Plant Pot Mover","Wilko",NA,"Plant Pot Mover",NA,"W 8 x L 126cm","No",NA,NA,NA,NA,NA,0.93
"457147","Wilko Garden Clock Wood Effect","Wilko",NA,"Clocks",NA,"Length 4cm, Width 25cm, Height 25cm",NA,NA,"1",NA,NA,NA,0.93
"99363","Wilko Garden Nuts and Bolts","Wilko",NA,"Greenhouse Fixings",NA,NA,"No",NA,NA,NA,NA,NA,0.86
"99364","Wilko Garden W Glazing Clips","Wilko",NA,"Greenhouse Fixings",NA,NA,"No",NA,NA,NA,NA,NA,0.86
"99365","Wilko Garden Z Glazing Clips","Wilko",NA,"Greenhouse Fixings",NA,NA,"No",NA,NA,NA,NA,NA,0.86
"137399","Wilko Get Gardening Plant Labels 12cm x 50","Wilko Functional",NA,"Planting Accessories",NA,"12x1.5cm",NA,NA,"50pk",NA,NA,NA,0.833333333333333
"339846","Wilko Garden Rigger Gloves Mens Size 10","Wilko Functional",NA,"Gloves and Wellingtons",NA,NA,NA,NA,"1",NA,NA,NA,0.81
"339849","Wilko Garden Gloves Jersey Size 8 x 3 Pairs","Wilko Functional",NA,"Gloves and Wellingtons",NA,NA,NA,NA,"3pk",NA,NA,NA,0.81
