"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Capacity","Age","DQ Score"
"TOI","DEN","281587","Aquafresh Kids Toothpaste My Big Teeth 50ml","Aquafresh","50ml","Multi","1","No",NA,NA,0.65
"TOI","DEN","347801","Aquafresh Kids Mouthwash My Big Teeth Fruity300ml","Aquafresh","300ml",NA,NA,"No",NA,NA,0.65
"TOI","DEN","419193","Aquafresh Toothpaste White and Shine 75ml","Aquafresh","75ml",NA,NA,"No",NA,NA,0.65
"TOI","DEN","421907","Aquafresh Toothbrush Complete Care Medium 1pk","Aquafresh",NA,NA,"1","No",NA,NA,0.65
"TOI","DEN","421908","Aquafresh Mouthwash Complete Care Fresh Mint500ml","Aquafresh","500ml",NA,"1","No",NA,NA,0.65
"TOI","DEN","434811","Aquafresh Toothpaste Complete Care Extra Fresh75ml","Aquafresh","75ml",NA,"1","No",NA,NA,0.65
"TOI","DEN","456346","Aquafresh Toothbrush Medium 3pk","Aquafresh",NA,NA,NA,NA,NA,NA,1
"TOI","DEN","181476","Corsodyl Mouthwash Coolmint 300ml","Corsodyl","300ml","Multi","1","No",NA,NA,0.65
"TOI","DEN","181622","Corsodyl Mouthwash Mint 300ml","Corsodyl",NA,NA,"1","No",NA,NA,0.65
"TOI","DEN","321163","Corsodyl Mouthwash Daily Cool Mint500ml","Corsodyl","500ml","Multi","1","No",NA,"12 Years",0.65
"TOI","DEN","321166","Corsodyl Mouthwash Daily Fresh Mint500ml","Corsodyl","500ml","Multi",NA,"No",NA,NA,0.65
"TOI","DEN","321167","Corsodyl Mouthwash Alcohol Free  Mint 300ml","Corsodyl","300ml","Multi",NA,"No",NA,NA,0.65
"TOI","DEN","452973","Corsodyl Ultra Clean Toothpaste 75ml","Corsodyl",NA,NA,"1","No","75ml",NA,0.65
"TOI","DEN","421900","Macleans Toothpaste Freshmint 100ml","Macleans","100ml",NA,"1","No",NA,NA,0.65
"TOI","DEN","117057","Poligrip Ultra Denture Fixative Cream Mint 40g","Poligrip","40g","Multi","1","No",NA,NA,0.65
"TOI","DEN","34157","Poligrip Denture Fixative Cream Flavour Free 40g","Poligrip","40g","Multi","1","No",NA,NA,0.65
"TOI","DEN","238987","Sensodyne Toothpaste Gentle Whitening 74ml","Sensodyne","75ml","Multi",NA,"No",NA,NA,0.65
"TOI","DEN","262553","Sensodyne Toothpaste Pro Namel Mint Essence 1pk","Sensodyne","75ml","Multi","1","No",NA,NA,0.65
"TOI","DEN","280610","Sensodyne Toothpaste Pro Namel Gentle Whitening75ml","Sensodyne","75ml","Multi","1","No","75ml",NA,0.65
"TOI","DEN","304752","Sensodyne Toothpaste Repair and Protect 75ml","Sensodyne","75ml","Multi","1","No",NA,NA,0.65
"TOI","DEN","321184","Sensodyne Toothpaste Repair and Protect Whitening75ml","Sensodyne","75ml","Multi","1","No",NA,NA,0.65
"TOI","DEN","321185","Sensodyne Toothpaste Pro Namel Extra FreshnessFresh Mint 75ml","Sensodyne","75ml","Multi",NA,"No",NA,NA,0.65
"TOI","DEN","321202","Sensodyne Toothpaste Repair and Protect ExtraFresh 75ml","Sensodyne","75ml","Multi","1","No",NA,NA,0.65
"TOI","DEN","329586","Sensodyne Toothpaste Daily Care 75ml","Sensodyne","75ml",NA,NA,"No",NA,NA,0.65
"TOI","DEN","346234","Sensodyne Toothpaste Complete Care 75ml","Sensodyne","75ml","Multi",NA,"No","75ml",NA,0.65
"TOI","MED","33464","Andrews Original Salts 150g","Andrews","150g",NA,NA,"No",NA,NA,0.65
"TOI","MED","200639","Beechams All in One 160ml","Beechams","160ml",NA,"1",NA,NA,NA,1
"TOI","MED","209883","Beechams Cold and Flu Hot Lemon and Honey Powders5pk","Beechams",NA,NA,"5pk",NA,NA,NA,0.9125
"TOI","MED","223579","Beechams Cold and Flu Blackcurrant Powder 5pk","Beechams",NA,NA,"5pk",NA,NA,NA,0.9125
"TOI","MED","423950","Beechams Max Strength All In One 8pk","Beechams",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","423951","Beechams Flu Plus 8pk","Beechams",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","423953","Beechams Max Strength Blackberry 10pk","Beechams",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","423954","Beechams Max Strength Honey and Lemon 10pk","Beechams",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","99192","Beechams Powders 10 Sachets","Beechams",NA,NA,"10pk",NA,NA,NA,0.9125
"TOI","MED","271118","Breathe Right Strips Small Medium","Breathe Right","Small/Medium",NA,"10pk",NA,NA,NA,1
"TOI","MED","141815","Eurax Cream 30g","Eurax","30g",NA,NA,NA,NA,NA,0.9125
"TOI","MED","352437","Oilatum Bath Formula 150ml","Oilatum","150ml",NA,"1",NA,NA,NA,1
"TOI","MED","352438","Oilatum Cream 50g","Oilatum","50g",NA,"1",NA,NA,NA,1
"TOI","MED","195968","Otrivine Adult Nasal Spray 10ml","Otrivine","10ml",NA,"1",NA,NA,NA,1
"TOI","MED","406781","Otrivine Congestion Relief 10ml","Otrivine","10ml",NA,"1",NA,NA,NA,1
"TOI","MED","274159","Panadol Advance Tablets Compact 16pk","Panadol",NA,NA,"16pk",NA,NA,NA,0.9125
"TOI","MED","304169","Panadol Extra Advance 14pk","Panadol",NA,NA,"14pk",NA,NA,NA,0.9125
"TOI","MED","453192","Panadol Original Tablets 500mg 12's","Panadol",NA,NA,"12",NA,NA,NA,0.9125
"TOI","MED","189392","Piriteze Allergy Tablets 10mg 7pk","Piriteze",NA,NA,"7pk",NA,NA,NA,0.9125
"TOI","MED","279259","Piriteze Syrup 70ml","Piriteze",NA,NA,"1",NA,NA,NA,0.9125
