"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","DQ Score"
"HOM","DIN","s100002","Rio Square Dining Set with 2 chairs Pine","Rio",NA,"Wood",NA,"Pine","Yes",0.941666666666667
"HOM","FUR","427800","Amber Single Bed Frame White","Amber",NA,NA,NA,NA,NA,1
"HOM","FUR","427801","Amber Single Bed Frame Antique Pine","Amber",NA,NA,NA,NA,NA,1
"HOM","FUR","427802","Amber Double Bed Frame White","Amber",NA,NA,NA,NA,NA,1
"HOM","FUR","427803","Amber Double Bed Frame Antique Pine","Amber",NA,NA,NA,NA,NA,1
"HOM","FUR","439531","Amber Bedroom Set White","Amber",NA,NA,NA,NA,"Yes",0.825
"HOM","FUR","439532","Amber Bedroom Set Beech Wood","Amber",NA,NA,NA,NA,"Yes",0.825
"HOM","FUR","s100013","Cara Coffee Table Black Glass Split Shelf","Cara",NA,"Black",NA,"Glass","Yes",0.941666666666667
"HOM","FUR","s100068","Carlow Single Bed Natural Pine","Carlow",NA,NA,NA,NA,NA,1
"HOM","FUR","s100069","Carlow Double Bed Natural Pine","Carlow",NA,NA,NA,NA,NA,1
"HOM","FUR","440339","Caxton 1 Door 5 Display Unit Oak Effect","Caxton","60.5cm x 39cm x 183cm","Wood",NA,NA,"Yes",0.941666666666667
"HOM","FUR","440341","Caxton 2 Door 2 Drawer Sideboard Oak Effect","Caxton","80.5cm x 39cm x 75.5cm","Wood",NA,NA,"Yes",0.941666666666667
"HOM","FUR","440343","Caxton 3 Door 3 Drawer Sideboard Oak Effect","Caxton","120cm x 39cm x 85cm","Wood",NA,NA,"Yes",0.941666666666667
"HOM","FUR","440344","Caxton 3 Drawer Display Unit Oak Effect","Caxton","60.5cm x 39cm x 183cm","Wood",NA,NA,"Yes",0.941666666666667
"HOM","FUR","440346","Caxton 2 Drawer TV Unit Oak Effect","Caxton","100cm x 39cm x 40.5cm","Wood",NA,NA,"Yes",0.941666666666667
"HOM","FUR","s100011","Charisma Dining Set Blk Gloss 4 chairs","Charisma",NA,"Black",NA,"Black Gloss","Yes",0.941666666666667
"HOM","FUR","s100012","Charisma Dining Set White Gloss 4 chairs","Charisma","T 75.5 x 120 x 80, C 90 x 43 x 50cm","White",NA,"Poylurethant, PVC, MDF","Yes",1
"HOM","FUR","s100101","Charisma Coffee Table Black Gloss","Charisma",NA,"Black",NA,"Black Gloss","Yes",0.941666666666667
"HOM","FUR","s100102","Charisma Lamp Table Black Gloss","Charisma",NA,"Black",NA,"Black Gloss","Yes",0.941666666666667
"HOM","FUR","s100105","Charisma Coffee Table White Gloss","Charisma",NA,"White",NA,"White Gloss","Yes",0.941666666666667
"HOM","FUR","s100108","Charisma Nest of Tables Black Gloss","Charisma",NA,"Black",NA,"Black Gloss","Yes",0.941666666666667
"HOM","FUR","s100110","Charisma Nest of Tables White Gloss","Charisma",NA,"White",NA,"White Gloss","Yes",0.941666666666667
"HOM","FUR","s200077","Charisma Sideboard Black Gloss","Charisma",NA,"Black",NA,"Gloss, Chrome","Yes",0.941666666666667
"HOM","FUR","s200097","Charisma Sideboard White Gloss","Charisma",NA,"White",NA,"Gloss, Chrome","Yes",0.941666666666667
"HOM","FUR","s200103","Charisma TV Unit Black","Charisma",NA,"Black",NA,"Gloss, Chrome","Yes",0.941666666666667
"HOM","FUR","s200104","Charisma TV Unit White","Charisma",NA,"White",NA,"Gloss, Chrome","Yes",0.941666666666667
"HOM","FUR","440458","Dorset Bed Frame 3ft Black","Dorset",NA,NA,NA,NA,NA,1
"HOM","FUR","440459","Dorset Bed Frame 3ft Silver","Dorset",NA,NA,NA,NA,NA,1
"HOM","FUR","440460","Dorset Bed Frame 3ft White","Dorset",NA,NA,NA,NA,NA,1
"HOM","FUR","440461","Dorset Double Bed Frame Black","Dorset",NA,NA,NA,NA,NA,1
"HOM","FUR","440462","Dorset Double Bed Frame Silver","Dorset",NA,NA,NA,NA,NA,1
"HOM","FUR","440463","Jupiter 3ft Bunk Bed Oak","Jupiter",NA,NA,NA,NA,NA,1
"HOM","FUR","440465","Jupiter Triple Sleeper Antique pine","Jupiter",NA,NA,NA,NA,NA,1
"HOM","FUR","440466","Jupiter Triple Sleeper White","Jupiter",NA,NA,NA,NA,NA,1
"HOM","FUR","440454","Merlin Storage Stool Black","Merlin",NA,NA,NA,NA,NA,1
"HOM","FUR","440455","Merlin Storage Stool Blue","Merlin",NA,NA,NA,NA,NA,1
"HOM","FUR","440456","Merlin Storage Stool Pink","Merlin",NA,NA,NA,NA,NA,1
"HOM","FUR","440457","Merlin Storage Stool White","Merlin",NA,NA,NA,NA,NA,1
"HOM","FUR","440352","Monza Coffee Table Oak Effect","Monza","100cm x 60cm X 46cm","Wood",NA,NA,"Yes",0.941666666666667
"HOM","FUR","440353","Monza Dining Set Oak Effect","Monza","60cm x 40cm x 45cm","Wood",NA,NA,"Yes",0.941666666666667
"HOM","FUR","440354","Monza Dining Chairs Set of 2 Brown","Monza",NA,NA,NA,NA,NA,1
