"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Assembly","Capacity","Age","DQ Score"
"TOI","DEN","434474","Healthpoint Mouthwash Chlorhexdine Alcohol Free300ml","Healthpoint","300ml","1","No","300ml","16 Plus",0.6
"TOI","DEN","432815","Chlorhexidine Gluconate Mouthwash Peppermint300ml","Wilko",NA,NA,"No",NA,NA,0.6
"TOI","DEN","455321","Wilko Toothpaste Coolmint 100ml","Wilko",NA,"1","No","100ml","6 Years Plus",0.65
"TOI","DEN","455322","Wilko Toothpaste Advanced White 100ml","Wilko",NA,"1","No","100ml","6 Years Plus",0.65
"TOI","DEN","455323","Wilko Toothpaste Advanced Sensitive 100ml","Wilko",NA,"1","No","100ml","6 Years Plus",0.65
"TOI","DEN","455324","Wilko Toothpaste Kids 6+ Years 75ml","Wilko",NA,"1","No","75ml","6 Years Plus",0.65
"TOI","DEN","455325","Wilko Toothpaste Kids 0-2 Years 75ml","Wilko",NA,"1","No","75ml","0-2 Years",0.65
"TOI","DEN","455326","Wilko Toothpaste Kids 3-6 Years 75ml","Wilko",NA,"1","No","75ml","3-6 Years",0.65
"TOI","DEN","455327","Wilko Mouthwash Coolmint 500ml","Wilko",NA,"1","No","500ml","12 Years Plus",0.65
"TOI","DEN","455328","Wilko Advanced White Mouthwash 500ml","Wilko",NA,"1","No","500ml","12 Years Plus",0.65
"TOI","DEN","455329","Wilko Advanced Sens Mouthwash 500ml","Wilko",NA,"1","No","500ml","12 Years Plus",0.65
"TOI","DEN","455330","Wilko Complete Care Mouthwash 500ml","Wilko",NA,"1","No","500ml","12 Years Plus",0.65
"TOI","DEN","455331","Wilko Kids Mouthwash Strawberry 300ml","Wilko",NA,"1","No","300ml","6 Years Plus",0.65
"TOI","DEN","455332","Wilko Kids Mouthwash Mint 300ml","Wilko",NA,"1","No","300ml",NA,0.65
"TOI","FAC","446032","Derma Rescue Oil 75ml","Healthpoint",NA,"1",NA,NA,NA,0.8625
"TOI","MED","242977","Healthpoint The Little Blue Pill 10pk","Healthpoint",NA,"1",NA,NA,NA,0.86
"TOI","MED","274453","Healthpoint Witch Hazel 200ml","Healthpoint","200ml",NA,NA,NA,NA,0.9125
"TOI","MED","446305","Clear & Simple Mid Preg Test Twin Pack","Healthpoint",NA,NA,NA,NA,NA,0.775
"TOI","MED","280548","Freeze Spray 150ml","Muscle Pain",NA,"1",NA,NA,NA,0.8625
"TOI","MED","280549","Heat Spray 150ml","Muscle Pain",NA,"1",NA,NA,NA,0.8625
"TOI","MED","226470","Senna Tablets 24pk","Senna",NA,"24pk","No",NA,"12+",0.65
"TOI","MED","155509","Wilko Antiseptic Cream 30g","Wilko","30g",NA,NA,NA,NA,0.9125
"TOI","MED","172926","Wilko Diarrhoea Relief Capsules 6pk","Wilko",NA,"6pk","No",NA,"12 Years",0.65
"TOI","MED","193366","Wilko Ibuprofen 200mg 16pk","Wilko",NA,"16pk",NA,NA,NA,0.9125
