"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Model Number","DQ Score"
"KIT","ELE","448349","Elgento Non-Stick Electric Wok 30 cm Black E14018","Elegento","30cm","Black","1",NA,NA,NA,NA,NA,NA,0.95
"KIT","ELE","448350","Elgento Mini Oven 9L Black E14025","Elegento","9L","Black",NA,NA,NA,NA,"800W",NA,"E14025",0.95
"KIT","ELE","448353","Elgento Hot Air Popcorn Maker Red E26006","Elegento",NA,"Red","1",NA,NA,NA,"1200W",NA,"E26006",0.9
"KIT","ELE","448354","Elgento Cocktail Fountain Red E26008","Elegento",NA,"Red","1",NA,NA,NA,"600W",NA,"E26008",0.9
"KIT","ELE","448356","Elgento Chocolate Fountain White E26012","Elegento",NA,NA,"1",NA,NA,NA,"2200kW",NA,"E26012",0.85
"KIT","ELE","448357","Elgento Carnival Candy Catcher Money Box RedE26013","Elegento",NA,"Red","1",NA,NA,NA,"3x1.5v Battery (not included)",NA,"E26013",0.9
"KIT","ELE","404248","Morphy Richards 6 piece co-ordinated storage set Red 974100","Morphy Richards",NA,"Red",NA,NA,NA,NA,NA,NA,"974100",0.85
"KIT","ELE","404249","Morphy Richards 6 piece co-ordinated storage set Black 974101","Morphy Richards",NA,"Black",NA,NA,NA,NA,NA,NA,"974101",0.85
"KIT","ELE","404263","Morphy Richards Accents Saute Pan with Glass LidCream 28cm","Morphy Richards",NA,"Cream",NA,NA,NA,NA,NA,NA,"46352",0.85
"KIT","ELE","404264","Morphy Richards 24cm Stainless Steel Casserole Pan970007","Morphy Richards",NA,"Metal",NA,NA,NA,NA,NA,NA,"970007",0.85
"KIT","ELE","404265","Morphy Richards Casserole Pan Red 24cm","Morphy Richards",NA,"Red",NA,NA,NA,NA,NA,NA,"46371",0.85
"KIT","ELE","404266","Morphy Richards Casserole Pan Black 24cm","Morphy Richards",NA,"Black",NA,NA,NA,NA,NA,NA,"46370",0.85
"KIT","ELE","404269","Morphy Richards 24cm White Casserole Pan 46374","Morphy Richards",NA,"White",NA,NA,NA,NA,NA,NA,"79007",0.85
"KIT","ELE","404270","Morphy Richards Casserole Pan Cream 24cm","Morphy Richards",NA,"Cream",NA,NA,NA,NA,NA,NA,"46372",0.85
"KIT","ELE","404279","Morphy Richards Accents Whistling Kettle Plum2.5L","Morphy Richards",NA,"Purple",NA,NA,NA,NA,NA,"2.5 Litres","46503",0.9
"KIT","ELE","404287","Morphy Richards Professional Tri-Ply CasserolePot 24cm","Morphy Richards",NA,"Metal",NA,NA,NA,NA,NA,NA,"79806",0.85
"KIT","ELE","404288","Morphy Richards Professional Tri-Ply Saute PanStainless Steel 28cm","Morphy Richards",NA,"Metal",NA,NA,NA,NA,NA,NA,"79807",0.85
"KIT","ELE","444736","Morphy Richards Accents Round Sensor Bin Red 50L974140","Morphy Richards","50L","Red",NA,NA,NA,NA,NA,NA,"974140",0.9
"KIT","ELE","444737","Morphy Richards Accents Round Sensor Bin Black50L 974141","Morphy Richards","50L","Black",NA,NA,NA,NA,NA,NA,"974141",0.9
"KIT","ELE","444739","Morphy Richards Accents Round Sensor Bin Cream50L 974143","Morphy Richards","50L","Cream",NA,NA,NA,NA,NA,NA,"974143",0.9
"KIT","ELE","444740","Morphy Richards Accents Round Sensor Bin White50L 974144","Morphy Richards","50L","White",NA,NA,NA,NA,NA,NA,"974144",0.9
"KIT","ELE","444744","Morphy Richards Accents Round Sensor BinStainless Steel 50L 974148","Morphy Richards","50L","Silver",NA,NA,NA,NA,NA,NA,"974148",0.9
"KIT","ELE","444753","Morphy Richards Chroma Square Sensor Bin Red 42L971501MO","Morphy Richards","42L","Red",NA,NA,NA,NA,NA,NA,"971501MO",0.9
"KIT","ELE","444758","Morphy Richards Chroma Round Sensor Bin Red 42L971511MO","Morphy Richards","42L","Red",NA,NA,NA,NA,NA,NA,"971511MO",0.9
"KIT","ELE","444760","Morphy Richards Chroma Round Sensor Bin Cream 42L971513MO","Morphy Richards","42L","Cream",NA,NA,NA,NA,NA,NA,"971513MO",0.9
"KIT","ELE","444763","Morphy Richards Chroma Square Sensor Bin Black50L 971517MO","Morphy Richards","50L","Black",NA,NA,NA,NA,NA,NA,"971517MO",0.9
"KIT","ELE","444765","Morphy Richards Chroma Square Sensor BinStainless Steel 50L 971519MO","Morphy Richards","50L","Silver",NA,NA,NA,NA,NA,NA,"971519MO",0.9
"KIT","ELE","444766","Morphy Richards Chroma Round Sensor Bin Red 50L","Morphy Richards","50L","Red",NA,NA,NA,NA,NA,NA,NA,0.85
