"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Capacity","Age","DQ Score"
"CLE","AIR","178606","Air Wick Plug In Refill Air FreshenerCrisp Linen and Lilac","Air Wick","17ml",NA,NA,NA,NA,NA,0.86
"CLE","AIR","182755","Air Wick Air Freshener Electric Refill Lavender17ml","Air Wick","21ml",NA,NA,NA,NA,NA,0.86
"CLE","AIR","225215","Air Wick Colours of Nature Freshmatic RefillPurple Lavender Meadow 250ml","Air Wick","250ml",NA,"1",NA,NA,NA,1
"CLE","AIR","237316","Air Wick Freshmatic Colours of Nature RefillWhite Vanilla Bean 250ml","Air Wick","250ml",NA,NA,NA,NA,NA,0.9125
"CLE","AIR","244594","Air Wick Freshmatic Max Refill Touch of LuxuryCrisp Linen and Lilac 250ml","Air Wick","250ml",NA,NA,NA,NA,NA,0.9125
"CLE","AIR","258375","Air Wick Freshmatic Max Refill Touch of LuxurySmooth Satin and Moon Lily","Air Wick","250ml",NA,"1",NA,NA,NA,1
"CLE","AIR","293403","Air Wick Plug Refill Vanilla Bean","Air Wick","17ml",NA,"1",NA,NA,NA,0.93
"CLE","AIR","293477","Air Wick Air Freshener Crisp Linen and Lilac 240ml","Air Wick","240ml",NA,"1",NA,NA,NA,1
"CLE","AIR","293478","Air Wick Air Freshener Purple Lavender 240ml","Air Wick","240ml",NA,"1",NA,NA,NA,1
"CLE","AIR","333110","Air Wick Electrical Plug In Twin Refill AirFreshener Crisp Linen & Lilac","Air Wick","2x17ml",NA,"1",NA,NA,NA,0.93
"CLE","AIR","333111","Air Wick Electric Air Freshener Twin Refill PurpleLavender","Air Wick","2x17ml",NA,"1",NA,NA,NA,0.93
"CLE","AIR","346442","Air Wick Freshmatic Max Automatic Spray GadgetWhite","Air Wick",NA,NA,"1",NA,NA,NA,0.9125
"CLE","AIR","346443","Air Wick Freshmatic Max Air Freshener Gadget Stone","Air Wick",NA,NA,"1",NA,NA,NA,0.9125
"CLE","AIR","403509","Air Wick Candle White Vanilla Bean","Air Wick",NA,"Multi","1",NA,NA,NA,0.93
"CLE","AIR","411909","Air Wick Reed Diffuser Crisp Linen and Lilac 25ml","Air Wick","25ml",NA,"1",NA,NA,NA,1
"CLE","AIR","420419","Air wick Wax Melt Complete Mulled Wine By The Fire","Air Wick",NA,NA,"1",NA,NA,NA,0.86
"CLE","AIR","420421","Air Wick Wax Melt Refill Mulled Wine by the Fire6pk","Air Wick",NA,NA,"1",NA,NA,NA,0.86
"CLE","AIR","420422","Air Wick Life Scents Wax Melts Refill SummerDelights 6pk","Air Wick",NA,NA,"1",NA,NA,NA,0.86
"CLE","AIR","420424","Air Wick Life Scents Wax Melts Refill TurquoiseOasis 6pk","Air Wick",NA,NA,"1",NA,NA,NA,0.86
"CLE","AIR","420426","Air Wick Pure Air Freshener Mulled Wine 250ml","Air Wick",NA,NA,"1",NA,NA,NA,0.9125
"CLE","AIR","420427","Air Wick Pure Air Freshener Spray Cherry Blossom250ml","Air Wick",NA,NA,"1",NA,NA,NA,0.9125
"CLE","AIR","420428","Air Wick Pure Air Freshener Aerosol Spring Delight250ml","Air Wick","250ml",NA,"1",NA,NA,NA,1
"CLE","AIR","420429","Air Wick Pure Air Freshener Aerosol MediterraneanSun 250ml","Air Wick","250ml",NA,"1",NA,NA,NA,1
"CLE","AIR","420430","Air Wick Pure Ar Freshener Aerosol White Vanilla250ml","Air Wick","250ml",NA,"1",NA,NA,NA,1
"CLE","AIR","426232","Air Wick Freshmatic Max Air Freshener Refill CrispLinen 2 Pack","Air Wick","500ml",NA,"2pk",NA,NA,NA,1
