"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Assembly","Age","DQ Score"
"TOI","BAB","271432","Bepanthen Nappy Care Ointment 100g","Bepanthen","100g","1",NA,NA,1
"TOI","BAB","281543","Bepanthen Nappy Care Ointment 30g","Bepanthen","30g",NA,NA,NA,0.9125
"TOI","MED","146230","Alka-Seltzer Original 20pk","Alka Seltzer",NA,"20pk","No","16",0.6
"TOI","MED","452296","Canesten Thrush Combi","Bayer",NA,"1",NA,NA,0.8625
"TOI","MED","452297","Canestest","Bayer",NA,"1",NA,NA,0.8625
"TOI","MED","452298","Canesbalance","Bayer",NA,"1",NA,NA,0.8625
"TOI","MED","452299","CanesOasis 6pk","Bayer",NA,"6",NA,NA,0.8625
"TOI","MED","452300","Canesfresh Feminine Wipes 10pk","Bayer",NA,"10",NA,NA,0.76
"TOI","MED","452301","Canesfresh Soothing Wash Gel 200ml","Bayer","200ml","1",NA,NA,0.88
"TOI","MED","454675","Rennie Peppermint 96 Tablets","Bayer",NA,"96","No",NA,0.6
"TOI","MED","273662","Berroca Effervescent Original 15pk","Berocca",NA,"15pk",NA,NA,0.8625
"TOI","MED","305006","Berroca Effervescent Mixed Berries 15pk","Berocca",NA,"15",NA,NA,0.8625
"TOI","MED","293625","Canesten Athletes Foot Dual Action 30g","Canesten",NA,"1",NA,NA,0.9125
"TOI","MED","284486","Feminax Express 8pk","Feminax",NA,"1",NA,NA,0.9125
"TOI","MED","100128","Germolene Antiseptic Cream 30g","Germolene","30g",NA,NA,NA,0.9125
"TOI","MED","293251","Germoloids Triple Action 25g","Germoloids",NA,"1",NA,NA,0.9125
"TOI","MED","117911","Rennie Peppermint 24 Tablets","Rennie",NA,"24pk","No",NA,0.65
"TOI","MED","172978","Rennie Spearmint 24pk","Rennie",NA,"24pk","No","6 Years",0.65
"TOI","MED","223586","Rennie Sugar Free 24pk","Rennie",NA,"24pk","No","5 Years",0.65
"TOI","MED","239580","Rennie Peppermint 48pk","Rennie",NA,"48pk","No","6 Years",0.65
"TOI","MED","239581","Rennie Spearmint 48pk","Rennie",NA,"48pk","No","6 Years",0.65
"TOI","MED","274456","Rennie Deflatine 36pk","Rennie",NA,"36pk","No",NA,0.65
"TOI","MED","330063","Rennie Orange 48pk","Rennie",NA,"48pk","No",NA,0.65
