"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Power","Capacity","DQ Score"
"CLE","AIR","430994","Febreze Fabric Fresh Summer Breeze 500ml","Febreze","500ml",NA,"1",NA,NA,NA,0.95
"CLE","AIR","431009","Febreze Fabric Refresher Cotton 375ml","Febreze","375ml",NA,"1",NA,NA,NA,1
"CLE","AIR","431010","Fabreze Fabric Refresher Thai 375ml","Febreze","375ml",NA,"1",NA,NA,NA,0.95
"CLE","AIR","450159","Febreze Aerosol Lavender 300ml","Febreze","300ml",NA,"1",NA,NA,NA,1
"CLE","AIR","450160","Febreze Aerosol Fruity Tropics 300ml","Febreze","300ml",NA,"1",NA,NA,NA,1
"CLE","AIR","450162","Febreze Pet Odour 300ml","Febreze","300ml",NA,"1",NA,NA,NA,1
"CLE","AIR","450163","Febreze Anti Tobacco 300ml","Febreze","300ml",NA,"1",NA,NA,NA,1
"CLE","AIR","450168","Febreze Car Gel Pet Odour","Febreze","2ml",NA,"1",NA,NA,NA,1
"CLE","AIR","450169","Febreze Car Gel Thai Orchid","Febreze","2ml",NA,"1",NA,NA,NA,1
"CLE","AIR","450170","Febreze Fabric Refresher Blossom And Breeze375ml","Febreze","375ml",NA,"1",NA,NA,NA,1
"CLE","AIR","450173","Febreze Aerosol Heavy Duty Fresh Boost 300ml","Febreze","300ml",NA,"1",NA,NA,NA,0.95
"CLE","AIR","450174","Febreze Heavy Duty Crisp Clean 300ml","Febreze","300ml",NA,"1",NA,NA,NA,1
"CLE","AIR","450592","Febreze Car Diffuser Unit Anti Tobacco","Febreze","7ml",NA,"1",NA,NA,NA,1
"CLE","AIR","450593","Febreze Car Diffuser Refill Anti Tobacco","Febreze","7ml",NA,"1",NA,NA,NA,1
"CLE","DIS","206463","Fairy Power Spray 375ml","Fairy","375ml",NA,NA,NA,NA,NA,0.9125
"CLE","DIS","285764","Fairy Dishwasher Tablets Lemon 31pk","Fairy","629g",NA,"31s",NA,NA,NA,1
"CLE","DIS","293181","Fairy Dishwasher Platinum Tablets Lemon 27pk","Fairy","505g",NA,"27s",NA,NA,NA,1
"CLE","DIS","403605","Fairy Dish Washer Rinse Aid 475ml","Fairy",NA,NA,"1",NA,NA,NA,0.9125
"CLE","DIS","425089","Fairy Original All in One Lemon 44pk","Fairy",NA,NA,"44",NA,NA,NA,0.9125
"CLE","DIS","425091","Fairy Antibacterial Washing Up Liquid withEucalyptus 625ml","Fairy","625ml",NA,"1",NA,NA,NA,1
"CLE","DIS","425096","Fairy Original Lemon 780ml","Fairy","780ml",NA,NA,NA,NA,NA,0.9125
"CLE","DIS","425098","Fairy Original 780ml","Fairy","780ml",NA,NA,NA,NA,NA,0.9125
"CLE","DIS","425101","Fairy Platinum Original 625ml","Fairy","625ml",NA,"1",NA,NA,NA,1
"CLE","DIS","438081","Fairy Lemon 1L","Fairy",NA,NA,"1",NA,NA,NA,0.9125
"CLE","DIS","438082","Fairy Original 1L","Fairy",NA,NA,"1",NA,NA,NA,0.9125
"CLE","DIS","438086","Fairy Clean and Care Rose and Satin Scent 820ml","Fairy","820ml",NA,"1",NA,NA,NA,1
"CLE","DIS","439936","Fairy Original 433ml","Fairy","433ml",NA,"1",NA,NA,NA,1
"CLE","DIS","457302","Fairy Original All in One Lemon DishwasherCapsules 61pk","Fairy",NA,NA,NA,NA,NA,NA,0.825
"CLE","DIS","457303","Fairy Platinum All in One Dishwasher TabletsLemon 50pk","Fairy",NA,NA,NA,NA,NA,NA,0.825
"CLE","LAU","272578","Ariel Washing Gel Bio 16 Washes 592ml","Ariel","592ml",NA,"1",NA,NA,NA,1
"CLE","LAU","278061","Ariel Washing Gel Bio 24 Washes 888ml","Ariel","888ml",NA,"1",NA,NA,NA,1
"CLE","LAU","278062","Ariel Washing Gel Febreze 24 Washes 888ml","Ariel","888ml",NA,"1",NA,NA,NA,1
"CLE","LAU","278067","Ariel Washing Gel Colour 24 Washes 888ml","Ariel","888ml",NA,"1",NA,NA,NA,1
"CLE","LAU","333378","Ariel 3in1 Bio Liquid Tablets 19 Washes","Ariel","19s",NA,"19s",NA,NA,NA,1
"CLE","LAU","333379","Ariel 3in1 Tablets Colour and Style 19 Washes","Ariel","19s",NA,"19s",NA,NA,NA,1
"CLE","LAU","333380","Ariel 3 in 1 Liquid Tablets Febreze 19 Washes","Ariel","19s",NA,"19s",NA,NA,NA,1
"CLE","LAU","350025","Ariel Detergent  Powder Regular 650g","Ariel","650g",NA,NA,NA,NA,NA,0.9125
"CLE","LAU","350026","Ariel Washing Powder Colour 22 Washes 1.43kg","Ariel","1.43kg",NA,NA,NA,NA,NA,0.9125
"CLE","LAU","351261","Ariel Washing Liquid Original 22 Washes 1.2L","Ariel","1.2L",NA,"1",NA,NA,NA,1
"CLE","LAU","351262","Ariel Washing Liquid Colour 22 Washes 1.2L","Ariel","1.2L",NA,NA,NA,NA,NA,0.9125
"CLE","LAU","351264","Ariel Washing Liquid Original 40 Washes 2L","Ariel","2L",NA,"1",NA,NA,NA,1
"CLE","LAU","403534","Ariel Bio Liquitabs 30 Washes","Ariel",NA,NA,NA,NA,NA,NA,0.825
"CLE","LAU","422364","Ariel Pods 3in1 Colour and Style 30 Washes","Ariel",NA,NA,"1",NA,NA,NA,0.9125
"CLE","LAU","432516","Ariel Washing Liquid Colour 40 Washes 2L","Ariel",NA,NA,"1",NA,NA,NA,0.9125
"CLE","LAU","432517","Ariel Washing Powder Regular 40 Washes 2.6kg","Ariel",NA,NA,"1",NA,NA,NA,0.9125
"CLE","LAU","454183","Ariel Liquid Regular 3L","Ariel","3L",NA,"1",NA,NA,NA,1
"CLE","LAU","295254","Bold Gel With Lenor Lotus Flower and Lilly 888ml","Bold","888ml",NA,"1",NA,NA,NA,1
"CLE","LAU","295341","Bold Gel With Lenor Lavender and Camomile 888ml","Bold","888ml",NA,"1",NA,NA,NA,1
"CLE","LAU","330301","Bold Gel With Lenor Sparkling Bloom and YellowPoppy 24 Washes 888ml","Bold","888ml",NA,"1",NA,NA,NA,1
"CLE","LAU","351268","Bold 2in1 Liquid Lotus Flower and Lilly 1.2L","Bold","1.2L",NA,NA,NA,NA,NA,0.9125
"CLE","LAU","351270","Bold 2in1 Liquid Lavender and Camomile 1.9L","Bold","1.9L",NA,"1",NA,NA,NA,1
"CLE","LAU","413963","Bold 2 in 1 Liquid Tablets White Lily 18 Washes","Bold",NA,NA,"1",NA,NA,NA,0.9125
"CLE","LAU","413965","Bold 2 in 1 Liquid Tablets Lavender and Camomile18 Washes","Bold",NA,NA,"1",NA,NA,NA,0.9125
"CLE","LAU","413967","Bold 2 in 1 Liquid Tablets Sparkling Bloom18 Washes","Bold",NA,NA,"1",NA,NA,NA,0.9125
"CLE","LAU","432518","Bold 2in1 with Lenor Sparkling Bloom andYellow Poppy 1.2L","Bold","1.2L",NA,"1",NA,NA,NA,1
"CLE","LAU","432519","Bold 2 in 1 Liquid Tablets Lavender and Camomile29 Washes","Bold",NA,NA,"1",NA,NA,NA,0.9125
"CLE","LAU","432520","Bold 2 in 1 Liquid Pods White Lily 29 Washes","Bold",NA,NA,"1",NA,NA,NA,0.9125
"CLE","LAU","432521","Bold 2in1 Powder with Lenor Lavender andCamomile 2.6kg","Bold",NA,NA,"1",NA,NA,NA,0.9125
"CLE","LAU","432522","Bold 2in1 Powder Sparkling Bloom 1.43kg","Bold","1.43kg",NA,"1",NA,NA,NA,1
"CLE","LAU","112320","Daz Handwash Laundry Powder 960g","Daz","960g",NA,NA,NA,NA,NA,0.9125
"CLE","LAU","334456","Daz Liquid Regular 1.0L","Daz","1.0L",NA,NA,NA,NA,NA,0.9125
"CLE","LAU","350030","Daz Detergent Powder   Regular 2.6kg","Daz","2.6kg",NA,"1",NA,NA,NA,1
"CLE","LAU","350031","Daz Detergent  Powder  Regular 1.43kg","Daz","1.43kg",NA,"1",NA,NA,NA,1
"CLE","LAU","422365","Daz Liquid Tablets 27 Washes","Daz",NA,NA,"27",NA,NA,NA,0.9125
"CLE","LAU","450760","Daz Liquid 2.45L","Daz","2.45L",NA,"1",NA,NA,NA,1
"CLE","LAU","450761","Daz Liquitabs 42 Washes","Daz",NA,NA,"42",NA,NA,NA,0.9125
"CLE","LAU","316180","Fairy Gel Non Bio 24 Washes 888ml","Fairy","888ml",NA,"1",NA,NA,NA,1
"CLE","LAU","350034","Fairy Non Bio Regular Detergent Powder 1.43kg","Fairy","1.43kg",NA,"1",NA,NA,NA,1
"CLE","LAU","351265","Fairy Non Bio Liquid 40 Washes 2L","Fairy","2L",NA,NA,NA,NA,NA,0.9125
"CLE","LAU","351266","Fairy Non Bio Liquid 24 Washes 1.2L","Fairy","1.2L",NA,NA,NA,NA,NA,0.9125
"CLE","LAU","400360","Fairy Original Fabric Conditioner 1.1L","Fairy","1.1L",NA,NA,NA,NA,NA,0.9125
"CLE","LAU","400362","Fairy Almond Oils Fabric Conditioner 1.1L","Fairy",NA,NA,"1",NA,NA,NA,0.9125
"CLE","LAU","413969","Fairy Non Bio Liquid Tablets 19 Washes","Fairy",NA,NA,"1",NA,NA,NA,0.9125
"CLE","LAU","413970","Fairy Non Bio Liquid Tablets 30 Washes","Fairy",NA,NA,"1",NA,NA,NA,0.9125
"CLE","LAU","432523","Fairy Powder Non Bio 2.6kg","Fairy",NA,NA,"1",NA,NA,NA,0.9125
"CLE","LAU","441966","Fairy Original Fabric Conditioner 2.905L","Fairy","2.905L",NA,"1",NA,NA,NA,1
"CLE","LAU","289099","Febreze Pet Odour Fabric Refresh 500ml","Febreze","500ml",NA,NA,NA,NA,NA,0.9125
"CLE","LAU","297018","Febreze Fabric Freshener Lavender 500ml","Febreze","500ml",NA,"1",NA,NA,NA,1
"CLE","LAU","450171","Febreze Fabric Refresher Lenor Orcid 500ml","Febreze",NA,NA,"1",NA,NA,NA,0.9125
"CLE","LAU","224579","Lenor Tumble Dryer Sheets Summer Breeze 34pk","Lenor",NA,NA,"34s",NA,NA,NA,0.9125
"CLE","LAU","400321","Lenor Unstoppables Fresh 275g","Lenor","275g",NA,NA,NA,NA,NA,0.9125
"CLE","LAU","400324","Lenor Unstoppables Fresh 375g","Lenor","375g",NA,"1",NA,NA,NA,1
"CLE","LAU","400325","Lenor Unstoppables Lavish 375g","Lenor","375g",NA,"1",NA,NA,NA,1
"CLE","LAU","400330","Lenor Fabric Conditioner Spring Awakening44 Washes 1.1L","Lenor",NA,NA,"1",NA,NA,NA,0.9125
"CLE","LAU","400334","Lenor Fabric Conditioner Summer Breeze 44 Washes1.1L","Lenor",NA,NA,"1",NA,NA,NA,0.9125
"CLE","LAU","400338","Lenor Fabric Conditioner Moonlight Harmony44 Washes 1.1L","Lenor",NA,NA,"1",NA,NA,NA,0.9125
"CLE","LAU","400341","Lenor Fabric Conditioner Fresh Meadow 44 Washes1.1L","Lenor","1.1L",NA,"1",NA,NA,NA,1
"CLE","LAU","400344","Lenor Fabric Conditioner Ocean Escape 37 Washes925ml","Lenor","925ml",NA,"1",NA,NA,NA,1
"CLE","LAU","400350","Lenor Fabric Conditioner Ruby Jasmine 37 Washes925ml","Lenor","925ml",NA,NA,NA,NA,NA,0.9125
"CLE","LAU","400353","Lenor Fabric ConditionerGold Orchid 37 Washes925ml","Lenor","925ml",NA,NA,NA,NA,NA,0.9125
"CLE","LAU","400356","Lenor Fabric Softener Emerald 37 Washes 925ml","Lenor","925ml",NA,NA,NA,NA,NA,0.9125
"CLE","LAU","422363","Lenor Unstoppables Uplift 275g","Lenor","275g",NA,"1",NA,NA,NA,1
"CLE","LAU","428910","Lenor Gold Orchid Fabric Conditioner 1.8L","Lenor","1.8L",NA,"1",NA,NA,NA,1
"CLE","LAU","428911","Lenor Ocean Escape Fabric Conditioner 1.8L","Lenor","1.8L",NA,"1",NA,NA,NA,1
"CLE","LAU","432514","Lenor Unstoppables Spring 375g","Lenor","375g",NA,"1",NA,NA,NA,1
"CLE","LAU","432515","Lenor Unstoppables Spring 275g","Lenor","275g",NA,"1",NA,NA,NA,0.95
"CLE","LAU","441964","Lenor Spring Awakening Fabric Conditioner2.905L","Lenor",NA,NA,"1",NA,NA,NA,0.9125
"CLE","LAU","441965","Lenor Fabric Conditioner Summer Breeze83 Washes","Lenor",NA,NA,"1",NA,NA,NA,0.9125
"CLE","LAU","441980","Lenor Unstoppables Dreams 375g","Lenor",NA,NA,"1",NA,NA,NA,0.825
"CLE","LAU","450762","Lenor Premium Peony Fabric Conditioner 1.8L","Lenor",NA,NA,NA,NA,NA,NA,0.775
"CLE","LAU","450763","Lenor Deep Sea Minerals Fabric Conditioner875ml","Lenor","875ml",NA,"1",NA,NA,NA,0.95
"CLE","LAU","450764","Lenor Silk Tree Blossom Fabric Conditioner875ml","Lenor","875ml",NA,"1",NA,NA,NA,0.95
"CLE","LAU","450765","Lenor Shea Butter Fabric Conditioner875ml","Lenor","875ml",NA,"1",NA,NA,NA,0.95
"CLE","LAU","454182","Lenor Fabric Conditioner 925mlWild Flower Bloom","Lenor","925ml",NA,"1",NA,NA,NA,0.95
"CLE","SUR","213848","Flash Power Mop Cleaning Kit","Flash",NA,NA,"1",NA,NA,NA,0.825
"CLE","SUR","271961","Flash Wooden Floors Mandarin and Cedar Wood Liquid1L","Flash","1L",NA,"1",NA,NA,NA,1
"CLE","SUR","278058","Flash Power Mop Multipurpose Cleaning Solution Refill Sea Minerals 1.25L","Flash","1.25L",NA,"1",NA,NA,NA,1
"CLE","SUR","278059","Flash Power Mop Multi-Layered Cleaning PadRefills 12pk","Flash","2 Pack",NA,"1",NA,NA,NA,0.883333333333333
"CLE","SUR","282140","Flash Antibacterial Cleaning Wipes 60pk","Flash","60 wipes",NA,"60pk",NA,NA,NA,1
"CLE","SUR","298343","Flash All Purpose Cleaner Liquid Blossom AndBreeze 1.3L","Flash","1.3L",NA,NA,NA,NA,NA,0.9125
"CLE","SUR","306365","Flash Cleaner All Purpose with Febreze Cotton Fresh 1.3L","Flash","1.3L",NA,"1",NA,NA,NA,1
"CLE","SUR","316381","Flash Bathroom All Purpose Cleaner 1L","Flash","1L",NA,NA,NA,NA,NA,0.9125
"CLE","SUR","334359","Flash Gel All Purpose Cleaner Crisp Lemon 400ml","Flash","400ml",NA,"1",NA,NA,NA,1
"CLE","SUR","334360","Flash Gel All Purpose Cleaner Blossom 400ml","Flash","400ml",NA,"1",NA,NA,NA,1
"CLE","SUR","346495","Flash Extra Power Magic Eraser 2pk","Flash",NA,NA,"2pk",NA,NA,NA,0.86
"CLE","SUR","346497","Flash Magic Eraser Original 1pk","Flash",NA,NA,"1",NA,NA,NA,0.86
"CLE","SUR","347529","Flash Wipes Antibacterial 10pk","Flash","10 wipes",NA,"10",NA,NA,NA,1
"CLE","SUR","414749","Flash with Fabreze Bathroom Spray 450ml","Flash","450ml",NA,"1",NA,NA,NA,1
"CLE","SUR","414751","Flash With Bleach 3in1 Spray 450ml","Flash","450ml",NA,"1",NA,NA,NA,1
"CLE","SUR","414752","Flash with Fairy Kitchen Spray 450ml","Flash",NA,NA,"1",NA,NA,NA,0.9125
"CLE","SUR","414859","Flash All Purpose Cleaner Lemon Spray 469ml","Flash","469ml",NA,"1",NA,NA,NA,1
"CLE","SUR","438078","Flash Gel Crisp Lemon Multi Surface Cleaner 885ml","Flash","885ml",NA,"1",NA,NA,NA,1
"CLE","SUR","450116","Flash Gel Blossom And Breeze 885ml","Flash",NA,NA,NA,NA,NA,NA,0.825
"CLE","SUR","450117","Flash Liquid With Bleach 1L","Flash",NA,NA,NA,NA,NA,NA,0.825
"CLE","SUR","450118","Flash Liquid Lavender 2.05L","Flash",NA,NA,NA,NA,NA,NA,0.825
"CLE","SUR","450120","Flash All Purpose Cleaner Spray Lemon 2.05L","Flash",NA,NA,NA,NA,NA,NA,0.825
"CLE","SUR","450121","Flash Antibacterial Spray 469ml","Flash",NA,NA,NA,NA,NA,NA,0.825
"CLE","SUR","450122","Flash All Purpose Cleaner Spray Cotton Fresh469ml","Flash",NA,NA,NA,NA,NA,NA,0.825
"CLE","SUR","451206","Flash Wipes Antibacterial 120pk","Flash",NA,NA,NA,NA,NA,NA,0.825
"CLE","SUR","275074","Viakal Spray Original 500ml","Viakal","500ml",NA,NA,NA,NA,NA,0.9125
"CLE","SUR","403557","Viakal With Febreze Spray 500ml","Viakal",NA,NA,"1",NA,NA,NA,0.9125
"DIY","MOT","405434","Febreze Car Freshener Open Sky 7ml","Febreze",NA,NA,"1",NA,NA,NA,0.86
"DIY","MOT","436077","Febreze Car Freshener Refill Fruity Tropics 7ml","Febreze","7ml",NA,"1",NA,NA,NA,1
"DIY","MOT","436079","Febreze  Clip On Car Freshener Anti Tobacco","Febreze",NA,NA,"1",NA,NA,NA,0.9125
"DIY","MOT","450788","Febreze Car Air Freshener Refill Vanilla Bouquet 7ml","Febreze","7ml",NA,"1",NA,NA,NA,1
"DIY","MOT","450789","Febreze Car Air Freshener Starter Kit Vanilla Bouquet 7ml","Febreze","7ml",NA,"1",NA,NA,NA,1
"TOI","BAN","271187","Pampers Baby Dry Size 4+ Maxi Plus 24pk","Pampers","Maxi Plus",NA,"1",NA,NA,NA,0.93
"TOI","BAN","271188","Pampers Baby Dry Size 5 Junior 23pk","Pampers","Stage 5, Junior",NA,"23pk",NA,NA,NA,0.93
"TOI","BAN","271189","Pampers Baby Dry Size 5+ Junior Plus 22pk","Pampers","Junior Plus",NA,"22pk",NA,NA,NA,0.93
"TOI","BAN","290664","Pampers New Baby Nappies Size 1 22pk","Pampers",NA,NA,"23",NA,NA,NA,0.86
"TOI","BAN","290665","Pampers New Baby Size 2 32pk","Pampers","Stage 2, Mini",NA,"32pk",NA,NA,NA,0.93
"TOI","BAN","290666","Pampers New Baby Size 3 Midi 29pk","Pampers","Stage 3",NA,"1",NA,NA,NA,0.93
"TOI","BAN","307112","Pampers Sensitive Baby Wipes 56pk","Pampers",NA,NA,"56pk",NA,NA,NA,0.86
"TOI","BAN","307113","Pampers Baby Wipes Fragrance Free 64pk","Pampers",NA,NA,"64pk",NA,NA,NA,0.86
"TOI","BAN","307114","Pampers Fragrance Free Baby Wipes 64pk","Pampers","64 Wipes",NA,"1",NA,NA,NA,0.93
"TOI","BAN","341558","Pampers Baby Dry Size 6 Extra Large Nappies 19pk","Pampers",NA,NA,"19pk",NA,NA,NA,0.86
"TOI","BAN","341566","Pampers Baby Dry 6+ Extra Large Plus Nappies 19pk","Pampers",NA,NA,"19pk",NA,NA,NA,0.86
"TOI","BAN","417461","Pampers Baby Dry Size 6 Extra Large 33pk","Pampers",NA,NA,NA,NA,NA,NA,0.79
"TOI","BAN","417462","Pampers Baby Dry Size 4 Maxi 44pk","Pampers",NA,NA,NA,NA,NA,NA,0.79
"TOI","BAN","417468","Pampers Baby Dry Size 5+ Junior Plus 35pk","Pampers",NA,NA,NA,NA,NA,NA,0.79
"TOI","BAN","417471","Pampers Baby Dry Size 5 Junior 39pk","Pampers",NA,NA,NA,NA,NA,NA,0.79
"TOI","BAN","430353","Pampers Baby Dry Nappy Pants Size 6Extra Large 19pk","Pampers",NA,NA,NA,NA,NA,NA,0.79
"TOI","BAN","430354","Pampers Baby Dry Pants Size 5 Junior 21pk","Pampers",NA,NA,NA,NA,NA,NA,0.79
"TOI","BAN","430357","Pampers Baby Dry Pants Size 4 Maxi 23pk","Pampers",NA,NA,NA,NA,NA,NA,0.79
"TOI","BAN","446371","Pampers Baby Dry Size 6+ Extra Large Plus 30pk","Pampers",NA,NA,"30",NA,NA,NA,0.86
"TOI","BAN","446372","pampers Baby Dry Nappies Size 3 Midi 50pk","Pampers",NA,NA,"50",NA,NA,NA,0.86
"TOI","BAN","446373","Pampers Baby Dry Nappies Size 4+ Maxi 41pk","Pampers",NA,NA,"41",NA,NA,NA,0.86
"TOI","DEN","280459","Fixodent Plus Denture Adhesive Cream 35ml","Fixodent","35ml","Multi","1","No",NA,NA,0.65
"TOI","DEN","295742","Fixodent Plus Dual Power Denture Adhesive 40g","Fixodent","40g",NA,"1","No",NA,NA,0.65
"TOI","DEN","402816","Fixodent Denture Adhesive Cream Original 47g","Fixodent",NA,"Multi","1","No",NA,NA,0.65
"TOI","DEN","82310","Fixodent Denture Adhesive Cream Original 70g","Fixodent","70g","Multi",NA,"No",NA,NA,0.65
"TOI","DEN","191872","Oral-B Precision Clean Replacements Brush Heads2pk","Oral B","One Size",NA,"1","No",NA,NA,0.6
"TOI","DEN","207219","Oral- B  Precison Clean Replacement Brush Heads4pk","Oral B",NA,NA,"4","No",NA,NA,0.6
"TOI","DEN","270547","Oral B Vitality Toothbrush Precision Clean","Oral B","One Size",NA,NA,"No","Battery",NA,0.65
"TOI","DEN","293473","Oral-B Pro Expert Pulsar Toothbrush Medium 1pk","Oral B","Medium",NA,NA,"No",NA,NA,0.6
"TOI","DEN","293474","Oral- B  Complete Mouthwash Alcohol Free 500ml","Oral B","500ml","Multi","1","No",NA,NA,0.6
"TOI","DEN","307772","Oral- B Toothpaste  1 2 3 100ml","Oral B","100ml","Multi",NA,"No",NA,NA,0.6
"TOI","DEN","307773","Oral B Complete Fresh Refreshing Clean Toothpaste100ml","Oral B","100ml","Multi","1","No",NA,NA,0.65
"TOI","DEN","307781","Oral B Complete Fresh Long Lasting FreshToothpaste 100ml","Oral B","100ml","Multi","1","No",NA,NA,0.65
"TOI","DEN","307784","Oral- B Toothpaste Pro Expert Whitening  Mint 75ml","Oral B","75ml","Multi","1","No",NA,NA,0.6
