"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","DQ Score"
"CLE","AIR","293100","Glade Refresh Air Spray 275ml Cotton","Glade","275ml",NA,"1",NA,1
"CLE","KIW","276784","Kiwi Express Shine Sponge Black","Kiwi",NA,"Black",NA,NA,0.86
"CLE","KIW","276859","Kiwi Shoe Polish Black 50ml","Kiwi","50ml","Black",NA,NA,0.93
"CLE","KIW","323774","Kiwi  Footwear Deo Fresh 100ml","Kiwi","100ml",NA,NA,NA,0.86
"CLE","KIW","324183","Kiwi Instant Wax Shine Black 75ml","Kiwi","75ml","Black",NA,NA,0.93
"CLE","KIW","324618","Kiwi Outdoor Lace Black 180cm","Kiwi","180cm","Black",NA,NA,0.93
"CLE","KIW","324621","Kiwi Parade Gloss Polish Black 50ml","Kiwi","50ml","Black",NA,NA,0.93
"CLE","KIW","324628","Kiwi Round Lace Black 75cm","Kiwi","75cm","Black",NA,NA,0.93
"CLE","KIW","324742","Kiwi Round Lace Brown 75cm","Kiwi","75cm","Brown",NA,NA,0.93
"CLE","KIW","324747","Kiwi Shoe Polish Dark Tan 50ml","Kiwi","50ml","Brown",NA,NA,0.93
"CLE","KIW","324748","Kiwi Shoe Polish Neutral 50ml","Kiwi","50ml","Cream","1","No",0.65
"CLE","KIW","324750","Kiwi Sport Lace Black 110cm","Kiwi","110cm","Black",NA,NA,0.93
"CLE","KIW","324751","Kiwi Sport Lace White 110cm","Kiwi","110cm","White",NA,NA,0.93
"CLE","KIW","324752","Kiwi Sports Shoe Whitener 75ml","Kiwi","75ml","White",NA,NA,0.93
"CLE","KIW","339564","Kiwi Rain and Stain Shoe Protector 200ml","Kiwi",NA,NA,NA,NA,0.79
"CLE","KIW","346484","Kiwi Shine and Protect Neutral 75ml","Kiwi","75ml","Cream",NA,NA,0.93
"CLE","KIW","346485","Kiwi Shine and Protect Brown 75ml","Kiwi","75ml","Brown","1",NA,1
"CLE","KIW","403558","Kiwi Suede and Nubuck Foam Cleaner 200ml","Kiwi",NA,NA,NA,NA,0.79
"CLE","KIW","408865","Kiwi Suede & Nubuck Combination Brush","Kiwi",NA,NA,"1",NA,0.86
"CLE","KIW","411806","Kiwi Leather Shoe Polishing Brush","Kiwi",NA,NA,NA,NA,0.79
"CLE","KIW","411807","Kiwi Shoe Polish Appllicator Brush","Kiwi",NA,NA,NA,NA,0.79
"CLE","KIW","411811","Kiwi Real Leather Insoles","Kiwi",NA,NA,NA,NA,0.79
"CLE","KIW","411812","Kiwi Cotton Deo Comfort Insoles","Kiwi",NA,NA,NA,NA,0.79
"CLE","KIW","411814","Kiwi Shoe Polish Black 100ml","Kiwi",NA,"Black",NA,NA,0.86
"CLE","KIW","428046","Kiwi Fresh Ins Woman Insoles","Kiwi","One Size",NA,"1",NA,0.93
