"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Assembly","Power","Capacity","Coverage","Age","DQ Score"
"PET","CAT","278722","Dreamies Cat Treats Salmon 60g","Dreamies","60g",NA,NA,NA,NA,NA,NA,0.9125
"PET","CAT","278723","Dreamies Cat Treats Chicken 60g","Dreamies","60g","1",NA,NA,NA,NA,NA,0.93
"PET","CAT","286523","Dreamies Cat Treats Beef 60g","Dreamies","60g","1",NA,NA,NA,NA,NA,1
"PET","CAT","286524","Dreamies Cat Treats Cheese 60g","Dreamies","60g","1",NA,NA,NA,NA,NA,1
"PET","CAT","303789","Dreamies Cat Treats Duck 60g","Dreamies","60g",NA,NA,NA,NA,NA,NA,0.9125
"PET","CAT","315451","Dreamies Cat Treats Chicken and Duck 60g","Dreamies","60g",NA,NA,NA,NA,NA,NA,0.9125
"PET","CAT","315452","Dreamies Cat Treats Turkey 60g","Dreamies","60g","1","No","N/A","N/A","N/A","N/A",0.65
"PET","CAT","412797","Dreamies Cat Treats Beef and Cheese Mix 60g","Dreamies","60g","1",NA,NA,NA,NA,NA,1
"PET","CAT","431585","Dreamies Cat Treats Tuna 60g","Dreamies","60g","1",NA,NA,NA,NA,NA,0.95
"PET","CAT","437718","Dreamies Cat Treats Cheese Mega Pack 180g","Dreamies","180g","180g",NA,NA,NA,NA,NA,1
"PET","CAT","437719","Dreamies Cat Treats Chicken Mega Pack 180g","Dreamies",NA,"180g",NA,NA,NA,NA,NA,0.9125
"PET","CAT","440893","Dreamies Cat Treats Snacky Mouse 60g","Dreamies","60g","1",NA,NA,NA,NA,NA,1
"PET","CAT","449951","Dreamies Cat Treats Extra Crunch with Chicken 60g","Dreamies","60g","1",NA,NA,NA,NA,NA,1
"PET","CAT","449952","Dreamies Cat Treats Extra Crunch with Salmon 60g","Dreamies","60g","1",NA,NA,NA,NA,NA,1
"PET","CAT","449953","Dreamies Cat Treats Extra Crunch with Cheese 60g","Dreamies","60g","1",NA,NA,NA,NA,NA,1
"PET","CAT","456430","Dreamies Cat Treats Salmon Mega Pack 180g","Dreamies",NA,"1",NA,NA,NA,NA,NA,0.9125
"PET","CAT","456431","Dreamies Cat Treats Tuna Mega Pack 180g","Dreamies",NA,"1",NA,NA,NA,NA,NA,0.9125
"PET","CAT","456432","Dreamies Cat Treats Turkey Mega Pack 180g","Dreamies",NA,"1",NA,NA,NA,NA,NA,0.9125
"PET","CAT","457336","Dreamies Deli-Catz Treats With Turkey 5x5g","Dreamies","5x5g","5",NA,NA,NA,NA,NA,1
"PET","CAT","457337","Dreamies Deli-Catz Treats With Chicken 5x5g","Dreamies","5x5g","5",NA,NA,NA,NA,NA,1
"PET","CAT","457338","Dreamies Deli-Catz Treats With Beef 5x5g","Dreamies","5x5g","5",NA,NA,NA,NA,NA,1
"PET","CAT","454759","Perfect Fit Comp Dry Adult Chicken 750g","Perfect Fit","750g","1",NA,NA,NA,NA,NA,1
"PET","CAT","454760","Perfect Fit Comp Dry Adult Salmon 750g","Perfect Fit","750g","1",NA,NA,NA,NA,NA,1
"PET","CAT","454764","Perfect Fit Comp Dry Junior Chicken 750g","Perfect Fit","750g","1",NA,NA,NA,NA,NA,0.93
"PET","CAT","454765","Perfect Fit Complete Dry Cat Food Senior 7+Chicken 750g","Perfect Fit","750g","1",NA,NA,NA,NA,NA,1
"PET","CAT","454766","Perfect Fit Complete Dry Cat Food Sensitive 1+Turkey 750g","Perfect Fit","750g","1",NA,NA,NA,NA,NA,1
"PET","CAT","252564","Sheba Alutray Cat Food Salmon Chunks in Jelly 85g","Sheba","85g","1",NA,NA,NA,NA,NA,1
"PET","CAT","252565","Sheba Alutray Cat Food Chicken Slices in Gravy 85g","Sheba","85g","1",NA,NA,NA,NA,NA,1
"PET","CAT","252566","Sheba Pouch Cat Food Turkey and Chicken inTerrine 100g","Sheba","85g","1",NA,NA,NA,NA,NA,1
"PET","CAT","314520","Sheba Fine Flakes Pouch Cat Food Sea Food inJelly 12 x 85g","Sheba","85g","12",NA,NA,NA,NA,NA,1
"PET","CAT","314521","Sheba Fine Flakes Pouch Cat Food PoultrySelection in Jelly 12 x 85g","Sheba","12x85g","1",NA,NA,NA,NA,NA,1
"PET","CAT","333169","Sheba Fresh Pouch Cat Food Poultry Selection inGravy 6 x 50g","Sheba","6x50g","6pk",NA,NA,NA,NA,NA,1
"PET","CAT","333170","Sheba Fresh Pouch Cat Food Fish Selection inGravy 6 x 50g","Sheba","6x50g","6pk",NA,NA,NA,NA,NA,1
"PET","CAT","333953","Sheba Alutray Cat Food Turkey in White Sauce 85g","Sheba","85g","1",NA,NA,NA,NA,NA,1
"PET","CAT","405680","Sheba Fresh Pouch Cat Food Fish Selection inJelly 6 x 50g","Sheba","6x50g","6",NA,NA,NA,NA,NA,1
"PET","CAT","430182","Sheba Pouch Cat Food Poultry Selection in Gravy12 x 50g","Sheba","12x150g","12",NA,NA,NA,NA,NA,1
"PET","CAT","431034","Sheba Fresh Pouch Cat Food Poultry Selection inGravy 12 x 50g","Sheba","12x50g","12",NA,NA,NA,NA,NA,0.95
"PET","CAT","438767","Sheba Fresh Pouch Cat Food Succulent Selectionin Gravy 6 x 50g","Sheba","6x50g","6",NA,NA,NA,NA,NA,1
"PET","CAT","438768","Sheba Soup Pouch Cat Food Tuna Fillets 4 x 40g","Sheba","4x40g","4",NA,NA,NA,NA,NA,1
"PET","CAT","438769","Sheba Classics Soup with Chicken Fillets 4 x 40g","Sheba","4x40g","4",NA,NA,NA,NA,NA,1
"PET","CAT","449954","Sheba Cat Food Fine Flakes Succulent Collection inJelly 12 x 85g","Sheba","85g x 12","12",NA,NA,NA,NA,NA,0.95
"PET","CAT","454775","Sheba Select Slices Tray Cat Food Poultry inGravy 12x85g","Sheba","12x85g","12",NA,NA,NA,NA,NA,0.95
"PET","CAT","454776","Sheba Sauce Lover Tray Cat Food Mixed Collection12x85g","Sheba","12x85g","12",NA,NA,NA,NA,NA,0.95
"PET","CAT","454777","Sheba Select Slices Pouch Cat Food Poultry inGravy 12x85g","Sheba","12x85g","12",NA,NA,NA,NA,NA,0.95
"PET","CAT","454778","Sheba Select Slices Pouch Cat Food Fish in Gravy12x85g","Sheba","12x85g",NA,NA,NA,NA,NA,NA,0.8625
"PET","CAT","189431","Whiskas Pouch Cat Food Fish and Meat Selection inJelly 12 x 100g","Whiskas","12x100g","12pk",NA,NA,NA,NA,NA,1
"PET","CAT","218152","Whiskas Pouch Cat Food Fish Selection in Jelly 12x 100g","Whiskas","12x100g","12pk",NA,NA,NA,NA,NA,1
"PET","CAT","218391","Whiskas Pouch Cat Food Poultry Selection in Gravy12 x 100g","Whiskas","12x100g","12pk",NA,NA,NA,NA,NA,1
"PET","CAT","221221","Whiskas 1+ Cat Food Pouch Poultry Selectionin Jelly 12 x 100g","Whiskas","12x100g","12pk",NA,NA,NA,NA,NA,1
"PET","CAT","232302","Whiskas Cat Treats Crunch 100g","Whiskas","100g",NA,NA,NA,NA,NA,NA,0.9125
"PET","CAT","232303","Whiskas Cat Treats Temptations Chicken and Cheese60g","Whiskas","60g","1",NA,NA,NA,NA,NA,1
"PET","CAT","264971","Whiskas Complete Dry Cat Food Chicken andVegetables 825g","Whiskas","825g","1",NA,NA,NA,NA,NA,1
"PET","CAT","264974","Whiskas Complete Dry Cat Food Tuna and Vegetables825g","Whiskas","825g","1",NA,NA,NA,NA,NA,1
"PET","CAT","264975","Whiskas Complete Dry Cat Food Chicken 340g","Whiskas","340g","1",NA,NA,NA,NA,NA,1
"PET","CAT","267131","Whiskas 7+ Cat Pouches Poultry Selection in Gravy12x100g","Whiskas","12x100g","12pk",NA,NA,NA,NA,NA,1
"PET","CAT","292455","Whiskas Cat Treats Temptations Salmon 60g","Whiskas","60g","1",NA,NA,NA,NA,NA,1
"PET","CAT","292462","Whiskas Complete Dry Kitten Food Chicken 340g","Whiskas","340g","1",NA,NA,NA,NA,NA,0.93
"PET","CAT","292465","Whiskas Complete Dry Adult Cat Food DentalProtection Plus with Tuna 340g","Whiskas","340g","1",NA,NA,NA,NA,NA,1
"PET","CAT","405672","Whiskas 1+ Cat Food Pouch Poultry in Jelly40 x 100g","Whiskas","40x100g","40pk",NA,NA,NA,NA,NA,1
"PET","CAT","405673","Whiskas Cat Treat Dentabites Chicken 50g","Whiskas","50g","1",NA,NA,NA,NA,NA,1
"PET","CAT","405674","Whiskas Cat Treat Dentabites Salmon 50g","Whiskas","50g","1",NA,NA,NA,NA,NA,1
"PET","CAT","405679","Whiskas 1+  Cat Food Pouch Fish Selection inJelly 40 X 100g","Whiskas","40x100g","40",NA,NA,NA,NA,NA,1
"PET","CAT","412796","Whiskas Dry Senior With Chicken 825g","Whiskas","825g","1",NA,NA,NA,NA,NA,1
"PET","CAT","431033","Whiskas Complete Dry Cat Food Chicken 2kg","Whiskas","2kg","1",NA,NA,NA,NA,NA,1
"PET","CAT","431584","Whiskas Cat Milk  3 x 200ml","Whiskas","3x200ml","3",NA,NA,NA,NA,NA,1
"PET","CAT","434383","Whiskas Cat Treats Anti-Hairball 55g","Whiskas","55g","1",NA,NA,NA,NA,NA,1
"PET","CAT","437597","Whiskas Pouch Cat Food Meat Selection in Jelly 12x 100g","Whiskas","12x100g","12",NA,NA,NA,NA,NA,1
"PET","CAT","437598","Whiskas Kitten Food Pouch Poultry Selectionin Jelly 12 x 100g","Whiskas","12x100g","12",NA,NA,NA,NA,NA,0.93
"PET","CAT","437599","Whiskas Senior Food Pouch Fish Selection in Jelly12 x 100g","Whiskas","12x100g","12",NA,NA,NA,NA,NA,1
