"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Assembly","DQ Score"
"TOI","MED","307999","Wilko Slimming Aid 30pk","Wilko","200mg","30pk",NA,1
"TOI","MED","308000","Wilko Sleep Aid 30pk","Wilko",NA,"30pk",NA,0.9125
"TOI","MED","308001","Wilko Stress Relief  30pk","Wilko",NA,"30pk",NA,0.9125
"TOI","MED","308002","Wilko Energy Release One a Day Effervescent 20pk","Wilko",NA,"20pk",NA,0.9125
"TOI","MED","308006","Wilko Vitamin C and Zinc TabletsEffervescent 20pk","Wilko",NA,"20",NA,0.9125
"TOI","MED","308008","Wilko Vitamin C Chewable One a Day 500mg 30pk","Wilko","500mg",NA,NA,0.9125
"TOI","MED","308372","Wilko Omega 3 6 and 9 Capsules 30pk","Wilko",NA,"30pk",NA,0.9125
"TOI","MED","308380","Wilko Multivitamins and Cod Liver Oil One a DayCapsules 30pk","Wilko",NA,"30pk",NA,0.9125
"TOI","MED","308381","Wilko Menopause Nutrients Capsules 30pk","Wilko",NA,"30pk",NA,0.86
"TOI","MED","308456","Wilko Womans Health Multivitamins and Minerals30pk","Wilko",NA,"30pk",NA,0.86
"TOI","MED","330041","Wilko Energy Extra Tablets 30pk","Wilko",NA,"30pk",NA,0.9125
"TOI","MED","340709","Wilko Cod Liver Oil Liquid 300ml","Wilko","300ml","1",NA,1
"TOI","MED","340710","Wilko Glucosamine 750mg 30pk","Wilko",NA,"30pk",NA,0.9125
"TOI","MED","340711","Wilko Multi Vitamin 180pk","Wilko",NA,"180pk",NA,0.9125
"TOI","MED","340713","Wilko Multi Vitamin And Iron Tablets 60pk","Wilko",NA,"60pk",NA,0.9125
"TOI","MED","340714","Wilko Multi Vitamin A-Z 30pk","Wilko",NA,"30pk",NA,0.9125
"TOI","MED","340715","Wilko Multivitamins and Minerals 30pk","Wilko",NA,"30pk",NA,0.9125
"TOI","MED","340718","Wilko Vitamin C Slow Release 30pk","Wilko",NA,"30pk",NA,0.9125
"TOI","MED","340721","Wilko Cod Liver Oil Capsules 30pkHigh Strength","Wilko",NA,"30pk",NA,0.9125
"TOI","MED","340722","Wilko Hi Omega 3 30pk","Wilko",NA,"30pk",NA,0.9125
"TOI","MED","340723","Wilko Garlic Extract 60pk","Wilko",NA,"60pk",NA,0.9125
"TOI","MED","340725","Wilko Omega 3 30pk","Wilko",NA,"30pk",NA,0.9125
"TOI","MED","340752","Wilko Cod Liver Oil 180pk","Wilko",NA,"180pk",NA,0.9125
"TOI","MED","340753","Wilko Evening Primrose Oil 180pk","Wilko",NA,"180pk",NA,0.86
"TOI","MED","340755","Wilko High Strength Cod Liver 90pk","Wilko",NA,"90pk",NA,0.9125
"TOI","MED","340758","Wilko Garlic Extract 180pk","Wilko",NA,"180pk",NA,0.9125
"TOI","MED","340759","Wilko High Strength Evening Primrose Oil 30pk","Wilko",NA,"30pk",NA,0.86
"TOI","MED","340761","Wilko Vitamin E 30pk","Wilko",NA,"30pk",NA,0.9125
"TOI","MED","340762","Wilko Evening Primrose and Cod Liver Oil 30pk","Wilko",NA,"30pk",NA,0.9125
"TOI","MED","340763","Wilko Cod Liver and Glucose 30pk","Wilko",NA,"30pk",NA,0.9125
"TOI","MED","348296","Wilko Ginkgo Biloba Extract 30pk","Wilko",NA,"1",NA,0.9125
"TOI","MED","348299","Wilko Omega 3 Fish Oil 90pk","Wilko",NA,"90",NA,0.9125
"TOI","MED","348300","Wilko Multivitamins and Iron 180pk","Wilko",NA,"180",NA,0.9125
"TOI","MED","348301","Wilko A-Z Multivits and Minerals 90pk","Wilko",NA,"90",NA,0.9125
"TOI","MED","348303","Wilko Vitamin C Chewy 90pk","Wilko",NA,"90",NA,0.9125
"TOI","MED","348306","Wilko Vitamin C and Zinc Tablets 60pk","Wilko",NA,"60",NA,0.9125
"TOI","MED","348307","Wilko Glucosamine 180pk","Wilko",NA,"180",NA,0.9125
"TOI","MED","348308","Wilko Glucosamine 90pk","Wilko",NA,"90",NA,0.9125
"TOI","MED","348309","Wilko Zinc 90pk","Wilko",NA,"90",NA,0.9125
"TOI","MED","348310","Wilko Glucosamne Extra High Strength 30pk","Wilko",NA,"1",NA,0.9125
"TOI","MED","348311","Wilko Glucosamine and Chondroitin with Manganese90s","Wilko",NA,"1",NA,0.9125
"TOI","MED","348312","Wilko High Strength Glucosamine MSM andChondroitin Tablets 30pk","Wilko",NA,"1",NA,0.9125
"TOI","MED","348313","Wilko Vegetarian High Strength Garlic Capsules860mg 30pk","Wilko",NA,"1",NA,0.9125
"TOI","MED","348314","Wilko Starflower Oil 1000mg 30pk","Wilko",NA,"30",NA,0.9125
"TOI","MED","348315","Wilko Calcium and Vitamin D 90pk","Wilko",NA,"90",NA,0.9125
"TOI","MED","348316","Wilko Magnesium B6 30pk","Wilko",NA,"30",NA,0.86
"TOI","MED","348317","Wilko Selenium With Vitamins 60pk","Wilko",NA,"60",NA,0.9125
"TOI","MED","348318","Iron Tablets 14mg 90pk","Wilko",NA,"90",NA,0.8625
"TOI","MED","348320","Wilko B Complex 90pk","Wilko",NA,"90",NA,0.9125
"TOI","MED","348321","Wilko Folic Acid 90pk","Wilko",NA,"90",NA,0.86
"TOI","MED","348322","Wilko Pregnancy Tablets 30pk","Wilko",NA,"30",NA,0.9125
"TOI","MED","348323","Wilko Cranberry Extract Tablets 200mg60pk","Wilko",NA,"60",NA,0.86
"TOI","MED","348324","Wilko Mens Health Tablets 30pk","Wilko",NA,"30",NA,0.9125
"TOI","MED","348325","Wilko Vitamin D 90pk","Wilko",NA,"90",NA,0.9125
"TOI","MED","348326","Wilko Skin Hair and Nail Tablets 30pk","Wilko",NA,"30",NA,0.9125
"TOI","MED","348327","Wilko Milk Thistle 30pk","Wilko",NA,"30pk","No",0.65
"TOI","MED","348328","Wilko Co-Enzyme Q10 and Vitamin B1 30pk","Wilko",NA,"30",NA,0.9125
"TOI","MED","413414","Wilko Kids Chewy Multi Vitamins and Minerals 90pk","Wilko",NA,"30",NA,0.9125
