"Article","Web Description","Brand","Type","Pack Qty","Size","Colour","Power","DQ Score"
"178606","Air Wick Plug In Refill Air FreshenerCrisp Linen and Lilac","Air Wick","Refills",NA,"17ml",NA,NA,0.86
"182755","Air Wick Air Freshener Electric Refill Lavender17ml","Air Wick","Refills",NA,"21ml",NA,NA,0.86
"237316","Air Wick Freshmatic Colours of Nature RefillWhite Vanilla Bean 250ml","Air Wick","Refills",NA,"250ml",NA,NA,0.9125
"244594","Air Wick Freshmatic Max Refill Touch of LuxuryCrisp Linen and Lilac 250ml","Air Wick","Refills",NA,"250ml",NA,NA,0.9125
"293403","Air Wick Plug Refill Vanilla Bean","Air Wick","Refills","1","17ml",NA,NA,0.93
"333110","Air Wick Electrical Plug In Twin Refill AirFreshener Crisp Linen & Lilac","Air Wick","Refills","1","2x17ml",NA,NA,0.93
"333111","Air Wick Electric Air Freshener Twin Refill PurpleLavender","Air Wick","Refills","1","2x17ml",NA,NA,0.93
"346442","Air Wick Freshmatic Max Automatic Spray GadgetWhite","Air Wick","Units","1",NA,NA,NA,0.9125
"346443","Air Wick Freshmatic Max Air Freshener Gadget Stone","Air Wick","Units","1",NA,NA,NA,0.9125
"403509","Air Wick Candle White Vanilla Bean","Air Wick","Branded Candles","1",NA,"Multi",NA,0.93
"420419","Air wick Wax Melt Complete Mulled Wine By The Fire","Air Wick","Wax Melts Holder","1",NA,NA,NA,0.86
"420421","Air Wick Wax Melt Refill Mulled Wine by the Fire6pk","Air Wick","Wax Melt Refills","1",NA,NA,NA,0.86
"420422","Air Wick Life Scents Wax Melts Refill SummerDelights 6pk","Air Wick","Wax Melt Refills","1",NA,NA,NA,0.86
"420424","Air Wick Life Scents Wax Melts Refill TurquoiseOasis 6pk","Air Wick","Wax Melt Refills","1",NA,NA,NA,0.86
"420426","Air Wick Pure Air Freshener Mulled Wine 250ml","Air Wick","Room Sprays","1",NA,NA,NA,0.9125
"420427","Air Wick Pure Air Freshener Spray Cherry Blossom250ml","Air Wick","Room Sprays","1",NA,NA,NA,0.9125
"426233","Air Wick Freshmatic Twin Refill Mulled Wine 500ml","Air Wick","Refills","1",NA,NA,NA,0.9125
"429179","Air Wick Candle Pink Sweet Pea","Air Wick","Branded Candles","1","105g",NA,NA,0.93
"429208","Air Wick Electric Plug Single Unit","Air Wick","Units","1","50g",NA,NA,0.93
"429221","Air Wick Electric Single Refill Pink Sweet Pea","Air Wick","Refills","1","17ml",NA,NA,0.93
"429226","Air Wick Electric Twin Refill Pink Sweet Pea","Air Wick","Refills","2","17ml",NA,NA,0.93
"429228","Air Wick Life Scents Wax Melts Refill EnchantedForest 6pk","Air Wick","Wax Melt Refills","1","69kg",NA,NA,0.93
"430998","Air wick Electrical Twin Refill Vanilla","Air Wick","Refills","2","34ml",NA,NA,0.93
"441498","Air Wick Wax Melt Refill Xmas Tree Wishes 6pk","Air Wick","Wax Melt Refills","1",NA,NA,NA,0.86
"443578","Air Wick Refill Spiced Mulled Wine 17ml","Air Wick","Refills","1","17ml",NA,NA,0.93
"443579","Air Wick Electric Twin Refill Mulled Wine 34ml","Air Wick","Refills","1",NA,NA,NA,0.86
"443580","Air Wick Candle Mulled Wine 105g","Air Wick","Candle","1",NA,NA,NA,0.86
"450626","Air Wick Electric Complete Linen And Lilac","Air Wick","Units","1","6.2 X 11.5 X 15",NA,NA,0.93
"450627","Air Wick Electric Complete Lavender Meadow","Air Wick","Units","1","6.2 X 11.5 X 15",NA,NA,0.93
"450628","Air Wick Electric Complete Vanilla Bean","Air Wick","Units","1","6.2 X 11.5 X 15",NA,NA,0.93
"333074","Ambi Pur Plug In Adjustable Diffuser","Ambi Pur","Units","1",NA,NA,"Mains",0.93
"333184","Ambi Pur with Febreze GP2 Refill Vanilla","Ambi Pur","Refills",NA,"20ml",NA,NA,0.86
"333197","Ambi Pur 3Volution Plug In Unit","Ambi Pur","Units","1",NA,NA,"Mains",0.93
"333198","Ambi Pur 3volution Adjustable Diffuser Refill withFebreze Vanilla Bouquet 20ml","Ambi Pur","Refills",NA,"20ml",NA,NA,0.86
"333200","Ambi Pur 3volution Adjustable Diffuser Refill withFebreze Cotton Essence 20ml","Ambi Pur","Refills","1","20ml",NA,NA,0.93
"333208","Ambi Pur 3volution Adjustable Diffuser Refill withFebreze Vanilla Bouquet 20ml x 2","Ambi Pur","Refills",NA,"2x20ml",NA,NA,0.86
"346492","AmbiPur Plug In Diffuser Refill Vanilla Harmony 2x 20ml","Ambi Pur","Refills","2pk","40ml",NA,NA,0.88
"347399","Ambi Pur 3Volution Refill Vanilla 20ml","Ambi Pur","Refills",NA,"20ml",NA,NA,0.86
"347404","Ambi Pur GP2 Refill Vanilla 20ml","Ambi Pur","Refills",NA,"20ml",NA,NA,0.86
"420458","Ambi Pur with Febreze Plug In Cotton Fresh","Ambi Pur","Units","1",NA,NA,NA,0.86
"420459","Ambi Pur with Febreze Plug In Blossom andBreeze","Ambi Pur","Units","1",NA,NA,NA,0.86
"420460","Ambi Pur with Febreze Plug In Lavender","Ambi Pur","Units","1",NA,NA,NA,0.86
"420463","Ambi Pur with Febreze 3 Volution Unit","Ambi Pur","Units","1",NA,NA,NA,0.86
"421425","Ambi Pur with Febreze Refill Blossom and Breeze","Ambi Pur","Refills","1",NA,NA,NA,0.86
"421426","Ambi Pur with Febreze Refill Cotton Fresh 20ml","Ambi Pur","Refills","1",NA,NA,NA,0.86
"421427","Ambi Pur with Febreze Refill Thai Orchid","Ambi Pur","Refills","1",NA,NA,NA,0.86
"421428","Ambi Pur with Febreze 3 Volution Blossom andBreeze","Ambi Pur","Refills","1",NA,NA,NA,0.86
"421429","Ambi Pur with Febreze 3 Volution Cotton Fresh","Ambi Pur","Refills","1",NA,NA,NA,0.86
