"Article","Web Description","DQ Score"
"447792","EPL Match Attax 16/17 pk",0.883333333333333
"457309","Grafix Bracelets Sets Assorted",0.891666666666667
"409218","Shopkins Basket Collectable Characters 2pk",0.883333333333333
"457314","Trolls Shimmering Lip Gloss Assorted",0.9
"447225","Tsum Tsum Foil Bag",0.941666666666667
"305715","Wilko Play Self Inflating Whoopee Cushion",0.883333333333333
"320689","Wilko Play Parp Putty",0.883333333333333
"320694","Wilko Play Chitter Chatter Teeth",0.941666666666667
"320772","Wilko Play Squishy Lizard Assortment",0.825
"334752","Wilko Play Stretchy Rope",0.883333333333333
"334760","Wilko Play Expanding Ball",0.941666666666667
"349688","Wilko Play Pop A-Matic Gun",0.941666666666667
"349819","Wilko Play Wind Up Chick and Bunny",0.883333333333333
"349822","Wilko Play Globe Ball",0.883333333333333
"417706","Wilko Robotic Hand Claw",0.941666666666667
"417707","Wilko Light Up Smilers",0.883333333333333
"417708","Wilko Glitter Ball Light Up Balls",0.883333333333333
"417715","Wilko Pin Art",0.883333333333333
"427890","Wilko Grab It Claw",0.883333333333333
"433263","Wilko Super Stretchy Animals",0.883333333333333
"433264","Wilko Mega Magnet",0.883333333333333
"447474","Wilko Glow in The Dark Yoyo",0.883333333333333
"447838","Wilko Wind Up Speed Boat",0.883333333333333
"456917","Wilko Prankz Cracked Screen",0.941666666666667
"456919","Wilko Dino Egg",0.941666666666667
"456922","Wilko Fishing Game",0.941666666666667
"456923","Wilko X-Botz Robot",0.941666666666667
"456924","Wilko Flarp Poo Potty",0.941666666666667
"456925","Wilko Lab Putty LED Scribbler",0.941666666666667
"457311","Wilko Flying Flamingos/Dinosaurs Assorted",0.941666666666667
"457312","Wilko Duck Shoot",0.941666666666667
"457317","Wilko Splat Fun",0.941666666666667
