"Article","Web Description","Brand","Type","Colour","Size","Assembly","Material","Pack Qty","Washable","DQ Score"
"427948","Indulje Knife Block Set Heart Shaped 5 Piece","Indulje","Knife Block",NA,NA,NA,NA,NA,NA,0.79
"447385","Kitchen Craft Slate and Wood Serving Stand 2 Tier","Kitchen Kraft","Serving Stand","Multi","Size of platters: 36cm x 14cm 36cm x 24cm",NA,NA,"1",NA,0.9
"s100002","Rio Square Dining Set with 2 chairs Pine","Rio","Dining Sets 2 Seat ","Wood",NA,"Yes","Pine",NA,NA,0.941666666666667
"240687","Breakfast Dining Set 3 Piece","Wilko","Dining Sets 2 Seat","Wood","81x53x85cm","Yes",NA,NA,NA,0.891666666666667
"318838","Wilko Salad Bowl Ceramic White 23cm","Wilko","Bowls","White","23cm",NA,NA,NA,NA,0.93
"318850","Wilko Bowl Ceramic White","Wilko","Bowls","White","15cm",NA,NA,NA,NA,0.93
"318852","Wilko Creamer Jug Ceramic White","Wilko","Jugs","White",NA,NA,NA,"1",NA,0.93
"318856","Wilko Teapot Ceramic White","Wilko","Teapot","White",NA,NA,NA,"1",NA,0.93
"318877","Wilko Milk Jug Ceramic White Small","Wilko","Jugs","White","Small",NA,NA,NA,NA,0.93
"318878","Wilko Teabag Tidy Dish Ceramic White","Wilko","Teabag Tidy","White",NA,NA,NA,"1",NA,0.93
"319341","Wilko Gravy Boat and Stand White","Wilko","Gravy Boat","White","Set",NA,NA,NA,NA,0.93
"319342","Wilko Butter Dish White","Wilko","Butter Dish","White",NA,NA,NA,"1",NA,0.93
"319374","Wilko Dip Dish Round Ceramic 3 Section White","Wilko","Dip Dishes","White",NA,NA,NA,"1",NA,0.93
"319384","Wilko Pasta Bowl Ceramic White 29cm","Wilko","Bowls","White",NA,NA,NA,"1",NA,0.93
"319547","Wilko Dinner Set Porcelain Square Super White 12 Piece","Wilko","Dinner Sets","White","12 Piece",NA,NA,"1",NA,0.941666666666667
"319631","Wilko Seat Pad Black","Wilko","Seat Pads","Black","L43CM W43CM H5CM",NA,NA,NA,NA,0.93
"319632","Wilko Seat Pad Red","Wilko","Seat Pads","Red","L43CM W43CM H5CM",NA,NA,NA,NA,0.93
"319633","Wilko Seat Pad Cream","Wilko","Seat Pads","Cream","L43CM W43CM H5CM",NA,NA,NA,NA,0.93
"328526","Wilko Placemat Rectangular Slate 2pk","Wilko","Placemats",NA,"2 Pack",NA,NA,"1",NA,0.93
"329009","Wilko Heart Dip Bowls and Tray Set","Wilko","Dip Dishes","White","Set",NA,NA,"1",NA,0.941666666666667
"329022","Wilko Cake Stand Glass 32cm","Wilko","Cake Stand","Clear","32cm",NA,"Glass","1",NA,0.95
"408311","Wilko Chip Basket Server","Wilko","Serving Basket",NA,NA,NA,NA,"1",NA,0.86
"408315","Wilko Slate Heart Shaped Sign","Wilko","Ornaments",NA,NA,NA,NA,"1",NA,0.86
"414241","Wilko Dish Drainer Love Heart Design","Wilko","Dish Drainers",NA,NA,NA,NA,"1",NA,0.86
"421545","Oakhurst Dining Set with 4 Black Faux LeatherChairs","Wilko","Dining Sets 4 Seat",NA,NA,"Yes","MDF with melamine, rubber wood legs",NA,NA,0.833333333333333
"427724","Wilko Dinner Set Colourplay Range Black","Wilko","Dinner Sets","Black",NA,NA,NA,"1","Dishwasher proof",0.941666666666667
"427755","Wilko Padded Seat Pad Hearts Design","Wilko","Seat Pads",NA,NA,NA,NA,NA,NA,0.79
"427925","Wilko Cannister Steel Small","Wilko","Storage Jars",NA,NA,NA,NA,NA,NA,0.75
"427934","Wilko Cannister Purple Small","Wilko","Storage Jars",NA,NA,NA,NA,NA,NA,0.75
"427979","Wilko Serving Basket Rectangular Large","Wilko","Serving Basket",NA,NA,NA,NA,"1",NA,0.86
"427981","Wilko Long Handled Bamboo Serving Board","Wilko","Serving Board",NA,NA,NA,NA,"1",NA,0.86
"427982","Wilko Serving Board Rectangular Bamboo","Wilko","Serving Board",NA,"38x26cm",NA,NA,"1",NA,0.93
"427984","Wilko Wicker Storage Basket with Wooden Heart Detail","Wilko","Storage Basket",NA,"H 12.5 x W 25.5 x D 20.5",NA,NA,"1",NA,0.93
"435819","Wilko Tablemats and Coasters Sanctuary RangeSet of 8","Wilko","Placemat Set",NA,NA,NA,NA,"8",NA,0.86
"435820","Wilko Charger Copper Effect","Wilko","Charger Plates",NA,NA,NA,NA,NA,NA,0.79
"435821","Wilko Cafetiere Copper Effect 800ml","Wilko","Cafetiere and Coffee Pots",NA,NA,NA,NA,"1",NA,0.86
"435823","Wilko Coasters and Placemats Copper Colouredand Black Set of 8","Wilko","Placemat Set",NA,NA,NA,NA,"8",NA,0.86
"435824","Wilko Salt and Pepper Mill Set Copper Effect","Wilko","Salt and Pepper Sets",NA,"12.5cm x 6cm x 16.5cm",NA,NA,"2",NA,0.93
"441911","Serving Set Black Script 5 Piece","Wilko","Serving Trays and Dishes","Black",NA,NA,NA,"5",NA,0.8
"441918","Dip Bowls Square on Wooden Tray 4pcs","Wilko","Dip Dishes","White",NA,NA,NA,"4",NA,0.8
"447294","Wilko Bowl Black with Copper Effect Lining25cm Diameter","Wilko",NA,"Multi","25cm",NA,NA,"1",NA,0.93
"447363","Wilko Clip Top Water Bottle With Chalk Heart","Wilko","Bottles","Clear","10cm x 10cm x 27.2cm",NA,NA,"1",NA,0.941666666666667
"447364","Wilko Clip Top Jar with Chalk Heart","Wilko","Storage Jars",NA,"13cm x 10cm x 21.5cm",NA,NA,"1",NA,0.93
"447418","Wilko Stemmed Wine Glass Purple","Wilko","Wine Glasses",NA,"8.5cm x 8.5cm x 22.5cm",NA,NA,"1",NA,0.93
"451706","Wilko Small Cream Cannister","Wilko","Storage Jars",NA,NA,NA,NA,"1",NA,0.8
"452448","Wilko Colour Play Dinner Plate Cream","Wilko","Dinner Plate",NA,NA,NA,NA,"1",NA,0.86
