"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Coverage","Capacity","Material","DQ Score"
"141713","Wilko Stainless Steel Roll Top Bread Bin","Wilko","Bread Bins","Metal","1",NA,NA,NA,"Stainless Steel",0.9
"161629","Wilko Large Dish Drainer Chrome Effect","Wilko","Dish Drainers","Metal",NA,"Large",NA,NA,NA,0.93
"161631","Wilko Stainless Steel Kitchen PedalBin 12L","Wilko","Pedal Bins",NA,NA,"12L",NA,"12L",NA,0.883333333333333
"165744","Pedal Bin Stainless Steel 30L","Wilko","Pedal Bins","Metal",NA,"30L",NA,"30L",NA,0.891666666666667
"206517","Wilko Stainless Steel Utensil Holder","Wilko","Utensil Holder","Metal","1",NA,NA,NA,"Stainless Steel",0.9
"242485","Wilko Chrome Effect Kitchen Roll Holder","Wilko","Kitchen Towel Holders","Silver","1",NA,NA,NA,"Chrome Plated",0.9
"290346","Wilko Pedal Bin Black 30L","Wilko","Pedal Bins","Black",NA,"30L",NA,"30L",NA,0.941666666666667
"290351","Wilko Pedal Bin Cream 30L","Wilko","Pedal Bins","Cream",NA,"30L",NA,"30L",NA,0.941666666666667
"317174","Wilko Platinum Cutlery Tray Large","Wilko","Cutlery Trays","Metal",NA,"Large",NA,NA,NA,0.93
"317186","Wilko Washing Up Bowl Angora","Wilko","Bowls","Cream",NA,"9.5L",NA,NA,NA,0.93
"317187","Wilko Dish Drainer Angora Large","Wilko","Dish Drainers","Cream",NA,"Large",NA,NA,NA,0.93
"317188","Wilko Cutlery Tray Angora Large","Wilko","Cutlery Trays","Cream",NA,"Large",NA,NA,NA,0.93
"317209","Wilko Colourplay Bowl Purple","Wilko","Bowls","Purple",NA,"9.5L",NA,NA,NA,0.93
"317210","Wilko Colourplay Dish Drainer Purple","Wilko","Dish Drainers","Purple",NA,"48x40x12cm",NA,NA,NA,0.93
"328650","Wilko Stainless Steel Window Storage Canister3pk","Wilko","Storage Jars","Metal","1","3 Piece",NA,NA,"Stainless Steel",0.95
"328899","Wilko Colourplay Cutlery Tray Red","Wilko","Cutlery Trays","Red",NA,"Small",NA,NA,NA,0.93
"351552","Wilko Gloss Curve Dish Drainer Black Large","Wilko","Dish Drainers",NA,"1",NA,NA,NA,NA,0.86
"413886","Wilko BBQ and Woodstove Matt Spray PaintBlack 400ml","Wilko","BBQ Paint",NA,NA,"400ml",NA,NA,NA,0.86
"414349","Wilko Cutlery Drainer Cream","Wilko","Cutlery Drainers",NA,"1","17cmX16cmX13cm",NA,NA,NA,0.93
"414350","Wilko Cutlery Drainer Grey","Wilko","Cutlery Drainers",NA,"1","18X16X13CM",NA,NA,NA,0.93
"414351","Wilko Cutlery Drainer Red","Wilko","Cutlery Drainers",NA,"1","17cmX16cmX13cm",NA,NA,NA,0.93
"414352","Wilko Cutlery Drainer Purple","Wilko","Cutlery Drainers",NA,"1","18X16X13CM",NA,NA,NA,0.93
"433588","Wilko Rectangular Touch Top Bin Angora 45L","Wilko","Push Bins",NA,"1","33x48x65cm",NA,"40L",NA,0.941666666666667
"433589","Wilko Rectangular Touch Top Bin Platinuim 45L","Wilko","Push Bins",NA,"1","33x48x65cm",NA,"40L",NA,0.941666666666667
"435863","Wilko Bullet Bin Steel 30L","Wilko","Push Bins",NA,NA,NA,NA,NA,NA,0.766666666666667
"435870","Wilko Rectangular Touch Top Bin Black 45L","Wilko","Push Bins","Black","1","33x48x65cm",NA,NA,NA,0.941666666666667
"450295","Wilko Towel Holder Copper Effect","Wilko","Kitchen Towel Holders",NA,"1","13cm x 13cm x 33cm",NA,NA,NA,0.93
"450297","Wilko Utensil Holder Copper Effect","Wilko","Utensil Holder",NA,"1","12cm x 12cm x 20.5cm",NA,NA,NA,0.93
"450300","Wilko Drainer Dish Large Copper Effect","Wilko","Dish Drainers",NA,"1","48cm x 32.5cm x 13.5cm",NA,NA,NA,0.93
"317169","Wilko Cutlery Tray White Small","Wilko Functional","Cutlery Trays","White",NA,"Small",NA,NA,NA,0.88
"317170","Wilko Dish Drainer White Small","Wilko Functional","Dish Drainers","White",NA,"Small",NA,NA,NA,0.88
"317172","Wilko Lift Top Waste Bin White 50L","Wilko Functional","Lift Top Bins","White",NA,"50L",NA,"50L",NA,0.891666666666667
