"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Coverage","DQ Score"
"190757","Wilko Matt Emulsion PaintWarm Days 2.5L","Wilko","Matt Paint","Orange","1","2.5L","30m²",1
"190871","Wilko Emulsion Paint Tester Pot Tinsel Town 75ml","Wilko","Paint Tester Pot","Red","1","75ml","30cm²",1
"190876","Wilko Emulsion Paint Tester Pot Warm Days 75ml","Wilko","Paint Tester Pot","Orange","1","75ml","30cm²",1
"190881","Wilko Emulsion Paint Tester Pot Earthy Hue 75ml","Wilko","Paint Tester Pot","Brown","1","75ml","30cm²",1
"192490","Wilko Emulsion Paint Tester Pot Sugar Sweet 75ml","Wilko","Paint Tester Pot","Pink","1","75ml","30cm²",1
"192509","Wilko Emulsion Paint Tester Pot Cloudless 75ml","Wilko","Paint Tester Pot","Blue","1","75ml","30cm²",1
"196131","Wilko Emulsion Paint Tester Pot Mint Crisp 75ml","Wilko","Paint Tester Pot","Green","1","75ml","30cm²",1
"196133","Wilko Emulsion Paint Tester Pot Happy Yellow 75ml","Wilko","Paint Tester Pot","Yellow","1","75ml","30cm²",1
"196138","Wilko Emulsion Paint Tester Pot Powder Purple 75ml","Wilko","Paint Tester Pot","Purple","1","75ml","30cm²",1
"196148","Wilko Matt Emulsion PaintAhoy 2.5L","Wilko","Matt Paint","Cream","1","2.5L","30m²",1
"196246","Wilko Silk Emulsion PaintHappy Yellow 2.5L","Wilko","Silk Paint","Yellow","1","2.5L","30m²",1
"196247","Wilko Silk Emulsion PaintAhoy 2.5L","Wilko","Silk Paint","Cream","1","2.5L","30m²",1
"196253","Wilko Silk Emulsion PaintWarm Days 2.5L","Wilko","Silk Paint","Orange","1","2.5L","30m²",1
"196260","Wilko Silk Emulsion PaintPowder Purple 2.5L","Wilko","Silk Paint","Purple","1","2.5L","30m²",1
"196267","Wilko Silk Emulsion PaintCloudless 2.5L","Wilko","Silk Paint","Blue","1","2.5L","30m²",1
"196272","Wilko Silk Emulsion PaintOn Deck 2.5L","Wilko","Silk Paint","Brown","1","2.5L","30m²",1
"225517","Wilko Emulsion Paint Tester Pot Moody Blue 75ml","Wilko","Paint Tester Pot","Blue","1","75ml","30cm²",1
"225519","Wilko Emulsion Paint Tester Pot Moonlight White75ml","Wilko","Paint Tester Pot","White","1","75ml","30cm²",1
"225526","Wilko Matt Emulsion PaintMoody Blue 2.5L","Wilko","Matt Paint","Blue","1","2.5L","30m²",1
"23466","Wilko Matt Emulsion PaintPale Primrose 2.5L","Wilko","Matt Paint","Yellow","1","2.5L","30m²",1
"237914","Wilko Emulsion Paint Tester Pot Biscuit Crunch75ml","Wilko","Paint Tester Pot","Brown","1","75ml","30cm²",1
"237916","Wilko Emulsion Paint Tester Pot Milky Coffee 75ml","Wilko","Paint Tester Pot","Brown","1","75ml","30cm²",1
"238102","Wilko Bathroom Mid Sheen Emulsion PaintSoft Cream 2.5L","Wilko","Bathroom Paint","Cream","1","2.5L","30m²",1
"238103","Wilko Bathroom Mid Sheen Emulsion PaintCoastline 2.5L","Wilko","Bathroom Paint","Cream","1","2.5L","30m²",1
"238150","Wilko Silk Emulsion PaintBiscuit Crunch 2.5L","Wilko","Silk Paint","Brown","1","2.5L","30m²",1
"238174","Wilko Colour Matt Emulsion Paint Magnolia 7.5ltr","Wilko","Matt Paint","Cream","1","7.5L","90m²",1
"238189","Wilko Silk Emulsion PaintMoonlight White 5L","Wilko","Silk Paint","White","1","5L","60m²",1
"238190","Wilko Silk Emulsion PaintCrushed Almond 5L","Wilko","Silk Paint","Cream","1","5L","60m²",1
"250530","Wilko Matt Emulsion PaintSoft Cream 5L","Wilko","Matt Paint","Cream","1","5L","60m²",1
"262426","Wilko Emulsion Paint Tester Pot Spa 75ml","Wilko","Paint Tester Pot","Green","1","75ml","30cm²",1
"262428","Wilko Emulsion Paint Tester Pot Nutmeg Spice 75ml","Wilko","Paint Tester Pot","Brown","1","75ml","30cm²",1
"273586","Wilko One Coat Matt Emulsion PaintIvory Tusk 2.5L","Wilko","One Coat Matt Paint","Cream","1","2.5L","20m²",1
"273599","Wilko Emulsion Paint Tester Pot Candy Cane 75ml","Wilko","Paint Tester Pot","Pink","1","75ml","30cm²",1
"273603","Wilko Emulsion Paint Tester Pot Duck Egg 75ml","Wilko","Paint Tester Pot","Blue","1","75ml","30cm²",1
"274653","Wilko Durable Matt Emulsion PaintCandy Cane 2.5L","Wilko","Durable Matt Paint","Pink","1","2.5L","30m²",1
"274657","Wilko Durable Matt Emulsion PaintMoonlight White 2.5L","Wilko","Durable Matt Paint","White","1","2.5L","30m²",1
"283242","Wilko Matt Emulsion PaintLime Sorbet 2.5L","Wilko","Matt Paint","Green","1","2.5L","30m²",1
"283314","Wilko Emulsion Paint Tester Pot Big Apple 75ml","Wilko","Paint Tester Pot","Green","1","75ml","30cm²",1
"283323","Wilko Emulsion Paint Tester Pot Purple Haze 75ml","Wilko","Paint Tester Pot","Purple","1","75ml","30cm²",1
"283333","Wilko Emulsion Paint Tester Pot Natural Twine 75ml","Wilko","Paint Tester Pot","Grey","1","75ml","30cm²",1
"297372","Wilko Emulsion Paint Tester Pot Cosy Grey 75ml","Wilko","Paint Tester Pot","Grey","1","75ml","30cm²",1
"297373","Wilko Emulsion Paint Tester Pot Deeply Plum 75ml","Wilko","Paint Tester Pot","Purple","1","75ml","30cm²",1
"297374","Wilko Emulsion Paint Tester Pot Electric 75ml","Wilko","Paint Tester Pot","Blue","1","75ml","30cm²",1
"297376","Wilko Emulsion Paint Tester Pot Tropics 75ml","Wilko","Paint Tester Pot","Green","1","75ml","30cm²",1
"297381","Wilko Kitchen Matt Emulsion PaintPearl Grey 2.5L","Wilko","Kitchen Paint","Grey","1","2.5L","30m²",1
"309367","Wilko Kitchen Matt Emulsion PaintMineral Stone 2.5L","Wilko","Kitchen Paint","Cream","1","2.5L","30m²",1
"310650","Wilko Silk Emulsion PaintStardust 2.5L","Wilko","Silk Paint","Cream","1","2.5L","30m²",1
"310657","Wilko Emulsion Paint Tester Pot Bumble Bee 75ml","Wilko","Paint Tester Pot","Yellow","1","75ml","30cm²",1
"310660","Wilko Emulsion Paint Tester Pot Neptune 75ml","Wilko","Paint Tester Pot","Blue","1","75ml","30cm²",1
"310782","Wilko Emulsion Paint Tester Pot Stardust 75ml","Wilko","Paint Tester Pot","Cream","1","75ml","30cm²",1
"310783","Wilko Emulsion Paint Tester Pot Sweetie 75ml","Wilko","Paint Tester Pot","Pink","1","75ml","30cm²",1
"310785","Wilko Emulsion Paint Tester Pot Mineral Stone 75ml","Wilko","Paint Tester Pot","Green","1","75ml","30cm²",1
"334383","Wilko Emulsion Paint Tester Pot Sunshine Yellow75ml","Wilko","Paint Tester Pot","Yellow","1","75ml","30cm²",1
"334390","Wilko Emulsion Paint Tester Pot After Hours 75ml","Wilko","Paint Tester Pot","Red","1","75ml","30cm²",1
"334391","Wilko Emulsion Paint Tester Pot Sonic 75ml","Wilko","Paint Tester Pot","Red","1","75ml","30cm²",1
"407468","Wilko Emulsion Paint Tester Pot Nearly Famous 75ml","Wilko","Paint Tester Pot","Red","1","75ml","approx 30 sq. cm",1
"407509","Wilko Matt Emulsion PaintWhispering Sage 2.5L","Wilko","Matt Paint","Green","1","2.5L","approx 35 sq. metres",1
"407510","Wilko Matt Emulsion PaintEnglish Sage 2.5L","Wilko","Matt Paint","Green","1","2.5L","approx 35 sq. metres",1
"407511","Wilko Matt Emulsion PaintMineral Stone 2.5L","Wilko","Matt Paint","Grey","1","2.5L","approx 35 sq. metres",1
"407512","Wilko Matt Emulsion PaintStorm Cloud 2.5L","Wilko","Matt Paint","Grey","1","2.5L","approx 35 sq. metres",1
"407513","Wilko Matt Emulsion PaintOrganic Green 2.5L","Wilko","Matt Paint","Green","1","2.5L","approx 35 sq. metres",1
"407514","Wilko Matt Emulsion PaintWild Orchid 2.5L","Wilko","Matt Paint","Purple","1","2.5L","approx 35 sq. metres",1
"407516","Wilko Silk Emulsion PaintWhispering Sage 2.5L","Wilko","Silk Paint","Green","1","2.5L","approx 30 sq. metres",1
"407517","Wilko Silk Emulsion PaintEnglish Sage 2.5L","Wilko","Silk Paint","Green","1","2.5L","approx 30 sq. metres",1
"407519","Wilko Silk Emulsion PaintStorm Cloud 2.5L","Wilko","Silk Paint","Grey","1","2.5L","approx 30 sq. metres",1
"407520","Wilko Silk Emulsion PaintOrganic Green 2.5L","Wilko","Silk Paint","Green","1","2.5L","approx 30 sq. metres",1
"407521","Wilko Silk Emulsion PaintWild Orchid 2.5L","Wilko","Silk Paint","Purple","1","2.5L","approx 30 sq. metres",1
"407524","Wilko One Coat Matt Emulsion PaintMineral Stone 2.5L","Wilko","One Coat Matt Paint","Grey","1","2.5L","approx 20 sq. metres",1
"407525","Wilko Durable Matt Emulsion PaintCloudless 2.5L","Wilko","Durable Matt Paint","Blue","1","2.5L","Approx 20 sq. metres",1
"407526","Wilko Kitchen Matt Emulsion PaintCornish Ice Cream 2.5L","Wilko","Kitchen Paint","Cream","1","2.5L","approx 30 sq. metres",1
"407528","Wilko Bathroom Mid Sheen Emulsion PaintSoft Hessian 2.5L","Wilko","Bathroom Paint","Cream","1","2.5L","approx 30 sq. metres",1
"407529","Wilko Bathroom Mid Sheen Emulsion PaintBali 2.5L","Wilko","Bathroom Paint","Green","1","2.5L","approx 30 sq. metres",1
"407530","Wilko Bathroom Mid Sheen Emulsion PaintCosy Grey 2.5L","Wilko","Bathroom Paint","Grey","1","2.5L","approx 30 sq. metres",1
"407531","Wilko Bathroom Mid Sheen Emulsion PaintZesty 2.5L","Wilko","Bathroom Paint","Green","1","2.5L","approx 30 sq. metres",1
"407533","Wilko Statement Matt Emulsion PaintJaded Teal 1.25L","Wilko","Feature Wall Paint","Blue","1","1.25L","approx 17 sq. metres",1
"407535","Wilko Durable Matt Emulsion PaintCherry Fizz 2.5L","Wilko","Durable Matt Paint","Pink","1","2.5L","approx 30 sq. metres",1
"407536","Wilko Durable Matt Emulsion PaintNearly Famous 2.5L","Wilko","Durable Matt Paint","Red","1","2.5L","approx 30 sq. metres",1
"407537","Wilko Emulsion Paint Tester Pot Whispering Sage75ml","Wilko","Paint Tester Pot","Green","1","75ml","approx 30 sq. cm",1
"407538","Wilko Emulsion Paint Tester Pot English Sage 75ml","Wilko","Paint Tester Pot","Green","1","75ml","approx 30 sq. cm",1
"407539","Wilko Emulsion Paint Tester Pot Storm Cloud 75ml","Wilko","Paint Tester Pot","Grey","1","75ml","approx 30 sq. cm",1
"407540","Wilko Emulsion Paint Tester Pot Wild Orchid 75ml","Wilko","Paint Tester Pot","Purple","1","75ml","approx 30 sq. cm",1
