"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Capacity","Material","DQ Score"
"457269","British General Double USB Socket White 2.1A","British General","USB Socket","White","1","3.5 x 18 x 16cm",NA,"Plastic, Metal",1
"457270","British General Double USB Socket Brushed Steel 2.1A","British General","USB Socket","Metal","1","3.5 x 18 x 16cm",NA,"Plastic, Metal",1
"457271","British General Double USB Socket Chrome 2.1A","British General","USB Socket","Metal","1","3.5 x 18 x 16cm",NA,"Plastic, Metal",1
"457272","British General Double USB Socket Black Nickel 2.1A","British General","USB Socket","Metal","1","3.5 x 18 x 16cm",NA,"Plastic, Metal",1
"328715","George Foreman Family Grilling Machine 4 Portion","George Foreman","Grills","Black",NA,"4 Portion",NA,NA,1
"441197","Global Gizmos Mini Doughnut Maker 1000W","Global Gizmos","Doughnut Maker","Pink","1","25.5cm Long, 23cm Wide, 12cm High",NA,NA,1
"441198","Global Gizmos Mini Cupcake Maker 1000W","Global Gizmos","Cupcake Maker","Pink","1","25.5cm Long, 23cm Wide, 12cm High",NA,NA,1
"444782","Morphy Richards Equip Jug Scale Red 46611","Morphy Richards","Kitchen Scales","Red","1","5Kg",NA,NA,1
"441186","Quest Large Buffet Server and Warming Traywith 3 Compartments","Quest","Hot Trays","Silver","1","14.5cm Long, 64cm Wide, 14.5cm High",NA,NA,1
"441189","Quest Double Insulated Catering Urn 10L","Quest","Catering Urn","Silver","1","30cm Long, 30cm Wide, 50cm High",NA,NA,1
"457095","Quest Travel Kettle White 0.5L","Quest","Travel Kettle","White",NA,"0.5L",NA,NA,1
"457096","Quest Travel Kettle Black 0.5L","Quest","Travel Kettle","Black",NA,"0.5L",NA,NA,1
"457097","Quest Professional Hand Mixer Black 300w","Quest","Mixers","Black",NA,"300w","N/A",NA,1
"457098","Quest Professional Hand Mixer Red 300w","Quest","Mixers","Red",NA,"300w","N/A",NA,1
"292727","Russell Hobbs Cooker Slow 3.5L","Russell Hobbs","Slow Cookers","Black",NA,"3.5L",NA,NA,1
"444789","Swan Retro Mini Fridge Cream SRE10010CN","Swan","Fridge","Cream","1","17L",NA,NA,1
"444790","Swan Retro Mini Fridge Green SRE10010GN","Swan","Fridge","Green","1","17L",NA,NA,1
"448372","Swan Microwave 20L Green SM22030GN","Swan","Microwaves","Green",NA,"20L",NA,NA,1
"439555","Tower Kettle Polished Stainless Steel 1.7L T10002P","Tower","Jug Kettles","Metal",NA,"1.7l",NA,NA,1
"439572","Tower Mini Oven 23L T14012","Tower","Mini Oven","Black",NA,"23L",NA,NA,1
"439576","Tower Pressure Cooker 5L T16001","Tower","Pressure Cooker","Metal",NA,"5L",NA,NA,1
"448405","Tower Linear Kettle Stainless Steel 1.7L T10009","Tower","Jug Kettles","Metal",NA,"1.7L",NA,NA,1
"448406","Tower 1.7L Jug Kettle T10011","Tower","Jug Kettles","Black",NA,"1.7L",NA,NA,1
