"Article","Web Description","Brand","Capacity","Type","Colour","Power","Size","Model Number","Pack Qty","Assembly","Material","DQ Score"
"211438","Babyliss Pro Ceramic 215 Straightener Slim","BaByliss",NA,"Hair Straighteners",NA,"Mains",NA,"2039U",NA,NA,NA,0.883333333333333
"257808","Babyliss TrueSmooth Batt Op Lady Shaver","BaByliss",NA,"Female Shavers and Epilators",NA,"Battery",NA,NA,"1",NA,NA,0.883333333333333
"257862","Babyliss For Men 8in1 All Over Grooming Kit","BaByliss",NA,"Mens Shavers and Trimmers",NA,"Mains, Battery",NA,"7056CU",NA,NA,NA,0.883333333333333
"257952","Babyliss ProDigital 230 Ceramic Plate Straightener","BaByliss",NA,"Hair Straighteners",NA,"230V",NA,"2079U",NA,NA,NA,0.883333333333333
"267307","Babyliss Glamour Volume Waves Styler","BaByliss",NA,"Hair Stylers",NA,NA,"19mm","2289U",NA,NA,NA,0.883333333333333
"295285","Babyliss For Men 3in1 Hygenic Trimmer","BaByliss",NA,"Mens Shavers and Trimmers",NA,"Battery",NA,"7051BU",NA,NA,NA,0.883333333333333
"325862","Babyliss Energy Cells Replacement Refills 2pk","BaByliss",NA,"Hair Stylers",NA,NA,"12.5g","4580U",NA,NA,NA,0.883333333333333
"331751","Babyliss For Men Home Hair Cutting Kit 22 Piece","BaByliss",NA,"Hair Trimmer",NA,"Mains, Battery",NA,"7447BU","1",NA,NA,0.9
"422458","BaByliss for Men Professional Hair ClipperGift Set","BaByliss",NA,"Male Electrical Gift Sets",NA,"Mains","H 18.5x L4.8 x D 5.0","7448BGU",NA,NA,NA,0.941666666666667
"423949","Babyliss For Men 10in1 Grooming Set","BaByliss",NA,"Hair Trimmer",NA,"Cord/Cordless","H 16 x L 4.5 x D 3","7235U",NA,NA,NA,0.941666666666667
"424356","Babyliss Pro Speed Hair Dryer 2200W","BaByliss",NA,"Hair Dryers",NA,"Mains 2000W-2200W","BaByliss Pro Speed 2200","5541CU",NA,NA,NA,0.941666666666667
"444682","BaByliss Pro Ceramic 12in1 Multi Hair Styler","BaByliss",NA,"Hair Styler",NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"352591","Braun Mobile Shave Shaver M60B","Braun",NA,"Mens Shavers and Trimmers",NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"455049","British General Double Socket 4 Gang USB White 4.2amp","British General",NA,"USB Socket",NA,NA,NA,NA,"1",NA,"Plastic, Metal",0.883333333333333
"455050","British General Double Socket USB Brushed Steel 4.2amp","British General",NA,"USB Socket",NA,NA,NA,NA,"1",NA,"Plastic, Metal",0.883333333333333
"455051","British General Double Socket USB Chrome 4.2amp","British General",NA,"USB Socket",NA,NA,NA,NA,"1",NA,"Plastic, Metal",0.883333333333333
"455052","British General Double Socket USB Black Nickel 4.2amp","British General",NA,"USB Socket",NA,NA,NA,NA,"1",NA,"Plastic, Metal",0.883333333333333
"255381","Core Electrics Cable Ties Clear 100mm 20pk","Core Electrics",NA,"Cable Ties and Clips",NA,NA,"100m",NA,NA,NA,NA,0.825
"255382","Core Electrics Cable Ties Clear 20pk","Core Electrics",NA,"Cable Ties and Clips",NA,NA,"200mm",NA,NA,NA,NA,0.825
"255392","Core Electrics Cable Clips 20pk 2.5mm","Core Electrics",NA,"Cable Ties and Clips",NA,NA,"2.5mm",NA,NA,NA,NA,0.825
"255393","Core Electrics Cable Clips 20pk  6mm","Core Electrics",NA,"Cable Ties and Clips",NA,NA,"6mm",NA,NA,NA,NA,0.825
"255396","Core Electrics Cable Clips 20pk 7mm","Core Electrics",NA,"Cable Ties and Clips",NA,NA,"7mm",NA,NA,NA,NA,0.825
"255398","Core Electrics Cable Clips 20pk","Core Electrics",NA,"Cable Ties and Clips",NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"255399","Core Electrics Cable Clips 20pk 7mm","Core Electrics",NA,"Cable Ties and Clips",NA,NA,"7mm",NA,NA,NA,NA,0.825
"cr00027","Hostess Trolley Drop Door HL6200DB","Crosslee",NA,"Heated Trolley","Brown","410W",NA,"HL6200DB","1","No",NA,0.90625
"cr00032","Hostess Trolley Full Door HL6232BS","Crosslee",NA,"Heated Trolley","Silver","410W",NA,"HL6232BS","1","No",NA,0.90625
"433371","Daewoo Aqua Glass Kettle 1.8L","Daewoo",NA,"Glass Kettles",NA,"2520-3000W","1.8L","SDA1207",NA,NA,NA,0.891666666666667
"433372","Daewoo 2 Slice Glass Toaster","Daewoo",NA,"Toasters",NA,NA,"4 slice",NA,NA,NA,NA,0.825
"435726","Daewoo Air Fryer","Daewoo",NA,"Fryers",NA,"1300W",NA,"SDA1032",NA,NA,NA,0.93
"448353","Elgento Hot Air Popcorn Maker Red E26006","Elegento",NA,"Popcorn Maker","Red","1200W",NA,"E26006","1",NA,NA,0.9
"448354","Elgento Cocktail Fountain Red E26008","Elegento",NA,"Cocktail Fountain","Red","600W",NA,"E26008","1",NA,NA,0.9
"448356","Elgento Chocolate Fountain White E26012","Elegento",NA,"Chocolate Fountain",NA,"2200kW",NA,"E26012","1",NA,NA,0.85
"448357","Elgento Carnival Candy Catcher Money Box RedE26013","Elegento",NA,"Candy Catcher","Red","3x1.5v Battery (not included)",NA,"E26013","1",NA,NA,0.9
"440860","Energizer Vision Headlight 2 Light Mode","Energizer",NA,"Head Torch","Blue","AAA batteries","Head torch with 3 x AAA batteries",NA,"1",NA,NA,0.95
"440861","Energizer Vision HD Headlight 4 Light Mode","Energizer",NA,"Torch","Green","AAA batteries","Head torch with 3 x AAA batteries",NA,"1",NA,NA,0.95
"440862","Energizer Compact Lantern 2 Light Mode","Energizer",NA,"Torch","Grey","AA batteries","Compact Lantern with 4 x AA Batteries",NA,"1",NA,NA,0.95
"451280","Kenwood Hand Mixer White HM220","Kenwood",NA,"Mixers","White","150w",NA,"HM220",NA,NA,NA,0.85
"451281","Kenwood Compact Mini Chopper White CH180A","Kenwood",NA,"Choppers","White","300w",NA,"CH180",NA,NA,NA,0.85
"451283","Kenwood Triblade Hand Blender 450W With Plus Turboand 0.5 Litre Bowl","Kenwood",NA,"Blenders","White","450w",NA,"HB680P",NA,NA,NA,0.85
"451284","Kenwood Blender 350w 1 Litre With Mill AttachmentWhite","Kenwood","1 Litre","Blenders",NA,"350w",NA,"BL335",NA,NA,NA,0.85
"455026","Masterplug Cable Reel 10amp 4 Gang 25m","Masterplug",NA,"Cable Reel",NA,"Mains power supply","25m","LDCC2510/4BL",NA,NA,NA,0.941666666666667
"455027","Masterplug Cable Reel 10amp 4 Gang 16m","Masterplug",NA,"Cable Reel",NA,"Mains power supply","16m","SOC1610/4BL",NA,NA,NA,0.941666666666667
"455028","Masterplug Handbag Cable Reel 10amp 4 Gang 15m","Masterplug",NA,"Cable Reel",NA,"Mains power supply","15m","HST1510/4BL",NA,NA,NA,0.941666666666667
"455029","Masterplug Cassette Reel 10amp 4 Gang 8m","Masterplug",NA,"Cassette Reel",NA,"Mains power supply","8m","MCT0810/4BL",NA,NA,NA,0.941666666666667
"455031","Masterplug Outdoor Socket 1 Gang Switched IP66","Masterplug",NA,"Outdoor Socket",NA,NA,"12 x 9 x 16cm",NA,"1",NA,"Plastic, Metal",0.941666666666667
"455032","Masterplug Outdoor Socket 2 Gang Switched IP66","Masterplug",NA,"Outdoor Socket",NA,NA,"18 x 6 x 16cm",NA,"1",NA,"Plastic, Metal",0.941666666666667
"455033","Masterplug Weatherproof Switch 1 Gang IP66","Masterplug",NA,"Waterproof Switch",NA,NA,"10 x 7 x 10cm",NA,"1",NA,"Plastic, Metal",0.941666666666667
"455045","Masterplug Outdoor Socket Kit 2 Gang","Masterplug",NA,"Outdoor Socket",NA,NA,NA,NA,"1",NA,"Plastic, Metal",0.883333333333333
"404248","Morphy Richards 6 piece co-ordinated storage set Red 974100","Morphy Richards",NA,"Storage Set","Red",NA,NA,"974100",NA,NA,NA,0.85
"404249","Morphy Richards 6 piece co-ordinated storage set Black 974101","Morphy Richards",NA,"Storage Set","Black",NA,NA,"974101",NA,NA,NA,0.85
"404263","Morphy Richards Accents Saute Pan with Glass LidCream 28cm","Morphy Richards",NA,"Saute Pans","Cream",NA,NA,"46352",NA,NA,NA,0.85
"404264","Morphy Richards 24cm Stainless Steel Casserole Pan970007","Morphy Richards",NA,"Casserole","Metal",NA,NA,"970007",NA,NA,NA,0.85
"404265","Morphy Richards Casserole Pan Red 24cm","Morphy Richards",NA,"Casserole","Red",NA,NA,"46371",NA,NA,NA,0.85
"404266","Morphy Richards Casserole Pan Black 24cm","Morphy Richards",NA,"Casserole","Black",NA,NA,"46370",NA,NA,NA,0.85
"404269","Morphy Richards 24cm White Casserole Pan 46374","Morphy Richards",NA,"Casserole","White",NA,NA,"79007",NA,NA,NA,0.85
"404270","Morphy Richards Casserole Pan Cream 24cm","Morphy Richards",NA,"Casserole","Cream",NA,NA,"46372",NA,NA,NA,0.85
"404279","Morphy Richards Accents Whistling Kettle Plum2.5L","Morphy Richards","2.5 Litres","Stove Top Kettle","Purple",NA,NA,"46503",NA,NA,NA,0.9
"404287","Morphy Richards Professional Tri-Ply CasserolePot 24cm","Morphy Richards",NA,"Casserole","Metal",NA,NA,"79806",NA,NA,NA,0.85
"404288","Morphy Richards Professional Tri-Ply Saute PanStainless Steel 28cm","Morphy Richards",NA,"Saute Pans","Metal",NA,NA,"79807",NA,NA,NA,0.85
"444736","Morphy Richards Accents Round Sensor Bin Red 50L974140","Morphy Richards",NA,"Sensor Bins","Red",NA,"50L","974140",NA,NA,NA,0.9
"444737","Morphy Richards Accents Round Sensor Bin Black50L 974141","Morphy Richards",NA,"Sensor Bins","Black",NA,"50L","974141",NA,NA,NA,0.9
"444739","Morphy Richards Accents Round Sensor Bin Cream50L 974143","Morphy Richards",NA,"Sensor Bins","Cream",NA,"50L","974143",NA,NA,NA,0.9
"444740","Morphy Richards Accents Round Sensor Bin White50L 974144","Morphy Richards",NA,"Sensor Bins","White",NA,"50L","974144",NA,NA,NA,0.9
"444744","Morphy Richards Accents Round Sensor BinStainless Steel 50L 974148","Morphy Richards",NA,"Sensor Bins","Silver",NA,"50L","974148",NA,NA,NA,0.9
"444753","Morphy Richards Chroma Square Sensor Bin Red 42L971501MO","Morphy Richards",NA,"Sensor Bins","Red",NA,"42L","971501MO",NA,NA,NA,0.9
"444758","Morphy Richards Chroma Round Sensor Bin Red 42L971511MO","Morphy Richards",NA,"Sensor Bins","Red",NA,"42L","971511MO",NA,NA,NA,0.9
"444760","Morphy Richards Chroma Round Sensor Bin Cream 42L971513MO","Morphy Richards",NA,"Sensor Bins","Cream",NA,"42L","971513MO",NA,NA,NA,0.9
"444763","Morphy Richards Chroma Square Sensor Bin Black50L 971517MO","Morphy Richards",NA,"Sensor Bins","Black",NA,"50L","971517MO",NA,NA,NA,0.9
"444765","Morphy Richards Chroma Square Sensor BinStainless Steel 50L 971519MO","Morphy Richards",NA,"Sensor Bins","Silver",NA,"50L","971519MO",NA,NA,NA,0.9
"444766","Morphy Richards Chroma Round Sensor Bin Red 50L","Morphy Richards",NA,"Sensor Bins","Red",NA,"50L",NA,NA,NA,NA,0.85
"444767","Morphy Richards Chroma Round Sensor Bin Black 50L","Morphy Richards",NA,"Sensor Bins","Black",NA,"50L","971522/MO",NA,NA,NA,0.9
"444768","Morphy Richards Chroma Round Sensor Bin Cream 50L","Morphy Richards",NA,"Sensor Bins","Cream",NA,"50L","971523/MO",NA,NA,NA,0.9
"444769","Morphy Richards Chroma Round Sensor Bin StainlessSteel 50L","Morphy Richards",NA,"Sensor Bins","Silver",NA,"50L",NA,"1",NA,NA,0.941666666666667
