"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","DQ Score"
"307652","Wilko Hand Towel Beige","Wilko","Hand Towels","Brown",NA,"Washable","50x90cm","100% Cotton",0.95
"307659","Wilko Bath Towel White","Wilko","Bath Towels","White",NA,"Washable","70x127cm","100% Cotton",0.95
"307663","Wilko Bath Towel Aqua Blue","Wilko","Bath Towels","Blue",NA,"Washable","70x127cm","100% Cotton",0.95
"307664","Wilko Bath Towel Deep Blue","Wilko","Bath Towels","Blue",NA,"Washable","70x127cm","100% Cotton",0.95
"307669","Wilko Bath Towel Charcoal","Wilko","Bath Towels","Black",NA,"Washable","70x127cm","100% Cotton",0.95
"307676","Wilko Bath Sheet Charcoal","Wilko","Bath Sheets","Black",NA,NA,"95x150cm",NA,0.93
"307678","Wilko Bath Sheet White","Wilko","Bath Sheets","White",NA,NA,"95x150cm",NA,0.93
"307683","Wilko Bath Sheet Aqua Blue","Wilko","Bath Sheets","Blue",NA,"Washable","95x150cm","100% Cotton",0.95
"307684","Wilko Bath Sheet Deep Blue","Wilko","Bath Sheets","Blue",NA,"Washable","95x150cm","100% Cotton",0.95
"307739","Wilko Hand Towel Deep Blue","Wilko","Hand Towels","Blue",NA,"Washable","50x90cm","100% Cotton",0.95
"307744","Wilko Hand Towel Aqua Blue","Wilko","Hand Towels","Blue",NA,"Washable","50x90cm","100% Cotton",0.95
"314965","Wilko Hand Towel Soft Cream","Wilko","Hand Towels","Cream",NA,"Washable","50x90cm","100% Cotton",0.95
"315543","Wilko Bath Sheet Soft Cream","Wilko","Bath Sheets","Cream",NA,"Washable","95x150cm","100% Cotton",0.95
"319302","Wilko Hand Towel Hessian","Wilko","Hand Towels","Brown",NA,"Washable","50x90cm","100% Cotton",0.95
"319303","Wilko Bath Towel Hessian","Wilko","Bath Towels","Brown",NA,"Washable","70x127cm","100% Cotton",0.95
"324811","Wilko Bath Towel Navy","Wilko","Bath Towels","Blue",NA,"Washable","70x127cm","100% Cotton",0.95
"325597","Wilko Hand Towel Olive","Wilko","Hand Towels","Green",NA,"Washable","50x90cm","100% Cotton",0.95
"325598","Wilko Bath Towel Olive","Wilko","Bath Towels","Green",NA,"Washable","70x127cm","100% Cotton",0.95
"325624","Wilko Bath Towel Purple","Wilko","Bath Towels","Purple",NA,"Washable","70x127cm","100% Cotton",0.95
"412083","Wilko Bath Sheet Heather","Wilko","Bath Sheets",NA,"1",NA,NA,"100% Cotton",0.85
"412086","Wilko Bath Towel Heather","Wilko","Bath Towels",NA,"1",NA,NA,"100% Cotton",0.85
"412087","Wilko Face Cloth Heather 2pk","Wilko","Face Cloth","Purple","2",NA,NA,"100% Cotton",0.9
"412089","Wilko Hand Towel Heather","Wilko","Hand Towels","Purple","1",NA,NA,"100% Cotton",0.9
"412109","Wilko Bath Sheet Dark Teal","Wilko","Bath Sheets","Blue","1",NA,NA,"100% Cotton",0.9
"412111","Wilko Bath Towel Dark Teal","Wilko","Bath Towels","Green","1",NA,NA,"100% Cotton",0.9
"412112","Wilko Face Cloths Dark Teal 2pk","Wilko","Face Cloth",NA,"2",NA,NA,"100% Cotton",0.85
"412113","Wilko Hand Towel Dark Teal","Wilko","Hand Towels",NA,"1",NA,NA,"100% Cotton",0.85
"412122","Wilko Bath Sheet Coastal Blue","Wilko","Bath Sheets",NA,"1",NA,NA,"100% Cotton",0.85
"412124","Wilko Bath Towel Coastal Blue","Wilko","Bath Towels","Blue","1",NA,NA,"100% Cotton",0.9
"412126","Wilko Face Cloth Coastal Blue 2pk","Wilko","Face Cloth","Blue","2",NA,NA,"100% Cotton",0.9
"412127","Wilko Hand Towel Coastal Blue","Wilko","Hand Towels","Blue","1",NA,NA,"100% Cotton",0.9
"422452","Wilko Ultra Household Towel Extra LargeSingle Roll 3 Ply","Wilko","Kitchen Towels",NA,"1",NA,NA,NA,0.9125
"423344","Wilko Bath Towel Fennel","Wilko","Bath Towels",NA,"1",NA,NA,NA,0.8
"423348","Wilko Hand Towel Hot Pink","Wilko","Hand Towels",NA,NA,NA,NA,NA,0.75
"423349","Wilko Face Cloth Hot Pink 2pk","Wilko","Face cloths",NA,NA,NA,NA,NA,0.75
"423350","Wilko Bath Towel Hot Pink","Wilko","Bath Towels",NA,"1",NA,NA,NA,0.8
"423351","Wilko Bath Sheet Hot Pink","Wilko","Bath Sheets",NA,"1",NA,NA,NA,0.8
"423352","Wilko Bath Micro Mat Hot Pink 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,NA,0.766666666666667
"423353","Wilko Ribbed Bath Mat Hot Pink 50 x 70cm","Wilko","Bath Mats",NA,NA,NA,NA,NA,0.766666666666667
"423354","Wilko Hand Towel Chilli Red","Wilko","Hand Towels",NA,NA,NA,NA,NA,0.75
"423355","Wilko Face Cloth Chilli Red 2pk","Wilko","Face Cloths",NA,NA,NA,NA,NA,0.75
