"Article","Web Description","Brand","Type","Pack Qty","Size","Power","Model Number","Colour","DQ Score"
"457269","British General Double USB Socket White 2.1A","British General","USB Socket","1","3.5 x 18 x 16cm",NA,NA,"White",1
"457270","British General Double USB Socket Brushed Steel 2.1A","British General","USB Socket","1","3.5 x 18 x 16cm",NA,NA,"Metal",1
"457271","British General Double USB Socket Chrome 2.1A","British General","USB Socket","1","3.5 x 18 x 16cm",NA,NA,"Metal",1
"457272","British General Double USB Socket Black Nickel 2.1A","British General","USB Socket","1","3.5 x 18 x 16cm",NA,NA,"Metal",1
"328715","George Foreman Family Grilling Machine 4 Portion","George Foreman","Grills",NA,"4 Portion","Mains","18471","Black",1
"441197","Global Gizmos Mini Doughnut Maker 1000W","Global Gizmos","Doughnut Maker","1","25.5cm Long, 23cm Wide, 12cm High","1000w","35580","Pink",1
"441198","Global Gizmos Mini Cupcake Maker 1000W","Global Gizmos","Cupcake Maker","1","25.5cm Long, 23cm Wide, 12cm High","1000w","35590","Pink",1
"444782","Morphy Richards Equip Jug Scale Red 46611","Morphy Richards","Kitchen Scales","1","5Kg",NA,NA,"Red",1
"441186","Quest Large Buffet Server and Warming Traywith 3 Compartments","Quest","Hot Trays","1","14.5cm Long, 64cm Wide, 14.5cm High","300W","16510","Silver",1
"441189","Quest Double Insulated Catering Urn 10L","Quest","Catering Urn","1","30cm Long, 30cm Wide, 50cm High","1500w","35510","Silver",1
"457095","Quest Travel Kettle White 0.5L","Quest","Travel Kettle",NA,"0.5L","600w","35440","White",1
"457096","Quest Travel Kettle Black 0.5L","Quest","Travel Kettle",NA,"0.5L","600w","35690","Black",1
"457097","Quest Professional Hand Mixer Black 300w","Quest","Mixers",NA,"300w","300w","35810","Black",1
"457098","Quest Professional Hand Mixer Red 300w","Quest","Mixers",NA,"300w","300w","35820","Red",1
"292727","Russell Hobbs Cooker Slow 3.5L","Russell Hobbs","Slow Cookers",NA,"3.5L","Mains","19790","Black",1
"444789","Swan Retro Mini Fridge Cream SRE10010CN","Swan","Fridge","1","17L",NA,NA,"Cream",1
"444790","Swan Retro Mini Fridge Green SRE10010GN","Swan","Fridge","1","17L",NA,NA,"Green",1
"448372","Swan Microwave 20L Green SM22030GN","Swan","Microwaves",NA,"20L","800W","SM22030GN","Green",1
"439555","Tower Kettle Polished Stainless Steel 1.7L T10002P","Tower","Jug Kettles",NA,"1.7l","2200w","T10002P","Metal",1
"439572","Tower Mini Oven 23L T14012","Tower","Mini Oven",NA,"23L","1500w","T14012","Black",1
"439576","Tower Pressure Cooker 5L T16001","Tower","Pressure Cooker",NA,"5L","900w","T16004","Metal",1
