"Article","Web Description","Brand","Type","Pack Qty","Size","Colour","DQ Score"
"352739","Batiste Dry Shampoo Blush 50ml","Batiste","Dry Shampoo","1","50ml",NA,1
"281806","Colgate Toothpaste Total Advanced Clean25ml","Colgate","Regular Toothpaste","1","25ml",NA,1
"450606","Cuticura Antibacterial Hand GelCrisp and Fresh 50ml","Cuticura","Hand Wash","1","50ml",NA,1
"352738","Dove Body Wash Nourishing 55ml","Dove","Shower Gel","1","55ml",NA,1
"351742","Dr Beckmann Travel Wash 100ml","Dr Beckmann","Travel Wash","1","100ml",NA,1
"292146","Johnsons Baby Powder 100g","Johnsons","Talc","1","100ml",NA,1
"266855","Listerine Mouthwash Total Care Clean Mint 95ml","Listerine","Mouthwash","1","95ml",NA,1
"305863","Original Source Shower Gel Lemon and Tea Tree 50ml","Original Source","Shower Gel and Body Wash","1","50ml",NA,1
"413531","Palram Balance Greenhouse Silver 8x12","Palram","Greenhouses",NA,"8x12",NA,1
"413532","Palram Victory Orangery Greenhouse 12x10","Palram","Greenhouses",NA,"12x10",NA,1
"413533","Palram Mythos Greenhouse Silver 6x4","Palram","Greenhouses",NA,"126L x 185W x 208H",NA,1
"413534","Palram Mythos Greenhouse Silver 6x6","Palram","Greenhouses",NA,"186L x 185W x 208H",NA,1
"413535","Palram Mythos Greenhouse Silver 6x8","Palram","Greenhouses",NA,"247L x 185W x 208H",NA,1
"413536","Palram Mythos  Greenhouse Silver 6x10","Palram","Greenhouses",NA,"306L x 185W x 208H",NA,1
"435718","Palram Aluminium Greenhouse Window Auto Vent Arm","Palram","Arms",NA,"40W x 7L x 5H cm",NA,1
"435721","Palram Greenhouse Side Louver Window","Palram","Side Louver",NA,"H 62cm x Wi 62cm x 6cm Thickness. 62cm Window",NA,1
"pr00001","Palram Polycarbonate Greenhouse Green 6x4","Palram","Greenhouses",NA,"6ft x 4ft","Green",1
"pr00002","Palram Polycarbonate Greenhouse Green 6x6","Palram","Greenhouses",NA,"6ft x 6ft",NA,1
"pr00003","Palram Polycarbonate Greenhouse Green 6x8ft","Palram","Greenhouses",NA,"6ft x 8ft",NA,1
"pr00004","Palram Polycarbonate Greenhouse Green 6x10","Palram","Greenhouses",NA,"6ft x 10ft",NA,1
"pr00005","Palram Polycarbonate Greenhouse Aluminium 6x10","Palram","Greenhouses",NA,"6ft x 10ft",NA,1
"pr00008","Palram Polycarbonate Greenhouse Silver Effect 6x6","Palram","Greenhouses",NA,"6ft x 6ft",NA,1
"pr00009","Palram Polycarbonate Greenhouse Silver Effect 6x8","Palram","Greenhouses",NA,"6ft x 8ft",NA,1
"436274","Rowlinson Single Hardwood Coldframe","Rowlinson","Cold Frames",NA,"61cm",NA,1
"348834","Wilko Suncare Lotion SPF30 50ml","Wilko","Sun Cream Spf30","1","50ml",NA,1
"348835","Wilko Suncare Lotion SPF50 50ml","Wilko","Sun Cream Spf50","1","50ml",NA,1
"348836","Wilko After Sun Lotion 50ml","Wilko","Aftersun","1","50ml",NA,1
