"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Power","DQ Score"
"56233","Beaphar Cat Worming Tablets Dual Pack","Beaphar","Flea and Worming Control",NA,NA,"5kg",NA,0.86
"295055","Bob Martin Spot On Flea Clear Treatment 2pk","Bob Martin","Flea and Worming Control",NA,"2","50mg",NA,0.93
"411310","Bob Martin Cat Flea Care Tablets","Bob Martin","Flea and Worming Control",NA,"1","3x 11.4mg",NA,0.93
"278722","Dreamies Cat Treats Salmon 60g","Dreamies","Biscuit Treats",NA,NA,"60g",NA,0.9125
"278723","Dreamies Cat Treats Chicken 60g","Dreamies","Biscuit Treats",NA,"1","60g",NA,0.93
"303789","Dreamies Cat Treats Duck 60g","Dreamies","Biscuit Treats",NA,NA,"60g",NA,0.9125
"315451","Dreamies Cat Treats Chicken and Duck 60g","Dreamies","Biscuit Treats",NA,NA,"60g",NA,0.9125
"437719","Dreamies Cat Treats Chicken Mega Pack 180g","Dreamies","Biscuit Treats",NA,"180g",NA,NA,0.9125
"456430","Dreamies Cat Treats Salmon Mega Pack 180g","Dreamies","Biscuit Treats",NA,"1",NA,NA,0.9125
"456431","Dreamies Cat Treats Tuna Mega Pack 180g","Dreamies","Biscuit Treats",NA,"1",NA,NA,0.9125
"456432","Dreamies Cat Treats Turkey Mega Pack 180g","Dreamies","Biscuit Treats",NA,"1",NA,NA,0.9125
"252490","Felix Kitten Food Plaice Lamb Cod and Chicken12 x 100g","Felix","Kitten Food 1-12 Months",NA,"12","100g",NA,0.93
"315456","Felix Cat Treats Goody Bag Mixed Grill 60g","Felix","Biscuit Treats",NA,NA,"60g",NA,0.9125
"336102","Felix Cat Treats Crispies Salmon and Trout 45g","Felix","Biscuit Treats",NA,NA,"45g",NA,0.9125
"436235","Felix As Good As It Looks Kitten Food MixedSelection in Jelly 12 x 100g","Felix","Kitten Food 1-12 Months",NA,"12","12x100g",NA,0.93
"336109","Go-Cat Dry Cat Food Crunchy and Tender Tuna 375g","Go Cat","Bagged Food",NA,NA,"375g",NA,0.8625
"401013","Go-Cat Dry Cat Food Crunchy and Tender Chickenand Turkey 375g","Go Cat","Bagged Food",NA,NA,"375g",NA,0.8625
"278024","Gourmet Gold Tinned Cat Food Salmon and Chickenin Gravy 85g","Gourmet","Adult Tins 1+ Years",NA,NA,"85g",NA,0.9125
"278056","Gourmet Gold Tinned Cat Food Duck and Turkey 85g","Gourmet","Adult Tins 1+ Years",NA,NA,"85g",NA,0.9125
"336112","Iams Cat Adult Salmon and Chicken 800g","Iams","Bagged Food",NA,NA,"800g",NA,0.9125
"428289","Iams Delights Wet Cat Food in Gravy Kitten 12x85g","Iams","Kitten Food 1-12 Months",NA,"12","12x85kg",NA,0.88
"454764","Perfect Fit Comp Dry Junior Chicken 750g","Perfect Fit","Bagged Food",NA,"1","750g",NA,0.93
"314381","Pet Qwerks Cat Toy Kitty Incredibubbles","Pet Qwerks","Cat Bubbles",NA,"1","141g",NA,0.93
