"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","Assembly","DQ Score"
"311446","Wilko Fleece Throw Grey 122 x 152cm","Wilko","Throw","Grey",NA,"Washable","122 x 152cm","100% Polyester",NA,0.95
"326947","Wilko Duvet Set Single Leaf Design Green","Wilko","Single Duvet Cover","Green",NA,"Washable","Single","50% Polyester, 50% Cotton",NA,0.95
"327242","Wilko Duvet Set King Waffle White","Wilko","King Size Duvet Cover","White",NA,"Washable","Kingsize","50% Polyester, 50% Cotton",NA,0.95
"327254","Wilko Duvet Set King Striped Naturals","Wilko","King Size Duvet Cover","Cream",NA,"Washable","Kingsize","52% Polyester, 48% Cotton",NA,0.95
"327268","Wilko Duvet Set King Waffle Cream","Wilko","King Size Duvet Cover","Cream",NA,"Washable","Kingsize","50% Polyester, 50% Cotton",NA,0.95
"327272","Wilko Duvet Set Double Leaf Design Green","Wilko","Double Duvet Cover","Green",NA,"Washable","Double","50% Polyester, 50% Cotton",NA,0.95
"327454","Wilko Duvet Set Double Striped Blue","Wilko","Double Duvet Cover","Blue",NA,"Washable","Double","52% Polyester, 48% Cotton",NA,0.95
"327455","Wilko Duvet Set King Striped Blue","Wilko","King Size Duvet Cover","Blue",NA,"Washable","Kingsize","52% Polyester, 48% Cotton",NA,0.95
"327502","Wilko Duvet Set Double Striped Purple","Wilko","Double Duvet Cover","Pink",NA,"Washable","Double","52% Polyester, 48% Cotton",NA,0.95
"327503","Wilko Duvet Set King Striped Purple","Wilko","King Size Duvet Cover","Pink",NA,"Washable","Kingsize","52% Polyester, 48% Cotton",NA,0.95
"340607","Wilko Duvet Set Single Camper Check Design","Wilko","Single Duvet Cover","Multi","1",NA,"Single",NA,NA,0.9
"340608","Wilko Duvet Set Double Camper Check Design","Wilko","Double Duvet Cover","Multi","1",NA,"Double",NA,NA,0.9
"340609","Wilko Duvet Set King Camper Check Design","Wilko","King Size Duvet Cover","Multi","1",NA,"King",NA,NA,0.9
"340634","Wilko Duvet Set Single Rose Design Grey","Wilko","Single Duvet Cover","Grey",NA,NA,"Single",NA,NA,0.93
"340636","Wilko Duvet Set King Rose Design Grey","Wilko","King Size Duvet Cover","Grey",NA,NA,"King",NA,NA,0.93
"407730","Wilko Duvet Set Single Striped Grey","Wilko","Single Duvet Cover","Grey","1",NA,NA,NA,NA,0.85
"407731","Wilko Duvet Set Double Striped Grey","Wilko","Double Duvet Cover","Grey","1",NA,NA,NA,NA,0.85
"407732","Wilko Duvet Set King Striped Grey","Wilko","King Size Duvet Cover",NA,"1",NA,NA,NA,NA,0.8
"426723","Wilko Duvet Set Single Reversible Plum and Mauve","Wilko","Single Duvet Cover",NA,NA,NA,NA,NA,NA,0.75
"426724","Wilko Duvet Set Double Reversible Plum and Mauve","Wilko","Double Duvet Cover",NA,NA,NA,NA,NA,NA,0.75
"426725","Wilko Duvet Set King Reversible Plum and Mauve","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,NA,0.75
"426726","Wilko Duvet Set Single Textured Butterfly Pink","Wilko","Single Duvet Cover",NA,"1","Wash at 40","135x200cm 50x75cm",NA,NA,0.9
"426727","Wilko Duvet Set Double Textured Buttefly Pink","Wilko","Double Duvet Cover",NA,"1","Wash at 40","200x200cm 50x75cm",NA,NA,0.9
"426728","Wilko Duvet Set King Textured Butterfly Pink","Wilko","King Size Duvet Cover",NA,"1","Wash at 40","230x220cm 50x75cm",NA,NA,0.9
