"Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"271119","Anadin Joint Pain Ibuprofen 16pk","Anadin","200mg","16pk",1
"280599","Bachs Rescue Remedy Drops 10ml","Bachs","10ml","1",1
"200639","Beechams All in One 160ml","Beechams","160ml","1",1
"447282","Bells Children's Vapour Rub 50g","Bells","50g","1",1
"352137","Benylin Adult Tickly Cough Non Drowsy 150ml","Benylin","150ml","12",1
"192778","Bonjela Teething Gel 15g","Bonjela","15g","1",1
"423974","Bonjela Invisible Cold Sore Cream 2g","Bonjela","2g","1pk",1
"271118","Breathe Right Strips Small Medium","Breathe Right","Small/Medium","10pk",1
"406740","Buttercup Bronchostop Syrup 120ml","Buttercup","120ml","1",1
"236043","Calpol Sugar Free Infant Strawberry Flavour2+ Months 100ml","Calpol","100ml","1",1
"351056","Calpol Saline Nasal Drops 10ml","Calpol","10ml","1",1
"274447","Carnation Verruca and Wart Foot Spray 50ml","Carnation","50ml","1",1
"453064","Compeed Anti-Blister Stick 8ml","Compeed","8ml","1",1
"210419","Covonia Expectorant Mentholated Cough Syrup 150ml","Covonia","150ml","1",1
"261511","Covonia Dry and Tickly Cough 150ml","Covonia","150ml","1",1
"453060","Daktarin Active Spray Powder 100g","Daktarin","100g","1",1
"203264","Deep Heat Spray 150ml","Deep Heat","150ml","1",1
"351926","Deep Heat Rub Max Strength Rub 35g","Deep Heat","35g","1",1
"332827","Dextro Orange 47g","Dextro","47g","1",1
"33577","Elastoplast Fabric Dressing Lengths 6cm x 10cm","Elastoplast","6cmx10cm","10pk",1
"32679","Fishermans Friend Original Menthol & EucalyptusFlavour Lozenges 25g","Fishermans Friend","25g","1",1
"117039","Halls Soothers Blackcurrant 45g","Halls","45g","1",1
"58239","Halls Mentholyptus Extra Strong 33.5g","Halls","33.5g","9pk",1
"346183","Hedrin Protect And Go 120ml","Hedrin","120ml","1",1
"73957","Hermesetas Original 300pk","Hermesetas","4.5g","300pk",1
"239583","Jakemans Honey and Lemon Menthol 100g","Jakemans","100g","1",1
"407594","Jakemans Peppermint Menthol 100g","Jakemans","100g","1",1
"214973","Nurofen Ibuprofen 8pk","Nurofen","8 Pack","8pk",1
"260334","Nurofen Express Ibuprofen 259mg 12pk","Nurofen","256mg","12pk",1
"280373","Nurofen Ibuprofen Express 16pk","Nurofen","200mg","16pk",1
"308728","Nurofen Ibuprofen 200mg 16pk","Nurofen","16 Pack","16pk",1
"342567","Nurofen for Children Cold and Flu 100ml","Nurofen","100ml","1",1
"430551","Nurofen Joint and Back Tablets 16pk","Nurofen","256mg","16pk",1
"430553","Nurofen Joint and Back Caps 16pk","Nurofen","200mg","16pk",1
"352437","Oilatum Bath Formula 150ml","Oilatum","150ml","1",1
"352438","Oilatum Cream 50g","Oilatum","50g","1",1
"181806","Olbas Inhaler Nasal Stick","Olbas","695mg","1",1
"280388","Optrex Brightening Eye Drops 10ml","Optrex","10ml","1",1
"430555","Optrex Contlens Eyedrops 10ml","Optrex","10ml","1",1
"195968","Otrivine Adult Nasal Spray 10ml","Otrivine","10ml","1",1
"406781","Otrivine Congestion Relief 10ml","Otrivine","10ml","1",1
"113276","Savlon Antiseptic Cream 30g","Savlon","30g","1",1
"342569","Scholl Verruca Removal Gel 10g","Scholl","10g","1",1
"351010","Scholl Fungal Nail 3.8ml","Scholl","3.8ml","1",1
"351012","Scholl Footcare Athletes Foot Spray 150ml","Scholl","150ml","1",1
"274221","Seven Seas Cod Liver Oil Extra High Strength 300ml","Seven Seas","300ml","1",1
"351630","Seven Seas Jointcare 30pk","Seven Seas","30pk","1",1
"238926","ThermaCare Heatwraps Lower Back and Hip","Thermacare","L/XL","1",1
"230482","Voltarol Pain-eze Emulgel 30g","Voltarol","30g","1",1
"202599","Wilko Decongestant Nasal Spray 15ml","Wilko","15ml","1",1
"253598","Wilko Nicotine Lozenges Sugar Free 2mg 36pk","Wilko",NA,NA,1
"253599","Wilko Nicotine Lozenges Sugar Free 4mg 36pk","Wilko",NA,NA,1
"307999","Wilko Slimming Aid 30pk","Wilko","200mg","30pk",1
"340709","Wilko Cod Liver Oil Liquid 300ml","Wilko","300ml","1",1
"348283","Wilko Refresh Foot Spray 100ml","Wilko","100ml","1",1
"348286","Wilko Athletes Foot Cream 20g","Wilko","20g","1",1
"348290","Wilko Lens Cleaning Spray 50ml","Wilko","50ml","1",1
"348331","Wilko Tea Tree Oil 10ml","Wilko","10ml","1",1
"348338","Wilko Lavender Oil 10ml","Wilko","10ml","1",1
"348440","Wilko Microporous Tape 5 x 2.5m","Wilko","5x2.5m","1",1
"348443","Wilko Faster Healing Plasters 16pk","Wilko","16 Pack","1",1
"348470","Wilko Cracked Heel Cream 75ml","Wilko","75ml","1",1
"348471","Wilko Daily Moisturising Foot Cream 75ml","Wilko","75ml","1",1
"348505","Wilko Bandage Crepe 7 x 4cm","Wilko","7x4cm","1",1
"348506","Wilko Fixing Bandage","Wilko","5x4cm","1",1
"407017","Wilko Childrens Saline Nasal Spray 15ml","Wilko","15ml","1",1
