"PSA_1","PSA_2","Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Size","Age","Material","Model Number","Capacity","Washable","Assembly","DQ Score"
"DIY","BAT","346256","Duracell Ultra Power Alkaline Batteries AA LR61.5V 8pk","Duracell","AA",NA,NA,"8pk","AA",NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","443329","Duracell Plus Power Batteries AA LR6 16pk","Duracell","Batteries",NA,NA,"16pk","AA",NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","174219","Energizer Alkaline Battery A23 12V Single","Energizer","12v",NA,"12V",NA,"12V",NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","174224","Energizer Lithium Battery CR2 3V Single","Energizer","3v",NA,"3V",NA,"3V",NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","174225","Energizer Lithium Battery 123 3V Single","Energizer","3v",NA,"3V",NA,"123",NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","277652","Energizer Universal Battery Charger","Energizer","Battery Charger",NA,"Mains",NA,"Universal",NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","277653","Energizer Accu Recharge Maxi Compact BatteryCharger with Batteries AA 1.2V 4pk","Energizer","Battery Charger",NA,"Mains",NA,"AA",NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","277661","Energizer NiMH Rechargeable Batteries PP3 175mAh9V Single","Energizer","9v",NA,"9V",NA,"PP3",NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","277663","Energizer NiMH Battery Charger with BatteriesAA 1.2V 4pk","Energizer","Battery Charger",NA,"Mains",NA,"AA",NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","336832","Energizer Cell Lithium Batteries CR2032 3V 4pk","Energizer","3v",NA,NA,"4pk","3V",NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","337233","Energizer NiMH Recharge Extreme Batteries AAA800mAh 1.2V 4pk","Energizer","AAA",NA,NA,"1","AAA",NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","346267","Energizer Ultimate Lithium  Batteries AA LR6 1.5V4pk","Energizer","AA",NA,NA,"4","AA",NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","346268","Energizer Ultimate Lithium Batteries  AAA LR031.5V 4pk","Energizer","AAA",NA,NA,"4","AAA",NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","346269","Energizer Alkaline Batteries LR1 1.5V 2pk","Energizer","1.5v",NA,NA,"1","LR1",NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","420353","Energizer Eco Advanced AA 4pk","Energizer","AA",NA,NA,"4","4X AAA Batteries",NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","420370","Energizer Eco Advanced Batteries AAA 4pk","Energizer","AAA",NA,NA,"4","4X AAA Batteries",NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","420380","Energizer Advanced Batteries C 2pk","Energizer","C",NA,NA,"2","2XC Batteries",NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","420381","Energizer Advanced Batteries D 2pk","Energizer","D",NA,NA,"2","2 x D batteries",NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","420382","Energizer Advanced Batteries 9V Single","Energizer","9v",NA,NA,"1","1 X 9V Battery",NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","420383","Energizer Eco Advanced Batteries AA Maxi Pack","Energizer","AA",NA,NA,"10pk","AA Battery",NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","420385","Energizer Eco Advanced Batteries AAA Maxi Pack","Energizer","AAA",NA,NA,"10pk","AAA Battery",NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","420389","Energizer Alkaline Batteries LR44 1.5V 4pk","Energizer",NA,NA,NA,"4","4 X LR44 Batteries",NA,NA,NA,NA,NA,NA,0.86
"DIY","BAT","60661","Eveready Weatherproof Lantern Battery 4R25 6VSingle","Eveready","6v",NA,"6V",NA,"PJ996",NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","143641","Wilko Extra Life Alkaline Batteries PP3 9V Single","Wilko","9v",NA,"9V",NA,"9V",NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","143632","Wilko Functional Zinc Chloride Batteries PP3 9VSingle","Wilko Functional","9v",NA,"9V",NA,"9V",NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","143633","Wilko Functional Zinc  Batteries PJ996 6V Single","Wilko Functional","6v",NA,"6V",NA,"PJ996",NA,NA,NA,NA,NA,NA,0.93
"DIY","BIN","343875","Wilko Oval Plaque Ivory Small","Wilko","House Plaques","Cream",NA,NA,"Small",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","343881","Wilko Oval Plaque Gloss Black Small","Wilko","House Plaques","Black",NA,NA,"Small",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","343907","Wilko Oval Plaque Ivory Medium","Wilko","House Plaques","Cream",NA,"1","Medium",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","343940","Wilko Oval Plaque Black Gloss Medium","Wilko","House Plaques","Black",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","343942","Wilko Oval Plaque Frosted Small","Wilko","House Plaques",NA,NA,NA,"Small",NA,NA,NA,NA,NA,NA,0.825
"DIY","BIN","343943","Wilko Rectangle Plaque Frosted Small","Wilko","House Plaques",NA,NA,NA,"Small",NA,NA,NA,NA,NA,NA,0.825
"DIY","BIN","344085","Wilko Contemporary Plaque Frosted Perspex","Wilko","House Plaques",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344088","Wilko Contemporary Layered Perspex Plaque","Wilko","House Plaques",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344095","Wilko House Number Plate Pullman Design Blackand Silver","Wilko","House Plaques","Black",NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344096","Wilko House Number Plate Pullman Design Blackand Gold","Wilko","House Plaques","Black",NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344098","Wilko Numeral 0 Gold Effect 2in","Wilko","Gold Numbers","Gold",NA,"1","2in",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344106","Wilko Numeral 1 Gold Effect 2in","Wilko","Gold Numbers","Gold",NA,NA,"2in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344108","Wilko Numeral 2 Gold Effect 2in","Wilko","Gold Numbers","Gold",NA,"1","2in",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344110","Wilko Numeral 3 Gold Effect 2in","Wilko","Gold Numbers","Gold",NA,"1","2in",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344112","Wilko Numeral 4 Gold Effect 2in","Wilko","Gold Numbers","Gold",NA,NA,"2in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344113","Wilko Numeral 5 Gold Effect 2in","Wilko","Gold Numbers","Gold",NA,NA,"2in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344115","Wilko Numeral 6 Gold Effect 2in","Wilko","Gold Numbers","Gold",NA,NA,"2in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344116","Wilko Numeral 7 Gold Effect 2in","Wilko","Gold Numbers","Gold",NA,NA,"2in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344117","Wilko Numeral 8 Gold Effect 2in","Wilko","Gold Numbers","Gold",NA,NA,"2in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344118","Wilko Numeral 9 Gold Effect 2in","Wilko","Gold Numbers","Gold",NA,NA,"2in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344129","Wilko Numeral 0 Silver Effect 2in","Wilko","Silver Numbers","Silver",NA,NA,"2in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344136","Wilko Numeral 1 Silver Effect 2in","Wilko","Silver Numbers","Silver",NA,NA,"2in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344137","Wilko Numeral 2 Silver Effect 2in","Wilko","Silver Numbers","Silver",NA,NA,"2in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344150","Wilko Numeral 3 Silver Effect 2in","Wilko","Silver Numbers","Silver",NA,NA,"2in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344153","Wilko Numeral 4 Silver Effect 2in","Wilko","Silver Numbers","Silver",NA,NA,"2in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344155","Wilko Numeral 5 Silver Effect 2in","Wilko","Silver Numbers","Silver",NA,NA,"2in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344157","Wilko Numeral 6 Silver Effect 2in","Wilko","Silver Numbers","Silver",NA,NA,"2in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344160","Wilko Numeral 7 Silver Effect 2in","Wilko","Silver Numbers","Silver",NA,"1","2in",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344169","Wilko Numeral 8 Silver Effect 2in","Wilko","Silver Numbers","Silver",NA,NA,"2in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344171","Wilko Numeral 9 Silver Effect 2in","Wilko","Silver Numbers","Silver",NA,NA,"2in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344176","Wilko Numeral 0 Gold Effect 3in","Wilko","Gold Numbers","Gold",NA,"1","3in",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344179","Wilko Numeral 1 Gold Effect 3in","Wilko","Gold Numbers","Gold",NA,NA,"3in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344180","Wilko Numeral 2 Gold Effect 3in","Wilko","Gold Numbers","Gold",NA,NA,"3in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344182","Wilko Numeral 3 Gold Effect 3in","Wilko","Gold Numbers","Gold",NA,"1","3in",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344183","Wilko Numeral 4 Gold Effect 3in","Wilko","Gold Numbers","Gold",NA,"1","3in",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344185","Wilko Numeral 5 Gold Effect 3in","Wilko","Gold Numbers","Gold",NA,NA,"3in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344186","Wilko Numeral 6 Gold Effect 3in","Wilko","Gold Numbers","Gold",NA,NA,"3in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344281","Wilko Numeral 7 Gold Effect 3in","Wilko","Gold Numbers","Gold",NA,NA,"3in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344295","Wilko Numeral 8 Gold Effect 3in","Wilko","Gold Numbers","Gold",NA,NA,"3in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344299","Wilko Numeral 9 Gold Effect 3in","Wilko","Gold Numbers","Gold",NA,NA,"3in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344304","Wilko Numeral 0 Silver Effect 3in","Wilko","Silver Numbers","Silver",NA,NA,"3in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344326","Wilko Numeral 1 Silver Effect 3in","Wilko","Silver Numbers","Silver",NA,NA,"3in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344330","Wilko Numeral 2 Silver Effect 3in","Wilko","Silver Numbers","Silver",NA,NA,"3in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344338","Wilko Numeral 3 Silver Effect 3in","Wilko","Silver Numbers","Silver",NA,NA,"3in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344345","Wilko Numeral 4 Silver Effect 3in","Wilko","Silver Numbers","Silver",NA,NA,"3in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344348","Wilko Numeral 5 Silver Effect 3in","Wilko","Silver Numbers","Silver",NA,"1","3in",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344367","Wilko Numeral 6 Silver Effect 3in","Wilko","Silver Numbers","Silver",NA,"1","3in",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344369","Wilko Numeral 7 Silver Effect 3in","Wilko","Silver Numbers","Silver",NA,NA,"3in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344371","Wilko Numeral 8 Silver Effect 3in","Wilko","Silver Numbers","Silver",NA,"1","3in",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344373","Wilko Numeral 9 Silver Effect 3in","Wilko","Silver Numbers","Silver",NA,NA,"3in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344453","Wilko Letter A Gold Effect 1.5in","Wilko","Gold Letters","Gold",NA,NA,"1.5in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344455","Wilko Letter B Gold Effect 1.5in","Wilko","Gold Letters","Gold",NA,NA,"1.5in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344456","Wilko Letter A Silver Effect  1.5in","Wilko","Silver Letters","Silver",NA,NA,"1.5in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344458","Wilko Letter B Silver Effect 1.5in","Wilko","Silver Letters","Silver",NA,NA,"1.5in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344488","Wilko Vinyl Number 0 Black 50mm","Wilko","Black Numbers","Black",NA,NA,"50mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344490","Wilko Vinyl Number 1 Black 50mm","Wilko","Black Numbers","Black",NA,NA,"50mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344496","Wilko Vinyl Number 2 Black 50mm","Wilko","Black Numbers","Black",NA,NA,"50mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344497","Wilko Vinyl Number 3 Black 50mm","Wilko","Black Numbers","Black",NA,NA,"50mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344498","Wilko Vinyl Number 4 Black 50mm","Wilko","Black Numbers","Black",NA,"1","50mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344500","Wilko Vinyl Number 5 Black 50mm","Wilko","Black Numbers","Black",NA,"1","50mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344501","Wilko Vinyl Number 6 Black 50mm","Wilko","Black Numbers","Black",NA,NA,"50mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344502","Wilko Vinyl Number 7 Black 50mm","Wilko","Black Numbers","Black",NA,NA,"50mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344503","Wilko Vinyl Number 8 Black 50mm","Wilko","Black Numbers","Black",NA,"1","50mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344504","Wilko Vinyl Number 9 Black 50mm","Wilko","Black Numbers","Black",NA,NA,"50mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344505","Wilko Vinyl Letter A Black 50mm","Wilko","Black Letters","Black",NA,NA,"50mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344506","Wilko Vinyl Letter B Black 50mm","Wilko","Black Letters","Black",NA,NA,"50mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344507","Wilko Vinyl Number 0 White 50mm","Wilko","White Numbers","White",NA,NA,"50mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344508","Wilko Vinyl Number 1 White50mm","Wilko","White Numbers","White",NA,NA,"50mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344509","Wilko Vinyl Number 2 White 50mm","Wilko","White Numbers","White",NA,NA,"50mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344510","Wilko Vinyl Number 3 White 50mm","Wilko","White Numbers","White",NA,NA,"50mm",NA,NA,NA,NA,NA,NA,0.883333333333333
